x_original,nm,cm^-1,intensity
950.00,924.50,1918.28,11973.00
949.95,924.46,1917.79,11960.00
949.90,924.42,1917.30,12038.00
949.84,924.38,1916.81,12030.00
949.79,924.33,1916.32,11976.00
949.74,924.29,1915.83,12000.00
949.69,924.25,1915.34,12008.00
949.64,924.21,1914.85,11959.00
949.58,924.17,1914.36,12002.00
949.53,924.12,1913.87,11952.00
949.48,924.08,1913.38,11985.00
949.43,924.04,1912.89,11952.00
949.37,924.00,1912.40,11930.00
949.32,923.96,1911.91,11955.00
949.27,923.91,1911.42,11905.00
949.22,923.87,1910.93,11914.00
949.17,923.83,1910.44,12007.00
949.11,923.79,1909.95,11915.00
949.06,923.75,1909.46,11830.00
949.01,923.70,1908.97,11920.00
948.96,923.66,1908.48,11951.00
948.91,923.62,1907.99,11917.00
948.85,923.58,1907.49,11926.00
948.80,923.54,1907.00,11938.00
948.75,923.49,1906.51,11888.00
948.70,923.45,1906.02,11823.00
948.65,923.41,1905.53,11848.00
948.59,923.37,1905.04,11859.00
948.54,923.33,1904.55,11922.00
948.49,923.28,1904.06,11837.00
948.44,923.24,1903.57,11709.00
948.38,923.20,1903.08,11803.00
948.33,923.16,1902.59,11814.00
948.28,923.12,1902.10,11795.00
948.23,923.07,1901.60,11809.00
948.18,923.03,1901.11,11751.00
948.12,922.99,1900.62,11791.00
948.07,922.95,1900.13,11797.00
948.02,922.91,1899.64,11769.00
947.97,922.86,1899.15,11753.00
947.92,922.82,1898.66,11821.00
947.86,922.78,1898.17,11750.00
947.81,922.74,1897.67,11776.00
947.76,922.70,1897.18,11788.00
947.71,922.66,1896.69,11740.00
947.66,922.61,1896.20,11731.00
947.60,922.57,1895.71,11770.00
947.55,922.53,1895.22,11801.00
947.50,922.49,1894.72,11756.00
947.45,922.45,1894.23,11722.00
947.40,922.40,1893.74,11697.00
947.34,922.36,1893.25,11680.00
947.29,922.32,1892.76,11685.00
947.24,922.28,1892.26,11721.00
947.19,922.24,1891.77,11646.00
947.13,922.19,1891.28,11724.00
947.08,922.15,1890.79,11689.00
947.03,922.11,1890.30,11684.00
946.98,922.07,1889.80,11682.00
946.93,922.03,1889.31,11640.00
946.87,921.98,1888.82,11620.00
946.82,921.94,1888.33,11582.00
946.77,921.90,1887.84,11614.00
946.72,921.86,1887.34,11615.00
946.67,921.82,1886.85,11635.00
946.61,921.77,1886.36,11657.00
946.56,921.73,1885.87,11615.00
946.51,921.69,1885.37,11638.00
946.46,921.65,1884.88,11524.00
946.41,921.61,1884.39,11636.00
946.35,921.56,1883.89,11519.00
946.30,921.52,1883.40,11541.00
946.25,921.48,1882.91,11660.00
946.20,921.44,1882.42,11520.00
946.14,921.40,1881.92,11522.00
946.09,921.35,1881.43,11533.00
946.04,921.31,1880.94,11591.00
945.99,921.27,1880.44,11531.00
945.94,921.23,1879.95,11534.00
945.88,921.19,1879.46,11533.00
945.83,921.15,1878.97,11491.00
945.78,921.10,1878.47,11489.00
945.73,921.06,1877.98,11545.00
945.68,921.02,1877.49,11505.00
945.62,920.98,1876.99,11489.00
945.57,920.94,1876.50,11428.00
945.52,920.89,1876.01,11418.00
945.47,920.85,1875.51,11432.00
945.42,920.81,1875.02,11441.00
945.36,920.77,1874.52,11439.00
945.31,920.73,1874.03,11400.00
945.26,920.68,1873.54,11379.00
945.21,920.64,1873.04,11403.00
945.15,920.60,1872.55,11411.00
945.10,920.56,1872.06,11417.00
945.05,920.52,1871.56,11399.00
945.00,920.47,1871.07,11369.00
944.95,920.43,1870.57,11417.00
944.89,920.39,1870.08,11306.00
944.84,920.35,1869.59,11287.00
944.79,920.31,1869.09,11355.00
944.74,920.26,1868.60,11360.00
944.69,920.22,1868.10,11329.00
944.63,920.18,1867.61,11426.00
944.58,920.14,1867.12,11290.00
944.53,920.10,1866.62,11305.00
944.48,920.05,1866.13,11300.00
944.43,920.01,1865.63,11305.00
944.37,919.97,1865.14,11214.00
944.32,919.93,1864.64,11265.00
