PS,
cm^-1,Intensity
500,202
503,202
506,208
509,212
512,208
515,186
518,188
521,188
524,200
527,194
530,192
533,210
536,204
539,196
542,190
545,188
548,210
551,208
554,212
557,208
560,198
563,194
566,198
569,204
572,216
575,202
578,194
581,206
584,212
587,188
590,202
593,204
596,196
599,206
602,206
605,206
608,208
611,256
614,296
617,288
620,248
623,220
626,202
629,226
632,224
635,210
638,186
640,202
643,200
646,218
649,208
652,192
655,200
658,200
661,196
664,210
667,202
670,222
673,194
676,200
679,206
682,214
685,208
688,200
691,200
694,206
697,194
700,210
703,216
706,206
709,208
712,212
714,198
717,218
720,214
723,196
726,208
729,208
732,230
735,226
738,240
741,222
744,224
747,240
750,232
753,250
756,242
759,238
762,246
764,210
767,226
770,220
773,228
776,228
779,240
782,262
785,246
788,248
791,262
794,238
797,262
800,234
802,222
805,230
808,236
811,228
814,230
817,220
820,232
823,230
826,242
829,222
832,226
834,244
837,244
840,228
843,236
846,240
849,214
852,222
855,218
858,210
861,224
863,206
866,212
869,220
872,222
875,212
878,212
881,218
884,210
887,226
889,216
892,230
895,240
898,240
901,242
904,240
907,240
910,224
913,234
915,216
918,202
921,230
924,220
927,226
930,220
933,224
936,220
938,224
941,226
944,208
947,220
950,210
953,196
956,230
958,210
961,224
964,214
967,212
970,218
973,214
976,236
978,228
981,232
984,252
987,262
990,292
993,424
996,770
998,790
1001,490
1004,294
1007,282
1010,256
1013,244
1016,256
1018,250
1021,270
1024,332
1027,370
1030,370
1033,300
1035,288
1038,254
1041,238
1044,244
1047,238
1050,246
1052,232
1055,242
1058,240
1061,250
1064,232
1067,230
1069,246
1072,250
1075,238
1078,216
1081,248
1083,244
1086,238
1089,230
1092,234
1095,240
1098,220
1100,234
1103,240
1106,210
1109,212
1112,208
1114,216
1117,210
1120,208
1123,226
1126,222
1128,204
1131,216
1134,210
1137,236
1140,228
1142,222
1145,248
1148,252
1151,284
1154,280
1156,260
1159,246
1162,232
1165,252
1168,242
1170,244
1173,260
1176,294
1179,326
1181,288
1184,284
1187,274
1190,290
1193,282
1195,302
1198,316
1201,292
1204,298
1206,250
1209,254
1212,252
1215,238
1218,248
1220,236
1223,228
1226,240
1229,240
1231,240
1234,230
1237,210
1240,232
1242,220
1245,220
1248,224
1251,218
1253,220
1256,228
1259,224
1262,230
1265,222
1267,226
1270,232
1273,216
1276,226
1278,236
1281,230
1284,226
1287,236
1289,234
1292,222
1295,232
1298,242
1300,236
1303,222
1306,244
1308,230
1311,254
1314,248
1317,242
1319,250
1322,268
1325,244
1328,222
1330,238
1333,240
1336,220
1339,236
1341,234
1344,234
1347,226
1349,228
1352,212
1355,218
1358,230
1360,238
1363,238
1366,238
1368,218
1371,238
1374,212
1377,216
1379,210
1382,228
1385,210
1387,216
1390,212
1393,206
1396,210
1398,202
1401,210
1404,224
1406,230
1409,206
1412,210
1415,206
1417,204
1420,202
1423,198
1425,224
1428,234
1431,214
1433,224
1436,240
1439,234
1442,250
1444,256
1447,240
1450,280
1452,268
1455,238
1458,206
1460,202
1463,206
1466,216
1468,208
1471,220
1474,212
1476,208
1479,214
1482,202
1484,206
1487,206
1490,226
1493,222
1495,212
1498,220
1501,220
1503,228
1506,224
1509,234
1511,216
1514,210
1517,200
1519,226
1522,210
1525,214
1527,206
1530,216
1533,200
1535,202
1538,210
1540,214
1543,212
1546,218
1548,214
1551,226
1554,220
1556,222
1559,222
1562,212
1564,208
1567,230
1570,212
1572,230
1575,220
1578,244
1580,266
1583,310
1586,268
1588,240
1591,250
1593,262
1596,298
1599,358
1601,424
1604,404
1607,334
1609,290
1612,260
1615,242
1617,228
1620,222
1622,248
1625,208
1628,216
1630,226
1633,228
1636,226
1638,220
1641,206
1643,236
1646,210
1649,220
1651,224
1654,224
1657,208
1659,212
1662,226
1664,202
1667,212
1670,202
1672,208
1675,200
1677,216
1680,224
1683,228
1685,210
1688,206
1690,204
1693,218
1696,204
1698,212
1701,214
1703,212
1706,206
1709,208
1711,204
1714,210
1716,204
1719,208
1722,216
1724,206
1727,212
1729,210
1732,206
1735,212
1737,204
1740,214
1742,202
1745,212
1748,212
1750,192
1753,216
1755,208
1758,208
1760,216
1763,214
1766,202
1768,204
1771,206
1773,214
1776,220
1779,206
1781,210
1784,226
1786,204
1789,204
1791,214
1794,210
1797,206
1799,222
