PTFE,
cm^-1,Intensity
500,210
503,200
506,196
509,212
512,228
515,218
518,214
521,220
524,216
527,230
530,238
533,250
536,248
539,248
542,286
545,294
548,284
551,340
554,340
557,366
560,414
563,462
566,506
569,508
572,480
575,474
578,436
581,410
584,442
587,524
590,572
593,588
596,506
599,458
602,434
605,384
608,350
611,346
614,304
617,286
620,300
623,276
626,288
629,288
632,270
635,294
638,282
640,296
643,298
646,296
649,308
652,278
655,286
658,290
661,276
664,270
667,256
670,292
673,250
676,252
679,242
682,250
685,250
688,258
691,262
694,268
697,256
700,274
703,292
706,330
709,344
712,426
714,460
717,638
720,1014
723,2322
726,4668
729,4690
732,2162
735,986
738,746
741,646
744,536
747,422
750,342
753,308
756,274
759,258
762,270
764,232
767,236
770,230
773,224
776,206
779,214
782,204
785,206
788,210
791,200
794,208
797,206
800,200
802,198
805,214
808,208
811,216
814,204
817,216
820,208
823,208
826,204
829,214
832,214
834,218
837,226
840,176
843,212
846,204
849,202
852,212
855,196
858,210
861,206
863,194
866,216
869,212
872,200
875,196
878,194
881,210
884,182
887,210
889,204
892,204
895,208
898,206
901,208
904,218
907,208
910,214
913,210
915,218
918,222
921,200
924,214
927,204
930,212
933,202
936,210
938,206
941,204
944,198
947,198
950,222
953,200
956,200
958,214
961,206
964,196
967,208
970,182
973,226
976,206
978,208
981,208
984,200
987,208
990,202
993,176
996,208
998,220
1001,208
1004,214
1007,208
1010,212
1013,200
1016,196
1018,202
1021,218
1024,210
1027,208
1030,210
1033,212
1035,206
1038,216
1041,218
1044,224
1047,210
1050,214
1052,210
1055,220
1058,200
1061,216
1064,212
1067,200
1069,208
1072,214
1075,214
1078,220
1081,210
1083,196
1086,214
1089,212
1092,214
1095,208
1098,214
1100,220
1103,198
1106,200
1109,214
1112,206
1114,222
1117,198
1120,224
1123,206
1126,220
1128,218
1131,232
1134,220
1137,224
1140,230
1142,226
1145,230
1148,248
1151,228
1154,242
1156,238
1159,246
1162,230
1165,246
1168,226
1170,236
1173,244
1176,250
1179,262
1181,274
1184,282
1187,304
1190,322
1193,324
1195,342
1198,364
1201,420
1204,512
1206,548
1209,608
1212,652
1215,666
1218,664
1220,584
1223,518
1226,442
1229,398
1231,416
1234,322
1237,346
1240,318
1242,296
1245,288
1248,308
1251,282
1253,298
1256,284
1259,282
1262,300
1265,308
1267,308
1270,338
1273,344
1276,372
1278,382
1281,440
1284,526
1287,586
1289,736
1292,874
1295,962
1298,1032
1300,976
1303,836
1306,692
1308,544
1311,422
1314,390
1317,348
1319,336
1322,308
1325,306
1328,310
1330,304
1333,308
1336,314
1339,322
1341,310
1344,320
1347,326
1349,360
1352,350
1355,388
1358,398
1360,458
1363,512
1366,602
1368,760
1371,1070
1374,1694
1377,2510
1379,2870
1382,2322
1385,1444
1387,844
1390,584
1393,458
1396,398
1398,340
1401,340
1404,310
1406,284
1409,300
1412,260
1415,260
1417,250
1420,240
1423,232
1425,224
1428,246
1431,220
1433,216
1436,228
1439,216
1442,254
1444,230
1447,234
1450,244
1452,216
1455,212
1458,232
1460,230
1463,228
1466,226
1468,220
1471,230
1474,210
1476,224
1479,220
1482,204
1484,226
1487,216
1490,210
1493,222
1495,208
1498,204
1501,208
1503,210
1506,214
1509,206
1511,194
1514,198
1517,202
1519,200
1522,210
1525,196
1527,192
1530,196
1533,204
1535,192
1538,206
1540,210
1543,206
1546,216
1548,220
1551,218
1554,214
1556,188
1559,196
1562,204
1564,194
1567,202
1570,206
1572,196
1575,208
1578,176
1580,194
1583,216
1586,206
1588,198
1591,188
1593,202
1596,196
1599,210
1601,216
1604,202
1607,206
1609,190
1612,192
1615,200
1617,194
1620,222
1622,214
1625,196
1628,200
1630,202
1633,220
1636,224
1638,214
1641,216
1643,210
1646,206
1649,206
1651,196
1654,210
1657,204
1659,218
1662,202
1664,210
1667,204
1670,204
1672,196
1675,212
1677,210
1680,202
1683,198
1685,208
1688,194
1690,202
1693,218
1696,202
1698,206
1701,206
1703,200
1706,198
1709,212
1711,204
1714,192
1716,192
1719,200
1722,192
1724,216
1727,210
1729,210
1732,214
1735,208
1737,220
1740,210
1742,214
1745,208
1748,208
1750,210
1753,212
1755,192
1758,218
1760,222
1763,206
1766,214
1768,196
1771,230
1773,214
1776,214
1779,204
1781,218
1784,210
1786,218
1789,196
1791,216
1794,192
1797,208
1799,200
