PVC,
cm^-1,Intensity
500,224
503,240
506,238
509,258
512,230
515,232
518,228
521,218
524,234
527,230
530,224
533,230
536,222
539,214
542,222
545,234
548,224
551,238
554,228
557,234
560,230
563,214
566,226
569,238
572,228
575,236
578,210
581,230
584,214
587,240
590,234
593,240
596,226
599,236
602,260
605,268
608,284
611,282
614,276
617,310
620,258
623,272
626,292
629,294
632,286
635,300
638,286
640,302
643,272
646,266
649,258
652,248
655,252
658,248
661,242
664,222
667,210
670,248
673,230
676,244
679,238
682,266
685,278
688,264
691,270
694,262
697,272
700,250
703,256
706,254
709,262
712,246
714,250
717,238
720,218
723,214
726,234
729,198
732,210
735,206
738,210
741,208
744,202
747,216
750,208
753,228
756,192
759,212
762,210
764,210
767,212
770,206
773,194
776,194
779,208
782,194
785,210
788,206
791,206
794,204
797,222
800,210
802,210
805,218
808,218
811,200
814,212
817,214
820,210
823,216
826,214
829,216
832,222
834,224
837,242
840,226
843,212
846,228
849,228
852,230
855,226
858,224
861,228
863,240
866,228
869,214
872,222
875,224
878,218
881,224
884,214
887,222
889,210
892,222
895,218
898,214
901,214
904,198
907,208
910,210
913,196
915,216
918,200
921,228
924,200
927,206
930,230
933,208
936,216
938,222
941,234
944,214
947,218
950,218
953,226
956,214
958,238
961,214
964,222
967,220
970,220
973,228
976,206
978,202
981,204
984,212
987,208
990,218
993,198
996,204
998,196
1001,212
1004,200
1007,216
1010,214
1013,206
1016,224
1018,222
1021,216
1024,212
1027,204
1030,202
1033,226
1035,216
1038,220
1041,220
1044,202
1047,212
1050,208
1052,230
1055,210
1058,232
1061,224
1064,220
1067,224
1069,204
1072,202
1075,210
1078,236
1081,226
1083,200
1086,208
1089,210
1092,224
1095,218
1098,214
1100,210
1103,212
1106,222
1109,208
1112,222
1114,210
1117,218
1120,224
1123,218
1126,208
1128,204
1131,200
1134,196
1137,178
1140,214
1142,200
1145,200
1148,198
1151,210
1154,196
1156,212
1159,214
1162,220
1165,222
1168,222
1170,238
1173,218
1176,220
1179,230
1181,226
1184,212
1187,204
1190,210
1193,204
1195,216
1198,204
1201,206
1204,200
1206,204
1209,198
1212,202
1215,180
1218,186
1220,214
1223,192
1226,206
1229,192
1231,198
1234,202
1237,210
1240,212
1242,202
1245,206
1248,196
1251,212
1253,228
1256,228
1259,222
1262,210
1265,226
1267,200
1270,198
1273,218
1276,222
1278,210
1281,218
1284,212
1287,216
1289,214
1292,218
1295,234
1298,236
1300,228
1303,222
1306,230
1308,210
1311,214
1314,226
1317,224
1319,208
1322,228
1325,242
1328,226
1330,234
1333,222
1336,220
1339,236
1341,212
1344,214
1347,208
1349,216
1352,222
1355,218
1358,210
1360,216
1363,220
1366,206
1368,210
1371,224
1374,200
1377,226
1379,206
1382,220
1385,218
1387,196
1390,220
1393,210
1396,214
1398,206
1401,216
1404,194
1406,206
1409,198
1412,208
1415,224
1417,216
1420,214
1423,248
1425,250
1428,256
1431,256
1433,236
1436,256
1439,254
1442,248
1444,236
1447,236
1450,180
1452,194
1455,194
1458,190
1460,202
1463,204
1466,194
1468,206
1471,204
1474,204
1476,196
1479,188
1482,208
1484,204
1487,208
1490,200
1493,188
1495,210
1498,210
1501,208
1503,194
1506,186
1509,212
1511,202
1514,204
1517,206
1519,212
1522,208
1525,198
1527,212
1530,216
1533,212
1535,196
1538,198
1540,194
1543,208
1546,192
1548,202
1551,200
1554,218
1556,202
1559,194
1562,202
1564,196
1567,202
1570,208
1572,200
1575,212
1578,202
1580,204
1583,192
1586,214
1588,214
1591,208
1593,214
1596,200
1599,204
1601,214
1604,194
1607,206
1609,202
1612,218
1615,208
1617,200
1620,214
1622,192
1625,226
1628,220
1630,198
1633,204
1636,216
1638,208
1641,214
1643,208
1646,206
1649,204
1651,196
1654,226
1657,200
1659,202
1662,200
1664,192
1667,186
1670,204
1672,206
1675,222
1677,202
1680,196
1683,206
1685,214
1688,202
1690,202
1693,190
1696,212
1698,202
1701,206
1703,194
1706,198
1709,204
1711,208
1714,190
1716,210
1719,214
1722,208
1724,214
1727,208
1729,202
1732,188
1735,220
1737,198
1740,194
1742,204
1745,202
1748,198
1750,188
1753,212
1755,202
1758,202
1760,200
1763,202
1766,208
1768,202
1771,208
1773,212
1776,196
1779,194
1781,198
1784,194
1786,190
1789,198
1791,196
1794,190
1797,204
1799,200
