10_glucose_monohydrate_Analar_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186660
-358.5672754570978,186783
-355.77025989936726,186848
-352.97591591093277,186911
-350.18423885041375,186965
-347.3952240861159,186982
-344.60886699602463,186958
-341.82516296777254,186960
-339.0441073986201,187002
-336.2656956954402,186979
-333.48992327468994,187014
-330.7167855623894,186913
-327.9462779940995,186981
-325.17839601490897,186957
-322.4131350793979,186887
-319.65049065163294,186915
-316.89045820512644,186881
-314.1330332228362,186979
-311.3782111971333,186918
-308.6259876297756,186910
-305.8763580319037,186933
-303.1293179239997,186948
-300.38486283588077,186987
-297.64298830667076,186959
-294.903689884783,186938
-292.1669631279051,186953
-289.43280360295984,187027
-286.7012068861032,186980
-283.97216856270023,187012
-281.2456842272927,186942
-278.5217494835949,187000
-275.8003599444628,186992
-273.0815112318751,186940
-270.3651989769155,186968
-267.65141881975126,187023
-264.9401664096113,187015
-262.2314374047734,187019
-259.5252274725313,187048
-256.82153228918884,186992
-254.12034754002676,187048
-251.42166891929662,186993
-248.72549213018382,186982
-246.03181288480965,187045
-243.34062690418816,187021
-240.6519299182259,186990
-237.96571766568744,187088
-235.28198589419304,187098
-232.6007303601798,187108
-229.92194682889274,187030
-227.2456310743699,187046
-224.57177887940955,187026
-221.90038603556388,187052
-219.23144834311074,187029
-216.56496161104496,187068
-213.90092165704144,187092
-211.23932430745958,187109
-208.58016539730423,187066
-205.92344077021698,187031
-203.2691462784523,187098
-200.6172777828689,187142
-197.9678311528929,187132
-195.32080226651985,187163
-192.6761870102737,187136
-190.03398127921548,187186
-187.39418097689756,187125
-184.75678201536383,187040
-182.1217803151193,187104
-179.48917180512365,187109
-176.85895242276067,187143
-174.23111811382987,187138
-171.6056648325224,187086
-168.9825885414038,187087
-166.36188521139883,187141
-163.7435508217676,187160
-161.1275813600925,187147
-158.5139728222675,187160
-155.9027212124568,187158
-153.29382254310144,187206
-150.68727283489102,187123
-148.08306811674427,187130
