11_glucose_anhydrous_Merck_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,185531
-358.5672754570978,185610
-355.77025989936726,185796
-352.97591591093277,185828
-350.18423885041375,185915
-347.3952240861159,185921
-344.60886699602463,185876
-341.82516296777254,185945
-339.0441073986201,185888
-336.2656956954402,185920
-333.48992327468994,185906
-330.7167855623894,185864
-327.9462779940995,185880
-325.17839601490897,185864
-322.4131350793979,185835
-319.65049065163294,185812
-316.89045820512644,185858
-314.1330332228362,185885
-311.3782111971333,185825
-308.6259876297756,185850
-305.8763580319037,185828
-303.1293179239997,185891
-300.38486283588077,185849
-297.64298830667076,185812
-294.903689884783,185855
-292.1669631279051,185821
-289.43280360295984,185798
-286.7012068861032,185815
-283.97216856270023,185832
-281.2456842272927,185838
-278.5217494835949,185825
-275.8003599444628,185816
-273.0815112318751,185843
-270.3651989769155,185858
-267.65141881975126,185853
-264.9401664096113,185878
-262.2314374047734,185854
-259.5252274725313,185931
-256.82153228918884,185849
-254.12034754002676,185879
-251.42166891929662,185823
-248.72549213018382,185842
-246.03181288480965,185856
-243.34062690418816,185818
-240.6519299182259,185817
-237.96571766568744,185871
-235.28198589419304,185819
-232.6007303601798,185841
-229.92194682889274,185877
-227.2456310743699,185839
-224.57177887940955,185873
-221.90038603556388,185864
-219.23144834311074,185862
-216.56496161104496,185910
-213.90092165704144,185825
-211.23932430745958,185836
-208.58016539730423,185806
-205.92344077021698,185832
-203.2691462784523,185913
-200.6172777828689,185821
-197.9678311528929,185855
-195.32080226651985,185802
-192.6761870102737,185889
-190.03398127921548,185874
-187.39418097689756,185847
-184.75678201536383,185906
-182.1217803151193,185803
-179.48917180512365,185861
-176.85895242276067,185850
-174.23111811382987,185928
-171.6056648325224,185796
-168.9825885414038,185919
-166.36188521139883,185846
-163.7435508217676,185832
-161.1275813600925,185825
-158.5139728222675,185804
-155.9027212124568,185925
-153.29382254310144,185906
-150.68727283489102,185810
-148.08306811674427,185779
-145.48120442579815,185843
-142.88167780737976,185892
-140.28448431499964,185856
-137.68962001033026,185902
-135.09708096318215,185832
-132.50686325150164,185844
-129.9189629613319,185797
-127.33337618681942,185925
-124.7500990301728,185898
-122.16912760167152,185903
-119.59045801962237,185873
-117.01408641036403,185825
-114.44000890823217,185843
-111.86822165555957,185831
-109.29872080263922,185861
-106.73150250773517,185942
-104.16656293703048,185822
-101.60389826464238,185854
-99.04350467258762,185906
-96.4853783507651,185874
-93.92951549695586,185864
-91.37591231678189,185895
-88.82456502370832,185892
-86.27546983902167,185832
-83.72862299181041,185876
-81.18402071895193,185814
-78.641659265093,185895
-76.10153488263674,185879
-73.56364383172102,185892
-71.02798238021188,185875
-68.49454680367319,185878
-65.96333338536667,185831
-63.43433841622149,185891
-60.9075581948235,185850
-58.38298902740647,185949
-55.86062722782179,185875
-53.34046911753196,185845
-50.82251102559538,185910
-48.30674928864472,185819
-45.79318025087816,185863
-43.28180026403347,185854
-40.77260568738361,185824
-38.265592887712884,185843
-35.76075823930394,185930
-33.2580981239226,185908
-30.757608930802665,185841
-28.259287056628565,185771
-25.763128905524535,185838
-23.26913088903076,185879
-20.777289426094672,185793
-18.287600943053643,185830
-15.800061873619784,185891
-13.314668658862601,185836
-10.831417747200321,185857
-8.350305594373875,185926
-5.871328663444725,185812
-3.394483424768845,185797
-0.9197663559815452,185922
1.5528260580025335,185832
4.02329732502411,185826
6.491650945681434,185881
8.957890413351967,185867
11.422019214203226,185836
13.884040827203629,185928
16.343958724152845,185888
18.801776369677462,185858
21.257497221257008,185881
23.711124729236968,185839
26.16266233684177,185817
28.61211348018783,185867
31.059481588305207,185836
33.50477008314412,185819
35.94798237959015,185827
38.38912188548803,185849
40.82819200163954,185859
43.265196121833846,185876
45.70013763285398,185827
48.133019914492046,185867
50.5638463395644,185880
52.99262027392247,185855
55.419345076474464,185889
57.84402409919186,185880
60.26666068712459,185894
62.687258178416215,185882
65.10581990432779,185848
67.522349189227,185800
69.93684935063371,185893
72.34932369920696,185897
74.75977553877316,185871
77.16820816633472,185820
79.57462487208745,185861
81.97902893943356,185845
84.38142364498815,185850
86.78181225860519,185851
89.18019804338411,185790
91.5765842556763,185866
93.97097414511317,185824
96.36337095461286,185807
98.75377792039524,185883
101.14219827198632,185768
103.52863523224644,185838
105.91309201737246,185841
108.29557183691723,185723
110.67607789380044,185811
113.05461338431732,185836
115.43118149816029,185857
117.80578541843202,185895
120.17842832164972,185826
122.54911337776466,185788
124.91784375017302,185858
127.28462259573546,185877
129.64945306477702,185815
132.01233830111318,185804
134.37328144205426,185911
136.73228561842484,185849
139.08935395456598,185761
141.44448956836774,185800
143.79769557125834,185854
146.1489750682302,185767
148.49833115785282,185865
150.84576693228604,185806
153.191285477282,185861
155.5348898722112,185814
157.87658319007124,185804
160.21636849749328,185834
162.55424885475938,185912
164.89022731581764,185846
167.22430692828888,185831
169.55649073348158,185880
171.88678176640724,185803
174.2151830557868,185855
176.541697624068,185858
178.86632848743622,185859
181.1890786558275,185764
183.50995113293294,185842
185.82894891622453,185810
188.14607499695757,185779
190.46133236019,185862
192.77472398478028,185802
195.0862528434221,185820
197.39592190262928,185832
199.7037341227746,185822
202.00969245808562,185824
204.31379985665336,185783
206.61605926045826,185818
208.91647360537667,185833
211.21504582118305,185873
213.51177883157823,185871
215.8066755541849,185841
218.09973890057378,185777
220.39097177626363,185805
222.6803770807406,185835
224.96795770746712,185852
227.25371654389036,185861
229.53765647146196,185740
231.81978036564652,185785
234.10009109591954,185878
236.37859152580424,185789
238.65528451286502,185799
240.93017290871848,185815
243.20325955905915,185899
245.47454730365104,185765
247.74403897635798,185843
250.0117374051392,185745
252.27764541207966,185793
254.54176581337717,185854
256.8041014193705,185863
259.06465503454814,185807
261.32342945755454,185860
263.5804274812056,185803
265.83565189250163,185796
268.08910547262496,185772
270.34079099697277,185882
272.59071123515247,185772
274.83886895099266,185867
277.0852669025671,185840
279.329907842186,185774
281.5727945164261,185877
283.8139296661309,185791
286.0533160264217,185793
288.2909563267167,185805
290.5268532907269,185843
292.76100963648423,185828
294.99342807633514,185850
297.2241113169665,185828
299.45306205941216,185827
301.68028299905075,185814
303.9057768256361,185844
306.1295462232971,185827
308.3515938705466,185757
310.5719224402942,185783
312.79053459986596,185870
315.0074330109955,185823
317.2226203298524,185813
319.4360992070464,185825
321.647872287634,185835
323.85794221113366,185784
326.0663116115363,185834
328.27298311731033,185834
330.477959351416,185863
332.6812429313214,185814
334.8828364690016,185760
337.08274257095246,185857
339.28096383820537,185813
341.47750286633163,185883
343.67236224546207,185791
345.8655445602848,185884
348.05705239006033,185837
350.24688830863477,185763
352.43505488444845,185834
354.62155468054004,185822
356.80639025456856,185835
358.9895641588131,185884
361.1710789401838,185837
363.3509371402349,185893
365.5291412951755,185861
367.70569393587823,185821
369.8805975878858,185835
372.05385477142835,185840
374.2254680014212,185860
376.3954397874845,185824
378.56377263395825,185809
380.7304690398917,185828
382.89553149907334,185849
385.05896250003343,185805
387.2207645260438,185883
389.38094005515256,185850
391.53949156016256,185840
393.6964215086637,185809
395.85173236303524,185915
398.0054265804501,185905
400.1575066128987,185907
402.3079749071803,185854
404.45683390492263,185858
406.60408604259675,185824
408.74973375151086,185788
410.8937794578384,185825
413.03622558260497,185861
415.17707454172097,185860
417.3163287459771,185869
419.4539906010597,185838
421.5900625075442,185830
423.7245468609362,185894
425.85744605165,185773
427.9887624650323,185873
430.11849848136876,185841
432.24665647589256,185849
434.3732388187955,185824
436.4982478752364,185883
438.6216860053477,185864
440.7435555642465,185815
442.86385890204275,185780
444.98259836385284,185871
447.0997762897992,185864
449.2153950150322,185812
451.32945686972334,185824
453.4419641790853,185846
455.55291926338646,185899
457.6623244379385,185772
459.7701820131263,185867
461.87649429440614,185868
463.9812635823205,185883
466.0844921724962,185847
468.18618235567027,185842
470.28633641768135,185865
472.38495663948913,185912
474.4820452971766,185848
476.57760466196953,185906
478.67163700022985,185891
480.76414457347977,185876
482.85512963839284,185853
484.94459444682224,185906
487.0325412457922,185884
489.1189722775217,185845
491.20388977942025,185953
493.2872959840986,185895
495.3691931193884,185900
497.4495834083378,185917
499.5284690692244,185905
501.6058523155619,185869
503.6817353561173,185842
505.7561203949067,185967
507.8290096312125,185876
509.90040525958347,185935
511.9703094698543,185911
514.0387244471499,185820
516.1056523718833,185962
518.1710954197771,185906
520.2350557618681,185905
522.297535564516,185894
524.3585369894051,185891
526.4180621935601,185902
528.4761133293498,185857
530.532692544505,185926
532.5878019821076,185929
534.6414437806184,185913
536.6936200738706,185875
538.7443329910902,185844
540.7935846568927,185859
542.8413771912986,185925
544.8877127097385,185869
546.9325933230668,185934
548.9760211375527,185931
551.0179982549154,185884
553.0585267723011,185959
555.0976087823198,185981
557.1352463730342,185940
559.1714416279709,185945
561.2061966261354,185917
563.2395134420138,185891
565.2713941455825,185915
567.3018408023137,185990
569.3308554731891,185905
571.3584402147017,185978
573.38459707886,185932
575.4093281132104,185933
577.4326353608323,185931
579.4545208603463,185945
581.4749866459327,186024
583.49403474732,186012
585.5116671898151,185994
587.5278859942948,185976
589.5426931772172,186005
591.5560907506315,186030
593.5680807221872,186000
595.5786650951346,185968
597.5878458683434,186047
599.5956250362945,186023
601.602004589104,185954
603.6069865125183,186099
605.6105727879346,186119
607.6127653923888,186031
609.6135662985803,186077
611.612977474878,186015
613.6110008853166,186037
615.607638489613,186170
617.6028922431692,186147
