12_trehalose_dihydrate_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187851
-358.5672754570978,188078
-355.77025989936726,188176
-352.97591591093277,188290
-350.18423885041375,188306
-347.3952240861159,188411
-344.60886699602463,188306
-341.82516296777254,188362
-339.0441073986201,188344
-336.2656956954402,188273
-333.48992327468994,188345
-330.7167855623894,188378
-327.9462779940995,188300
-325.17839601490897,188354
-322.4131350793979,188364
-319.65049065163294,188368
-316.89045820512644,188414
-314.1330332228362,188403
-311.3782111971333,188472
-308.6259876297756,188437
-305.8763580319037,188342
-303.1293179239997,188428
-300.38486283588077,188347
-297.64298830667076,188377
-294.903689884783,188547
-292.1669631279051,188540
-289.43280360295984,188586
-286.7012068861032,188623
-283.97216856270023,188551
-281.2456842272927,188624
-278.5217494835949,188618
-275.8003599444628,188605
-273.0815112318751,188676
-270.3651989769155,188662
-267.65141881975126,188696
-264.9401664096113,188690
-262.2314374047734,188757
-259.5252274725313,188698
-256.82153228918884,188774
-254.12034754002676,188759
-251.42166891929662,188719
-248.72549213018382,188755
-246.03181288480965,188779
-243.34062690418816,188800
-240.6519299182259,188885
-237.96571766568744,188867
-235.28198589419304,188888
-232.6007303601798,188819
-229.92194682889274,188786
-227.2456310743699,188873
-224.57177887940955,188931
-221.90038603556388,188889
-219.23144834311074,188866
-216.56496161104496,188947
-213.90092165704144,188965
-211.23932430745958,188910
-208.58016539730423,188968
-205.92344077021698,188916
-203.2691462784523,189009
-200.6172777828689,188979
-197.9678311528929,189061
-195.32080226651985,189140
-192.6761870102737,189108
-190.03398127921548,189119
-187.39418097689756,189105
-184.75678201536383,189148
-182.1217803151193,189142
-179.48917180512365,189149
-176.85895242276067,189176
-174.23111811382987,189136
-171.6056648325224,189176
-168.9825885414038,189119
-166.36188521139883,189182
-163.7435508217676,189183
-161.1275813600925,189187
-158.5139728222675,189189
-155.9027212124568,189206
-153.29382254310144,189239
-150.68727283489102,189298
-148.08306811674427,189233
-145.48120442579815,189201
-142.88167780737976,189253
-140.28448431499964,189283
-137.68962001033026,189294
-135.09708096318215,189291
-132.50686325150164,189349
-129.9189629613319,189318
-127.33337618681942,189264
-124.7500990301728,189416
-122.16912760167152,189382
-119.59045801962237,189301
-117.01408641036403,189332
-114.44000890823217,189357
-111.86822165555957,189384
-109.29872080263922,189400
-106.73150250773517,189466
-104.16656293703048,189432
-101.60389826464238,189390
-99.04350467258762,189481
-96.4853783507651,189435
-93.92951549695586,189460
-91.37591231678189,189464
-88.82456502370832,189490
-86.27546983902167,189480
-83.72862299181041,189497
-81.18402071895193,189538
-78.641659265093,189513
-76.10153488263674,189498
-73.56364383172102,189498
-71.02798238021188,189577
-68.49454680367319,189464
-65.96333338536667,189533
-63.43433841622149,189503
-60.9075581948235,189525
-58.38298902740647,189506
-55.86062722782179,189562
-53.34046911753196,189467
-50.82251102559538,189539
-48.30674928864472,189633
-45.79318025087816,189645
-43.28180026403347,189597
-40.77260568738361,189642
-38.265592887712884,189572
-35.76075823930394,189738
-33.2580981239226,189636
-30.757608930802665,189611
-28.259287056628565,189529
-25.763128905524535,189633
-23.26913088903076,189760
-20.777289426094672,189663
-18.287600943053643,189670
-15.800061873619784,189680
-13.314668658862601,189745
-10.831417747200321,189761
-8.350305594373875,189697
-5.871328663444725,189707
-3.394483424768845,189647
-0.9197663559815452,189682
1.5528260580025335,189700
4.02329732502411,189683
6.491650945681434,189729
8.957890413351967,189730
11.422019214203226,189784
13.884040827203629,189725
16.343958724152845,189768
18.801776369677462,189731
21.257497221257008,189727
23.711124729236968,189714
26.16266233684177,189756
28.61211348018783,189857
31.059481588305207,189785
33.50477008314412,189805
