13_carrageenan_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,209009
-358.5672754570978,209341
-355.77025989936726,209717
-352.97591591093277,210082
-350.18423885041375,210426
-347.3952240861159,210665
-344.60886699602463,210942
-341.82516296777254,211172
-339.0441073986201,211283
-336.2656956954402,211466
-333.48992327468994,211817
-330.7167855623894,211995
-327.9462779940995,212301
-325.17839601490897,212476
-322.4131350793979,212798
-319.65049065163294,213258
-316.89045820512644,213337
-314.1330332228362,213629
-311.3782111971333,213938
-308.6259876297756,213974
-305.8763580319037,214111
-303.1293179239997,214216
-300.38486283588077,214682
-297.64298830667076,214792
-294.903689884783,215366
-292.1669631279051,215407
-289.43280360295984,216046
-286.7012068861032,216268
-283.97216856270023,216582
-281.2456842272927,216736
-278.5217494835949,217072
-275.8003599444628,217128
-273.0815112318751,217420
-270.3651989769155,217762
-267.65141881975126,218117
-264.9401664096113,218470
-262.2314374047734,218652
-259.5252274725313,218874
-256.82153228918884,218934
-254.12034754002676,219341
-251.42166891929662,219659
-248.72549213018382,219817
-246.03181288480965,220072
-243.34062690418816,220431
-240.6519299182259,220783
-237.96571766568744,221120
-235.28198589419304,221190
-232.6007303601798,221508
-229.92194682889274,221906
-227.2456310743699,222215
-224.57177887940955,222469
-221.90038603556388,222868
-219.23144834311074,223106
-216.56496161104496,223260
-213.90092165704144,223425
-211.23932430745958,223714
-208.58016539730423,224056
-205.92344077021698,224358
-203.2691462784523,224775
-200.6172777828689,225019
-197.9678311528929,225308
-195.32080226651985,225669
-192.6761870102737,226036
-190.03398127921548,226334
-187.39418097689756,226660
-184.75678201536383,226696
-182.1217803151193,227036
-179.48917180512365,227194
-176.85895242276067,227496
-174.23111811382987,227819
-171.6056648325224,228034
-168.9825885414038,228303
-166.36188521139883,228688
-163.7435508217676,228934
-161.1275813600925,229266
-158.5139728222675,229468
-155.9027212124568,229814
-153.29382254310144,229839
-150.68727283489102,230318
-148.08306811674427,230580
-145.48120442579815,230743
-142.88167780737976,231103
-140.28448431499964,231719
-137.68962001033026,231816
-135.09708096318215,231912
-132.50686325150164,232313
-129.9189629613319,232540
-127.33337618681942,232662
-124.7500990301728,232918
-122.16912760167152,233502
-119.59045801962237,233559
-117.01408641036403,234126
-114.44000890823217,234326
-111.86822165555957,234528
-109.29872080263922,234680
-106.73150250773517,235032
-104.16656293703048,235095
-101.60389826464238,235453
-99.04350467258762,235690
-96.4853783507651,236010
-93.92951549695586,236280
-91.37591231678189,236304
-88.82456502370832,236576
-86.27546983902167,237136
-83.72862299181041,237567
-81.18402071895193,237557
-78.641659265093,237895
-76.10153488263674,238187
-73.56364383172102,238442
-71.02798238021188,238876
-68.49454680367319,239105
-65.96333338536667,239183
-63.43433841622149,239177
-60.9075581948235,239580
-58.38298902740647,239899
-55.86062722782179,240043
-53.34046911753196,240221
-50.82251102559538,240780
-48.30674928864472,241003
-45.79318025087816,241219
-43.28180026403347,241331
-40.77260568738361,241552
-38.265592887712884,241825
-35.76075823930394,241902
-33.2580981239226,242413
-30.757608930802665,242560
-28.259287056628565,242608
-25.763128905524535,243029
-23.26913088903076,243239
-20.777289426094672,243463
-18.287600943053643,243713
-15.800061873619784,243507
-13.314668658862601,243827
-10.831417747200321,244114
-8.350305594373875,244252
-5.871328663444725,244598
-3.394483424768845,244746
-0.9197663559815452,244810
1.5528260580025335,245065
4.02329732502411,245281
6.491650945681434,245506
8.957890413351967,245669
11.422019214203226,246003
13.884040827203629,246492
16.343958724152845,246672
18.801776369677462,246657
21.257497221257008,246983
23.711124729236968,247068
26.16266233684177,247280
28.61211348018783,247522
31.059481588305207,247622
33.50477008314412,247888
35.94798237959015,248029
38.38912188548803,247941
40.82819200163954,248168
43.265196121833846,248278
45.70013763285398,248338
48.133019914492046,248535
50.5638463395644,248786
52.99262027392247,249168
55.419345076474464,249230
57.84402409919186,249520
60.26666068712459,249554
62.687258178416215,249848
65.10581990432779,250054
67.522349189227,250545
69.93684935063371,250575
72.34932369920696,250577
74.75977553877316,251014
77.16820816633472,251197
79.57462487208745,250977
81.97902893943356,251356
84.38142364498815,251500
86.78181225860519,251725
89.18019804338411,251939
91.5765842556763,252054
93.97097414511317,252128
96.36337095461286,252408
98.75377792039524,252415
101.14219827198632,252235
103.52863523224644,252410
105.91309201737246,252765
108.29557183691723,252854
110.67607789380044,253251
113.05461338431732,253475
115.43118149816029,253578
117.80578541843202,253733
120.17842832164972,254099
122.54911337776466,254253
124.91784375017302,254494
127.28462259573546,254793
129.64945306477702,254956
132.01233830111318,254863
134.37328144205426,255194
136.73228561842484,255372
139.08935395456598,255667
141.44448956836774,255856
143.79769557125834,256123
146.1489750682302,256435
148.49833115785282,256156
150.84576693228604,256642
153.191285477282,256290
155.5348898722112,256733
157.87658319007124,256908
160.21636849749328,256658
162.55424885475938,257221
164.89022731581764,257559
167.22430692828888,257674
169.55649073348158,257987
171.88678176640724,257732
174.2151830557868,257974
176.541697624068,258133
178.86632848743622,258374
181.1890786558275,258550
183.50995113293294,258697
185.82894891622453,258476
188.14607499695757,258837
190.46133236019,258826
192.77472398478028,259268
195.0862528434221,259765
197.39592190262928,259917
199.7037341227746,260108
202.00969245808562,260036
204.31379985665336,260260
206.61605926045826,260368
208.91647360537667,260600
211.21504582118305,260709
213.51177883157823,260738
215.8066755541849,261107
218.09973890057378,261162
220.39097177626363,261261
222.6803770807406,261374
224.96795770746712,261676
227.25371654389036,262051
229.53765647146196,261870
231.81978036564652,262112
234.10009109591954,262004
236.37859152580424,262338
238.65528451286502,262635
240.93017290871848,262810
243.20325955905915,263208
245.47454730365104,263634
247.74403897635798,263822
250.0117374051392,264033
252.27764541207966,263918
254.54176581337717,264346
256.8041014193705,264474
259.06465503454814,264715
261.32342945755454,264614
263.5804274812056,264814
265.83565189250163,264906
268.08910547262496,265207
270.34079099697277,265446
272.59071123515247,265617
274.83886895099266,265748
277.0852669025671,266121
279.329907842186,265668
281.5727945164261,265754
283.8139296661309,266019
286.0533160264217,266104
288.2909563267167,266558
290.5268532907269,266913
292.76100963648423,267038
294.99342807633514,267226
297.2241113169665,267556
299.45306205941216,267581
301.68028299905075,267960
303.9057768256361,268217
306.1295462232971,268383
308.3515938705466,268570
310.5719224402942,268556
312.79053459986596,268845
315.0074330109955,268992
317.2226203298524,269112
319.4360992070464,269144
321.647872287634,269781
323.85794221113366,269743
326.0663116115363,269486
328.27298311731033,269849
330.477959351416,270006
332.6812429313214,270242
334.8828364690016,270106
337.08274257095246,270408
339.28096383820537,270673
341.47750286633163,271188
343.67236224546207,271355
345.8655445602848,271725
348.05705239006033,271642
350.24688830863477,271826
352.43505488444845,271993
354.62155468054004,272413
356.80639025456856,272642
358.9895641588131,272659
361.1710789401838,273042
363.3509371402349,273344
365.5291412951755,273739
367.70569393587823,273483
369.8805975878858,273799
372.05385477142835,274001
374.2254680014212,274157
376.3954397874845,274583
378.56377263395825,274366
380.7304690398917,274305
382.89553149907334,274297
385.05896250003343,274879
387.2207645260438,274977
389.38094005515256,275156
391.53949156016256,274884
393.6964215086637,275153
395.85173236303524,275533
398.0054265804501,275405
400.1575066128987,275723
402.3079749071803,275836
404.45683390492263,276107
406.60408604259675,276131
408.74973375151086,276790
410.8937794578384,277353
413.03622558260497,277563
415.17707454172097,277625
417.3163287459771,277957
