14_celullose_acetate_trimellitate_Acros_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,190396
-357.0856406039081,190633
-354.309364219462,190837
-351.5356215502653,191048
-348.7644077355815,191116
-345.9957179299897,191209
-343.22954730333896,191239
-340.4658910406981,191328
-337.70474434230425,191296
-334.9461024235167,191276
-332.189960514772,191333
-329.43631386151816,191446
-326.68515772419585,191451
-323.9364873781599,191485
-321.1902981136469,191605
-318.44658523572315,191665
-315.70534406423707,191959
-312.9665699337777,191892
-310.23025819361436,191926
-307.4964042076552,191925
-304.76500335440596,191912
-302.0360510269139,191797
-299.3095426327198,191883
-296.5854735938233,191870
-293.8638393466223,192045
-291.1446353418695,192241
-288.4278570446336,192303
-285.7134999342402,192358
-283.00155950423783,192411
-280.29203126234745,192477
-277.5849107304064,192538
-274.8801934443403,192514
-272.17787495410414,192465
-269.47795082363916,192682
-266.7804166308339,192745
-264.0852679674653,192854
-261.39250043917104,193011
-258.7021096653883,192945
-256.01409127931714,192922
-253.32844092787508,192915
-250.6451542716513,192992
-247.96422698485912,193038
-245.2856547552969,193198
-242.60943328430034,193242
-239.93555828669696,193298
-237.2640254907671,193348
-234.59483063819394,193332
-231.9279694840224,193312
-229.26343779661792,193439
-226.6012313576187,193541
-223.94134596189028,193644
-221.28377741748852,193682
-218.6285215456164,193707
-215.97557418057178,193599
-213.32493116971293,193751
-210.67658837341284,193837
-208.03054166502022,193881
-205.38678693080317,193890
-202.74532006992743,193997
-200.1061369944,193974
-197.46923362902587,194030
-194.83460591137322,194174
-192.20224979173008,194080
-189.57216123305452,194147
-186.94433621094632,194193
-184.31877071358858,194335
-181.6954607417238,194381
-179.07440230859746,194344
-176.4555914399255,194465
-173.83902417384897,194555
-171.22469656089683,194616
-168.61260466393855,194675
-166.00274455814923,194596
-163.39511233096636,194751
-160.78970408205063,194752
-158.1865159232406,194720
-155.5855439785178,194833
-152.9867843839657,194902
-150.39023328772186,194853
-147.79588684995204,194895
-145.20374124279587,195041
-142.61379265033662,195028
-140.02603726855122,195111
-137.44047130528642,195145
-134.85709098020465,195264
-132.2758925247471,195289
-129.69687218210768,195156
-127.12002620716804,195334
-124.54535086648235,195289
-121.97284243822956,195328
-119.4024972121701,195458
-116.83431148961547,195376
-114.26828158338274,195553
-111.70440381775333,195594
-109.14267452844916,195604
-106.58309006257842,195542
-104.0256467786031,195674
-101.47034104630426,195711
-98.91716924673426,195603
-96.36612777218873,195670
-93.81721302616957,195621
-91.2704214233351,195772
-88.72574938947191,195796
-86.18319336145801,195833
-83.64274978721505,195875
-81.10441512568885,195886
-78.56818584679087,196070
-76.03405843137865,196080
-73.50202937120818,196105
-70.97209516889694,195978
-68.44425233790228,196016
-65.91849740245851,196128
-63.39482689756392,196124
-60.87323736892434,196061
-58.353725372944574,196169
-55.836287476650206,196160
-53.320920257696365,196255
-50.80762030429831,196338
-48.296384215211916,196444
-45.787208599690295,196296
-43.28009007745345,196271
-40.775025278644904,196331
-38.272010843805674,196396
-35.77104342382875,196484
-33.27211967993522,196463
-30.775236283622256,196495
-28.280389916643564,196529
-25.787577270966043,196630
-23.29679504873509,196604
-20.808039962242045,196499
-18.321308733889545,196671
-15.836598096148103,196633
-13.353904791536635,196605
-10.87322557257256,196733
-8.39455720174579,196651
-5.917896451481871,196810
-3.4432401041072787,196799
-0.9705849518147278,196863
1.5000722033671823,196819
3.968734549617339,196816
6.4354052653481375,196970
8.900087519238005,196804
11.362784470272599,196867
13.823499267777342,196875
16.282235051447767,197055
18.738994951382047,197064
21.19378208811787,196934
23.64659957266712,197137
26.097450506548398,197128
28.5463379818174,197002
30.99326508110376,197151
33.438234877637086,197125
35.88125043529466,197272
38.322314808616596,197163
40.76143104285793,197195
43.198602173999404,197223
45.63383122880172,197187
48.06712122482288,197313
50.49847517045718,197309
52.927896064967804,197300
55.355386898519285,197270
57.78095065220789,197401
60.20459029809416,197479
62.6263087992354,197448
65.0461091097226,197328
67.46399417470201,197452
69.87996693042084,197620
72.29403030424011,197561
74.70618721468463,197617
