15_celullose_acetate_phthalate_Fluka_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,188844
-357.0856406039081,189036
-354.309364219462,189239
-351.5356215502653,189400
-348.7644077355815,189486
-345.9957179299897,189603
-343.22954730333896,189629
-340.4658910406981,189580
-337.70474434230425,189579
-334.9461024235167,189493
-332.189960514772,189475
-329.43631386151816,189661
-326.68515772419585,189542
-323.9364873781599,189665
-321.1902981136469,189665
-318.44658523572315,189909
-315.70534406423707,189960
-312.9665699337777,189933
-310.23025819361436,190084
-307.4964042076552,189900
-304.76500335440596,189951
-302.0360510269139,189910
-299.3095426327198,189878
-296.5854735938233,189862
-293.8638393466223,190075
-291.1446353418695,190149
-288.4278570446336,190115
-285.7134999342402,190221
-283.00155950423783,190335
-280.29203126234745,190317
-277.5849107304064,190396
-274.8801934443403,190355
-272.17787495410414,190388
-269.47795082363916,190516
-266.7804166308339,190564
-264.0852679674653,190629
-261.39250043917104,190674
-258.7021096653883,190782
-256.01409127931714,190724
-253.32844092787508,190640
-250.6451542716513,190623
-247.96422698485912,190712
-245.2856547552969,190824
-242.60943328430034,190899
-239.93555828669696,190850
-237.2640254907671,190987
-234.59483063819394,190892
-231.9279694840224,190879
-229.26343779661792,190997
-226.6012313576187,191008
-223.94134596189028,191089
-221.28377741748852,191200
-218.6285215456164,191256
-215.97557418057178,191182
-213.32493116971293,191163
-210.67658837341284,191306
-208.03054166502022,191353
-205.38678693080317,191386
-202.74532006992743,191372
-200.1061369944,191406
-197.46923362902587,191498
-194.83460591137322,191544
-192.20224979173008,191460
-189.57216123305452,191623
-186.94433621094632,191615
-184.31877071358858,191607
-181.6954607417238,191678
-179.07440230859746,191819
-176.4555914399255,191765
-173.83902417384897,191713
-171.22469656089683,191778
-168.61260466393855,191853
-166.00274455814923,191832
-163.39511233096636,191803
-160.78970408205063,191885
-158.1865159232406,191973
-155.5855439785178,192034
-152.9867843839657,192007
-150.39023328772186,192110
-147.79588684995204,192104
-145.20374124279587,192195
-142.61379265033662,192035
-140.02603726855122,192194
-137.44047130528642,192119
-134.85709098020465,192171
-132.2758925247471,192221
-129.69687218210768,192281
-127.12002620716804,192253
-124.54535086648235,192401
-121.97284243822956,192362
-119.4024972121701,192301
-116.83431148961547,192508
-114.26828158338274,192588
-111.70440381775333,192429
-109.14267452844916,192353
-106.58309006257842,192478
-104.0256467786031,192504
