16_hydroxypropyl_methylcellulose_DOW_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,190304
-357.0856406039081,190587
-354.309364219462,190699
-351.5356215502653,190960
-348.7644077355815,191043
-345.9957179299897,191103
-343.22954730333896,191194
-340.4658910406981,191240
-337.70474434230425,191234
-334.9461024235167,191180
-332.189960514772,191277
-329.43631386151816,191307
-326.68515772419585,191237
-323.9364873781599,191284
-321.1902981136469,191481
-318.44658523572315,191562
-315.70534406423707,191725
-312.9665699337777,191752
-310.23025819361436,191833
-307.4964042076552,191842
-304.76500335440596,191855
-302.0360510269139,191829
-299.3095426327198,191787
-296.5854735938233,191844
-293.8638393466223,192014
-291.1446353418695,192100
-288.4278570446336,192199
-285.7134999342402,192249
-283.00155950423783,192327
-280.29203126234745,192390
-277.5849107304064,192387
-274.8801934443403,192379
-272.17787495410414,192473
-269.47795082363916,192615
-266.7804166308339,192726
-264.0852679674653,192635
-261.39250043917104,192809
-258.7021096653883,192795
-256.01409127931714,192837
-253.32844092787508,192764
-250.6451542716513,192817
-247.96422698485912,192894
-245.2856547552969,193085
-242.60943328430034,193093
-239.93555828669696,193107
-237.2640254907671,193244
-234.59483063819394,193230
-231.9279694840224,193223
-229.26343779661792,193244
-226.6012313576187,193329
-223.94134596189028,193537
-221.28377741748852,193680
-218.6285215456164,193575
-215.97557418057178,193607
-213.32493116971293,193562
-210.67658837341284,193685
-208.03054166502022,193769
-205.38678693080317,193695
-202.74532006992743,193716
-200.1061369944,193842
-197.46923362902587,193987
-194.83460591137322,193989
-192.20224979173008,194083
-189.57216123305452,194076
-186.94433621094632,194255
-184.31877071358858,194242
-181.6954607417238,194270
-179.07440230859746,194263
-176.4555914399255,194378
-173.83902417384897,194306
-171.22469656089683,194382
-168.61260466393855,194490
-166.00274455814923,194561
-163.39511233096636,194564
-160.78970408205063,194538
-158.1865159232406,194521
-155.5855439785178,194643
-152.9867843839657,194715
-150.39023328772186,194784
-147.79588684995204,194973
-145.20374124279587,194853
-142.61379265033662,194856
-140.02603726855122,194936
-137.44047130528642,195011
-134.85709098020465,195087
-132.2758925247471,195103
-129.69687218210768,195064
-127.12002620716804,195172
-124.54535086648235,195066
-121.97284243822956,195255
-119.4024972121701,195323
-116.83431148961547,195318
-114.26828158338274,195494
-111.70440381775333,195459
-109.14267452844916,195409
-106.58309006257842,195357
-104.0256467786031,195505
-101.47034104630426,195568
-98.91716924673426,195463
-96.36612777218873,195537
-93.81721302616957,195596
-91.2704214233351,195669
-88.72574938947191,195713
-86.18319336145801,195778
-83.64274978721505,195741
-81.10441512568885,195876
