17_methylcellulose_ABM_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187354
-358.5672754570978,187453
-355.77025989936726,187486
-352.97591591093277,187631
-350.18423885041375,187683
-347.3952240861159,187769
-344.60886699602463,187784
-341.82516296777254,187805
-339.0441073986201,187778
-336.2656956954402,187742
-333.48992327468994,187771
-330.7167855623894,187756
-327.9462779940995,187715
-325.17839601490897,187816
-322.4131350793979,187777
-319.65049065163294,187864
-316.89045820512644,187861
-314.1330332228362,187844
-311.3782111971333,187815
-308.6259876297756,187844
-305.8763580319037,187874
-303.1293179239997,187903
-300.38486283588077,187839
-297.64298830667076,187868
-294.903689884783,187941
-292.1669631279051,187900
-289.43280360295984,187990
-286.7012068861032,188041
-283.97216856270023,188054
-281.2456842272927,188060
-278.5217494835949,188110
-275.8003599444628,188082
-273.0815112318751,188041
-270.3651989769155,188105
-267.65141881975126,188108
-264.9401664096113,188119
-262.2314374047734,188057
-259.5252274725313,188216
-256.82153228918884,188180
-254.12034754002676,188127
-251.42166891929662,188087
-248.72549213018382,188152
-246.03181288480965,188257
-243.34062690418816,188225
-240.6519299182259,188223
-237.96571766568744,188346
-235.28198589419304,188303
-232.6007303601798,188327
-229.92194682889274,188263
-227.2456310743699,188280
-224.57177887940955,188389
-221.90038603556388,188365
-219.23144834311074,188395
-216.56496161104496,188353
-213.90092165704144,188372
-211.23932430745958,188398
-208.58016539730423,188415
-205.92344077021698,188477
-203.2691462784523,188427
-200.6172777828689,188453
-197.9678311528929,188469
-195.32080226651985,188577
-192.6761870102737,188493
-190.03398127921548,188554
-187.39418097689756,188587
-184.75678201536383,188619
-182.1217803151193,188569
-179.48917180512365,188588
-176.85895242276067,188632
-174.23111811382987,188658
-171.6056648325224,188621
-168.9825885414038,188659
-166.36188521139883,188690
-163.7435508217676,188751
-161.1275813600925,188764
-158.5139728222675,188725
-155.9027212124568,188748
-153.29382254310144,188823
-150.68727283489102,188732
-148.08306811674427,188737
-145.48120442579815,188832
-142.88167780737976,188866
-140.28448431499964,188812
-137.68962001033026,188846
-135.09708096318215,188888
-132.50686325150164,188931
-129.9189629613319,188826
-127.33337618681942,188917
-124.7500990301728,189006
-122.16912760167152,188951
-119.59045801962237,188901
-117.01408641036403,189030
-114.44000890823217,189009
-111.86822165555957,188964
-109.29872080263922,189043
-106.73150250773517,189052
-104.16656293703048,189010
-101.60389826464238,189075
-99.04350467258762,189055
-96.4853783507651,189113
-93.92951549695586,189107
-91.37591231678189,189068
-88.82456502370832,189056
-86.27546983902167,189136
-83.72862299181041,189118
-81.18402071895193,189217
-78.641659265093,189200
-76.10153488263674,189207
-73.56364383172102,189233
-71.02798238021188,189237
-68.49454680367319,189347
-65.96333338536667,189198
-63.43433841622149,189194
-60.9075581948235,189317
-58.38298902740647,189204
-55.86062722782179,189342
-53.34046911753196,189304
-50.82251102559538,189368
-48.30674928864472,189366
-45.79318025087816,189376
-43.28180026403347,189297
-40.77260568738361,189356
-38.265592887712884,189398
-35.76075823930394,189395
-33.2580981239226,189463
-30.757608930802665,189417
-28.259287056628565,189441
-25.763128905524535,189414
-23.26913088903076,189458
-20.777289426094672,189409
-18.287600943053643,189493
-15.800061873619784,189459
-13.314668658862601,189400
-10.831417747200321,189492
-8.350305594373875,189487
-5.871328663444725,189518
-3.394483424768845,189512
-0.9197663559815452,189540
1.5528260580025335,189464
4.02329732502411,189554
6.491650945681434,189563
8.957890413351967,189606
11.422019214203226,189516
13.884040827203629,189565
16.343958724152845,189635
18.801776369677462,189604
21.257497221257008,189615
23.711124729236968,189623
26.16266233684177,189672
28.61211348018783,189689
31.059481588305207,189696
33.50477008314412,189623
35.94798237959015,189702
38.38912188548803,189585
40.82819200163954,189664
43.265196121833846,189734
45.70013763285398,189711
48.133019914492046,189654
50.5638463395644,189723
52.99262027392247,189785
55.419345076474464,189703
57.84402409919186,189786
60.26666068712459,189800
62.687258178416215,189817
65.10581990432779,189778
67.522349189227,189721
69.93684935063371,189796
72.34932369920696,189820
74.75977553877316,189860
77.16820816633472,189889
79.57462487208745,189770
81.97902893943356,189770
84.38142364498815,189818
86.78181225860519,189922
89.18019804338411,189873
91.5765842556763,189888
93.97097414511317,190011
96.36337095461286,189860
98.75377792039524,189889
101.14219827198632,190002
103.52863523224644,189866
105.91309201737246,190010
108.29557183691723,189900
110.67607789380044,189998
113.05461338431732,189950
115.43118149816029,189929
117.80578541843202,190049
120.17842832164972,189884
122.54911337776466,190028
124.91784375017302,190021
127.28462259573546,189997
129.64945306477702,189992
132.01233830111318,189992
134.37328144205426,189973
136.73228561842484,190031
139.08935395456598,190036
141.44448956836774,190015
143.79769557125834,190063
146.1489750682302,190086
148.49833115785282,190107
150.84576693228604,190042
153.191285477282,190069
155.5348898722112,190197
157.87658319007124,190103
160.21636849749328,190069
162.55424885475938,190144
164.89022731581764,190061
167.22430692828888,190149
169.55649073348158,190223
171.88678176640724,190190
174.2151830557868,190232
176.541697624068,190216
178.86632848743622,190248
181.1890786558275,190302
183.50995113293294,190306
185.82894891622453,190200
188.14607499695757,190245
190.46133236019,190253
192.77472398478028,190279
195.0862528434221,190288
197.39592190262928,190326
199.7037341227746,190270
202.00969245808562,190341
204.31379985665336,190343
206.61605926045826,190430
208.91647360537667,190412
211.21504582118305,190268
213.51177883157823,190402
215.8066755541849,190384
218.09973890057378,190367
220.39097177626363,190367
222.6803770807406,190442
224.96795770746712,190442
227.25371654389036,190430
229.53765647146196,190399
231.81978036564652,190463
234.10009109591954,190492
236.37859152580424,190371
238.65528451286502,190488
240.93017290871848,190504
243.20325955905915,190597
245.47454730365104,190506
247.74403897635798,190535
250.0117374051392,190607
252.27764541207966,190549
254.54176581337717,190564
