18_carboxymethyl_cellulose_sodium_salt_high_viscosity_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,191396
-358.5672754570978,191605
-355.77025989936726,191710
-352.97591591093277,191841
-350.18423885041375,192105
-347.3952240861159,192114
-344.60886699602463,192197
-341.82516296777254,192237
-339.0441073986201,192202
-336.2656956954402,192296
-333.48992327468994,192245
-330.7167855623894,192242
-327.9462779940995,192337
-325.17839601490897,192445
-322.4131350793979,192554
-319.65049065163294,192679
-316.89045820512644,192686
-314.1330332228362,192728
-311.3782111971333,192873
-308.6259876297756,192787
-305.8763580319037,192838
-303.1293179239997,192864
-300.38486283588077,192882
-297.64298830667076,192819
-294.903689884783,192924
-292.1669631279051,193161
-289.43280360295984,193214
-286.7012068861032,193308
-283.97216856270023,193427
-281.2456842272927,193368
-278.5217494835949,193440
-275.8003599444628,193476
-273.0815112318751,193472
-270.3651989769155,193515
-267.65141881975126,193723
-264.9401664096113,193746
-262.2314374047734,193862
-259.5252274725313,193912
-256.82153228918884,193920
-254.12034754002676,193884
-251.42166891929662,193949
-248.72549213018382,194066
-246.03181288480965,194099
-243.34062690418816,194147
-240.6519299182259,194054
-237.96571766568744,194352
-235.28198589419304,194323
-232.6007303601798,194342
-229.92194682889274,194431
-227.2456310743699,194544
-224.57177887940955,194602
-221.90038603556388,194552
-219.23144834311074,194699
-216.56496161104496,194807
-213.90092165704144,194794
-211.23932430745958,194814
-208.58016539730423,194851
-205.92344077021698,194929
-203.2691462784523,194892
-200.6172777828689,194982
-197.9678311528929,195108
-195.32080226651985,195213
-192.6761870102737,195317
-190.03398127921548,195265
-187.39418097689756,195383
-184.75678201536383,195361
-182.1217803151193,195458
-179.48917180512365,195473
-176.85895242276067,195528
-174.23111811382987,195574
-171.6056648325224,195629
-168.9825885414038,195764
-166.36188521139883,195745
-163.7435508217676,195753
-161.1275813600925,195831
-158.5139728222675,195944
-155.9027212124568,195868
-153.29382254310144,195932
-150.68727283489102,195957
-148.08306811674427,196058
-145.48120442579815,196175
-142.88167780737976,196150
-140.28448431499964,196206
-137.68962001033026,196305
-135.09708096318215,196313
-132.50686325150164,196399
-129.9189629613319,196455
-127.33337618681942,196495
-124.7500990301728,196582
-122.16912760167152,196475
-119.59045801962237,196610
-117.01408641036403,196616
-114.44000890823217,196674
-111.86822165555957,196651
-109.29872080263922,196786
-106.73150250773517,196798
-104.16656293703048,196851
-101.60389826464238,196786
-99.04350467258762,196935
-96.4853783507651,197008
-93.92951549695586,197003
-91.37591231678189,197032
-88.82456502370832,197147
-86.27546983902167,197146
-83.72862299181041,197209
-81.18402071895193,197329
-78.641659265093,197371
-76.10153488263674,197391
-73.56364383172102,197385
-71.02798238021188,197417
-68.49454680367319,197479
-65.96333338536667,197488
-63.43433841622149,197577
-60.9075581948235,197597
-58.38298902740647,197544
-55.86062722782179,197626
-53.34046911753196,197658
-50.82251102559538,197715
-48.30674928864472,197806
-45.79318025087816,197811
-43.28180026403347,197875
-40.77260568738361,197834
-38.265592887712884,197950
-35.76075823930394,197978
-33.2580981239226,198113
-30.757608930802665,198076
-28.259287056628565,198216
-25.763128905524535,198238
-23.26913088903076,198113
-20.777289426094672,198260
-18.287600943053643,198288
-15.800061873619784,198355
-13.314668658862601,198368
-10.831417747200321,198343
-8.350305594373875,198418
-5.871328663444725,198368
-3.394483424768845,198531
-0.9197663559815452,198525
1.5528260580025335,198603
4.02329732502411,198465
6.491650945681434,198647
8.957890413351967,198645
11.422019214203226,198661
13.884040827203629,198671
16.343958724152845,198745
18.801776369677462,198778
21.257497221257008,198919
23.711124729236968,198957
26.16266233684177,198861
28.61211348018783,198971
31.059481588305207,199019
33.50477008314412,198927
35.94798237959015,199110
38.38912188548803,199011
40.82819200163954,199058
43.265196121833846,199012
45.70013763285398,199138
48.133019914492046,199170
50.5638463395644,199234
52.99262027392247,199094
55.419345076474464,199333
57.84402409919186,199366
60.26666068712459,199403
62.687258178416215,199409
65.10581990432779,199548
67.522349189227,199529
69.93684935063371,199569
72.34932369920696,199527
74.75977553877316,199673
77.16820816633472,199662
79.57462487208745,199670
81.97902893943356,199590
84.38142364498815,199622
86.78181225860519,199774
89.18019804338411,199726
91.5765842556763,199761
93.97097414511317,199939
96.36337095461286,199778
98.75377792039524,199841
101.14219827198632,199848
103.52863523224644,199765
105.91309201737246,199845
108.29557183691723,199995
110.67607789380044,199980
113.05461338431732,200119
115.43118149816029,200082
117.80578541843202,200139
120.17842832164972,200237
122.54911337776466,200250
124.91784375017302,200360
127.28462259573546,200321
129.64945306477702,200266
132.01233830111318,200496
134.37328144205426,200578
136.73228561842484,200479
139.08935395456598,200448
141.44448956836774,200613
143.79769557125834,200648
146.1489750682302,200640
148.49833115785282,200580
150.84576693228604,200512
153.191285477282,200634
155.5348898722112,200593
157.87658319007124,200594
160.21636849749328,200609
162.55424885475938,200816
164.89022731581764,200788
167.22430692828888,200801
169.55649073348158,200999
171.88678176640724,200927
174.2151830557868,201033
176.541697624068,200901
178.86632848743622,201008
181.1890786558275,201144
183.50995113293294,201216
185.82894891622453,201109
188.14607499695757,201166
190.46133236019,201327
192.77472398478028,201220
195.0862528434221,201244
197.39592190262928,201258
199.7037341227746,201474
202.00969245808562,201447
204.31379985665336,201524
206.61605926045826,201446
208.91647360537667,201421
211.21504582118305,201582
213.51177883157823,201470
215.8066755541849,201539
218.09973890057378,201566
220.39097177626363,201636
222.6803770807406,201538
224.96795770746712,201573
227.25371654389036,201741
229.53765647146196,201819
231.81978036564652,201859
234.10009109591954,201830
236.37859152580424,201944
238.65528451286502,201921
240.93017290871848,201892
243.20325955905915,201909
245.47454730365104,202086
247.74403897635798,202197
250.0117374051392,202233
252.27764541207966,202198
254.54176581337717,202182
256.8041014193705,202318
259.06465503454814,202201
261.32342945755454,202289
263.5804274812056,202282
265.83565189250163,202390
268.08910547262496,202444
270.34079099697277,202553
272.59071123515247,202505
274.83886895099266,202529
277.0852669025671,202555
279.329907842186,202506
281.5727945164261,202508
283.8139296661309,202627
286.0533160264217,202651
288.2909563267167,202626
290.5268532907269,202741
292.76100963648423,202821
