19_carboxymethyl_cellulose_sodium_salt_low_viscosity_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187340
-358.5672754570978,187438
-355.77025989936726,187552
-352.97591591093277,187632
-350.18423885041375,187722
-347.3952240861159,187762
-344.60886699602463,187811
-341.82516296777254,187826
-339.0441073986201,187708
-336.2656956954402,187720
-333.48992327468994,187805
-330.7167855623894,187764
-327.9462779940995,187815
-325.17839601490897,187785
-322.4131350793979,187772
-319.65049065163294,187761
-316.89045820512644,187837
-314.1330332228362,187818
-311.3782111971333,187873
-308.6259876297756,187808
-305.8763580319037,187841
-303.1293179239997,187877
-300.38486283588077,187811
-297.64298830667076,187785
-294.903689884783,187932
-292.1669631279051,187862
-289.43280360295984,187872
-286.7012068861032,188000
-283.97216856270023,187967
-281.2456842272927,188011
-278.5217494835949,188021
-275.8003599444628,187961
-273.0815112318751,187926
-270.3651989769155,187970
-267.65141881975126,188004
-264.9401664096113,188063
-262.2314374047734,187995
-259.5252274725313,188097
-256.82153228918884,188091
-254.12034754002676,188041
-251.42166891929662,188097
-248.72549213018382,188104
-246.03181288480965,188113
-243.34062690418816,188140
-240.6519299182259,188097
-237.96571766568744,188176
-235.28198589419304,188181
-232.6007303601798,188144
-229.92194682889274,188209
-227.2456310743699,188153
-224.57177887940955,188258
-221.90038603556388,188206
-219.23144834311074,188209
-216.56496161104496,188284
-213.90092165704144,188312
-211.23932430745958,188349
-208.58016539730423,188327
-205.92344077021698,188269
-203.2691462784523,188343
-200.6172777828689,188344
-197.9678311528929,188330
-195.32080226651985,188449
-192.6761870102737,188319
-190.03398127921548,188412
-187.39418097689756,188451
-184.75678201536383,188447
-182.1217803151193,188466
-179.48917180512365,188432
-176.85895242276067,188527
-174.23111811382987,188547
-171.6056648325224,188413
-168.9825885414038,188542
-166.36188521139883,188501
-163.7435508217676,188584
-161.1275813600925,188563
-158.5139728222675,188553
-155.9027212124568,188575
-153.29382254310144,188640
-150.68727283489102,188501
-148.08306811674427,188616
-145.48120442579815,188636
-142.88167780737976,188571
-140.28448431499964,188644
-137.68962001033026,188633
-135.09708096318215,188616
-132.50686325150164,188728
-129.9189629613319,188629
-127.33337618681942,188688
-124.7500990301728,188699
-122.16912760167152,188735
-119.59045801962237,188681
-117.01408641036403,188764
-114.44000890823217,188687
-111.86822165555957,188730
-109.29872080263922,188853
-106.73150250773517,188781
-104.16656293703048,188764
-101.60389826464238,188838
-99.04350467258762,188821
-96.4853783507651,188824
-93.92951549695586,188883
-91.37591231678189,188865
-88.82456502370832,188891
-86.27546983902167,188865
-83.72862299181041,188957
-81.18402071895193,188950
-78.641659265093,188831
-76.10153488263674,188920
-73.56364383172102,189005
-71.02798238021188,188914
-68.49454680367319,188913
-65.96333338536667,188954
-63.43433841622149,189066
-60.9075581948235,189044
-58.38298902740647,189031
-55.86062722782179,189050
-53.34046911753196,189015
-50.82251102559538,189051
-48.30674928864472,189052
-45.79318025087816,189123
-43.28180026403347,189178
-40.77260568738361,189141
-38.265592887712884,189053
-35.76075823930394,189151
-33.2580981239226,189143
-30.757608930802665,189156
-28.259287056628565,189166
-25.763128905524535,189184
-23.26913088903076,189197
-20.777289426094672,189210
-18.287600943053643,189224
-15.800061873619784,189244
-13.314668658862601,189245
-10.831417747200321,189236
-8.350305594373875,189316
-5.871328663444725,189201
-3.394483424768845,189264
-0.9197663559815452,189249
1.5528260580025335,189309
4.02329732502411,189251
6.491650945681434,189228
8.957890413351967,189231
11.422019214203226,189334
13.884040827203629,189359
16.343958724152845,189299
18.801776369677462,189393
21.257497221257008,189335
23.711124729236968,189421
26.16266233684177,189337
28.61211348018783,189333
31.059481588305207,189335
33.50477008314412,189322
35.94798237959015,189364
38.38912188548803,189352
40.82819200163954,189437
43.265196121833846,189458
45.70013763285398,189409
48.133019914492046,189412
50.5638463395644,189444
52.99262027392247,189425
55.419345076474464,189466
57.84402409919186,189432
60.26666068712459,189507
62.687258178416215,189514
65.10581990432779,189451
67.522349189227,189519
69.93684935063371,189450
72.34932369920696,189576
74.75977553877316,189532
77.16820816633472,189578
79.57462487208745,189473
81.97902893943356,189519
84.38142364498815,189562
86.78181225860519,189563
89.18019804338411,189604
91.5765842556763,189569
93.97097414511317,189596
96.36337095461286,189628
98.75377792039524,189582
101.14219827198632,189545
103.52863523224644,189620
105.91309201737246,189644
108.29557183691723,189600
110.67607789380044,189571
113.05461338431732,189654
115.43118149816029,189654
117.80578541843202,189656
120.17842832164972,189684
122.54911337776466,189649
124.91784375017302,189620
127.28462259573546,189789
129.64945306477702,189665
132.01233830111318,189695
134.37328144205426,189695
136.73228561842484,189778
139.08935395456598,189836
141.44448956836774,189672
143.79769557125834,189722
146.1489750682302,189742
148.49833115785282,189783
150.84576693228604,189845
153.191285477282,189818
155.5348898722112,189726
157.87658319007124,189802
160.21636849749328,189779
162.55424885475938,189782
164.89022731581764,189849
167.22430692828888,189806
169.55649073348158,189855
171.88678176640724,189820
174.2151830557868,189904
176.541697624068,189858
178.86632848743622,189905
181.1890786558275,189809
183.50995113293294,189827
185.82894891622453,189904
188.14607499695757,189895
190.46133236019,189882
192.77472398478028,189929
195.0862528434221,189952
197.39592190262928,189946
199.7037341227746,189918
202.00969245808562,189974
204.31379985665336,189964
206.61605926045826,189970
208.91647360537667,189975
211.21504582118305,189982
213.51177883157823,190021
215.8066755541849,190031
218.09973890057378,189979
220.39097177626363,190075
222.6803770807406,190034
224.96795770746712,190073
227.25371654389036,190042
229.53765647146196,190016
231.81978036564652,190022
234.10009109591954,190087
236.37859152580424,190104
238.65528451286502,190061
240.93017290871848,190143
243.20325955905915,190114
245.47454730365104,190188
247.74403897635798,190180
250.0117374051392,190192
252.27764541207966,190175
254.54176581337717,190084
256.8041014193705,190159
259.06465503454814,190154
261.32342945755454,190220
263.5804274812056,190127
265.83565189250163,190201
268.08910547262496,190259
270.34079099697277,190190
272.59071123515247,190173
274.83886895099266,190225
277.0852669025671,190208
279.329907842186,190284
281.5727945164261,190258
283.8139296661309,190265
286.0533160264217,190248
288.2909563267167,190383
290.5268532907269,190387
292.76100963648423,190379
294.99342807633514,190303
297.2241113169665,190273
299.45306205941216,190266
301.68028299905075,190304
303.9057768256361,190332
306.1295462232971,190355
308.3515938705466,190325
310.5719224402942,190452
312.79053459986596,190375
315.0074330109955,190476
317.2226203298524,190430
319.4360992070464,190483
321.647872287634,190412
323.85794221113366,190438
326.0663116115363,190501
328.27298311731033,190498
330.477959351416,190490
332.6812429313214,190525
334.8828364690016,190491
337.08274257095246,190437
339.28096383820537,190546
341.47750286633163,190479
343.67236224546207,190578
345.8655445602848,190546
348.05705239006033,190609
350.24688830863477,190652
352.43505488444845,190545
354.62155468054004,190596
356.80639025456856,190708
358.9895641588131,190738
361.1710789401838,190693
363.3509371402349,190644
365.5291412951755,190719
367.70569393587823,190717
369.8805975878858,190799
372.05385477142835,190707
374.2254680014212,190742
376.3954397874845,190727
378.56377263395825,190871
380.7304690398917,190694
382.89553149907334,190845
385.05896250003343,190776
387.2207645260438,190754
389.38094005515256,190715
391.53949156016256,190870
393.6964215086637,190868
395.85173236303524,190849
398.0054265804501,190873
400.1575066128987,190895
402.3079749071803,190763
404.45683390492263,190823
406.60408604259675,190909
408.74973375151086,190860
410.8937794578384,190855
413.03622558260497,190893
415.17707454172097,190988
417.3163287459771,191040
419.4539906010597,190913
421.5900625075442,190949
423.7245468609362,191060
425.85744605165,190980
427.9887624650323,191055
430.11849848136876,191057
432.24665647589256,191003
434.3732388187955,191084
436.4982478752364,191017
438.6216860053477,191099
440.7435555642465,191196
442.86385890204275,191139
444.98259836385284,191058
447.0997762897992,191078
449.2153950150322,191178
451.32945686972334,191175
453.4419641790853,191118
455.55291926338646,191243
457.6623244379385,191180
459.7701820131263,191221
461.87649429440614,191152
463.9812635823205,191212
466.0844921724962,191308
468.18618235567027,191193
470.28633641768135,191148
472.38495663948913,191192
474.4820452971766,191252
476.57760466196953,191228
478.67163700022985,191268
480.76414457347977,191352
482.85512963839284,191292
484.94459444682224,191359
487.0325412457922,191287
489.1189722775217,191360
491.20388977942025,191307
493.2872959840986,191309
495.3691931193884,191296
497.4495834083378,191335
499.5284690692244,191348
501.6058523155619,191284
503.6817353561173,191303
505.7561203949067,191350
507.8290096312125,191363
509.90040525958347,191442
511.9703094698543,191291
514.0387244471499,191403
516.1056523718833,191406
518.1710954197771,191571
520.2350557618681,191395
522.297535564516,191555
524.3585369894051,191428
526.4180621935601,191638
528.4761133293498,191493
530.532692544505,191468
532.5878019821076,191446
534.6414437806184,191461
536.6936200738706,191522
538.7443329910902,191612
540.7935846568927,191542
542.8413771912986,191547
544.8877127097385,191649
546.9325933230668,191579
548.9760211375527,191565
551.0179982549154,191539
553.0585267723011,191672
555.0976087823198,191704
557.1352463730342,191634
559.1714416279709,191640
561.2061966261354,191677
563.2395134420138,191626
565.2713941455825,191638
567.3018408023137,191720
569.3308554731891,191637
571.3584402147017,191734
573.38459707886,191695
575.4093281132104,191716
577.4326353608323,191794
579.4545208603463,191774
581.4749866459327,191817
583.49403474732,191752
585.5116671898151,191925
587.5278859942948,191819
589.5426931772172,191761
591.5560907506315,191841
593.5680807221872,191902
595.5786650951346,191878
597.5878458683434,191970
599.5956250362945,191917
601.602004589104,191971
603.6069865125183,191907
605.6105727879346,191985
607.6127653923888,192001
609.6135662985803,192063
611.612977474878,192011
613.6110008853166,191993
615.607638489613,192161
617.6028922431692,192086
619.5967640970873,192090
621.5892559981651,192190
623.5803698889132,192196
625.5701077075557,192210
627.5584713880469,192330
629.5454628600628,192343
631.5310840490249,192449
633.5153368760984,192425
635.4982232581962,192538
637.4797451080003,192463
639.4599043339517,192559
641.4387028402715,192579
643.4161425269567,192510
645.3922252897958,192645
647.3669530203722,192590
649.3403276060737,192678
651.312350930099,192755
653.2830248714528,192800
655.2523513049806,192796
657.2203321013455,192792
659.1869691270516,192860
661.1522642444522,192861
663.1162193117485,192870
665.0788361830043,192871
667.0401167081395,192928
669.0000627329606,192934
670.9586760991413,192878
672.9159586442499,192987
674.8719122017421,192990
676.8265386009813,193092
678.7798396672302,193124
680.7318172216713,192919
682.6824730814013,193047
684.6318090594511,193221
686.579826964784,193321
688.5265286022995,193214
690.4719157728532,193310
692.4159902732497,193291
694.3587538962544,193298
696.3002084306034,193383
698.2403556610064,193547
700.1791973681526,193513
702.1167353287242,193509
704.0529713153937,193530
705.9879070968334,193638
707.9215444377295,193543
709.8538850987788,193593
711.7849308366968,193571
713.714683404235,193623
715.6431445501659,193674
717.5703160193134,193620
719.4961995525485,193643
721.4207968867913,193577
723.3441097550218,193544
725.266139886291,193606
727.1868890057204,193419
729.1063588345096,193467
731.0245510899477,193457
732.9414674854171,193518
734.857109730392,193424
736.7714795304594,193535
738.6845785873155,193551
740.5964085987733,193582
742.5069712587708,193590
744.4162682573776,193678
746.3243012808011,193649
748.231072011385,193795
750.1365821276345,193856
752.0408333042019,193837
753.9438272119014,193815
755.845565517724,193913
757.7460498848251,194011
759.6452819725436,193901
761.5432634364129,194013
763.4399959281498,194012
765.3354810956744,194033
767.2297205831165,193939
769.122716030809,193973
771.0144690753094,193951
772.9049813493958,193911
774.7942544820801,193953
776.6822900986069,193943
778.5690898204616,193855
780.4546552653821,193773
782.3389880473596,193868
784.2220897766468,193840
786.1039620597537,193726
787.9846064994781,193791
789.8640246948837,193723
791.7422182413219,193671
793.6191887304386,193677
795.4949377501734,193805
797.3694668847648,193770
799.242777714767,193787
801.1148718170373,193857
802.9857507647658,193827
804.8554161274591,193826
806.7238694709584,193867
808.5911123574454,193950
810.4571463454411,193878
812.3219729898171,193944
814.1855938418024,193932
816.0480104489848,193968
817.9092243553202,194056
819.7692371011349,194109
821.6280502231356,194069
823.4856652544103,194037
825.3420837244407,194063
827.197307159105,193973
829.0513370806771,193972
830.9041750078424,193959
832.7558224556952,193922
834.6062809357546,193965
836.4555519559569,193883
838.3036370206718,193729
840.150537630706,193827
841.9962552832995,193926
843.8407914721489,193829
845.684147687399,193799
847.5263254156514,193886
849.3673261399689,193805
851.2071513398864,193801
853.0458024914172,193736
854.8832810670467,193841
856.7195885357537,193798
858.5547263630024,193767
860.3886960107569,193855
862.2214989374797,193920
864.053136598146,193847
865.8836104442424,193862
867.7129219237709,193943
869.5410724812659,193933
871.3680635577797,194070
873.1938965909078,194011
875.0185730147854,193990
876.8420942600885,194126
878.6644617540525,194191
880.4856769204622,194259
882.3057411796661,194252
884.1246559485819,194270
885.9424226406992,194255
887.7590426660813,194375
889.5745174313831,194289
891.3888483398418,194404
893.2020367912905,194426
895.0140841821599,194387
896.8249919054892,194358
898.6347613509244,194439
900.4433939047238,194534
902.2508909497705,194417
904.0572538655703,194440
905.8624840282644,194457
907.6665828106262,194475
909.4695515820661,194442
911.271391708646,194390
913.0721045530823,194452
914.8716914747392,194457
916.6701538296501,194478
918.467492970513,194374
920.2637102466958,194401
922.0588070042463,194500
923.8527845858969,194411
925.6456443310578,194367
927.4373875758436,194422
929.2280156530572,194421
931.0175298922105,194366
932.805931619519,194252
934.5932221579111,194330
936.3794028270363,194337
938.1644749432636,194342
939.9484398196919,194271
941.731298766148,194282
943.5130530892062,194358
945.2937040921729,194431
947.0732530751083,194342
948.8517013348245,194417
950.6290501648897,194433
952.4053008556367,194414
954.180454694161,194496
955.95451296434,194552
957.7274769468182,194538
959.4993479190264,194683
961.2701271551863,194522
963.0398159263059,194615
964.8084155001904,194504
966.575927141449,194599
968.3423521114967,194607
970.1076916685631,194534
971.8719470676882,194573
973.6351195607328,194638
975.3972103963924,194573
977.1582208201809,194750
978.9181520744572,194738
