1_L-tryptophan_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,192432
-358.5672754570978,192611
-355.77025989936726,192765
-352.97591591093277,192952
-350.18423885041375,193078
-347.3952240861159,193229
-344.60886699602463,193206
-341.82516296777254,193327
-339.0441073986201,193300
-336.2656956954402,193319
-333.48992327468994,193476
-330.7167855623894,193423
-327.9462779940995,193350
-325.17839601490897,193533
-322.4131350793979,193637
-319.65049065163294,193762
-316.89045820512644,193887
-314.1330332228362,193907
-311.3782111971333,193972
-308.6259876297756,193964
-305.8763580319037,193913
-303.1293179239997,193931
-300.38486283588077,194061
-297.64298830667076,194098
-294.903689884783,194248
-292.1669631279051,194432
-289.43280360295984,194509
-286.7012068861032,194700
-283.97216856270023,194633
-281.2456842272927,194699
-278.5217494835949,194762
-275.8003599444628,194795
-273.0815112318751,194859
-270.3651989769155,195011
-267.65141881975126,195030
-264.9401664096113,195129
-262.2314374047734,195217
-259.5252274725313,195223
-256.82153228918884,195341
-254.12034754002676,195407
-251.42166891929662,195377
-248.72549213018382,195369
-246.03181288480965,195593
-243.34062690418816,195745
-240.6519299182259,195627
-237.96571766568744,195794
-235.28198589419304,195914
-232.6007303601798,195865
-229.92194682889274,196001
-227.2456310743699,196109
-224.57177887940955,196143
-221.90038603556388,196228
-219.23144834311074,196267
-216.56496161104496,196210
-213.90092165704144,196370
-211.23932430745958,196519
-208.58016539730423,196518
-205.92344077021698,196451
-203.2691462784523,196632
-200.6172777828689,196687
-197.9678311528929,196853
-195.32080226651985,196861
-192.6761870102737,196878
-190.03398127921548,197088
-187.39418097689756,197077
-184.75678201536383,197133
-182.1217803151193,197209
-179.48917180512365,197223
-176.85895242276067,197393
-174.23111811382987,197405
-171.6056648325224,197285
-168.9825885414038,197474
-166.36188521139883,197429
-163.7435508217676,197555
-161.1275813600925,197586
-158.5139728222675,197747
-155.9027212124568,197823
-153.29382254310144,197870
-150.68727283489102,197888
-148.08306811674427,197914
-145.48120442579815,197960
-142.88167780737976,198095
-140.28448431499964,198068
-137.68962001033026,198070
-135.09708096318215,198273
-132.50686325150164,198292
-129.9189629613319,198284
-127.33337618681942,198358
-124.7500990301728,198478
-122.16912760167152,198422
-119.59045801962237,198473
-117.01408641036403,198587
-114.44000890823217,198633
-111.86822165555957,198657
-109.29872080263922,198742
-106.73150250773517,198860
-104.16656293703048,198759
-101.60389826464238,198785
-99.04350467258762,198849
-96.4853783507651,198918
-93.92951549695586,199102
-91.37591231678189,199093
-88.82456502370832,199103
-86.27546983902167,199178
-83.72862299181041,199234
-81.18402071895193,199352
-78.641659265093,199444
-76.10153488263674,199489
-73.56364383172102,199466
-71.02798238021188,199529
-68.49454680367319,199422
-65.96333338536667,199507
-63.43433841622149,199691
-60.9075581948235,199668
-58.38298902740647,199623
-55.86062722782179,199759
-53.34046911753196,199832
-50.82251102559538,199814
-48.30674928864472,199794
-45.79318025087816,200047
-43.28180026403347,200131
-40.77260568738361,200106
-38.265592887712884,200053
-35.76075823930394,200208
-33.2580981239226,200238
-30.757608930802665,200267
-28.259287056628565,200291
-25.763128905524535,200399
-23.26913088903076,200377
-20.777289426094672,200393
-18.287600943053643,200375
-15.800061873619784,200491
-13.314668658862601,200458
-10.831417747200321,200585
-8.350305594373875,200616
-5.871328663444725,200622
-3.394483424768845,200728
-0.9197663559815452,200748
1.5528260580025335,200785
4.02329732502411,200943
6.491650945681434,200791
8.957890413351967,200884
11.422019214203226,200898
13.884040827203629,200979
16.343958724152845,201216
18.801776369677462,201210
21.257497221257008,201132
23.711124729236968,201242
26.16266233684177,201320
28.61211348018783,201325
31.059481588305207,201332
33.50477008314412,201377
35.94798237959015,201278
38.38912188548803,201341
40.82819200163954,201382
43.265196121833846,201361
45.70013763285398,201369
48.133019914492046,201460
50.5638463395644,201600
52.99262027392247,201520
55.419345076474464,201580
57.84402409919186,201720
60.26666068712459,201732
62.687258178416215,201785
65.10581990432779,201731
67.522349189227,201969
69.93684935063371,201955
72.34932369920696,201972
74.75977553877316,201974
77.16820816633472,202069
79.57462487208745,202171
81.97902893943356,202097
84.38142364498815,202139
86.78181225860519,202122
89.18019804338411,202165
91.5765842556763,202230
93.97097414511317,202236
96.36337095461286,202372
98.75377792039524,202279
101.14219827198632,202266
103.52863523224644,202270
105.91309201737246,202382
108.29557183691723,202386
110.67607789380044,202401
113.05461338431732,202552
115.43118149816029,202609
117.80578541843202,202700
120.17842832164972,202594
122.54911337776466,202832
124.91784375017302,202917
127.28462259573546,202774
129.64945306477702,202839
132.01233830111318,202910
134.37328144205426,202976
136.73228561842484,202938
139.08935395456598,203102
141.44448956836774,203116
143.79769557125834,203168
146.1489750682302,203048
148.49833115785282,203088
150.84576693228604,203067
153.191285477282,203243
155.5348898722112,203266
157.87658319007124,203306
160.21636849749328,203234
162.55424885475938,203334
164.89022731581764,203360
167.22430692828888,203381
169.55649073348158,203459
171.88678176640724,203471
174.2151830557868,203513
176.541697624068,203547
178.86632848743622,203619
181.1890786558275,203802
183.50995113293294,203729
185.82894891622453,203716
188.14607499695757,203854
190.46133236019,203776
192.77472398478028,203963
195.0862528434221,203855
197.39592190262928,204053
199.7037341227746,203945
202.00969245808562,204026
204.31379985665336,204079
206.61605926045826,204054
208.91647360537667,204092
211.21504582118305,204185
213.51177883157823,204232
215.8066755541849,204256
218.09973890057378,204354
220.39097177626363,204300
222.6803770807406,204250
224.96795770746712,204371
227.25371654389036,204442
229.53765647146196,204537
231.81978036564652,204445
234.10009109591954,204458
236.37859152580424,204624
238.65528451286502,204628
240.93017290871848,204542
243.20325955905915,204811
245.47454730365104,204835
247.74403897635798,204890
250.0117374051392,204855
252.27764541207966,204894
254.54176581337717,205112
256.8041014193705,204988
259.06465503454814,205022
261.32342945755454,205025
263.5804274812056,205188
265.83565189250163,205268
268.08910547262496,205199
270.34079099697277,205348
272.59071123515247,205452
274.83886895099266,205373
277.0852669025671,205325
279.329907842186,205295
281.5727945164261,205452
283.8139296661309,205469
286.0533160264217,205336
288.2909563267167,205523
290.5268532907269,205591
292.76100963648423,205563
294.99342807633514,205627
297.2241113169665,205712
299.45306205941216,205820
301.68028299905075,205814
303.9057768256361,206008
306.1295462232971,206082
308.3515938705466,206149
310.5719224402942,206026
312.79053459986596,206234
315.0074330109955,206160
317.2226203298524,206196
319.4360992070464,206335
321.647872287634,206382
323.85794221113366,206294
326.0663116115363,206263
328.27298311731033,206349
330.477959351416,206379
332.6812429313214,206357
334.8828364690016,206719
337.08274257095246,206553
339.28096383820537,206533
341.47750286633163,206534
343.67236224546207,206823
345.8655445602848,206888
348.05705239006033,206770
350.24688830863477,206809
352.43505488444845,207076
354.62155468054004,206953
356.80639025456856,207034
358.9895641588131,207074
361.1710789401838,207122
363.3509371402349,207186
365.5291412951755,207207
367.70569393587823,207362
369.8805975878858,207380
372.05385477142835,207288
374.2254680014212,207477
376.3954397874845,207431
378.56377263395825,207535
380.7304690398917,207530
382.89553149907334,207641
385.05896250003343,207637
387.2207645260438,207785
389.38094005515256,207853
391.53949156016256,207855
393.6964215086637,207818
395.85173236303524,207955
398.0054265804501,207961
400.1575066128987,208240
402.3079749071803,208358
404.45683390492263,208441
406.60408604259675,208546
408.74973375151086,208653
410.8937794578384,208826
413.03622558260497,209044
415.17707454172097,209440
417.3163287459771,209833
419.4539906010597,210324
421.5900625075442,211293
423.7245468609362,212076
425.85744605165,212626
427.9887624650323,213132
430.11849848136876,212705
432.24665647589256,212047
434.3732388187955,211234
436.4982478752364,210543
438.6216860053477,210232
440.7435555642465,210033
442.86385890204275,209908
444.98259836385284,209698
447.0997762897992,209674
449.2153950150322,209725
451.32945686972334,209746
453.4419641790853,209744
455.55291926338646,209812
457.6623244379385,210000
459.7701820131263,209977
461.87649429440614,209981
463.9812635823205,210066
466.0844921724962,210274
468.18618235567027,210426
470.28633641768135,210508
472.38495663948913,210905
474.4820452971766,211233
476.57760466196953,211695
478.67163700022985,212233
480.76414457347977,213229
482.85512963839284,214494
484.94459444682224,215805
487.0325412457922,216495
489.1189722775217,216481
491.20388977942025,215825
493.2872959840986,214716
495.3691931193884,213839
497.4495834083378,213407
499.5284690692244,213320
501.6058523155619,213804
503.6817353561173,214732
505.7561203949067,216071
507.8290096312125,218211
509.90040525958347,220478
511.9703094698543,222667
514.0387244471499,224845
516.1056523718833,226159
518.1710954197771,225995
520.2350557618681,224463
522.297535564516,221860
524.3585369894051,218906
526.4180621935601,216509
528.4761133293498,214739
530.532692544505,213758
532.5878019821076,213111
534.6414437806184,212969
536.6936200738706,212589
538.7443329910902,212622
540.7935846568927,212378
542.8413771912986,212250
544.8877127097385,212272
546.9325933230668,212267
548.9760211375527,212165
551.0179982549154,212302
553.0585267723011,211890
555.0976087823198,212084
557.1352463730342,212055
559.1714416279709,212122
561.2061966261354,212082
563.2395134420138,212136
565.2713941455825,212255
567.3018408023137,212219
569.3308554731891,212177
571.3584402147017,212099
573.38459707886,212307
575.4093281132104,212228
577.4326353608323,212376
579.4545208603463,212314
581.4749866459327,212388
583.49403474732,212289
585.5116671898151,212502
587.5278859942948,212502
589.5426931772172,212538
591.5560907506315,212586
593.5680807221872,212679
595.5786650951346,212466
597.5878458683434,212692
599.5956250362945,212833
601.602004589104,212960
603.6069865125183,212968
605.6105727879346,213033
607.6127653923888,213294
609.6135662985803,213690
611.612977474878,214523
613.6110008853166,215600
615.607638489613,216179
617.6028922431692,215576
619.5967640970873,214700
621.5892559981651,214052
623.5803698889132,213606
625.5701077075557,213663
627.5584713880469,213606
