20_dextran_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187985
-358.5672754570978,188062
-355.77025989936726,188222
-352.97591591093277,188343
-350.18423885041375,188424
-347.3952240861159,188501
-344.60886699602463,188460
-341.82516296777254,188449
-339.0441073986201,188471
-336.2656956954402,188428
-333.48992327468994,188406
-330.7167855623894,188467
-327.9462779940995,188425
-325.17839601490897,188382
-322.4131350793979,188494
-319.65049065163294,188521
-316.89045820512644,188548
-314.1330332228362,188445
-311.3782111971333,188493
-308.6259876297756,188503
-305.8763580319037,188482
-303.1293179239997,188382
-300.38486283588077,188478
-297.64298830667076,188470
-294.903689884783,188487
-292.1669631279051,188597
-289.43280360295984,188558
-286.7012068861032,188629
-283.97216856270023,188659
-281.2456842272927,188571
-278.5217494835949,188681
-275.8003599444628,188664
-273.0815112318751,188599
-270.3651989769155,188715
-267.65141881975126,188722
-264.9401664096113,188702
-262.2314374047734,188818
-259.5252274725313,188749
-256.82153228918884,188731
-254.12034754002676,188796
-251.42166891929662,188718
-248.72549213018382,188814
-246.03181288480965,188787
-243.34062690418816,188842
-240.6519299182259,188861
-237.96571766568744,188869
-235.28198589419304,188852
-232.6007303601798,188788
-229.92194682889274,188774
-227.2456310743699,188818
-224.57177887940955,188886
-221.90038603556388,188969
-219.23144834311074,188940
-216.56496161104496,188924
-213.90092165704144,188964
-211.23932430745958,188999
-208.58016539730423,188986
-205.92344077021698,188921
-203.2691462784523,189015
-200.6172777828689,189052
-197.9678311528929,189037
-195.32080226651985,189070
-192.6761870102737,189051
-190.03398127921548,189127
-187.39418097689756,189063
-184.75678201536383,189155
-182.1217803151193,189089
-179.48917180512365,189171
-176.85895242276067,189211
-174.23111811382987,189149
-171.6056648325224,189137
-168.9825885414038,189175
-166.36188521139883,189245
-163.7435508217676,189180
-161.1275813600925,189185
-158.5139728222675,189173
-155.9027212124568,189229
-153.29382254310144,189249
-150.68727283489102,189159
-148.08306811674427,189256
-145.48120442579815,189298
-142.88167780737976,189231
-140.28448431499964,189314
-137.68962001033026,189320
-135.09708096318215,189282
-132.50686325150164,189312
-129.9189629613319,189240
-127.33337618681942,189266
-124.7500990301728,189310
-122.16912760167152,189329
-119.59045801962237,189394
-117.01408641036403,189419
-114.44000890823217,189295
-111.86822165555957,189316
-109.29872080263922,189451
-106.73150250773517,189354
-104.16656293703048,189398
-101.60389826464238,189414
-99.04350467258762,189442
-96.4853783507651,189437
-93.92951549695586,189376
-91.37591231678189,189350
-88.82456502370832,189518
-86.27546983902167,189427
-83.72862299181041,189508
