21_starch_Prolabo_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186291
-358.5672754570978,186531
-355.77025989936726,186675
-352.97591591093277,186694
-350.18423885041375,186734
-347.3952240861159,186756
-344.60886699602463,186747
-341.82516296777254,186728
-339.0441073986201,186762
-336.2656956954402,186733
-333.48992327468994,186725
-330.7167855623894,186760
-327.9462779940995,186728
-325.17839601490897,186755
-322.4131350793979,186740
-319.65049065163294,186748
-316.89045820512644,186773
-314.1330332228362,186711
-311.3782111971333,186713
-308.6259876297756,186721
-305.8763580319037,186794
-303.1293179239997,186753
-300.38486283588077,186824
-297.64298830667076,186737
-294.903689884783,186792
-292.1669631279051,186710
-289.43280360295984,186846
-286.7012068861032,186745
-283.97216856270023,186761
-281.2456842272927,186740
-278.5217494835949,186770
-275.8003599444628,186726
-273.0815112318751,186840
-270.3651989769155,186729
-267.65141881975126,186814
-264.9401664096113,186802
-262.2314374047734,186820
-259.5252274725313,186858
-256.82153228918884,186779
-254.12034754002676,186830
-251.42166891929662,186846
-248.72549213018382,186842
-246.03181288480965,186816
-243.34062690418816,186871
-240.6519299182259,186813
-237.96571766568744,186836
-235.28198589419304,186845
-232.6007303601798,186829
-229.92194682889274,186831
-227.2456310743699,186860
-224.57177887940955,186922
-221.90038603556388,186861
-219.23144834311074,186868
-216.56496161104496,186908
-213.90092165704144,186869
-211.23932430745958,186902
-208.58016539730423,186889
-205.92344077021698,186840
-203.2691462784523,186881
-200.6172777828689,186839
-197.9678311528929,186976
-195.32080226651985,186909
-192.6761870102737,186950
-190.03398127921548,186963
-187.39418097689756,186847
-184.75678201536383,186875
-182.1217803151193,186901
-179.48917180512365,186973
-176.85895242276067,186918
-174.23111811382987,186952
-171.6056648325224,186953
-168.9825885414038,186907
-166.36188521139883,186914
-163.7435508217676,187020
-161.1275813600925,187028
-158.5139728222675,186963
-155.9027212124568,186981
-153.29382254310144,186996
-150.68727283489102,186954
-148.08306811674427,186961
-145.48120442579815,186975
-142.88167780737976,187042
-140.28448431499964,186988
-137.68962001033026,186951
-135.09708096318215,187000
-132.50686325150164,186962
-129.9189629613319,186993
-127.33337618681942,187037
-124.7500990301728,187046
-122.16912760167152,187050
-119.59045801962237,187078
-117.01408641036403,187046
-114.44000890823217,187098
-111.86822165555957,187022
-109.29872080263922,187037
-106.73150250773517,187024
-104.16656293703048,187035
-101.60389826464238,187059
-99.04350467258762,187056
-96.4853783507651,187056
-93.92951549695586,187046
-91.37591231678189,187049
-88.82456502370832,187052
-86.27546983902167,187093
-83.72862299181041,187081
-81.18402071895193,187070
-78.641659265093,187067
-76.10153488263674,187012
-73.56364383172102,187086
-71.02798238021188,187018
-68.49454680367319,187038
-65.96333338536667,187067
-63.43433841622149,187069
-60.9075581948235,187122
-58.38298902740647,187113
-55.86062722782179,187117
-53.34046911753196,187112
-50.82251102559538,187112
-48.30674928864472,187061
-45.79318025087816,187113
-43.28180026403347,187070
-40.77260568738361,187132
-38.265592887712884,187071
-35.76075823930394,187105
-33.2580981239226,187161
-30.757608930802665,187179
-28.259287056628565,187060
-25.763128905524535,187123
-23.26913088903076,187139
-20.777289426094672,187193
-18.287600943053643,187165
-15.800061873619784,187151
-13.314668658862601,187164
-10.831417747200321,187146
-8.350305594373875,187169
-5.871328663444725,187199
-3.394483424768845,187148
-0.9197663559815452,187195
1.5528260580025335,187152
4.02329732502411,187175
6.491650945681434,187150
8.957890413351967,187160
11.422019214203226,187162
13.884040827203629,187201
16.343958724152845,187157
18.801776369677462,187143
21.257497221257008,187196
23.711124729236968,187182
26.16266233684177,187140
28.61211348018783,187185
