22_alginic_acid_Aldrich_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,217177
-358.5672754570978,217748
-355.77025989936726,218081
-352.97591591093277,218516
-350.18423885041375,219066
-347.3952240861159,219292
-344.60886699602463,219630
-341.82516296777254,219847
-339.0441073986201,220232
-336.2656956954402,220283
-333.48992327468994,220669
-330.7167855623894,220934
-327.9462779940995,221325
-325.17839601490897,221828
-322.4131350793979,222239
-319.65049065163294,222874
-316.89045820512644,223087
-314.1330332228362,223421
-311.3782111971333,223670
-308.6259876297756,223881
-305.8763580319037,224155
-303.1293179239997,224061
-300.38486283588077,224578
-297.64298830667076,225088
-294.903689884783,225575
-292.1669631279051,225959
-289.43280360295984,226642
-286.7012068861032,227032
-283.97216856270023,227333
-281.2456842272927,227489
-278.5217494835949,227819
-275.8003599444628,228201
-273.0815112318751,228572
-270.3651989769155,228931
-267.65141881975126,229416
-264.9401664096113,229757
-262.2314374047734,230114
-259.5252274725313,230519
-256.82153228918884,230483
-254.12034754002676,230979
-251.42166891929662,231288
-248.72549213018382,231590
-246.03181288480965,231855
-243.34062690418816,232419
-240.6519299182259,232820
-237.96571766568744,233106
-235.28198589419304,233268
-232.6007303601798,233701
-229.92194682889274,234025
-227.2456310743699,234413
-224.57177887940955,235042
-221.90038603556388,235370
-219.23144834311074,235644
-216.56496161104496,235956
-213.90092165704144,236139
-211.23932430745958,236618
-208.58016539730423,236880
-205.92344077021698,237306
-203.2691462784523,237581
-200.6172777828689,237962
-197.9678311528929,238337
-195.32080226651985,238550
-192.6761870102737,239111
-190.03398127921548,239272
-187.39418097689756,239727
-184.75678201536383,239996
-182.1217803151193,240197
-179.48917180512365,240502
-176.85895242276067,240905
-174.23111811382987,241116
-171.6056648325224,241725
-168.9825885414038,241971
-166.36188521139883,242175
-163.7435508217676,242538
-161.1275813600925,242915
-158.5139728222675,243334
-155.9027212124568,243683
-153.29382254310144,243723
-150.68727283489102,244322
-148.08306811674427,244452
-145.48120442579815,244725
-142.88167780737976,245141
-140.28448431499964,245281
-137.68962001033026,245865
-135.09708096318215,245910
-132.50686325150164,246655
-129.9189629613319,246707
-127.33337618681942,247226
-124.7500990301728,247024
-122.16912760167152,247463
-119.59045801962237,247819
-117.01408641036403,248034
-114.44000890823217,248294
-111.86822165555957,248505
-109.29872080263922,248825
-106.73150250773517,249125
-104.16656293703048,249418
-101.60389826464238,249713
-99.04350467258762,249922
-96.4853783507651,250284
-93.92951549695586,250562
-91.37591231678189,250967
-88.82456502370832,250872
-86.27546983902167,251438
-83.72862299181041,251840
-81.18402071895193,251927
-78.641659265093,252255
-76.10153488263674,252586
-73.56364383172102,252602
-71.02798238021188,252977
-68.49454680367319,253253
-65.96333338536667,253462
-63.43433841622149,253757
-60.9075581948235,253851
-58.38298902740647,254022
-55.86062722782179,254439
-53.34046911753196,254671
-50.82251102559538,255197
-48.30674928864472,255378
-45.79318025087816,255392
-43.28180026403347,255784
-40.77260568738361,255910
-38.265592887712884,256247
-35.76075823930394,256618
-33.2580981239226,256578
-30.757608930802665,257009
-28.259287056628565,257024
-25.763128905524535,257478
-23.26913088903076,257635
-20.777289426094672,257706
-18.287600943053643,258218
-15.800061873619784,258141
-13.314668658862601,258424
-10.831417747200321,258666
-8.350305594373875,258822
-5.871328663444725,258954
-3.394483424768845,259420
-0.9197663559815452,259654
1.5528260580025335,259784
4.02329732502411,260071
6.491650945681434,260193
8.957890413351967,260260
11.422019214203226,260882
13.884040827203629,261079
16.343958724152845,261164
18.801776369677462,261469
21.257497221257008,261663
23.711124729236968,261832
26.16266233684177,262070
28.61211348018783,262322
31.059481588305207,262550
33.50477008314412,262713
35.94798237959015,262868
38.38912188548803,262970
40.82819200163954,263239
43.265196121833846,263545
