23_chitosan_Aldrich_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,187743
-357.0856406039081,187970
-354.309364219462,188105
-351.5356215502653,188111
-348.7644077355815,188263
-345.9957179299897,188267
-343.22954730333896,188359
-340.4658910406981,188344
-337.70474434230425,188319
-334.9461024235167,188396
-332.189960514772,188358
-329.43631386151816,188327
-326.68515772419585,188425
-323.9364873781599,188443
-321.1902981136469,188467
-318.44658523572315,188539
-315.70534406423707,188563
-312.9665699337777,188571
-310.23025819361436,188542
-307.4964042076552,188604
-304.76500335440596,188628
-302.0360510269139,188597
-299.3095426327198,188555
-296.5854735938233,188481
-293.8638393466223,188662
-291.1446353418695,188685
-288.4278570446336,188757
-285.7134999342402,188828
-283.00155950423783,188799
-280.29203126234745,188808
-277.5849107304064,188825
-274.8801934443403,188782
-272.17787495410414,188914
-269.47795082363916,188955
-266.7804166308339,188960
-264.0852679674653,189117
-261.39250043917104,189181
-258.7021096653883,189168
-256.01409127931714,188952
-253.32844092787508,189059
-250.6451542716513,189074
-247.96422698485912,189134
-245.2856547552969,189189
-242.60943328430034,189163
-239.93555828669696,189240
-237.2640254907671,189228
-234.59483063819394,189194
-231.9279694840224,189263
-229.26343779661792,189255
-226.6012313576187,189329
-223.94134596189028,189377
-221.28377741748852,189443
-218.6285215456164,189418
-215.97557418057178,189467
-213.32493116971293,189340
-210.67658837341284,189422
-208.03054166502022,189440
-205.38678693080317,189460
-202.74532006992743,189528
-200.1061369944,189554
-197.46923362902587,189607
-194.83460591137322,189660
-192.20224979173008,189622
-189.57216123305452,189594
-186.94433621094632,189684
-184.31877071358858,189641
-181.6954607417238,189672
-179.07440230859746,189714
-176.4555914399255,189761
-173.83902417384897,189678
-171.22469656089683,189779
-168.61260466393855,189811
-166.00274455814923,189774
-163.39511233096636,189744
-160.78970408205063,189762
-158.1865159232406,189863
-155.5855439785178,189810
-152.9867843839657,189936
-150.39023328772186,189862
-147.79588684995204,189914
-145.20374124279587,190001
-142.61379265033662,189891
-140.02603726855122,190018
-137.44047130528642,190040
-134.85709098020465,190054
-132.2758925247471,190108
-129.69687218210768,189998
-127.12002620716804,190048
-124.54535086648235,190103
-121.97284243822956,190138
-119.4024972121701,190149
-116.83431148961547,190173
-114.26828158338274,190349
-111.70440381775333,190233
-109.14267452844916,190239
-106.58309006257842,190218
-104.0256467786031,190300
-101.47034104630426,190239
-98.91716924673426,190267
-96.36612777218873,190261
-93.81721302616957,190253
-91.2704214233351,190287
-88.72574938947191,190275
-86.18319336145801,190252
-83.64274978721505,190314
-81.10441512568885,190332
-78.56818584679087,190336
-76.03405843137865,190439
-73.50202937120818,190402
-70.97209516889694,190324
-68.44425233790228,190297
-65.91849740245851,190233
-63.39482689756392,190282
-60.87323736892434,190223
-58.353725372944574,190353
-55.836287476650206,190435
-53.320920257696365,190399
-50.80762030429831,190478
-48.296384215211916,190426
-45.787208599690295,190471
-43.28009007745345,190429
-40.775025278644904,190429
-38.272010843805674,190391
-35.77104342382875,190366
-33.27211967993522,190521
-30.775236283622256,190407
-28.280389916643564,190490
-25.787577270966043,190490
-23.29679504873509,190565
-20.808039962242045,190567
-18.321308733889545,190590
-15.836598096148103,190621
-13.353904791536635,190538
-10.87322557257256,190473
-8.39455720174579,190610
-5.917896451481871,190552
-3.4432401041072787,190656
-0.9705849518147278,190609
