24_tragacanth_Merck_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,210543
-358.5672754570978,210847
-355.77025989936726,211310
-352.97591591093277,211639
-350.18423885041375,211842
-347.3952240861159,212386
-344.60886699602463,212488
-341.82516296777254,212771
-339.0441073986201,213011
-336.2656956954402,213198
-333.48992327468994,213460
-330.7167855623894,213692
-327.9462779940995,214010
-325.17839601490897,214221
-322.4131350793979,214571
-319.65049065163294,214871
-316.89045820512644,215216
-314.1330332228362,215478
-311.3782111971333,215769
-308.6259876297756,216000
-305.8763580319037,216123
-303.1293179239997,216276
-300.38486283588077,216477
-297.64298830667076,216907
-294.903689884783,217250
-292.1669631279051,217651
-289.43280360295984,217977
-286.7012068861032,218179
-283.97216856270023,218560
-281.2456842272927,218692
-278.5217494835949,218986
-275.8003599444628,219252
-273.0815112318751,219656
-270.3651989769155,219900
-267.65141881975126,220266
-264.9401664096113,220409
-262.2314374047734,220729
-259.5252274725313,221121
-256.82153228918884,221215
-254.12034754002676,221554
-251.42166891929662,221685
-248.72549213018382,221946
-246.03181288480965,222288
-243.34062690418816,222615
-240.6519299182259,222907
-237.96571766568744,223186
-235.28198589419304,223140
-232.6007303601798,223545
-229.92194682889274,223930
-227.2456310743699,224171
-224.57177887940955,224579
-221.90038603556388,224759
-219.23144834311074,224963
-216.56496161104496,225231
-213.90092165704144,225480
-211.23932430745958,225745
-208.58016539730423,225953
-205.92344077021698,226274
-203.2691462784523,226403
-200.6172777828689,226668
-197.9678311528929,227087
-195.32080226651985,227476
-192.6761870102737,227722
-190.03398127921548,228129
-187.39418097689756,228176
-184.75678201536383,228502
-182.1217803151193,228781
-179.48917180512365,228984
-176.85895242276067,229279
-174.23111811382987,229441
-171.6056648325224,229746
-168.9825885414038,230069
-166.36188521139883,230096
-163.7435508217676,230382
-161.1275813600925,230582
-158.5139728222675,230911
-155.9027212124568,231093
-153.29382254310144,231230
-150.68727283489102,231563
-148.08306811674427,231877
-145.48120442579815,231995
-142.88167780737976,232231
-140.28448431499964,232473
-137.68962001033026,232744
-135.09708096318215,233003
-132.50686325150164,233232
-129.9189629613319,233388
-127.33337618681942,233690
-124.7500990301728,234008
-122.16912760167152,234143
-119.59045801962237,234115
-117.01408641036403,234502
-114.44000890823217,234800
-111.86822165555957,234968
-109.29872080263922,235201
-106.73150250773517,235289
-104.16656293703048,235511
-101.60389826464238,235615
-99.04350467258762,235955
-96.4853783507651,236093
-93.92951549695586,236336
-91.37591231678189,236606
-88.82456502370832,236888
-86.27546983902167,237073
-83.72862299181041,237150
-81.18402071895193,237343
-78.641659265093,237572
-76.10153488263674,237782
-73.56364383172102,238006
-71.02798238021188,238262
-68.49454680367319,238459
-65.96333338536667,238665
-63.43433841622149,238711
-60.9075581948235,238909
-58.38298902740647,238985
-55.86062722782179,239359
-53.34046911753196,239531
-50.82251102559538,239767
-48.30674928864472,240097
-45.79318025087816,240063
-43.28180026403347,240265
-40.77260568738361,240397
-38.265592887712884,240444
-35.76075823930394,240863
-33.2580981239226,240818
-30.757608930802665,241141
-28.259287056628565,241396
-25.763128905524535,241622
-23.26913088903076,241421
-20.777289426094672,241823
-18.287600943053643,241954
-15.800061873619784,241957
-13.314668658862601,242325
-10.831417747200321,242469
-8.350305594373875,242550
-5.871328663444725,242627
-3.394483424768845,242911
-0.9197663559815452,243411
1.5528260580025335,243237
4.02329732502411,243415
6.491650945681434,243774
8.957890413351967,243637
11.422019214203226,243938
13.884040827203629,244259
16.343958724152845,244517
18.801776369677462,244440
21.257497221257008,244921
23.711124729236968,244811
26.16266233684177,244974
28.61211348018783,245063
31.059481588305207,245510
33.50477008314412,245437
35.94798237959015,245683
38.38912188548803,245562
40.82819200163954,245916
43.265196121833846,245898
45.70013763285398,246010
48.133019914492046,246085
50.5638463395644,246306
52.99262027392247,246631
55.419345076474464,246718
57.84402409919186,247354
60.26666068712459,247222
62.687258178416215,247559
65.10581990432779,247475
67.522349189227,247848
69.93684935063371,248145
72.34932369920696,248163
74.75977553877316,248287
77.16820816633472,248528
79.57462487208745,248493
81.97902893943356,248764
84.38142364498815,248948
86.78181225860519,248975
89.18019804338411,249191
91.5765842556763,249249
93.97097414511317,249309
96.36337095461286,249524
98.75377792039524,249733
101.14219827198632,249613
