25_alpha_propylene_glycol_PSM_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186663
-358.5672754570978,186882
-355.77025989936726,186987
-352.97591591093277,187034
-350.18423885041375,187114
-347.3952240861159,187186
-344.60886699602463,187162
-341.82516296777254,187147
-339.0441073986201,187183
-336.2656956954402,187107
-333.48992327468994,187166
-330.7167855623894,187168
-327.9462779940995,187178
-325.17839601490897,187183
-322.4131350793979,187164
-319.65049065163294,187133
-316.89045820512644,187155
-314.1330332228362,187214
-311.3782111971333,187173
-308.6259876297756,187175
-305.8763580319037,187225
-303.1293179239997,187237
-300.38486283588077,187177
-297.64298830667076,187237
-294.903689884783,187231
-292.1669631279051,187281
-289.43280360295984,187258
-286.7012068861032,187354
-283.97216856270023,187232
-281.2456842272927,187329
-278.5217494835949,187368
-275.8003599444628,187349
-273.0815112318751,187383
-270.3651989769155,187350
-267.65141881975126,187501
-264.9401664096113,187391
-262.2314374047734,187400
-259.5252274725313,187444
-256.82153228918884,187484
-254.12034754002676,187518
-251.42166891929662,187485
-248.72549213018382,187495
-246.03181288480965,187494
-243.34062690418816,187476
-240.6519299182259,187531
-237.96571766568744,187530
-235.28198589419304,187576
-232.6007303601798,187609
-229.92194682889274,187615
-227.2456310743699,187718
-224.57177887940955,187732
-221.90038603556388,187700
-219.23144834311074,187725
-216.56496161104496,187691
-213.90092165704144,187724
-211.23932430745958,187764
-208.58016539730423,187776
-205.92344077021698,187836
-203.2691462784523,187744
-200.6172777828689,187837
-197.9678311528929,187897
-195.32080226651985,187840
-192.6761870102737,187935
-190.03398127921548,187901
-187.39418097689756,187966
-184.75678201536383,187981
-182.1217803151193,187869
-179.48917180512365,187951
-176.85895242276067,188012
-174.23111811382987,187997
-171.6056648325224,188071
-168.9825885414038,188049
-166.36188521139883,187987
-163.7435508217676,188074
-161.1275813600925,188081
-158.5139728222675,188097
-155.9027212124568,188156
-153.29382254310144,188259
-150.68727283489102,188209
-148.08306811674427,188200
-145.48120442579815,188273
-142.88167780737976,188273
-140.28448431499964,188222
-137.68962001033026,188232
-135.09708096318215,188321
-132.50686325150164,188312
-129.9189629613319,188305
-127.33337618681942,188346
-124.7500990301728,188388
-122.16912760167152,188352
-119.59045801962237,188412
-117.01408641036403,188422
-114.44000890823217,188485
-111.86822165555957,188446
-109.29872080263922,188403
-106.73150250773517,188497
-104.16656293703048,188480
-101.60389826464238,188563
-99.04350467258762,188593
-96.4853783507651,188564
-93.92951549695586,188587
-91.37591231678189,188673
-88.82456502370832,188542
-86.27546983902167,188695
-83.72862299181041,188733
-81.18402071895193,188717
-78.641659265093,188605
-76.10153488263674,188713
-73.56364383172102,188691
-71.02798238021188,188680
-68.49454680367319,188711
-65.96333338536667,188718
-63.43433841622149,188827
-60.9075581948235,188782
-58.38298902740647,188847
-55.86062722782179,188882
-53.34046911753196,188852
-50.82251102559538,188922
-48.30674928864472,188854
-45.79318025087816,188938
-43.28180026403347,188909
-40.77260568738361,188900
-38.265592887712884,188976
-35.76075823930394,189094
-33.2580981239226,188998
-30.757608930802665,188941
-28.259287056628565,189033
-25.763128905524535,189017
-23.26913088903076,189054
-20.777289426094672,189089
-18.287600943053643,189074
-15.800061873619784,189090
-13.314668658862601,189097
-10.831417747200321,189197
-8.350305594373875,189195
-5.871328663444725,189077
-3.394483424768845,189150
-0.9197663559815452,189171
1.5528260580025335,189245
4.02329732502411,189209
6.491650945681434,189119
8.957890413351967,189255
11.422019214203226,189219
13.884040827203629,189204
16.343958724152845,189306
18.801776369677462,189264
21.257497221257008,189251
23.711124729236968,189303
26.16266233684177,189313
28.61211348018783,189321
31.059481588305207,189304
33.50477008314412,189327
35.94798237959015,189359
38.38912188548803,189343
40.82819200163954,189337
43.265196121833846,189339
45.70013763285398,189370
48.133019914492046,189407
50.5638463395644,189492
52.99262027392247,189446
55.419345076474464,189459
57.84402409919186,189465
60.26666068712459,189451
62.687258178416215,189510
65.10581990432779,189468
67.522349189227,189434
69.93684935063371,189517
72.34932369920696,189467
74.75977553877316,189428
77.16820816633472,189465
79.57462487208745,189495
81.97902893943356,189588
84.38142364498815,189532
86.78181225860519,189607
89.18019804338411,189530
91.5765842556763,189517
