26_beta_propylene_glycol_Scharlau_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186573
-358.5672754570978,186723
-355.77025989936726,186905
-352.97591591093277,186981
-350.18423885041375,187042
-347.3952240861159,187055
-344.60886699602463,186945
-341.82516296777254,187037
-339.0441073986201,187029
-336.2656956954402,186996
-333.48992327468994,187039
-330.7167855623894,186963
-327.9462779940995,186965
-325.17839601490897,187038
-322.4131350793979,187017
-319.65049065163294,187034
-316.89045820512644,187043
-314.1330332228362,187085
-311.3782111971333,187105
-308.6259876297756,187009
-305.8763580319037,187119
-303.1293179239997,187120
-300.38486283588077,187097
-297.64298830667076,187100
-294.903689884783,187147
-292.1669631279051,187075
-289.43280360295984,187097
-286.7012068861032,187231
-283.97216856270023,187118
-281.2456842272927,187159
-278.5217494835949,187131
-275.8003599444628,187199
-273.0815112318751,187134
-270.3651989769155,187166
-267.65141881975126,187255
-264.9401664096113,187235
-262.2314374047734,187240
-259.5252274725313,187263
-256.82153228918884,187258
-254.12034754002676,187243
-251.42166891929662,187303
-248.72549213018382,187317
-246.03181288480965,187281
-243.34062690418816,187277
-240.6519299182259,187330
-237.96571766568744,187340
-235.28198589419304,187296
-232.6007303601798,187409
-229.92194682889274,187341
-227.2456310743699,187407
-224.57177887940955,187398
-221.90038603556388,187394
-219.23144834311074,187468
-216.56496161104496,187398
-213.90092165704144,187467
-211.23932430745958,187522
-208.58016539730423,187479
-205.92344077021698,187474
-203.2691462784523,187549
-200.6172777828689,187551
-197.9678311528929,187551
-195.32080226651985,187555
-192.6761870102737,187559
-190.03398127921548,187637
-187.39418097689756,187591
-184.75678201536383,187602
-182.1217803151193,187645
-179.48917180512365,187633
-176.85895242276067,187632
-174.23111811382987,187585
-171.6056648325224,187641
-168.9825885414038,187615
-166.36188521139883,187667
-163.7435508217676,187742
-161.1275813600925,187691
-158.5139728222675,187761
-155.9027212124568,187744
-153.29382254310144,187830
-150.68727283489102,187832
-148.08306811674427,187869
-145.48120442579815,187884
-142.88167780737976,187796
-140.28448431499964,187787
-137.68962001033026,187874
-135.09708096318215,187887
-132.50686325150164,187873
-129.9189629613319,187802
-127.33337618681942,187890
-124.7500990301728,187927
-122.16912760167152,187876
-119.59045801962237,187865
-117.01408641036403,188023
-114.44000890823217,187934
-111.86822165555957,188004
-109.29872080263922,188000
-106.73150250773517,187927
-104.16656293703048,187985
-101.60389826464238,188032
-99.04350467258762,188095
-96.4853783507651,188021
-93.92951549695586,188067
-91.37591231678189,188073
-88.82456502370832,188135
-86.27546983902167,188117
-83.72862299181041,188176
-81.18402071895193,188181
-78.641659265093,188183
-76.10153488263674,188202
-73.56364383172102,188235
-71.02798238021188,188186
-68.49454680367319,188148
-65.96333338536667,188224
-63.43433841622149,188234
-60.9075581948235,188205
-58.38298902740647,188205
-55.86062722782179,188276
-53.34046911753196,188287
-50.82251102559538,188275
-48.30674928864472,188291
-45.79318025087816,188307
-43.28180026403347,188306
-40.77260568738361,188314
-38.265592887712884,188372
-35.76075823930394,188392
-33.2580981239226,188335
-30.757608930802665,188379
-28.259287056628565,188406
-25.763128905524535,188412
-23.26913088903076,188434
-20.777289426094672,188405
-18.287600943053643,188412
-15.800061873619784,188453
-13.314668658862601,188419
-10.831417747200321,188456
-8.350305594373875,188459
-5.871328663444725,188376
-3.394483424768845,188474
-0.9197663559815452,188499
1.5528260580025335,188563
4.02329732502411,188461
6.491650945681434,188500
8.957890413351967,188482
11.422019214203226,188534
13.884040827203629,188540
16.343958724152845,188550
18.801776369677462,188593
21.257497221257008,188564
23.711124729236968,188517
26.16266233684177,188559
28.61211348018783,188623
31.059481588305207,188565
33.50477008314412,188510
35.94798237959015,188586
38.38912188548803,188531
40.82819200163954,188537
43.265196121833846,188589
45.70013763285398,188684
48.133019914492046,188599
50.5638463395644,188647
52.99262027392247,188715
55.419345076474464,188617
57.84402409919186,188637
60.26666068712459,188718
62.687258178416215,188599
65.10581990432779,188670
67.522349189227,188684
69.93684935063371,188654
72.34932369920696,188734
74.75977553877316,188702
77.16820816633472,188746
79.57462487208745,188685
81.97902893943356,188694
84.38142364498815,188727
86.78181225860519,188784
89.18019804338411,188681
91.5765842556763,188746
93.97097414511317,188730
96.36337095461286,188694
98.75377792039524,188746
101.14219827198632,188784
103.52863523224644,188781
105.91309201737246,188799
108.29557183691723,188769
110.67607789380044,188802
113.05461338431732,188836
115.43118149816029,188868
117.80578541843202,188818
120.17842832164972,188809
122.54911337776466,188784
124.91784375017302,188830
127.28462259573546,188834
129.64945306477702,188882
132.01233830111318,188849
134.37328144205426,188882
136.73228561842484,188851
139.08935395456598,188887
141.44448956836774,188937
143.79769557125834,188889
146.1489750682302,188804
148.49833115785282,188884
150.84576693228604,188935
153.191285477282,188883
155.5348898722112,188947
157.87658319007124,188867
160.21636849749328,189000
162.55424885475938,188839
164.89022731581764,188978
167.22430692828888,189042
169.55649073348158,188994
171.88678176640724,188971
174.2151830557868,189108
176.541697624068,189053
178.86632848743622,188974
181.1890786558275,188969
183.50995113293294,188991
185.82894891622453,189076
188.14607499695757,189121
190.46133236019,189060
192.77472398478028,189000
195.0862528434221,188975
197.39592190262928,189044
199.7037341227746,189095
202.00969245808562,189004
204.31379985665336,189083
206.61605926045826,189156
208.91647360537667,189199
211.21504582118305,189163
213.51177883157823,189168
215.8066755541849,189193
218.09973890057378,189161
220.39097177626363,189121
222.6803770807406,189214
224.96795770746712,189183
227.25371654389036,189263
229.53765647146196,189181
231.81978036564652,189240
234.10009109591954,189278
236.37859152580424,189252
238.65528451286502,189273
240.93017290871848,189267
243.20325955905915,189350
245.47454730365104,189271
247.74403897635798,189266
250.0117374051392,189422
252.27764541207966,189316
254.54176581337717,189319
256.8041014193705,189314
259.06465503454814,189302
261.32342945755454,189335
263.5804274812056,189371
265.83565189250163,189390
268.08910547262496,189404
270.34079099697277,189419
272.59071123515247,189473
274.83886895099266,189503
277.0852669025671,189449
279.329907842186,189443
281.5727945164261,189479
283.8139296661309,189492
286.0533160264217,189565
288.2909563267167,189518
290.5268532907269,189570
292.76100963648423,189611
294.99342807633514,189639
297.2241113169665,189626
299.45306205941216,189585
301.68028299905075,189649
303.9057768256361,189777
306.1295462232971,189684
308.3515938705466,189780
310.5719224402942,189676
312.79053459986596,189735
315.0074330109955,189770
317.2226203298524,189773
319.4360992070464,189753
321.647872287634,189853
323.85794221113366,189813
326.0663116115363,189803
328.27298311731033,189745
330.477959351416,189828
332.6812429313214,189895
334.8828364690016,189940
337.08274257095246,189861
339.28096383820537,189935
341.47750286633163,190045
343.67236224546207,189960
345.8655445602848,189977
348.05705239006033,190085
350.24688830863477,189961
352.43505488444845,190065
354.62155468054004,190072
356.80639025456856,190114
358.9895641588131,190104
361.1710789401838,190095
363.3509371402349,190065
365.5291412951755,190188
367.70569393587823,190130
369.8805975878858,190185
372.05385477142835,190163
374.2254680014212,190153
376.3954397874845,190138
378.56377263395825,190245
380.7304690398917,190222
382.89553149907334,190250
385.05896250003343,190184
387.2207645260438,190240
389.38094005515256,190216
391.53949156016256,190289
393.6964215086637,190347
