27_mannitol_MB_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,185823
-358.5672754570978,186036
-355.77025989936726,186085
-352.97591591093277,186196
-350.18423885041375,186191
-347.3952240861159,186193
-344.60886699602463,186275
-341.82516296777254,186221
-339.0441073986201,186244
-336.2656956954402,186240
-333.48992327468994,186244
-330.7167855623894,186181
-327.9462779940995,186206
-325.17839601490897,186123
-322.4131350793979,186098
-319.65049065163294,186170
-316.89045820512644,186176
-314.1330332228362,186157
-311.3782111971333,186192
-308.6259876297756,186119
-305.8763580319037,186171
-303.1293179239997,186178
-300.38486283588077,186198
-297.64298830667076,186181
-294.903689884783,186153
-292.1669631279051,186101
-289.43280360295984,186150
-286.7012068861032,186172
-283.97216856270023,186186
-281.2456842272927,186168
-278.5217494835949,186095
-275.8003599444628,186156
-273.0815112318751,186146
-270.3651989769155,186220
-267.65141881975126,186222
-264.9401664096113,186204
-262.2314374047734,186147
-259.5252274725313,186203
-256.82153228918884,186159
-254.12034754002676,186190
-251.42166891929662,186167
-248.72549213018382,186076
-246.03181288480965,186255
-243.34062690418816,186149
-240.6519299182259,186120
-237.96571766568744,186158
-235.28198589419304,186143
-232.6007303601798,186133
-229.92194682889274,186155
-227.2456310743699,186204
-224.57177887940955,186224
-221.90038603556388,186201
-219.23144834311074,186204
-216.56496161104496,186238
-213.90092165704144,186185
-211.23932430745958,186168
-208.58016539730423,186267
-205.92344077021698,186181
-203.2691462784523,186118
-200.6172777828689,186167
-197.9678311528929,186195
-195.32080226651985,186179
-192.6761870102737,186183
-190.03398127921548,186220
-187.39418097689756,186240
-184.75678201536383,186201
-182.1217803151193,186161
-179.48917180512365,186127
-176.85895242276067,186130
-174.23111811382987,186206
-171.6056648325224,186198
-168.9825885414038,186198
-166.36188521139883,186177
-163.7435508217676,186180
-161.1275813600925,186139
-158.5139728222675,186181
-155.9027212124568,186216
-153.29382254310144,186193
-150.68727283489102,186222
-148.08306811674427,186113
-145.48120442579815,186148
-142.88167780737976,186224
-140.28448431499964,186211
-137.68962001033026,186205
-135.09708096318215,186214
-132.50686325150164,186280
-129.9189629613319,186209
-127.33337618681942,186212
-124.7500990301728,186228
-122.16912760167152,186195
-119.59045801962237,186281
-117.01408641036403,186171
-114.44000890823217,186230
-111.86822165555957,186192
-109.29872080263922,186199
-106.73150250773517,186204
-104.16656293703048,186273
-101.60389826464238,186165
-99.04350467258762,186212
-96.4853783507651,186234
-93.92951549695586,186222
-91.37591231678189,186230
-88.82456502370832,186232
-86.27546983902167,186168
-83.72862299181041,186159
-81.18402071895193,186186
-78.641659265093,186190
-76.10153488263674,186213
-73.56364383172102,186265
-71.02798238021188,186123
-68.49454680367319,186226
-65.96333338536667,186157
-63.43433841622149,186244
-60.9075581948235,186217
-58.38298902740647,186179
-55.86062722782179,186263
-53.34046911753196,186265
-50.82251102559538,186224
-48.30674928864472,186230
-45.79318025087816,186260
-43.28180026403347,186217
-40.77260568738361,186204
-38.265592887712884,186178
-35.76075823930394,186236
-33.2580981239226,186198
-30.757608930802665,186204
-28.259287056628565,186206
-25.763128905524535,186223
-23.26913088903076,186154
-20.777289426094672,186263
-18.287600943053643,186144
-15.800061873619784,186180
-13.314668658862601,186219
-10.831417747200321,186195
-8.350305594373875,186143
-5.871328663444725,186185
