28_xylitol_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186049
-358.5672754570978,186208
-355.77025989936726,186373
-352.97591591093277,186378
-350.18423885041375,186440
-347.3952240861159,186416
-344.60886699602463,186456
-341.82516296777254,186444
-339.0441073986201,186416
-336.2656956954402,186443
-333.48992327468994,186353
-330.7167855623894,186366
-327.9462779940995,186378
-325.17839601490897,186389
-322.4131350793979,186383
-319.65049065163294,186349
-316.89045820512644,186324
-314.1330332228362,186348
-311.3782111971333,186318
-308.6259876297756,186386
-305.8763580319037,186432
-303.1293179239997,186370
-300.38486283588077,186340
-297.64298830667076,186417
-294.903689884783,186384
-292.1669631279051,186360
-289.43280360295984,186339
-286.7012068861032,186344
-283.97216856270023,186386
-281.2456842272927,186378
-278.5217494835949,186364
-275.8003599444628,186368
-273.0815112318751,186402
-270.3651989769155,186392
-267.65141881975126,186357
-264.9401664096113,186389
-262.2314374047734,186372
-259.5252274725313,186371
-256.82153228918884,186339
-254.12034754002676,186389
-251.42166891929662,186394
-248.72549213018382,186287
-246.03181288480965,186380
-243.34062690418816,186369
-240.6519299182259,186363
-237.96571766568744,186383
-235.28198589419304,186366
-232.6007303601798,186370
-229.92194682889274,186367
-227.2456310743699,186360
-224.57177887940955,186384
-221.90038603556388,186355
-219.23144834311074,186380
-216.56496161104496,186321
-213.90092165704144,186374
-211.23932430745958,186310
-208.58016539730423,186390
-205.92344077021698,186344
-203.2691462784523,186368
-200.6172777828689,186399
-197.9678311528929,186344
-195.32080226651985,186393
-192.6761870102737,186347
-190.03398127921548,186377
-187.39418097689756,186371
-184.75678201536383,186371
-182.1217803151193,186361
-179.48917180512365,186410
-176.85895242276067,186355
-174.23111811382987,186400
-171.6056648325224,186332
-168.9825885414038,186357
-166.36188521139883,186355
-163.7435508217676,186378
-161.1275813600925,186357
-158.5139728222675,186392
-155.9027212124568,186407
-153.29382254310144,186381
-150.68727283489102,186378
-148.08306811674427,186347
-145.48120442579815,186426
-142.88167780737976,186379
-140.28448431499964,186341
-137.68962001033026,186401
-135.09708096318215,186426
-132.50686325150164,186444
-129.9189629613319,186405
-127.33337618681942,186411
-124.7500990301728,186382
-122.16912760167152,186354
-119.59045801962237,186326
-117.01408641036403,186373
-114.44000890823217,186378
-111.86822165555957,186424
-109.29872080263922,186368
-106.73150250773517,186382
-104.16656293703048,186282
-101.60389826464238,186393
-99.04350467258762,186405
-96.4853783507651,186385
-93.92951549695586,186363
-91.37591231678189,186450
-88.82456502370832,186418
-86.27546983902167,186416
-83.72862299181041,186400
-81.18402071895193,186423
-78.641659265093,186389
-76.10153488263674,186373
-73.56364383172102,186399
-71.02798238021188,186357
-68.49454680367319,186333
-65.96333338536667,186415
-63.43433841622149,186381
-60.9075581948235,186380
-58.38298902740647,186431
-55.86062722782179,186298
-53.34046911753196,186360
-50.82251102559538,186349
-48.30674928864472,186402
-45.79318025087816,186369
-43.28180026403347,186377
-40.77260568738361,186398
-38.265592887712884,186317
-35.76075823930394,186428
-33.2580981239226,186477
-30.757608930802665,186364
-28.259287056628565,186390
-25.763128905524535,186423
-23.26913088903076,186379
-20.777289426094672,186366
-18.287600943053643,186399
-15.800061873619784,186447
-13.314668658862601,186440
-10.831417747200321,186386
-8.350305594373875,186351
-5.871328663444725,186456
-3.394483424768845,186365
-0.9197663559815452,186439
1.5528260580025335,186416
4.02329732502411,186353
6.491650945681434,186381
8.957890413351967,186367
11.422019214203226,186402
13.884040827203629,186389
16.343958724152845,186390
18.801776369677462,186305
21.257497221257008,186375
23.711124729236968,186333
26.16266233684177,186310
28.61211348018783,186327
31.059481588305207,186387
33.50477008314412,186350
35.94798237959015,186343
38.38912188548803,186303
40.82819200163954,186392
43.265196121833846,186327
45.70013763285398,186327
48.133019914492046,186415
50.5638463395644,186349
52.99262027392247,186374
55.419345076474464,186337
57.84402409919186,186378
60.26666068712459,186415
62.687258178416215,186417
65.10581990432779,186352
67.522349189227,186329
69.93684935063371,186383
72.34932369920696,186334
74.75977553877316,186358
77.16820816633472,186387
79.57462487208745,186313
81.97902893943356,186390
84.38142364498815,186359
86.78181225860519,186362
89.18019804338411,186350
91.5765842556763,186392
93.97097414511317,186357
96.36337095461286,186292
98.75377792039524,186326
101.14219827198632,186311
103.52863523224644,186374
105.91309201737246,186370
108.29557183691723,186365
110.67607789380044,186398
113.05461338431732,186382
115.43118149816029,186325
117.80578541843202,186342
120.17842832164972,186329
122.54911337776466,186316
124.91784375017302,186366
127.28462259573546,186324
129.64945306477702,186356
132.01233830111318,186364
134.37328144205426,186395
136.73228561842484,186354
139.08935395456598,186329
141.44448956836774,186299
143.79769557125834,186379
146.1489750682302,186366
148.49833115785282,186374
150.84576693228604,186396
153.191285477282,186344
155.5348898722112,186350
157.87658319007124,186451
160.21636849749328,186314
162.55424885475938,186313
164.89022731581764,186337
167.22430692828888,186403
169.55649073348158,186381
171.88678176640724,186390
174.2151830557868,186378
176.541697624068,186321
178.86632848743622,186335
181.1890786558275,186413
183.50995113293294,186385
185.82894891622453,186397
188.14607499695757,186316
190.46133236019,186320
192.77472398478028,186361
195.0862528434221,186401
197.39592190262928,186316
199.7037341227746,186347
202.00969245808562,186350
204.31379985665336,186371
206.61605926045826,186327
208.91647360537667,186346
211.21504582118305,186364
213.51177883157823,186360
215.8066755541849,186375
218.09973890057378,186335
220.39097177626363,186366
222.6803770807406,186287
224.96795770746712,186358
227.25371654389036,186363
229.53765647146196,186355
231.81978036564652,186353
234.10009109591954,186334
236.37859152580424,186418
238.65528451286502,186401
240.93017290871848,186318
243.20325955905915,186331
245.47454730365104,186294
247.74403897635798,186306
250.0117374051392,186335
252.27764541207966,186315
254.54176581337717,186416
256.8041014193705,186429
259.06465503454814,186324
261.32342945755454,186326
263.5804274812056,186380
265.83565189250163,186319
268.08910547262496,186405
270.34079099697277,186327
272.59071123515247,186352
274.83886895099266,186384
277.0852669025671,186351
279.329907842186,186355
281.5727945164261,186332
283.8139296661309,186355
286.0533160264217,186364
288.2909563267167,186347
290.5268532907269,186406
292.76100963648423,186380
294.99342807633514,186351
297.2241113169665,186396
299.45306205941216,186325
301.68028299905075,186321
303.9057768256361,186376
306.1295462232971,186363
308.3515938705466,186309
310.5719224402942,186335
312.79053459986596,186319
315.0074330109955,186397
317.2226203298524,186304
319.4360992070464,186413
321.647872287634,186389
323.85794221113366,186419
326.0663116115363,186396
328.27298311731033,186334
330.477959351416,186355
332.6812429313214,186369
334.8828364690016,186380
337.08274257095246,186332
339.28096383820537,186386
341.47750286633163,186344
343.67236224546207,186465
345.8655445602848,186371
348.05705239006033,186441
350.24688830863477,186412
352.43505488444845,186402
354.62155468054004,186387
356.80639025456856,186400
358.9895641588131,186366
361.1710789401838,186377
363.3509371402349,186373
365.5291412951755,186404
367.70569393587823,186396
369.8805975878858,186398
372.05385477142835,186363
374.2254680014212,186399
376.3954397874845,186435
378.56377263395825,186387
380.7304690398917,186359
382.89553149907334,186362
385.05896250003343,186387
387.2207645260438,186428
389.38094005515256,186400
391.53949156016256,186350
393.6964215086637,186398
395.85173236303524,186394
398.0054265804501,186395
400.1575066128987,186382
402.3079749071803,186377
404.45683390492263,186337
406.60408604259675,186408
408.74973375151086,186451
410.8937794578384,186418
413.03622558260497,186474
415.17707454172097,186431
417.3163287459771,186469
419.4539906010597,186326
421.5900625075442,186385
423.7245468609362,186417
425.85744605165,186410
427.9887624650323,186459
430.11849848136876,186442
432.24665647589256,186377
434.3732388187955,186417
436.4982478752364,186470
438.6216860053477,186436
440.7435555642465,186473
442.86385890204275,186424
444.98259836385284,186435
447.0997762897992,186441
449.2153950150322,186331
451.32945686972334,186411
453.4419641790853,186499
455.55291926338646,186495
457.6623244379385,186401
459.7701820131263,186491
461.87649429440614,186463
463.9812635823205,186430
466.0844921724962,186422
468.18618235567027,186470
470.28633641768135,186409
472.38495663948913,186399
474.4820452971766,186397
476.57760466196953,186438
478.67163700022985,186400
480.76414457347977,186447
482.85512963839284,186434
484.94459444682224,186413
487.0325412457922,186386
489.1189722775217,186494
491.20388977942025,186511
493.2872959840986,186477
495.3691931193884,186469
497.4495834083378,186462
499.5284690692244,186487
501.6058523155619,186415
503.6817353561173,186467
505.7561203949067,186448
507.8290096312125,186453
509.90040525958347,186417
511.9703094698543,186464
514.0387244471499,186458
516.1056523718833,186515
518.1710954197771,186418
520.2350557618681,186462
522.297535564516,186471
524.3585369894051,186402
526.4180621935601,186476
528.4761133293498,186549
530.532692544505,186512
532.5878019821076,186515
534.6414437806184,186508
536.6936200738706,186484
538.7443329910902,186445
540.7935846568927,186419
542.8413771912986,186495
544.8877127097385,186499
546.9325933230668,186551
548.9760211375527,186489
551.0179982549154,186500
553.0585267723011,186469
555.0976087823198,186518
557.1352463730342,186476
559.1714416279709,186458
561.2061966261354,186480
563.2395134420138,186430
565.2713941455825,186552
567.3018408023137,186578
569.3308554731891,186542
571.3584402147017,186583
573.38459707886,186531
575.4093281132104,186531
577.4326353608323,186508
579.4545208603463,186559
581.4749866459327,186568
583.49403474732,186591
585.5116671898151,186534
587.5278859942948,186636
589.5426931772172,186569
591.5560907506315,186567
593.5680807221872,186575
595.5786650951346,186612
597.5878458683434,186734
599.5956250362945,186660
601.602004589104,186672
603.6069865125183,186756
605.6105727879346,186758
607.6127653923888,186819
609.6135662985803,186907
611.612977474878,186991
613.6110008853166,186977
615.607638489613,187187
617.6028922431692,187245
619.5967640970873,187349
621.5892559981651,187442
623.5803698889132,187693
625.5701077075557,187942
627.5584713880469,188334
629.5454628600628,189010
631.5310840490249,189650
633.5153368760984,190424
635.4982232581962,191145
637.4797451080003,191836
639.4599043339517,192616
641.4387028402715,193801
643.4161425269567,195302
645.3922252897958,197111
647.3669530203722,198342
649.3403276060737,198031
651.312350930099,196138
653.2830248714528,193497
655.2523513049806,191574
657.2203321013455,190470
659.1869691270516,189873
661.1522642444522,189317
663.1162193117485,188863
665.0788361830043,188567
667.0401167081395,188192
669.0000627329606,187918
670.9586760991413,187749
672.9159586442499,187584
674.8719122017421,187570
676.8265386009813,187520
678.7798396672302,187476
680.7318172216713,187491
682.6824730814013,187507
684.6318090594511,187443
686.579826964784,187488
688.5265286022995,187406
690.4719157728532,187558
692.4159902732497,187620
694.3587538962544,187638
696.3002084306034,187762
698.2403556610064,187932
700.1791973681526,188114
702.1167353287242,188277
704.0529713153937,188502
705.9879070968334,188628
707.9215444377295,188774
709.8538850987788,188795
711.7849308366968,188970
713.714683404235,189171
715.6431445501659,189199
717.5703160193134,189471
719.4961995525485,189482
721.4207968867913,189436
723.3441097550218,189223
725.266139886291,188864
727.1868890057204,188487
729.1063588345096,188166
731.0245510899477,187977
732.9414674854171,187735
734.857109730392,187668
736.7714795304594,187598
738.6845785873155,187589
740.5964085987733,187647
742.5069712587708,187660
744.4162682573776,187612
746.3243012808011,187486
748.231072011385,187519
750.1365821276345,187434
752.0408333042019,187564
753.9438272119014,187728
755.845565517724,187913
757.7460498848251,188298
759.6452819725436,188675
761.5432634364129,188817
763.4399959281498,188721
765.3354810956744,188432
767.2297205831165,188152
769.122716030809,187873
771.0144690753094,187638
772.9049813493958,187483
774.7942544820801,187498
776.6822900986069,187573
778.5690898204616,187591
780.4546552653821,187765
782.3389880473596,187904
784.2220897766468,187981
786.1039620597537,188244
787.9846064994781,188403
789.8640246948837,188456
791.7422182413219,188586
793.6191887304386,188626
795.4949377501734,188568
797.3694668847648,188641
799.242777714767,188863
801.1148718170373,188995
802.9857507647658,189230
804.8554161274591,189693
806.7238694709584,189917
808.5911123574454,190250
810.4571463454411,190380
812.3219729898171,190308
814.1855938418024,190200
816.0480104489848,189884
817.9092243553202,189743
819.7692371011349,189844
821.6280502231356,189958
823.4856652544103,190310
825.3420837244407,190911
827.197307159105,191646
829.0513370806771,192156
830.9041750078424,192345
832.7558224556952,192117
834.6062809357546,191782
836.4555519559569,191329
838.3036370206718,191143
840.150537630706,191051
841.9962552832995,191229
843.8407914721489,191281
845.684147687399,191094
847.5263254156514,190633
849.3673261399689,190201
851.2071513398864,189744
853.0458024914172,189263
854.8832810670467,188984
856.7195885357537,188761
858.5547263630024,188687
860.3886960107569,188693
862.2214989374797,188869
864.053136598146,189162
865.8836104442424,189557
867.7129219237709,190192
869.5410724812659,190917
871.3680635577797,191647
873.1938965909078,191992
875.0185730147854,191891
876.8420942600885,191344
878.6644617540525,190519
880.4856769204622,189592
882.3057411796661,188945
884.1246559485819,188390
885.9424226406992,188042
887.7590426660813,187867
889.5745174313831,187655
891.3888483398418,187429
893.2020367912905,187460
895.0140841821599,187426
896.8249919054892,187471
898.6347613509244,187574
900.4433939047238,187692
902.2508909497705,187882
904.0572538655703,188082
905.8624840282644,188380
907.6665828106262,188487
909.4695515820661,188556
911.271391708646,188571
913.0721045530823,188508
914.8716914747392,188775
916.6701538296501,189038
918.467492970513,189444
920.2637102466958,189661
922.0588070042463,189427
