29_D-sorbitol_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,185848
-358.5672754570978,185912
-355.77025989936726,186095
-352.97591591093277,186137
-350.18423885041375,186278
-347.3952240861159,186185
-344.60886699602463,186275
-341.82516296777254,186230
-339.0441073986201,186216
-336.2656956954402,186190
-333.48992327468994,186258
-330.7167855623894,186114
-327.9462779940995,186117
-325.17839601490897,186192
-322.4131350793979,186153
-319.65049065163294,186211
-316.89045820512644,186203
-314.1330332228362,186206
-311.3782111971333,186265
-308.6259876297756,186257
-305.8763580319037,186201
-303.1293179239997,186236
-300.38486283588077,186179
-297.64298830667076,186247
-294.903689884783,186190
-292.1669631279051,186261
-289.43280360295984,186261
-286.7012068861032,186255
-283.97216856270023,186292
-281.2456842272927,186283
-278.5217494835949,186262
-275.8003599444628,186280
-273.0815112318751,186241
-270.3651989769155,186268
-267.65141881975126,186284
-264.9401664096113,186365
-262.2314374047734,186227
-259.5252274725313,186311
-256.82153228918884,186296
-254.12034754002676,186277
-251.42166891929662,186359
-248.72549213018382,186284
-246.03181288480965,186306
-243.34062690418816,186303
-240.6519299182259,186361
-237.96571766568744,186317
-235.28198589419304,186315
-232.6007303601798,186261
-229.92194682889274,186316
-227.2456310743699,186301
-224.57177887940955,186338
-221.90038603556388,186408
-219.23144834311074,186326
-216.56496161104496,186321
-213.90092165704144,186392
-211.23932430745958,186358
-208.58016539730423,186397
-205.92344077021698,186423
-203.2691462784523,186349
-200.6172777828689,186369
-197.9678311528929,186440
-195.32080226651985,186447
-192.6761870102737,186440
-190.03398127921548,186410
-187.39418097689756,186342
-184.75678201536383,186467
-182.1217803151193,186396
-179.48917180512365,186424
-176.85895242276067,186446
-174.23111811382987,186475
-171.6056648325224,186379
-168.9825885414038,186465
-166.36188521139883,186455
-163.7435508217676,186420
-161.1275813600925,186431
-158.5139728222675,186415
-155.9027212124568,186424
-153.29382254310144,186434
-150.68727283489102,186440
-148.08306811674427,186429
-145.48120442579815,186492
-142.88167780737976,186549
-140.28448431499964,186451
-137.68962001033026,186452
-135.09708096318215,186495
-132.50686325150164,186497
-129.9189629613319,186488
-127.33337618681942,186491
-124.7500990301728,186487
-122.16912760167152,186509
-119.59045801962237,186503
-117.01408641036403,186510
-114.44000890823217,186480
-111.86822165555957,186520
-109.29872080263922,186481
-106.73150250773517,186524
-104.16656293703048,186552
-101.60389826464238,186534
-99.04350467258762,186535
-96.4853783507651,186558
-93.92951549695586,186531
-91.37591231678189,186531
-88.82456502370832,186571
-86.27546983902167,186513
-83.72862299181041,186550
-81.18402071895193,186535
-78.641659265093,186573
-76.10153488263674,186608
-73.56364383172102,186590
-71.02798238021188,186601
-68.49454680367319,186585
-65.96333338536667,186604
-63.43433841622149,186533
-60.9075581948235,186668
-58.38298902740647,186617
-55.86062722782179,186637
-53.34046911753196,186571
-50.82251102559538,186643
