2_L-tryptophan_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,191053
-358.5672754570978,191288
-355.77025989936726,191535
-352.97591591093277,191598
-350.18423885041375,191821
-347.3952240861159,191772
-344.60886699602463,191788
-341.82516296777254,191782
-339.0441073986201,191831
-336.2656956954402,191846
-333.48992327468994,191936
-330.7167855623894,191829
-327.9462779940995,191899
-325.17839601490897,192039
-322.4131350793979,192143
-319.65049065163294,192146
-316.89045820512644,192281
-314.1330332228362,192293
-311.3782111971333,192304
-308.6259876297756,192294
-305.8763580319037,192220
-303.1293179239997,192251
-300.38486283588077,192331
-297.64298830667076,192328
-294.903689884783,192482
-292.1669631279051,192531
-289.43280360295984,192668
-286.7012068861032,192782
-283.97216856270023,192785
-281.2456842272927,192910
-278.5217494835949,192917
-275.8003599444628,192933
-273.0815112318751,192948
-270.3651989769155,193017
-267.65141881975126,193049
-264.9401664096113,193129
-262.2314374047734,193145
-259.5252274725313,193280
-256.82153228918884,193225
-254.12034754002676,193212
-251.42166891929662,193333
-248.72549213018382,193328
-246.03181288480965,193422
-243.34062690418816,193580
-240.6519299182259,193480
-237.96571766568744,193633
-235.28198589419304,193532
-232.6007303601798,193633
-229.92194682889274,193698
-227.2456310743699,193696
-224.57177887940955,193765
-221.90038603556388,193885
-219.23144834311074,193943
-216.56496161104496,194037
-213.90092165704144,194033
-211.23932430745958,194064
-208.58016539730423,194028
-205.92344077021698,194187
-203.2691462784523,194181
-200.6172777828689,194286
-197.9678311528929,194373
-195.32080226651985,194343
-192.6761870102737,194370
-190.03398127921548,194433
-187.39418097689756,194453
-184.75678201536383,194446
-182.1217803151193,194585
-179.48917180512365,194589
-176.85895242276067,194617
-174.23111811382987,194799
-171.6056648325224,194739
-168.9825885414038,194847
-166.36188521139883,194924
-163.7435508217676,194908
-161.1275813600925,194908
-158.5139728222675,194963
-155.9027212124568,195058
-153.29382254310144,195031
-150.68727283489102,195126
-148.08306811674427,195037
-145.48120442579815,195134
-142.88167780737976,195208
-140.28448431499964,195205
-137.68962001033026,195214
-135.09708096318215,195367
-132.50686325150164,195355
-129.9189629613319,195514
-127.33337618681942,195492
-124.7500990301728,195473
-122.16912760167152,195554
-119.59045801962237,195623
-117.01408641036403,195730
-114.44000890823217,195651
-111.86822165555957,195743
-109.29872080263922,195846
-106.73150250773517,195722
-104.16656293703048,195887
-101.60389826464238,195838
-99.04350467258762,195945
-96.4853783507651,195989
-93.92951549695586,195990
-91.37591231678189,195958
-88.82456502370832,196001
-86.27546983902167,196176
-83.72862299181041,196193
-81.18402071895193,196253
-78.641659265093,196233
-76.10153488263674,196262
-73.56364383172102,196294
-71.02798238021188,196267
-68.49454680367319,196309
-65.96333338536667,196311
-63.43433841622149,196405
-60.9075581948235,196417
-58.38298902740647,196423
-55.86062722782179,196511
-53.34046911753196,196539
-50.82251102559538,196602
-48.30674928864472,196701
-45.79318025087816,196640
-43.28180026403347,196689
-40.77260568738361,196657
-38.265592887712884,196670
-35.76075823930394,196815
-33.2580981239226,196831
-30.757608930802665,196897
-28.259287056628565,196852
-25.763128905524535,196917
-23.26913088903076,196935
-20.777289426094672,196924
-18.287600943053643,197065
-15.800061873619784,196954
-13.314668658862601,197046
-10.831417747200321,197124
-8.350305594373875,197031
-5.871328663444725,197247
-3.394483424768845,197119
-0.9197663559815452,197160
1.5528260580025335,197237
4.02329732502411,197298
6.491650945681434,197323
8.957890413351967,197378
11.422019214203226,197441
13.884040827203629,197358
16.343958724152845,197488
18.801776369677462,197460
21.257497221257008,197466
23.711124729236968,197605
26.16266233684177,197550
28.61211348018783,197595
31.059481588305207,197569
33.50477008314412,197613
35.94798237959015,197594
38.38912188548803,197747
40.82819200163954,197529
43.265196121833846,197615
45.70013763285398,197692
48.133019914492046,197647
50.5638463395644,197781
52.99262027392247,197695
55.419345076474464,197751
57.84402409919186,197784
60.26666068712459,197887
62.687258178416215,197891
65.10581990432779,197989
67.522349189227,197915
69.93684935063371,198073
72.34932369920696,198053
74.75977553877316,198158
77.16820816633472,198135
79.57462487208745,198198
81.97902893943356,198139
84.38142364498815,198116
86.78181225860519,198102
89.18019804338411,198322
91.5765842556763,198187
93.97097414511317,198225
96.36337095461286,198271
98.75377792039524,198188
101.14219827198632,198251
103.52863523224644,198376
105.91309201737246,198348
108.29557183691723,198417
110.67607789380044,198289
113.05461338431732,198365
115.43118149816029,198512
117.80578541843202,198394
120.17842832164972,198521
122.54911337776466,198582
124.91784375017302,198597
127.28462259573546,198727
129.64945306477702,198711
132.01233830111318,198592
134.37328144205426,198669
136.73228561842484,198668
139.08935395456598,198865
141.44448956836774,198726
143.79769557125834,198845
146.1489750682302,198779
148.49833115785282,198765
150.84576693228604,198820
153.191285477282,198903
155.5348898722112,198941
157.87658319007124,198944
160.21636849749328,198993
162.55424885475938,198948
164.89022731581764,199083
167.22430692828888,199032
169.55649073348158,199052
171.88678176640724,198994
174.2151830557868,199045
176.541697624068,199187
178.86632848743622,199201
181.1890786558275,199253
183.50995113293294,199196
185.82894891622453,199240
188.14607499695757,199381
190.46133236019,199298
192.77472398478028,199409
195.0862528434221,199355
197.39592190262928,199349
199.7037341227746,199373
202.00969245808562,199450
204.31379985665336,199508
206.61605926045826,199557
208.91647360537667,199419
211.21504582118305,199526
213.51177883157823,199560
215.8066755541849,199633
