30_dibutyl_sebacate_Aldrich_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186271
-358.5672754570978,186425
-355.77025989936726,186533
-352.97591591093277,186518
-350.18423885041375,186640
-347.3952240861159,186624
-344.60886699602463,186639
-341.82516296777254,186673
-339.0441073986201,186579
-336.2656956954402,186650
-333.48992327468994,186612
-330.7167855623894,186599
-327.9462779940995,186544
-325.17839601490897,186614
-322.4131350793979,186611
-319.65049065163294,186575
-316.89045820512644,186548
-314.1330332228362,186585
-311.3782111971333,186573
-308.6259876297756,186566
-305.8763580319037,186529
-303.1293179239997,186597
-300.38486283588077,186603
-297.64298830667076,186555
-294.903689884783,186503
-292.1669631279051,186573
-289.43280360295984,186595
-286.7012068861032,186535
-283.97216856270023,186611
-281.2456842272927,186559
-278.5217494835949,186560
-275.8003599444628,186589
-273.0815112318751,186549
-270.3651989769155,186493
-267.65141881975126,186591
-264.9401664096113,186614
-262.2314374047734,186643
-259.5252274725313,186556
-256.82153228918884,186562
-254.12034754002676,186507
-251.42166891929662,186542
-248.72549213018382,186592
-246.03181288480965,186532
-243.34062690418816,186575
-240.6519299182259,186582
-237.96571766568744,186594
-235.28198589419304,186559
-232.6007303601798,186632
-229.92194682889274,186592
-227.2456310743699,186608
-224.57177887940955,186557
-221.90038603556388,186650
-219.23144834311074,186581
-216.56496161104496,186582
-213.90092165704144,186542
-211.23932430745958,186579
-208.58016539730423,186637
-205.92344077021698,186593
-203.2691462784523,186562
-200.6172777828689,186629
-197.9678311528929,186635
-195.32080226651985,186594
-192.6761870102737,186654
-190.03398127921548,186711
-187.39418097689756,186672
-184.75678201536383,186590
-182.1217803151193,186569
-179.48917180512365,186636
-176.85895242276067,186601
-174.23111811382987,186618
-171.6056648325224,186582
-168.9825885414038,186625
-166.36188521139883,186656
-163.7435508217676,186697
-161.1275813600925,186644
-158.5139728222675,186639
-155.9027212124568,186554
-153.29382254310144,186613
-150.68727283489102,186615
-148.08306811674427,186723
-145.48120442579815,186729
-142.88167780737976,186591
-140.28448431499964,186556
-137.68962001033026,186667
-135.09708096318215,186686
-132.50686325150164,186680
-129.9189629613319,186714
-127.33337618681942,186682
-124.7500990301728,186651
-122.16912760167152,186665
-119.59045801962237,186613
-117.01408641036403,186653
-114.44000890823217,186718
-111.86822165555957,186675
-109.29872080263922,186678
-106.73150250773517,186681
