31_triacetin_Merck_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186308
-358.5672754570978,186495
-355.77025989936726,186523
-352.97591591093277,186700
-350.18423885041375,186755
-347.3952240861159,186708
-344.60886699602463,186736
-341.82516296777254,186820
-339.0441073986201,186751
-336.2656956954402,186635
-333.48992327468994,186717
-330.7167855623894,186648
-327.9462779940995,186633
-325.17839601490897,186689
-322.4131350793979,186579
-319.65049065163294,186682
-316.89045820512644,186697
-314.1330332228362,186696
-311.3782111971333,186692
-308.6259876297756,186656
-305.8763580319037,186602
-303.1293179239997,186684
-300.38486283588077,186687
-297.64298830667076,186617
-294.903689884783,186571
-292.1669631279051,186637
-289.43280360295984,186648
-286.7012068861032,186627
-283.97216856270023,186674
-281.2456842272927,186645
-278.5217494835949,186669
-275.8003599444628,186667
-273.0815112318751,186656
-270.3651989769155,186603
-267.65141881975126,186675
-264.9401664096113,186681
-262.2314374047734,186627
-259.5252274725313,186630
-256.82153228918884,186666
-254.12034754002676,186709
-251.42166891929662,186681
-248.72549213018382,186657
-246.03181288480965,186713
-243.34062690418816,186672
-240.6519299182259,186670
-237.96571766568744,186630
-235.28198589419304,186664
-232.6007303601798,186682
-229.92194682889274,186662
-227.2456310743699,186692
-224.57177887940955,186692
-221.90038603556388,186639
-219.23144834311074,186731
-216.56496161104496,186614
-213.90092165704144,186640
-211.23932430745958,186717
-208.58016539730423,186718
-205.92344077021698,186742
-203.2691462784523,186666
-200.6172777828689,186686
-197.9678311528929,186717
-195.32080226651985,186748
-192.6761870102737,186685
-190.03398127921548,186719
-187.39418097689756,186701
-184.75678201536383,186682
-182.1217803151193,186664
-179.48917180512365,186720
-176.85895242276067,186703
-174.23111811382987,186681
-171.6056648325224,186731
-168.9825885414038,186742
-166.36188521139883,186691
-163.7435508217676,186740
-161.1275813600925,186711
-158.5139728222675,186666
-155.9027212124568,186794
-153.29382254310144,186714
-150.68727283489102,186716
-148.08306811674427,186729
-145.48120442579815,186717
-142.88167780737976,186745
-140.28448431499964,186731
-137.68962001033026,186767
-135.09708096318215,186805
-132.50686325150164,186749
-129.9189629613319,186772
-127.33337618681942,186755
-124.7500990301728,186758
-122.16912760167152,186772
-119.59045801962237,186816
-117.01408641036403,186782
-114.44000890823217,186759
-111.86822165555957,186741
-109.29872080263922,186751
-106.73150250773517,186854
-104.16656293703048,186763
-101.60389826464238,186748
-99.04350467258762,186779
-96.4853783507651,186733
-93.92951549695586,186779
-91.37591231678189,186752
-88.82456502370832,186844
-86.27546983902167,186750
-83.72862299181041,186843
-81.18402071895193,186785
-78.641659265093,186832
-76.10153488263674,186787
-73.56364383172102,186756
-71.02798238021188,186813
-68.49454680367319,186852
-65.96333338536667,186780
-63.43433841622149,186821
-60.9075581948235,186832
-58.38298902740647,186820
-55.86062722782179,186863
-53.34046911753196,186745
-50.82251102559538,186868
-48.30674928864472,186878
-45.79318025087816,186837
-43.28180026403347,186827
-40.77260568738361,186729
-38.265592887712884,186780
-35.76075823930394,186754
-33.2580981239226,186800
-30.757608930802665,186874
-28.259287056628565,186844
-25.763128905524535,186858
-23.26913088903076,186832
-20.777289426094672,186820
-18.287600943053643,186805
-15.800061873619784,186868
-13.314668658862601,186887
-10.831417747200321,186906
-8.350305594373875,186927
-5.871328663444725,186818
-3.394483424768845,186814
-0.9197663559815452,186896
1.5528260580025335,186869
4.02329732502411,186831
6.491650945681434,186856
8.957890413351967,186848
11.422019214203226,186808
13.884040827203629,186888
16.343958724152845,186795
18.801776369677462,186840
21.257497221257008,186827
23.711124729236968,186937
26.16266233684177,186917
28.61211348018783,186815
31.059481588305207,186785
33.50477008314412,186807
35.94798237959015,186834
38.38912188548803,186856
40.82819200163954,186805
43.265196121833846,186847
45.70013763285398,186873
48.133019914492046,186871
50.5638463395644,186898
52.99262027392247,186847
55.419345076474464,186873
57.84402409919186,186892
60.26666068712459,186889
62.687258178416215,186875
65.10581990432779,186902
67.522349189227,186845
69.93684935063371,186907
72.34932369920696,186906
74.75977553877316,186869
77.16820816633472,186920
79.57462487208745,186877
81.97902893943356,186895
84.38142364498815,186918
86.78181225860519,186846
89.18019804338411,186921
91.5765842556763,186885
93.97097414511317,186828
96.36337095461286,186892
98.75377792039524,186918
101.14219827198632,186888
103.52863523224644,186908
105.91309201737246,186840
108.29557183691723,186936
110.67607789380044,186927
113.05461338431732,186908
115.43118149816029,186873
117.80578541843202,186952
120.17842832164972,186900
122.54911337776466,186986
124.91784375017302,186914
127.28462259573546,186897
129.64945306477702,186908
132.01233830111318,186922
134.37328144205426,186926
136.73228561842484,186923
139.08935395456598,186918
141.44448956836774,186947
143.79769557125834,186857
146.1489750682302,186886
148.49833115785282,186998
150.84576693228604,187047
153.191285477282,187006
155.5348898722112,186997
157.87658319007124,186964
160.21636849749328,186994
162.55424885475938,186990
164.89022731581764,187105
167.22430692828888,187132
169.55649073348158,187101
171.88678176640724,187180
174.2151830557868,187191
176.541697624068,187282
178.86632848743622,187331
181.1890786558275,187336
183.50995113293294,187486
185.82894891622453,187528
188.14607499695757,187729
190.46133236019,187663
192.77472398478028,187911
195.0862528434221,188049
197.39592190262928,188230
199.7037341227746,188340
202.00969245808562,188420
204.31379985665336,188602
206.61605926045826,188776
208.91647360537667,189002
211.21504582118305,189239
213.51177883157823,189331
215.8066755541849,189544
218.09973890057378,189648
220.39097177626363,189787
222.6803770807406,189981
224.96795770746712,190113
