32_titanium_dioxide_anatase_Aldrich_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,188735
-358.5672754570978,188842
-355.77025989936726,189016
-352.97591591093277,189102
-350.18423885041375,189181
-347.3952240861159,189140
-344.60886699602463,189151
-341.82516296777254,189144
-339.0441073986201,189193
-336.2656956954402,189152
-333.48992327468994,189205
-330.7167855623894,189134
-327.9462779940995,189143
-325.17839601490897,189236
-322.4131350793979,189299
-319.65049065163294,189238
-316.89045820512644,189319
-314.1330332228362,189327
-311.3782111971333,189380
-308.6259876297756,189281
-305.8763580319037,189223
-303.1293179239997,189218
-300.38486283588077,189266
-297.64298830667076,189296
-294.903689884783,189424
-292.1669631279051,189408
-289.43280360295984,189436
-286.7012068861032,189440
-283.97216856270023,189460
-281.2456842272927,189508
-278.5217494835949,189574
-275.8003599444628,189544
-273.0815112318751,189530
-270.3651989769155,189594
-267.65141881975126,189631
-264.9401664096113,189721
-262.2314374047734,189694
-259.5252274725313,189678
-256.82153228918884,189640
-254.12034754002676,189698
-251.42166891929662,189637
-248.72549213018382,189786
-246.03181288480965,189744
-243.34062690418816,189856
-240.6519299182259,189810
-237.96571766568744,189802
-235.28198589419304,189862
-232.6007303601798,189808
-229.92194682889274,189789
-227.2456310743699,189897
-224.57177887940955,189983
-221.90038603556388,189974
-219.23144834311074,190021
-216.56496161104496,189952
-213.90092165704144,189978
-211.23932430745958,189981
-208.58016539730423,190034
-205.92344077021698,190106
-203.2691462784523,190074
-200.6172777828689,190054
-197.9678311528929,190247
-195.32080226651985,190255
-192.6761870102737,190143
-190.03398127921548,190120
-187.39418097689756,190191
-184.75678201536383,190251
-182.1217803151193,190291
-179.48917180512365,190224
-176.85895242276067,190334
-174.23111811382987,190306
-171.6056648325224,190364
-168.9825885414038,190380
-166.36188521139883,190344
-163.7435508217676,190350
-161.1275813600925,190407
-158.5139728222675,190455
-155.9027212124568,190401
-153.29382254310144,190359
-150.68727283489102,190439
-148.08306811674427,190459
-145.48120442579815,190492
-142.88167780737976,190463
-140.28448431499964,190474
-137.68962001033026,190504
-135.09708096318215,190442
-132.50686325150164,190490
-129.9189629613319,190533
-127.33337618681942,190502
-124.7500990301728,190591
-122.16912760167152,190566
-119.59045801962237,190594
-117.01408641036403,190648
-114.44000890823217,190673
-111.86822165555957,190670
-109.29872080263922,190582
-106.73150250773517,190716
-104.16656293703048,190754
-101.60389826464238,190651
-99.04350467258762,190696
-96.4853783507651,190721
-93.92951549695586,190713
-91.37591231678189,190667
-88.82456502370832,190713
-86.27546983902167,190735
-83.72862299181041,190764
-81.18402071895193,190845
-78.641659265093,190908
-76.10153488263674,190846
-73.56364383172102,190822
-71.02798238021188,190841
-68.49454680367319,190858
-65.96333338536667,190861
-63.43433841622149,190873
-60.9075581948235,190881
-58.38298902740647,190804
-55.86062722782179,190942
-53.34046911753196,190874
-50.82251102559538,190929
-48.30674928864472,190835
-45.79318025087816,190966
-43.28180026403347,190962
-40.77260568738361,190968
-38.265592887712884,190928
-35.76075823930394,190902
-33.2580981239226,190992
-30.757608930802665,190959
-28.259287056628565,191017
-25.763128905524535,190939
-23.26913088903076,191001
-20.777289426094672,191038
-18.287600943053643,191064
-15.800061873619784,191085
-13.314668658862601,191056
-10.831417747200321,191173
-8.350305594373875,191095
-5.871328663444725,191107
-3.394483424768845,191046
-0.9197663559815452,191136
1.5528260580025335,191156
4.02329732502411,191035
6.491650945681434,191122
8.957890413351967,191101
11.422019214203226,191146
13.884040827203629,191167
16.343958724152845,191114
18.801776369677462,191214
21.257497221257008,191137
23.711124729236968,191172
26.16266233684177,191184
28.61211348018783,191241
31.059481588305207,191105
33.50477008314412,191120
35.94798237959015,191135
38.38912188548803,191123
40.82819200163954,191144
43.265196121833846,191134
45.70013763285398,191203
48.133019914492046,191240
50.5638463395644,191296
52.99262027392247,191239
55.419345076474464,191158
57.84402409919186,191290
60.26666068712459,191199
62.687258178416215,191324
65.10581990432779,191277
67.522349189227,191268
69.93684935063371,191348
72.34932369920696,191293
74.75977553877316,191293
77.16820816633472,191292
79.57462487208745,191359
81.97902893943356,191291
84.38142364498815,191366
86.78181225860519,191321
89.18019804338411,191371
91.5765842556763,191404
93.97097414511317,191343
96.36337095461286,191308
98.75377792039524,191368
101.14219827198632,191308
103.52863523224644,191358
105.91309201737246,191369
108.29557183691723,191395
110.67607789380044,191345
113.05461338431732,191495
115.43118149816029,191353
117.80578541843202,191396
120.17842832164972,191470
122.54911337776466,191454
124.91784375017302,191437
127.28462259573546,191318
129.64945306477702,191397
132.01233830111318,191481
134.37328144205426,191414
136.73228561842484,191478
139.08935395456598,191368
141.44448956836774,191493
143.79769557125834,191448
146.1489750682302,191468
148.49833115785282,191583
150.84576693228604,191518
153.191285477282,191579
155.5348898722112,191485
157.87658319007124,191531
160.21636849749328,191508
162.55424885475938,191583
164.89022731581764,191505
167.22430692828888,191545
169.55649073348158,191527
171.88678176640724,191521
174.2151830557868,191593
176.541697624068,191615
178.86632848743622,191496
181.1890786558275,191605
183.50995113293294,191601
185.82894891622453,191572
188.14607499695757,191630
190.46133236019,191610
192.77472398478028,191688
195.0862528434221,191653
197.39592190262928,191648
199.7037341227746,191604
202.00969245808562,191734
204.31379985665336,191766
206.61605926045826,191863
208.91647360537667,191948
211.21504582118305,191984
213.51177883157823,192024
215.8066755541849,191923
218.09973890057378,191675
220.39097177626363,191673
222.6803770807406,191734
224.96795770746712,191817
227.25371654389036,191793
229.53765647146196,191851
231.81978036564652,191760
234.10009109591954,191798
236.37859152580424,191907
238.65528451286502,191853
240.93017290871848,191806
243.20325955905915,191806
245.47454730365104,191919
247.74403897635798,191859
250.0117374051392,191851
252.27764541207966,191843
254.54176581337717,191875
256.8041014193705,191869
259.06465503454814,191898
261.32342945755454,191956
263.5804274812056,191917
265.83565189250163,191926
268.08910547262496,191993
270.34079099697277,191970
272.59071123515247,192011
274.83886895099266,191976
277.0852669025671,191955
279.329907842186,191949
281.5727945164261,192010
283.8139296661309,192086
286.0533160264217,191961
288.2909563267167,192024
290.5268532907269,192055
292.76100963648423,192130
294.99342807633514,192020
297.2241113169665,192026
299.45306205941216,192089
301.68028299905075,192083
303.9057768256361,192079
306.1295462232971,192151
308.3515938705466,192206
310.5719224402942,192340
312.79053459986596,192280
315.0074330109955,192229
317.2226203298524,192196
319.4360992070464,192285
321.647872287634,192190
323.85794221113366,192232
326.0663116115363,192356
328.27298311731033,192248
330.477959351416,192189
332.6812429313214,192245
334.8828364690016,192280
337.08274257095246,192367
339.28096383820537,192337
341.47750286633163,192322
343.67236224546207,192332
345.8655445602848,192333
348.05705239006033,192399
350.24688830863477,192449
352.43505488444845,192365
354.62155468054004,192362
356.80639025456856,192458
358.9895641588131,192414
361.1710789401838,192473
363.3509371402349,192409
365.5291412951755,192502
367.70569393587823,192481
369.8805975878858,192550
372.05385477142835,192487
374.2254680014212,192555
376.3954397874845,192461
378.56377263395825,192403
380.7304690398917,192473
382.89553149907334,192528
385.05896250003343,192407
387.2207645260438,192535
389.38094005515256,192421
391.53949156016256,192450
393.6964215086637,192445
395.85173236303524,192471
398.0054265804501,192457
400.1575066128987,192436
402.3079749071803,192476
404.45683390492263,192438
406.60408604259675,192468
408.74973375151086,192426
410.8937794578384,192495
413.03622558260497,192583
415.17707454172097,192531
417.3163287459771,192518
419.4539906010597,192425
421.5900625075442,192440
423.7245468609362,192616
425.85744605165,192587
427.9887624650323,192624
430.11849848136876,192544
432.24665647589256,192556
434.3732388187955,192575
436.4982478752364,192544
438.6216860053477,192502
440.7435555642465,192556
442.86385890204275,192587
444.98259836385284,192487
447.0997762897992,192527
449.2153950150322,192531
451.32945686972334,192434
453.4419641790853,192483
455.55291926338646,192522
457.6623244379385,192570
459.7701820131263,192600
461.87649429440614,192608
463.9812635823205,192530
466.0844921724962,192518
468.18618235567027,192553
470.28633641768135,192504
472.38495663948913,192563
474.4820452971766,192602
476.57760466196953,192508
478.67163700022985,192565
480.76414457347977,192609
482.85512963839284,192662
484.94459444682224,192624
487.0325412457922,192582
489.1189722775217,192553
491.20388977942025,192628
493.2872959840986,192676
495.3691931193884,192646
497.4495834083378,192714
499.5284690692244,192630
501.6058523155619,192674
503.6817353561173,192643
505.7561203949067,192554
507.8290096312125,192627
509.90040525958347,192720
511.9703094698543,192598
514.0387244471499,192653
516.1056523718833,192686
518.1710954197771,192677
520.2350557618681,192732
522.297535564516,192692
524.3585369894051,192663
526.4180621935601,192625
528.4761133293498,192658
530.532692544505,192729
532.5878019821076,192683
534.6414437806184,192763
536.6936200738706,192639
538.7443329910902,192690
540.7935846568927,192773
542.8413771912986,192755
544.8877127097385,192730
546.9325933230668,192664
548.9760211375527,192669
551.0179982549154,192769
553.0585267723011,192725
555.0976087823198,192763
557.1352463730342,192786
559.1714416279709,192819
561.2061966261354,192851
563.2395134420138,192827
565.2713941455825,192770
567.3018408023137,192750
569.3308554731891,192773
571.3584402147017,192910
573.38459707886,192789
575.4093281132104,192777
577.4326353608323,192792
579.4545208603463,192834
581.4749866459327,192828
583.49403474732,192879
585.5116671898151,192828
587.5278859942948,192852
589.5426931772172,192866
591.5560907506315,192787
593.5680807221872,192874
595.5786650951346,192885
597.5878458683434,192954
599.5956250362945,192873
601.602004589104,192883
603.6069865125183,192919
605.6105727879346,193043
607.6127653923888,192975
609.6135662985803,192921
611.612977474878,192992
613.6110008853166,192877
615.607638489613,192939
617.6028922431692,192937
619.5967640970873,192860
621.5892559981651,193024
623.5803698889132,192947
625.5701077075557,192896
627.5584713880469,192916
629.5454628600628,193000
631.5310840490249,193030
633.5153368760984,193041
635.4982232581962,192944
637.4797451080003,193022
639.4599043339517,193034
641.4387028402715,193006
643.4161425269567,193072
645.3922252897958,192968
647.3669530203722,193030
649.3403276060737,193055
651.312350930099,193035
653.2830248714528,193109
655.2523513049806,193032
657.2203321013455,193122
659.1869691270516,193145
661.1522642444522,193009
663.1162193117485,193127
665.0788361830043,193037
667.0401167081395,193154
669.0000627329606,193075
670.9586760991413,193115
672.9159586442499,193111
674.8719122017421,193175
676.8265386009813,193205
678.7798396672302,193115
680.7318172216713,193209
682.6824730814013,193160
684.6318090594511,193221
686.579826964784,193224
688.5265286022995,193208
690.4719157728532,193237
692.4159902732497,193264
694.3587538962544,193195
696.3002084306034,193288
698.2403556610064,193221
700.1791973681526,193227
702.1167353287242,193185
704.0529713153937,193220
705.9879070968334,193321
707.9215444377295,193287
709.8538850987788,193303
711.7849308366968,193227
713.714683404235,193298
715.6431445501659,193308
717.5703160193134,193292
719.4961995525485,193327
721.4207968867913,193428
723.3441097550218,193306
725.266139886291,193375
727.1868890057204,193363
729.1063588345096,193347
731.0245510899477,193410
732.9414674854171,193410
734.857109730392,193384
736.7714795304594,193410
738.6845785873155,193314
740.5964085987733,193431
742.5069712587708,193507
744.4162682573776,193382
746.3243012808011,193481
748.231072011385,193503
750.1365821276345,193513
752.0408333042019,193492
753.9438272119014,193535
755.845565517724,193573
757.7460498848251,193547
759.6452819725436,193540
761.5432634364129,193538
763.4399959281498,193594
765.3354810956744,193609
767.2297205831165,193710
769.122716030809,193679
771.0144690753094,193556
772.9049813493958,193722
774.7942544820801,193624
776.6822900986069,193604
778.5690898204616,193648
780.4546552653821,193604
782.3389880473596,193719
784.2220897766468,193752
786.1039620597537,193676
787.9846064994781,193717
789.8640246948837,193748
791.7422182413219,193752
793.6191887304386,193923
795.4949377501734,193803
797.3694668847648,193872
799.242777714767,193784
801.1148718170373,193803
802.9857507647658,193824
804.8554161274591,193799
806.7238694709584,193829
808.5911123574454,193890
810.4571463454411,193866
812.3219729898171,193954
814.1855938418024,193894
816.0480104489848,193929
817.9092243553202,193999
819.7692371011349,193959
821.6280502231356,193962
823.4856652544103,193975
825.3420837244407,193976
827.197307159105,194003
829.0513370806771,194032
830.9041750078424,193944
832.7558224556952,194011
834.6062809357546,194022
836.4555519559569,194066
838.3036370206718,194090
840.150537630706,194124
841.9962552832995,194102
843.8407914721489,194163
845.684147687399,194108
847.5263254156514,194194
849.3673261399689,194264
851.2071513398864,194177
853.0458024914172,194201
854.8832810670467,194145
856.7195885357537,194209
858.5547263630024,194300
860.3886960107569,194337
862.2214989374797,194304
864.053136598146,194325
865.8836104442424,194307
867.7129219237709,194497
869.5410724812659,194374
871.3680635577797,194478
873.1938965909078,194407
875.0185730147854,194435
876.8420942600885,194460
878.6644617540525,194477
880.4856769204622,194444
882.3057411796661,194510
884.1246559485819,194502
885.9424226406992,194504
887.7590426660813,194572
889.5745174313831,194581
891.3888483398418,194686
893.2020367912905,194575
895.0140841821599,194613
896.8249919054892,194574
898.6347613509244,194573
900.4433939047238,194686
902.2508909497705,194690
904.0572538655703,194660
905.8624840282644,194607
907.6665828106262,194657
909.4695515820661,194753
911.271391708646,194683
913.0721045530823,194618
914.8716914747392,194751
916.6701538296501,194717
918.467492970513,194671
920.2637102466958,194791
922.0588070042463,194783
923.8527845858969,194776
925.6456443310578,194711
927.4373875758436,194802
929.2280156530572,194828
931.0175298922105,194804
932.805931619519,194749
934.5932221579111,194807
936.3794028270363,194879
938.1644749432636,194842
939.9484398196919,194756
941.731298766148,194799
943.5130530892062,194762
945.2937040921729,194779
947.0732530751083,194862
948.8517013348245,194948
950.6290501648897,194967
952.4053008556367,194861
954.180454694161,194839
955.95451296434,194888
957.7274769468182,194864
959.4993479190264,195027
961.2701271551863,194908
963.0398159263059,194955
964.8084155001904,195007
966.575927141449,194985
968.3423521114967,195053
970.1076916685631,195046
971.8719470676882,194989
973.6351195607328,195193
975.3972103963924,195170
977.1582208201809,195094
978.9181520744572,195158
980.6770053984148,195129
982.4347820280941,195157
984.1914831963867,195138
985.9471101330381,195221
987.7016640646476,195219
989.4551462146851,195231
991.2075578034875,195316
992.9589000482603,195235
994.709174163093,195297
996.458381358953,195311
998.2065228437043,195302
999.9535998220862,195203
1001.6996134957525,195290
1003.4445650632454,195358
1005.1884557200192,195480
1006.9312866584361,195402
1008.673059067777,195499
1010.4137741342371,195407
1012.153433040939,195501
1013.8920369679394,195558
1015.6295870922153,195538
1017.3660845876975,195500
1019.1015306252466,195738
1020.8359263726759,195735
1022.5692729947527,195651
1024.3015716531952,195705
1026.032823506686,195694
1027.763029710872,195671
1029.49219141837,195690
1031.2203097787715,195791
1032.947385938641,195703
1034.673421041539,195749
1036.3984162279987,195883
1038.1223726355581,195901
1039.845291398746,195881
1041.5671736490901,195931
1043.2880205151255,195949
1045.0078331223992,196047
1046.726612593473,195933
1048.4443600479215,195978
1050.1610766023498,195992
1051.876763370383,196003
1053.5914214626825,196020
1055.305051986949,196108
1057.017656047913,196096
1058.7292347473647,196005
1060.4397891841302,196204
1062.1493204540948,196162
1063.8578296502037,196154
1065.5653178624596,196176
1067.2717861779333,196215
1068.9772356807687,196261
1070.681667452182,196309
1072.3850825704685,196372
1074.087482111014,196346
1075.7888671462783,196320
1077.489238745827,196205
1079.1885979763113,196325
1080.8869459014918,196415
1082.5842835822277,196488
1084.2806120764901,196477
1085.975932439364,196603
1087.6702457230476,196639
1089.3635529768646,196614
1091.0558552472655,196680
1092.7471535778247,196711
1094.4374490092575,196751
1096.1267425794097,196796
1097.815035323278,196873
1099.5023282730012,196888
1101.188622457869,197021
1102.8739189043235,196931
1104.5582186359711,197110
1106.2415226735773,197137
1107.923832035073,197088
1109.6051477355668,197124
1111.285470787337,197192
1112.964802199841,197194
1114.6431429797212,197342
1116.3204941308102,197343
1117.9968566541256,197351
1119.6722315478885,197405
1121.3466198075087,197454
1123.0200224256107,197521
1124.6924403920207,197549
1126.363874693777,197629
1128.0343263151317,197665
1129.7037962375625,197561
1131.372285439764,197654
1133.0397948976613,197834
1134.7063255844103,197804
1136.371878470402,197815
1138.0364545232699,197909
1139.7000547078844,197893
1141.362679986371,197931
1143.0243313180965,197984
1144.6850096596938,198039
1146.3447159650443,198178
1148.0034511853007,198199
1149.6612162688803,198427
1151.3180121614625,198636
1152.9738398060176,198675
1154.6287001427784,198686
1156.2825941092676,198875
1157.9355226402954,199145
1159.5874866679587,199357
1161.2384871216466,199564
