33_tricalcium_phosphate_MB_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,189970
-358.5672754570978,190180
-355.77025989936726,190273
-352.97591591093277,190416
-350.18423885041375,190425
-347.3952240861159,190573
-344.60886699602463,190658
-341.82516296777254,190535
-339.0441073986201,190698
-336.2656956954402,190652
-333.48992327468994,190586
-330.7167855623894,190647
-327.9462779940995,190677
-325.17839601490897,190729
-322.4131350793979,190824
-319.65049065163294,190792
-316.89045820512644,190872
-314.1330332228362,190857
-311.3782111971333,190928
-308.6259876297756,190948
-305.8763580319037,190962
-303.1293179239997,190949
-300.38486283588077,191027
-297.64298830667076,191087
-294.903689884783,191121
-292.1669631279051,191132
-289.43280360295984,191176
-286.7012068861032,191239
-283.97216856270023,191250
-281.2456842272927,191303
-278.5217494835949,191249
-275.8003599444628,191281
-273.0815112318751,191398
-270.3651989769155,191399
-267.65141881975126,191352
-264.9401664096113,191531
-262.2314374047734,191517
-259.5252274725313,191531
-256.82153228918884,191506
-254.12034754002676,191564
-251.42166891929662,191537
-248.72549213018382,191706
-246.03181288480965,191672
-243.34062690418816,191728
-240.6519299182259,191713
-237.96571766568744,191832
-235.28198589419304,191809
-232.6007303601798,191893
-229.92194682889274,191960
-227.2456310743699,191931
-224.57177887940955,192013
-221.90038603556388,191931
-219.23144834311074,192130
-216.56496161104496,192070
-213.90092165704144,192142
-211.23932430745958,192107
-208.58016539730423,192110
-205.92344077021698,192151
-203.2691462784523,192227
-200.6172777828689,192180
-197.9678311528929,192158
-195.32080226651985,192284
-192.6761870102737,192352
-190.03398127921548,192290
-187.39418097689756,192321
-184.75678201536383,192329
-182.1217803151193,192310
-179.48917180512365,192302
-176.85895242276067,192321
-174.23111811382987,192359
-171.6056648325224,192345
-168.9825885414038,192391
-166.36188521139883,192376
-163.7435508217676,192344
-161.1275813600925,192391
-158.5139728222675,192464
-155.9027212124568,192470
-153.29382254310144,192382
-150.68727283489102,192535
-148.08306811674427,192538
-145.48120442579815,192606
-142.88167780737976,192616
-140.28448431499964,192572
-137.68962001033026,192587
-135.09708096318215,192650
-132.50686325150164,192569
-129.9189629613319,192677
-127.33337618681942,192639
-124.7500990301728,192694
-122.16912760167152,192793
-119.59045801962237,192754
-117.01408641036403,192784
-114.44000890823217,192771
-111.86822165555957,192829
-109.29872080263922,192837
-106.73150250773517,192812
-104.16656293703048,192907
-101.60389826464238,192839
-99.04350467258762,192862
-96.4853783507651,192916
-93.92951549695586,192774
-91.37591231678189,192856
-88.82456502370832,192902
-86.27546983902167,192822
-83.72862299181041,192899
-81.18402071895193,192869
-78.641659265093,192844
-76.10153488263674,192884
-73.56364383172102,192840
-71.02798238021188,192772
-68.49454680367319,192706
-65.96333338536667,192693
-63.43433841622149,192715
-60.9075581948235,192716
-58.38298902740647,192703
-55.86062722782179,192758
-53.34046911753196,192745
-50.82251102559538,192790
-48.30674928864472,192740
-45.79318025087816,192766
-43.28180026403347,192649
-40.77260568738361,192668
-38.265592887712884,192662
-35.76075823930394,192797
-33.2580981239226,192692
-30.757608930802665,192715
-28.259287056628565,192736
-25.763128905524535,192677
-23.26913088903076,192628
-20.777289426094672,192806
-18.287600943053643,192697
-15.800061873619784,192633
-13.314668658862601,192646
-10.831417747200321,192770
-8.350305594373875,192814
-5.871328663444725,192750
-3.394483424768845,192698
-0.9197663559815452,192703
1.5528260580025335,192658
4.02329732502411,192706
6.491650945681434,192704
8.957890413351967,192656
11.422019214203226,192688
13.884040827203629,192684
16.343958724152845,192748
18.801776369677462,192772
21.257497221257008,192722
23.711124729236968,192702
26.16266233684177,192797
28.61211348018783,192774
31.059481588305207,192786
33.50477008314412,192700
35.94798237959015,192763
38.38912188548803,192713
40.82819200163954,192719
43.265196121833846,192807
45.70013763285398,192707
48.133019914492046,192776
50.5638463395644,192823
52.99262027392247,192814
55.419345076474464,192820
57.84402409919186,192809
60.26666068712459,192852
62.687258178416215,192810
65.10581990432779,192817
67.522349189227,192838
69.93684935063371,192878
72.34932369920696,193002
74.75977553877316,193037
77.16820816633472,192964
79.57462487208745,192994
81.97902893943356,192940
84.38142364498815,192924
86.78181225860519,192922
89.18019804338411,192891
91.5765842556763,192992
93.97097414511317,192953
96.36337095461286,192938
98.75377792039524,192948
101.14219827198632,192975
103.52863523224644,193000
105.91309201737246,193066
108.29557183691723,193080
110.67607789380044,193109
113.05461338431732,193144
115.43118149816029,193125
117.80578541843202,193130
120.17842832164972,193175
122.54911337776466,193221
124.91784375017302,193206
127.28462259573546,193116
129.64945306477702,193167
132.01233830111318,193205
134.37328144205426,193156
136.73228561842484,193091
139.08935395456598,193079
141.44448956836774,193114
143.79769557125834,193010
146.1489750682302,192945
148.49833115785282,192917
150.84576693228604,192931
153.191285477282,192954
155.5348898722112,192888
157.87658319007124,192919
160.21636849749328,192927
162.55424885475938,192911
164.89022731581764,192862
167.22430692828888,192920
169.55649073348158,192828
171.88678176640724,192857
174.2151830557868,192803
176.541697624068,192843
178.86632848743622,192871
181.1890786558275,192775
183.50995113293294,192844
185.82894891622453,192840
188.14607499695757,192872
190.46133236019,192824
192.77472398478028,192917
195.0862528434221,192890
197.39592190262928,192819
199.7037341227746,192803
202.00969245808562,192890
204.31379985665336,192827
206.61605926045826,192857
208.91647360537667,192927
211.21504582118305,192942
213.51177883157823,192947
215.8066755541849,192839
218.09973890057378,192984
220.39097177626363,192738
222.6803770807406,192782
224.96795770746712,192755
227.25371654389036,192842
229.53765647146196,192828
231.81978036564652,192918
234.10009109591954,192794
236.37859152580424,192821
238.65528451286502,192836
240.93017290871848,192899
243.20325955905915,192861
245.47454730365104,192850
247.74403897635798,192858
250.0117374051392,192786
252.27764541207966,192873
254.54176581337717,192731
256.8041014193705,192766
259.06465503454814,192890
261.32342945755454,192797
263.5804274812056,192856
265.83565189250163,192759
268.08910547262496,192742
270.34079099697277,192749
272.59071123515247,192813
274.83886895099266,192767
277.0852669025671,192766
279.329907842186,192856
281.5727945164261,192784
283.8139296661309,192771
286.0533160264217,192737
288.2909563267167,192801
290.5268532907269,192811
292.76100963648423,192822
294.99342807633514,192796
297.2241113169665,192849
299.45306205941216,192800
301.68028299905075,192850
303.9057768256361,192906
306.1295462232971,192838
308.3515938705466,192881
310.5719224402942,192889
312.79053459986596,192795
315.0074330109955,192914
317.2226203298524,192893
319.4360992070464,192882
321.647872287634,192886
323.85794221113366,192793
326.0663116115363,192837
328.27298311731033,192807
330.477959351416,192820
332.6812429313214,192839
334.8828364690016,192783
337.08274257095246,192841
339.28096383820537,192866
341.47750286633163,192882
343.67236224546207,192942
345.8655445602848,192889
348.05705239006033,192883
350.24688830863477,192918
352.43505488444845,192899
354.62155468054004,192933
356.80639025456856,192939
358.9895641588131,192966
361.1710789401838,192973
363.3509371402349,192909
365.5291412951755,192945
367.70569393587823,192949
369.8805975878858,193022
372.05385477142835,192992
374.2254680014212,192899
376.3954397874845,193028
378.56377263395825,192911
380.7304690398917,192936
382.89553149907334,192891
385.05896250003343,192901
387.2207645260438,193008
389.38094005515256,192965
391.53949156016256,192968
393.6964215086637,192996
395.85173236303524,193065
398.0054265804501,192990
400.1575066128987,192945
402.3079749071803,192950
404.45683390492263,192930
406.60408604259675,192994
408.74973375151086,193061
410.8937794578384,193071
413.03622558260497,193064
415.17707454172097,193024
417.3163287459771,193040
419.4539906010597,192992
421.5900625075442,193112
423.7245468609362,193007
425.85744605165,193117
427.9887624650323,193102
430.11849848136876,193065
432.24665647589256,192988
434.3732388187955,193039
436.4982478752364,193058
438.6216860053477,193079
440.7435555642465,193104
442.86385890204275,193100
444.98259836385284,193070
447.0997762897992,193064
449.2153950150322,193015
451.32945686972334,193012
453.4419641790853,192944
455.55291926338646,193088
457.6623244379385,193045
459.7701820131263,192993
461.87649429440614,193071
463.9812635823205,192985
466.0844921724962,192977
468.18618235567027,192966
470.28633641768135,192948
472.38495663948913,192969
474.4820452971766,193038
476.57760466196953,193057
478.67163700022985,193060
480.76414457347977,193131
482.85512963839284,193106
484.94459444682224,193101
487.0325412457922,193057
489.1189722775217,193078
491.20388977942025,193093
493.2872959840986,193053
495.3691931193884,193078
497.4495834083378,193086
499.5284690692244,192986
501.6058523155619,193007
503.6817353561173,193079
505.7561203949067,193088
507.8290096312125,193155
509.90040525958347,193171
511.9703094698543,193104
514.0387244471499,193219
516.1056523718833,193124
518.1710954197771,193246
520.2350557618681,193230
522.297535564516,193183
524.3585369894051,193137
526.4180621935601,193262
528.4761133293498,193229
530.532692544505,193232
532.5878019821076,193248
534.6414437806184,193114
536.6936200738706,193211
538.7443329910902,193083
540.7935846568927,193167
542.8413771912986,193084
544.8877127097385,193100
546.9325933230668,193105
548.9760211375527,193125
551.0179982549154,193025
553.0585267723011,193089
555.0976087823198,193127
557.1352463730342,193130
559.1714416279709,192953
561.2061966261354,193039
563.2395134420138,193135
565.2713941455825,193082
567.3018408023137,193199
569.3308554731891,193060
571.3584402147017,193102
573.38459707886,193039
575.4093281132104,193079
577.4326353608323,193072
579.4545208603463,193063
581.4749866459327,192977
583.49403474732,193173
585.5116671898151,193135
587.5278859942948,193052
589.5426931772172,193110
591.5560907506315,193130
593.5680807221872,193133
595.5786650951346,193244
597.5878458683434,193178
599.5956250362945,193091
601.602004589104,193219
603.6069865125183,193201
605.6105727879346,193156
607.6127653923888,193211
609.6135662985803,193190
611.612977474878,193183
613.6110008853166,193173
615.607638489613,193175
617.6028922431692,193182
619.5967640970873,193258
621.5892559981651,193167
623.5803698889132,193284
625.5701077075557,193298
627.5584713880469,193290
629.5454628600628,193324
631.5310840490249,193348
633.5153368760984,193340
635.4982232581962,193381
637.4797451080003,193217
639.4599043339517,193373
641.4387028402715,193370
643.4161425269567,193457
645.3922252897958,193471
647.3669530203722,193458
649.3403276060737,193427
651.312350930099,193405
653.2830248714528,193456
655.2523513049806,193430
657.2203321013455,193437
659.1869691270516,193326
661.1522642444522,193367
663.1162193117485,193368
665.0788361830043,193401
667.0401167081395,193450
669.0000627329606,193374
670.9586760991413,193410
672.9159586442499,193533
674.8719122017421,193485
676.8265386009813,193572
678.7798396672302,193529
680.7318172216713,193532
682.6824730814013,193531
684.6318090594511,193490
686.579826964784,193479
688.5265286022995,193559
690.4719157728532,193569
692.4159902732497,193522
694.3587538962544,193588
696.3002084306034,193463
698.2403556610064,193510
700.1791973681526,193446
702.1167353287242,193617
704.0529713153937,193490
705.9879070968334,193500
707.9215444377295,193396
709.8538850987788,193519
711.7849308366968,193456
713.714683404235,193620
715.6431445501659,193513
717.5703160193134,193713
719.4961995525485,193757
721.4207968867913,193767
723.3441097550218,194114
725.266139886291,194391
727.1868890057204,194659
729.1063588345096,194891
731.0245510899477,194969
732.9414674854171,194906
734.857109730392,194519
736.7714795304594,194334
738.6845785873155,194007
740.5964085987733,193906
742.5069712587708,193834
744.4162682573776,193672
746.3243012808011,193706
748.231072011385,193734
750.1365821276345,193638
752.0408333042019,193672
753.9438272119014,193606
755.845565517724,193542
757.7460498848251,193759
759.6452819725436,193677
761.5432634364129,193568
763.4399959281498,193707
765.3354810956744,193573
767.2297205831165,193631
