34_talc_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,196934
-358.5672754570978,197243
-355.77025989936726,197476
-352.97591591093277,197662
-350.18423885041375,197980
-347.3952240861159,198208
-344.60886699602463,198273
-341.82516296777254,198349
-339.0441073986201,198318
-336.2656956954402,198451
-333.48992327468994,198570
-330.7167855623894,198771
-327.9462779940995,198940
-325.17839601490897,199098
-322.4131350793979,199041
-319.65049065163294,199391
-316.89045820512644,199582
-314.1330332228362,199599
-311.3782111971333,199675
-308.6259876297756,199738
-305.8763580319037,199816
-303.1293179239997,199966
-300.38486283588077,200106
-297.64298830667076,200187
-294.903689884783,200385
-292.1669631279051,200558
-289.43280360295984,200711
-286.7012068861032,200959
-283.97216856270023,201093
-281.2456842272927,201327
-278.5217494835949,201381
-275.8003599444628,201556
-273.0815112318751,201720
-270.3651989769155,201777
-267.65141881975126,201949
-264.9401664096113,202145
-262.2314374047734,202089
-259.5252274725313,202358
-256.82153228918884,202436
-254.12034754002676,202494
-251.42166891929662,202546
-248.72549213018382,202902
-246.03181288480965,203050
-243.34062690418816,203163
-240.6519299182259,203290
-237.96571766568744,203526
-235.28198589419304,203637
-232.6007303601798,203688
-229.92194682889274,203927
-227.2456310743699,204045
-224.57177887940955,204377
-221.90038603556388,204552
-219.23144834311074,204598
-216.56496161104496,204592
-213.90092165704144,204798
-211.23932430745958,204893
-208.58016539730423,205140
-205.92344077021698,205256
-203.2691462784523,205536
-200.6172777828689,205727
-197.9678311528929,205719
-195.32080226651985,206015
-192.6761870102737,206160
-190.03398127921548,206274
-187.39418097689756,206418
-184.75678201536383,206541
-182.1217803151193,206771
-179.48917180512365,206889
-176.85895242276067,207106
-174.23111811382987,207116
-171.6056648325224,207366
-168.9825885414038,207426
-166.36188521139883,207495
-163.7435508217676,207843
-161.1275813600925,207918
-158.5139728222675,208093
-155.9027212124568,208277
-153.29382254310144,208479
-150.68727283489102,208492
-148.08306811674427,208714
-145.48120442579815,208762
-142.88167780737976,209031
-140.28448431499964,209142
-137.68962001033026,209184
-135.09708096318215,209454
-132.50686325150164,209534
-129.9189629613319,209720
-127.33337618681942,209853
-124.7500990301728,210146
-122.16912760167152,210157
-119.59045801962237,210434
-117.01408641036403,210764
-114.44000890823217,210789
-111.86822165555957,210921
-109.29872080263922,210957
-106.73150250773517,211195
-104.16656293703048,211177
-101.60389826464238,211489
-99.04350467258762,211415
-96.4853783507651,211642
-93.92951549695586,211793
-91.37591231678189,211795
-88.82456502370832,211910
-86.27546983902167,212353
-83.72862299181041,212516
-81.18402071895193,212688
-78.641659265093,212878
-76.10153488263674,212855
-73.56364383172102,213054
-71.02798238021188,213187
-68.49454680367319,213452
-65.96333338536667,213356
-63.43433841622149,213627
-60.9075581948235,213644
-58.38298902740647,213685
-55.86062722782179,214018
-53.34046911753196,213937
-50.82251102559538,214179
-48.30674928864472,214523
-45.79318025087816,214596
-43.28180026403347,214573
-40.77260568738361,214627
-38.265592887712884,214897
-35.76075823930394,214916
-33.2580981239226,215144
-30.757608930802665,215168
-28.259287056628565,215302
-25.763128905524535,215545
-23.26913088903076,215557
-20.777289426094672,215859
-18.287600943053643,215921
-15.800061873619784,215880
-13.314668658862601,216140
-10.831417747200321,216348
-8.350305594373875,216254
-5.871328663444725,216395
-3.394483424768845,216552
-0.9197663559815452,216773
1.5528260580025335,216780
4.02329732502411,216906
6.491650945681434,217045
8.957890413351967,216889
11.422019214203226,217215
13.884040827203629,217376
16.343958724152845,217473
18.801776369677462,217560
21.257497221257008,217702
23.711124729236968,217834
26.16266233684177,217920
28.61211348018783,218051
31.059481588305207,218207
33.50477008314412,218248
35.94798237959015,218237
38.38912188548803,218526
40.82819200163954,218482
43.265196121833846,218631
45.70013763285398,218835
48.133019914492046,219009
50.5638463395644,219247
52.99262027392247,219203
55.419345076474464,219240
57.84402409919186,219423
60.26666068712459,219474
62.687258178416215,219687
65.10581990432779,219542
67.522349189227,219966
69.93684935063371,220038
72.34932369920696,219985
74.75977553877316,219953
77.16820816633472,220597
79.57462487208745,220462
81.97902893943356,220707
84.38142364498815,220809
86.78181225860519,220842
89.18019804338411,221024
91.5765842556763,221084
93.97097414511317,221156
96.36337095461286,221250
98.75377792039524,221177
101.14219827198632,221196
103.52863523224644,221346
105.91309201737246,221532
108.29557183691723,221643
110.67607789380044,221786
113.05461338431732,221907
115.43118149816029,222054
117.80578541843202,222222
120.17842832164972,222440
122.54911337776466,222634
124.91784375017302,222587
127.28462259573546,222872
129.64945306477702,222932
132.01233830111318,222905
134.37328144205426,223155
136.73228561842484,223404
139.08935395456598,223711
141.44448956836774,223453
143.79769557125834,223517
146.1489750682302,223835
148.49833115785282,223807
150.84576693228604,224188
153.191285477282,224139
155.5348898722112,224603
157.87658319007124,224357
160.21636849749328,224587
162.55424885475938,224701
164.89022731581764,224792
167.22430692828888,224741
169.55649073348158,224896
171.88678176640724,225166
174.2151830557868,225278
176.541697624068,225414
178.86632848743622,225330
181.1890786558275,225773
183.50995113293294,225711
185.82894891622453,225844
188.14607499695757,226095
190.46133236019,226004
192.77472398478028,226084
195.0862528434221,226362
197.39592190262928,226346
199.7037341227746,226623
202.00969245808562,226569
204.31379985665336,226832
206.61605926045826,226757
208.91647360537667,227068
211.21504582118305,227169
213.51177883157823,227277
215.8066755541849,227459
218.09973890057378,227496
220.39097177626363,227623
222.6803770807406,227696
224.96795770746712,227903
227.25371654389036,228090
229.53765647146196,228260
231.81978036564652,228417
234.10009109591954,228454
236.37859152580424,228694
238.65528451286502,228797
240.93017290871848,228815
243.20325955905915,229251
245.47454730365104,229343
247.74403897635798,229273
250.0117374051392,229660
252.27764541207966,229729
254.54176581337717,229841
256.8041014193705,229773
259.06465503454814,229930
261.32342945755454,230022
263.5804274812056,230194
265.83565189250163,230497
268.08910547262496,230566
270.34079099697277,230729
272.59071123515247,230868
274.83886895099266,230964
277.0852669025671,230854
279.329907842186,230810
281.5727945164261,231035
283.8139296661309,231040
286.0533160264217,231321
288.2909563267167,231442
290.5268532907269,231750
292.76100963648423,232029
294.99342807633514,232011
297.2241113169665,232211
299.45306205941216,232465
301.68028299905075,232678
303.9057768256361,232844
306.1295462232971,232950
308.3515938705466,233178
310.5719224402942,233292
312.79053459986596,233405
315.0074330109955,233344
317.2226203298524,233660
319.4360992070464,233758
321.647872287634,233826
323.85794221113366,233785
326.0663116115363,233945
328.27298311731033,234077
330.477959351416,234307
332.6812429313214,234222
334.8828364690016,234535
337.08274257095246,234507
339.28096383820537,234706
341.47750286633163,235164
343.67236224546207,235173
345.8655445602848,235377
348.05705239006033,235838
350.24688830863477,235752
352.43505488444845,235739
354.62155468054004,236005
356.80639025456856,236358
358.9895641588131,236356
361.1710789401838,236649
363.3509371402349,236947
365.5291412951755,236997
367.70569393587823,237061
369.8805975878858,237151
372.05385477142835,237401
374.2254680014212,237761
376.3954397874845,237902
378.56377263395825,237901
380.7304690398917,237785
382.89553149907334,237931
385.05896250003343,238152
387.2207645260438,238280
389.38094005515256,238372
391.53949156016256,238345
393.6964215086637,238466
395.85173236303524,238402
398.0054265804501,238669
400.1575066128987,238804
402.3079749071803,239080
404.45683390492263,239482
406.60408604259675,239559
408.74973375151086,239699
410.8937794578384,239965
413.03622558260497,240017
415.17707454172097,240053
417.3163287459771,240269
419.4539906010597,240366
421.5900625075442,240552
423.7245468609362,240978
425.85744605165,241157
427.9887624650323,241630
430.11849848136876,241474
432.24665647589256,241774
434.3732388187955,241920
436.4982478752364,242100
438.6216860053477,242190
440.7435555642465,242341
442.86385890204275,242257
444.98259836385284,242502
447.0997762897992,242345
449.2153950150322,242439
451.32945686972334,242736
453.4419641790853,242935
455.55291926338646,243032
457.6623244379385,243032
459.7701820131263,243265
461.87649429440614,243479
463.9812635823205,243652
466.0844921724962,243928
468.18618235567027,243982
470.28633641768135,244001
472.38495663948913,244252
474.4820452971766,244484
476.57760466196953,244641
478.67163700022985,244745
480.76414457347977,244761
482.85512963839284,244832
484.94459444682224,245157
487.0325412457922,245275
489.1189722775217,245634
491.20388977942025,245807
493.2872959840986,246089
495.3691931193884,246221
497.4495834083378,246390
499.5284690692244,246264
501.6058523155619,246527
503.6817353561173,246478
505.7561203949067,246284
507.8290096312125,246768
509.90040525958347,246776
511.9703094698543,246930
514.0387244471499,247386
516.1056523718833,247554
518.1710954197771,247756
520.2350557618681,247910
522.297535564516,248183
524.3585369894051,248445
526.4180621935601,248611
528.4761133293498,248991
530.532692544505,249099
532.5878019821076,249189
534.6414437806184,249199
536.6936200738706,249066
538.7443329910902,249182
540.7935846568927,249394
542.8413771912986,249580
544.8877127097385,249533
