35_calcium_carbonate_calcite_Analar_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187113
-358.5672754570978,187229
-355.77025989936726,187320
-352.97591591093277,187496
-350.18423885041375,187503
-347.3952240861159,187514
-344.60886699602463,187559
-341.82516296777254,187528
-339.0441073986201,187552
-336.2656956954402,187515
-333.48992327468994,187536
-330.7167855623894,187578
-327.9462779940995,187545
-325.17839601490897,187503
-322.4131350793979,187538
-319.65049065163294,187515
-316.89045820512644,187567
-314.1330332228362,187550
-311.3782111971333,187567
-308.6259876297756,187602
-305.8763580319037,187568
-303.1293179239997,187644
-300.38486283588077,187630
-297.64298830667076,187686
-294.903689884783,187620
-292.1669631279051,187634
-289.43280360295984,187646
-286.7012068861032,187671
-283.97216856270023,187573
-281.2456842272927,187650
-278.5217494835949,187670
-275.8003599444628,187655
-273.0815112318751,187749
-270.3651989769155,187682
-267.65141881975126,187745
-264.9401664096113,187745
-262.2314374047734,187681
-259.5252274725313,187773
-256.82153228918884,187794
-254.12034754002676,187772
-251.42166891929662,187780
-248.72549213018382,187760
-246.03181288480965,187788
-243.34062690418816,187733
-240.6519299182259,187821
-237.96571766568744,187851
-235.28198589419304,187798
-232.6007303601798,187835
-229.92194682889274,187884
-227.2456310743699,187803
-224.57177887940955,187857
-221.90038603556388,187946
-219.23144834311074,187903
-216.56496161104496,187932
-213.90092165704144,187981
-211.23932430745958,187870
-208.58016539730423,187936
-205.92344077021698,187844
-203.2691462784523,187968
-200.6172777828689,187982
-197.9678311528929,187980
-195.32080226651985,187939
-192.6761870102737,188021
-190.03398127921548,188005
-187.39418097689756,187994
-184.75678201536383,187967
-182.1217803151193,188004
-179.48917180512365,188064
-176.85895242276067,188027
-174.23111811382987,188094
-171.6056648325224,188039
-168.9825885414038,188126
-166.36188521139883,188077
-163.7435508217676,188092
-161.1275813600925,188117
-158.5139728222675,188117
-155.9027212124568,188123
-153.29382254310144,188156
-150.68727283489102,188130
-148.08306811674427,188223
-145.48120442579815,188114
-142.88167780737976,188190
-140.28448431499964,188219
-137.68962001033026,188225
-135.09708096318215,188222
-132.50686325150164,188180
-129.9189629613319,188160
-127.33337618681942,188204
-124.7500990301728,188258
-122.16912760167152,188247
-119.59045801962237,188269
-117.01408641036403,188306
-114.44000890823217,188464
-111.86822165555957,188323
-109.29872080263922,188276
-106.73150250773517,188311
-104.16656293703048,188372
-101.60389826464238,188337
-99.04350467258762,188313
-96.4853783507651,188422
-93.92951549695586,188355
-91.37591231678189,188424
-88.82456502370832,188403
-86.27546983902167,188403
-83.72862299181041,188405
-81.18402071895193,188411
-78.641659265093,188425
-76.10153488263674,188485
-73.56364383172102,188454
-71.02798238021188,188421
-68.49454680367319,188476
-65.96333338536667,188513
-63.43433841622149,188523
-60.9075581948235,188572
-58.38298902740647,188528
-55.86062722782179,188492
-53.34046911753196,188488
-50.82251102559538,188473
-48.30674928864472,188562
-45.79318025087816,188536
-43.28180026403347,188604
-40.77260568738361,188542
-38.265592887712884,188556
-35.76075823930394,188552
-33.2580981239226,188562
-30.757608930802665,188593
-28.259287056628565,188594
-25.763128905524535,188608
-23.26913088903076,188646
-20.777289426094672,188599
-18.287600943053643,188751
-15.800061873619784,188657
-13.314668658862601,188667
-10.831417747200321,188662
-8.350305594373875,188690
-5.871328663444725,188657
-3.394483424768845,188741
-0.9197663559815452,188668
1.5528260580025335,188699
4.02329732502411,188709
6.491650945681434,188715
8.957890413351967,188672
11.422019214203226,188739
13.884040827203629,188677
16.343958724152845,188731
18.801776369677462,188803
21.257497221257008,188739
23.711124729236968,188846
26.16266233684177,188729
28.61211348018783,188819
31.059481588305207,188738
33.50477008314412,188770
35.94798237959015,188794
38.38912188548803,188799
40.82819200163954,188740
43.265196121833846,188860
45.70013763285398,188752
48.133019914492046,188895
50.5638463395644,188820
52.99262027392247,188751
55.419345076474464,188791
57.84402409919186,188898
60.26666068712459,188883
62.687258178416215,188890
65.10581990432779,188896
67.522349189227,188833
69.93684935063371,188863
72.34932369920696,188931
74.75977553877316,188977
77.16820816633472,188823
79.57462487208745,188846
81.97902893943356,188937
84.38142364498815,188890
86.78181225860519,188898
89.18019804338411,188959
91.5765842556763,188955
93.97097414511317,188898
96.36337095461286,188920
98.75377792039524,188892
101.14219827198632,188979
103.52863523224644,188902
105.91309201737246,188952
108.29557183691723,188988
110.67607789380044,188978
113.05461338431732,188987
115.43118149816029,189034
117.80578541843202,188999
120.17842832164972,188973
122.54911337776466,189086
124.91784375017302,189034
127.28462259573546,189093
129.64945306477702,189102
132.01233830111318,189104
134.37328144205426,189026
136.73228561842484,189037
139.08935395456598,189078
141.44448956836774,189033
143.79769557125834,189099
146.1489750682302,189078
148.49833115785282,189103
150.84576693228604,189115
153.191285477282,189040
155.5348898722112,189090
157.87658319007124,189114
160.21636849749328,189079
162.55424885475938,189085
164.89022731581764,189174
167.22430692828888,189151
169.55649073348158,189197
171.88678176640724,189126
174.2151830557868,189085
176.541697624068,189166
178.86632848743622,189143
181.1890786558275,189157
183.50995113293294,189172
185.82894891622453,189174
188.14607499695757,189196
190.46133236019,189257
192.77472398478028,189312
195.0862528434221,189300
197.39592190262928,189276
199.7037341227746,189491
202.00969245808562,189367
204.31379985665336,189627
206.61605926045826,189638
208.91647360537667,189657
211.21504582118305,189679
213.51177883157823,189747
215.8066755541849,189668
218.09973890057378,189675
220.39097177626363,189415
222.6803770807406,189456
224.96795770746712,189425
227.25371654389036,189343
229.53765647146196,189243
231.81978036564652,189349
234.10009109591954,189334
236.37859152580424,189332
238.65528451286502,189296
240.93017290871848,189315
243.20325955905915,189266
245.47454730365104,189335
247.74403897635798,189277
250.0117374051392,189400
252.27764541207966,189351
254.54176581337717,189310
256.8041014193705,189292
259.06465503454814,189401
261.32342945755454,189324
263.5804274812056,189375
265.83565189250163,189388
268.08910547262496,189415
270.34079099697277,189405
272.59071123515247,189394
274.83886895099266,189417
277.0852669025671,189475
279.329907842186,189423
281.5727945164261,189349
283.8139296661309,189358
286.0533160264217,189391
288.2909563267167,189388
290.5268532907269,189466
292.76100963648423,189513
294.99342807633514,189424
297.2241113169665,189459
299.45306205941216,189520
301.68028299905075,189514
303.9057768256361,189473
306.1295462232971,189557
308.3515938705466,189505
310.5719224402942,189497
312.79053459986596,189541
315.0074330109955,189438
317.2226203298524,189483
319.4360992070464,189534
321.647872287634,189626
323.85794221113366,189488
326.0663116115363,189566
328.27298311731033,189560
330.477959351416,189564
332.6812429313214,189517
334.8828364690016,189589
337.08274257095246,189536
339.28096383820537,189545
341.47750286633163,189602
343.67236224546207,189662
345.8655445602848,189608
348.05705239006033,189588
350.24688830863477,189615
352.43505488444845,189621
354.62155468054004,189703
356.80639025456856,189589
358.9895641588131,189643
361.1710789401838,189681
363.3509371402349,189699
365.5291412951755,189656
367.70569393587823,189653
369.8805975878858,189737
372.05385477142835,189716
374.2254680014212,189683
376.3954397874845,189732
378.56377263395825,189805
380.7304690398917,189685
382.89553149907334,189688
385.05896250003343,189725
387.2207645260438,189724
389.38094005515256,189758
391.53949156016256,189765
393.6964215086637,189724
395.85173236303524,189832
398.0054265804501,189732
400.1575066128987,189695
402.3079749071803,189815
404.45683390492263,189731
406.60408604259675,189847
408.74973375151086,189785
410.8937794578384,189922
413.03622558260497,189813
415.17707454172097,189787
417.3163287459771,189840
419.4539906010597,189862
421.5900625075442,189861
423.7245468609362,189885
425.85744605165,189879
427.9887624650323,189895
430.11849848136876,189882
432.24665647589256,189854
434.3732388187955,189975
436.4982478752364,189940
438.6216860053477,189970
440.7435555642465,189901
442.86385890204275,189937
444.98259836385284,189973
447.0997762897992,190010
449.2153950150322,189941
451.32945686972334,189930
453.4419641790853,189999
455.55291926338646,189941
457.6623244379385,189968
459.7701820131263,189982
461.87649429440614,190022
463.9812635823205,189978
466.0844921724962,190052
468.18618235567027,190045
470.28633641768135,190005
472.38495663948913,190019
474.4820452971766,190009
476.57760466196953,190009
478.67163700022985,190076
480.76414457347977,190128
482.85512963839284,190003
484.94459444682224,190121
487.0325412457922,190136
489.1189722775217,190146
491.20388977942025,190212
493.2872959840986,190170
495.3691931193884,190135
497.4495834083378,190169
499.5284690692244,190159
501.6058523155619,190123
503.6817353561173,190007
505.7561203949067,190133
507.8290096312125,190167
509.90040525958347,190178
511.9703094698543,190186
514.0387244471499,190195
516.1056523718833,190220
518.1710954197771,190203
520.2350557618681,190213
522.297535564516,190284
524.3585369894051,190274
526.4180621935601,190268
528.4761133293498,190298
530.532692544505,190326
532.5878019821076,190330
534.6414437806184,190263
536.6936200738706,190182
538.7443329910902,190275
540.7935846568927,190299
542.8413771912986,190173
544.8877127097385,190299
546.9325933230668,190290
548.9760211375527,190287
551.0179982549154,190360
553.0585267723011,190276
555.0976087823198,190336
557.1352463730342,190317
559.1714416279709,190331
561.2061966261354,190319
563.2395134420138,190362
565.2713941455825,190372
567.3018408023137,190430
569.3308554731891,190359
571.3584402147017,190435
573.38459707886,190306
575.4093281132104,190395
577.4326353608323,190380
579.4545208603463,190354
581.4749866459327,190340
583.49403474732,190411
585.5116671898151,190468
587.5278859942948,190439
589.5426931772172,190511
591.5560907506315,190474
593.5680807221872,190474
595.5786650951346,190493
597.5878458683434,190564
599.5956250362945,190563
601.602004589104,190480
603.6069865125183,190467
605.6105727879346,190536
607.6127653923888,190554
609.6135662985803,190600
611.612977474878,190593
613.6110008853166,190554
615.607638489613,190593
617.6028922431692,190611
619.5967640970873,190573
621.5892559981651,190566
623.5803698889132,190554
625.5701077075557,190530
627.5584713880469,190568
629.5454628600628,190573
631.5310840490249,190625
633.5153368760984,190591
635.4982232581962,190630
637.4797451080003,190676
639.4599043339517,190656
641.4387028402715,190652
