36_sodium_bicarbonate_MB_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,185876
-358.5672754570978,185896
-355.77025989936726,186035
-352.97591591093277,186197
-350.18423885041375,186183
-347.3952240861159,186182
-344.60886699602463,186251
-341.82516296777254,186262
-339.0441073986201,186172
-336.2656956954402,186183
-333.48992327468994,186167
-330.7167855623894,186077
-327.9462779940995,186186
-325.17839601490897,186175
-322.4131350793979,186122
-319.65049065163294,186129
-316.89045820512644,186187
-314.1330332228362,186164
-311.3782111971333,186169
-308.6259876297756,186202
-305.8763580319037,186176
-303.1293179239997,186143
-300.38486283588077,186198
-297.64298830667076,186152
-294.903689884783,186187
-292.1669631279051,186152
-289.43280360295984,186265
-286.7012068861032,186296
-283.97216856270023,186187
-281.2456842272927,186266
-278.5217494835949,186234
-275.8003599444628,186229
-273.0815112318751,186192
-270.3651989769155,186227
-267.65141881975126,186227
-264.9401664096113,186214
-262.2314374047734,186254
-259.5252274725313,186319
-256.82153228918884,186260
-254.12034754002676,186217
-251.42166891929662,186306
-248.72549213018382,186228
-246.03181288480965,186229
-243.34062690418816,186277
-240.6519299182259,186245
-237.96571766568744,186209
-235.28198589419304,186289
-232.6007303601798,186272
-229.92194682889274,186304
-227.2456310743699,186288
-224.57177887940955,186267
-221.90038603556388,186356
-219.23144834311074,186324
-216.56496161104496,186302
-213.90092165704144,186284
-211.23932430745958,186268
-208.58016539730423,186320
-205.92344077021698,186321
-203.2691462784523,186293
-200.6172777828689,186369
-197.9678311528929,186354
-195.32080226651985,186355
-192.6761870102737,186325
-190.03398127921548,186287
-187.39418097689756,186347
-184.75678201536383,186358
-182.1217803151193,186289
-179.48917180512365,186286
-176.85895242276067,186484
-174.23111811382987,186428
-171.6056648325224,186354
-168.9825885414038,186391
-166.36188521139883,186413
-163.7435508217676,186392
-161.1275813600925,186343
-158.5139728222675,186375
-155.9027212124568,186453
-153.29382254310144,186478
-150.68727283489102,186479
-148.08306811674427,186458
-145.48120442579815,186446
-142.88167780737976,186519
-140.28448431499964,186377
-137.68962001033026,186625
-135.09708096318215,186530
-132.50686325150164,186621
-129.9189629613319,186580
-127.33337618681942,186571
-124.7500990301728,186588
-122.16912760167152,186621
-119.59045801962237,186640
-117.01408641036403,186667
-114.44000890823217,186699
-111.86822165555957,186596
-109.29872080263922,186741
-106.73150250773517,186665
-104.16656293703048,186651
-101.60389826464238,186716
-99.04350467258762,186729
-96.4853783507651,186661
-93.92951549695586,186684
-91.37591231678189,186711
-88.82456502370832,186711
-86.27546983902167,186742
-83.72862299181041,186745
-81.18402071895193,186665
-78.641659265093,186719
-76.10153488263674,186678
-73.56364383172102,186680
-71.02798238021188,186683
-68.49454680367319,186668
-65.96333338536667,186736
-63.43433841622149,186651
-60.9075581948235,186595
-58.38298902740647,186623
-55.86062722782179,186602
-53.34046911753196,186614
-50.82251102559538,186549
-48.30674928864472,186572
-45.79318025087816,186584
-43.28180026403347,186556
-40.77260568738361,186485
-38.265592887712884,186592
-35.76075823930394,186611
-33.2580981239226,186539
-30.757608930802665,186506
-28.259287056628565,186513
-25.763128905524535,186525
-23.26913088903076,186552
-20.777289426094672,186514
-18.287600943053643,186425
-15.800061873619784,186524
-13.314668658862601,186441
-10.831417747200321,186518
-8.350305594373875,186462
-5.871328663444725,186494
-3.394483424768845,186526
-0.9197663559815452,186615
1.5528260580025335,186529
4.02329732502411,186503
6.491650945681434,186518
8.957890413351967,186566
11.422019214203226,186501
13.884040827203629,186574
16.343958724152845,186540
18.801776369677462,186536
21.257497221257008,186594
23.711124729236968,186589
26.16266233684177,186528
28.61211348018783,186621
31.059481588305207,186560
33.50477008314412,186528
35.94798237959015,186529
38.38912188548803,186551
40.82819200163954,186566
43.265196121833846,186643
45.70013763285398,186642
48.133019914492046,186586
50.5638463395644,186549
52.99262027392247,186617
55.419345076474464,186512
57.84402409919186,186584
60.26666068712459,186552
62.687258178416215,186574
65.10581990432779,186654
67.522349189227,186576
69.93684935063371,186642
72.34932369920696,186544
74.75977553877316,186527
77.16820816633472,186576
79.57462487208745,186547
81.97902893943356,186624
84.38142364498815,186580
86.78181225860519,186605
89.18019804338411,186596
91.5765842556763,186582
93.97097414511317,186477
96.36337095461286,186540
98.75377792039524,186520
101.14219827198632,186485
103.52863523224644,186567
105.91309201737246,186552
108.29557183691723,186538
110.67607789380044,186488
113.05461338431732,186526
115.43118149816029,186522
117.80578541843202,186529
120.17842832164972,186460
122.54911337776466,186580
124.91784375017302,186563
127.28462259573546,186602
129.64945306477702,186442
132.01233830111318,186513
134.37328144205426,186529
136.73228561842484,186510
139.08935395456598,186520
141.44448956836774,186482
143.79769557125834,186514
146.1489750682302,186411
148.49833115785282,186497
150.84576693228604,186499
153.191285477282,186460
155.5348898722112,186455
157.87658319007124,186510
160.21636849749328,186557
162.55424885475938,186534
164.89022731581764,186517
167.22430692828888,186458
169.55649073348158,186443
171.88678176640724,186465
174.2151830557868,186561
176.541697624068,186509
178.86632848743622,186560
181.1890786558275,186503
183.50995113293294,186466
185.82894891622453,186550
188.14607499695757,186484
190.46133236019,186503
192.77472398478028,186482
195.0862528434221,186495
197.39592190262928,186501
199.7037341227746,186473
202.00969245808562,186584
204.31379985665336,186626
206.61605926045826,186569
208.91647360537667,186528
211.21504582118305,186544
213.51177883157823,186507
215.8066755541849,186565
218.09973890057378,186527
220.39097177626363,186571
222.6803770807406,186477
224.96795770746712,186544
227.25371654389036,186536
229.53765647146196,186436
231.81978036564652,186529
234.10009109591954,186541
236.37859152580424,186520
238.65528451286502,186574
240.93017290871848,186547
243.20325955905915,186565
245.47454730365104,186544
247.74403897635798,186570
250.0117374051392,186601
252.27764541207966,186474
254.54176581337717,186527
256.8041014193705,186530
259.06465503454814,186543
261.32342945755454,186575
263.5804274812056,186562
265.83565189250163,186688
268.08910547262496,186629
270.34079099697277,186560
272.59071123515247,186631
274.83886895099266,186529
277.0852669025671,186527
279.329907842186,186674
281.5727945164261,186591
283.8139296661309,186552
286.0533160264217,186575
288.2909563267167,186608
290.5268532907269,186611
292.76100963648423,186651
294.99342807633514,186633
297.2241113169665,186610
299.45306205941216,186737
301.68028299905075,186680
303.9057768256361,186779
306.1295462232971,186766
308.3515938705466,186823
310.5719224402942,186838
312.79053459986596,186832
315.0074330109955,186794
317.2226203298524,186765
319.4360992070464,186827
321.647872287634,186843
323.85794221113366,186766
326.0663116115363,186788
328.27298311731033,186876
330.477959351416,186768
332.6812429313214,186804
334.8828364690016,186781
337.08274257095246,186761
339.28096383820537,186805
341.47750286633163,186911
343.67236224546207,186751
345.8655445602848,186827
348.05705239006033,186753
350.24688830863477,186779
352.43505488444845,186698
354.62155468054004,186667
356.80639025456856,186692
358.9895641588131,186649
361.1710789401838,186687
363.3509371402349,186630
365.5291412951755,186635
367.70569393587823,186683
369.8805975878858,186664
372.05385477142835,186644
374.2254680014212,186602
376.3954397874845,186721
378.56377263395825,186623
380.7304690398917,186668
382.89553149907334,186732
385.05896250003343,186727
387.2207645260438,186719
389.38094005515256,186737
391.53949156016256,186749
393.6964215086637,186740
395.85173236303524,186788
398.0054265804501,186777
400.1575066128987,186833
402.3079749071803,186846
404.45683390492263,186896
406.60408604259675,186968
408.74973375151086,187047
410.8937794578384,187163
413.03622558260497,187225
415.17707454172097,187411
417.3163287459771,187365
419.4539906010597,187421
421.5900625075442,187470
423.7245468609362,187432
425.85744605165,187335
427.9887624650323,187244
430.11849848136876,187128
432.24665647589256,187099
434.3732388187955,186979
436.4982478752364,186888
438.6216860053477,186909
440.7435555642465,186749
442.86385890204275,186874
444.98259836385284,186779
447.0997762897992,186796
449.2153950150322,186726
451.32945686972334,186792
453.4419641790853,186725
455.55291926338646,186796
457.6623244379385,186770
459.7701820131263,186780
461.87649429440614,186771
463.9812635823205,186719
466.0844921724962,186773
468.18618235567027,186753
470.28633641768135,186732
472.38495663948913,186759
474.4820452971766,186703
476.57760466196953,186744
478.67163700022985,186729
480.76414457347977,186790
482.85512963839284,186760
484.94459444682224,186759
487.0325412457922,186802
489.1189722775217,186819
491.20388977942025,186748
493.2872959840986,186802
495.3691931193884,186784
497.4495834083378,186793
499.5284690692244,186773
501.6058523155619,186734
503.6817353561173,186798
505.7561203949067,186705
507.8290096312125,186757
509.90040525958347,186793
511.9703094698543,186776
514.0387244471499,186807
516.1056523718833,186802
518.1710954197771,186802
