37_sodium_bicarbonate_Scharlau_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186073
-358.5672754570978,186253
-355.77025989936726,186351
-352.97591591093277,186481
-350.18423885041375,186413
-347.3952240861159,186386
-344.60886699602463,186570
-341.82516296777254,186533
-339.0441073986201,186491
-336.2656956954402,186486
-333.48992327468994,186435
-330.7167855623894,186377
-327.9462779940995,186420
-325.17839601490897,186450
-322.4131350793979,186474
-319.65049065163294,186430
-316.89045820512644,186435
-314.1330332228362,186411
-311.3782111971333,186372
-308.6259876297756,186442
-305.8763580319037,186466
-303.1293179239997,186429
-300.38486283588077,186406
-297.64298830667076,186446
-294.903689884783,186453
-292.1669631279051,186480
-289.43280360295984,186502
-286.7012068861032,186469
-283.97216856270023,186435
-281.2456842272927,186353
-278.5217494835949,186445
-275.8003599444628,186443
-273.0815112318751,186403
-270.3651989769155,186451
-267.65141881975126,186471
-264.9401664096113,186407
-262.2314374047734,186438
-259.5252274725313,186435
-256.82153228918884,186423
-254.12034754002676,186410
-251.42166891929662,186468
-248.72549213018382,186464
-246.03181288480965,186424
-243.34062690418816,186459
-240.6519299182259,186453
-237.96571766568744,186490
-235.28198589419304,186453
-232.6007303601798,186427
-229.92194682889274,186403
-227.2456310743699,186403
-224.57177887940955,186505
-221.90038603556388,186440
-219.23144834311074,186479
-216.56496161104496,186456
-213.90092165704144,186412
-211.23932430745958,186431
-208.58016539730423,186443
-205.92344077021698,186434
-203.2691462784523,186435
-200.6172777828689,186475
-197.9678311528929,186478
-195.32080226651985,186522
-192.6761870102737,186474
-190.03398127921548,186553
-187.39418097689756,186533
-184.75678201536383,186551
-182.1217803151193,186443
-179.48917180512365,186448
-176.85895242276067,186473
-174.23111811382987,186504
-171.6056648325224,186545
-168.9825885414038,186538
-166.36188521139883,186543
-163.7435508217676,186578
-161.1275813600925,186543
-158.5139728222675,186511
-155.9027212124568,186553
-153.29382254310144,186668
-150.68727283489102,186663
-148.08306811674427,186600
-145.48120442579815,186665
-142.88167780737976,186690
-140.28448431499964,186630
-137.68962001033026,186711
-135.09708096318215,186725
-132.50686325150164,186735
-129.9189629613319,186719
-127.33337618681942,186829
-124.7500990301728,186785
-122.16912760167152,186872
-119.59045801962237,186842
-117.01408641036403,186852
-114.44000890823217,186890
-111.86822165555957,186893
-109.29872080263922,186957
-106.73150250773517,186881
-104.16656293703048,186929
-101.60389826464238,186943
-99.04350467258762,186901
-96.4853783507651,186886
-93.92951549695586,186913
-91.37591231678189,186930
-88.82456502370832,186911
-86.27546983902167,186885
-83.72862299181041,186896
-81.18402071895193,186854
-78.641659265093,186856
-76.10153488263674,186799
-73.56364383172102,186754
-71.02798238021188,186802
-68.49454680367319,186888
-65.96333338536667,186742
-63.43433841622149,186816
-60.9075581948235,186732
-58.38298902740647,186735
-55.86062722782179,186742
-53.34046911753196,186813
-50.82251102559538,186756
-48.30674928864472,186647
-45.79318025087816,186672
-43.28180026403347,186762
-40.77260568738361,186666
-38.265592887712884,186693
-35.76075823930394,186697
-33.2580981239226,186637
-30.757608930802665,186664
-28.259287056628565,186540
-25.763128905524535,186526
-23.26913088903076,186638
-20.777289426094672,186658
-18.287600943053643,186544
-15.800061873619784,186581
-13.314668658862601,186556
-10.831417747200321,186556
-8.350305594373875,186533
-5.871328663444725,186565
-3.394483424768845,186539
-0.9197663559815452,186515
1.5528260580025335,186549
4.02329732502411,186530
6.491650945681434,186531
8.957890413351967,186571
11.422019214203226,186619
13.884040827203629,186576
16.343958724152845,186587
18.801776369677462,186552
21.257497221257008,186589
23.711124729236968,186618
26.16266233684177,186666
28.61211348018783,186636
31.059481588305207,186621
33.50477008314412,186562
35.94798237959015,186533
38.38912188548803,186604
40.82819200163954,186597
43.265196121833846,186553
45.70013763285398,186588
48.133019914492046,186663
50.5638463395644,186630
52.99262027392247,186610
55.419345076474464,186580
57.84402409919186,186558
60.26666068712459,186573
62.687258178416215,186689
65.10581990432779,186566
67.522349189227,186626
69.93684935063371,186595
72.34932369920696,186666
74.75977553877316,186652
77.16820816633472,186549
79.57462487208745,186548
81.97902893943356,186589
84.38142364498815,186654
86.78181225860519,186715
89.18019804338411,186537
91.5765842556763,186538
93.97097414511317,186499
96.36337095461286,186509
98.75377792039524,186560
101.14219827198632,186492
103.52863523224644,186414
105.91309201737246,186480
108.29557183691723,186548
110.67607789380044,186433
113.05461338431732,186466
115.43118149816029,186469
117.80578541843202,186520
120.17842832164972,186548
122.54911337776466,186473
124.91784375017302,186411
127.28462259573546,186392
129.64945306477702,186528
132.01233830111318,186500
134.37328144205426,186466
136.73228561842484,186447
139.08935395456598,186445
141.44448956836774,186469
143.79769557125834,186428
146.1489750682302,186397
148.49833115785282,186438
150.84576693228604,186448
153.191285477282,186435
155.5348898722112,186439
157.87658319007124,186519
160.21636849749328,186481
162.55424885475938,186405
164.89022731581764,186475
167.22430692828888,186391
169.55649073348158,186454
171.88678176640724,186430
174.2151830557868,186372
176.541697624068,186433
178.86632848743622,186427
181.1890786558275,186395
183.50995113293294,186402
185.82894891622453,186400
188.14607499695757,186405
190.46133236019,186333
192.77472398478028,186508
195.0862528434221,186373
197.39592190262928,186413
199.7037341227746,186397
202.00969245808562,186410
204.31379985665336,186363
206.61605926045826,186434
208.91647360537667,186422
211.21504582118305,186448
213.51177883157823,186448
215.8066755541849,186427
218.09973890057378,186381
220.39097177626363,186422
222.6803770807406,186440
224.96795770746712,186448
227.25371654389036,186421
229.53765647146196,186405
231.81978036564652,186449
234.10009109591954,186408
236.37859152580424,186394
238.65528451286502,186456
240.93017290871848,186434
243.20325955905915,186456
245.47454730365104,186412
247.74403897635798,186422
250.0117374051392,186397
252.27764541207966,186532
254.54176581337717,186482
256.8041014193705,186417
259.06465503454814,186486
261.32342945755454,186413
263.5804274812056,186456
265.83565189250163,186382
268.08910547262496,186544
270.34079099697277,186389
272.59071123515247,186391
274.83886895099266,186440
277.0852669025671,186449
279.329907842186,186436
281.5727945164261,186414
283.8139296661309,186502
286.0533160264217,186524
288.2909563267167,186433
290.5268532907269,186496
292.76100963648423,186485
294.99342807633514,186540
297.2241113169665,186552
299.45306205941216,186670
301.68028299905075,186686
303.9057768256361,186669
306.1295462232971,186742
308.3515938705466,186720
310.5719224402942,186721
312.79053459986596,186714
315.0074330109955,186746
317.2226203298524,186740
319.4360992070464,186753
321.647872287634,186700
323.85794221113366,186758
326.0663116115363,186752
328.27298311731033,186782
330.477959351416,186749
332.6812429313214,186785
334.8828364690016,186733
337.08274257095246,186732
339.28096383820537,186702
341.47750286633163,186736
343.67236224546207,186713
345.8655445602848,186699
348.05705239006033,186678
350.24688830863477,186608
352.43505488444845,186573
354.62155468054004,186565
356.80639025456856,186494
358.9895641588131,186525
361.1710789401838,186513
363.3509371402349,186464
365.5291412951755,186479
367.70569393587823,186481
369.8805975878858,186483
372.05385477142835,186453
374.2254680014212,186445
376.3954397874845,186441
378.56377263395825,186439
380.7304690398917,186455
382.89553149907334,186464
385.05896250003343,186437
387.2207645260438,186403
389.38094005515256,186486
391.53949156016256,186520
393.6964215086637,186516
395.85173236303524,186581
398.0054265804501,186703
400.1575066128987,186705
402.3079749071803,186707
404.45683390492263,186747
406.60408604259675,186906
