38_calcium_sulfate_dihydrate_Ajax_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186324
-358.5672754570978,186516
-355.77025989936726,186528
-352.97591591093277,186709
-350.18423885041375,186670
-347.3952240861159,186769
-344.60886699602463,186654
-341.82516296777254,186689
-339.0441073986201,186745
-336.2656956954402,186722
-333.48992327468994,186772
-330.7167855623894,186722
-327.9462779940995,186676
-325.17839601490897,186740
-322.4131350793979,186668
-319.65049065163294,186745
-316.89045820512644,186745
-314.1330332228362,186749
-311.3782111971333,186787
-308.6259876297756,186720
-305.8763580319037,186696
-303.1293179239997,186711
-300.38486283588077,186725
-297.64298830667076,186823
-294.903689884783,186766
-292.1669631279051,186744
-289.43280360295984,186740
-286.7012068861032,186766
-283.97216856270023,186764
-281.2456842272927,186744
-278.5217494835949,186722
-275.8003599444628,186734
-273.0815112318751,186777
-270.3651989769155,186737
-267.65141881975126,186809
-264.9401664096113,186770
-262.2314374047734,186752
-259.5252274725313,186829
-256.82153228918884,186859
-254.12034754002676,186815
-251.42166891929662,186813
-248.72549213018382,186828
-246.03181288480965,186835
-243.34062690418816,186856
-240.6519299182259,186863
-237.96571766568744,186928
-235.28198589419304,186857
-232.6007303601798,186850
-229.92194682889274,186884
-227.2456310743699,186877
-224.57177887940955,186897
-221.90038603556388,186904
-219.23144834311074,186813
-216.56496161104496,186921
-213.90092165704144,186955
-211.23932430745958,186871
-208.58016539730423,186970
-205.92344077021698,186849
-203.2691462784523,186861
-200.6172777828689,186973
-197.9678311528929,187005
-195.32080226651985,186899
-192.6761870102737,186957
-190.03398127921548,186842
-187.39418097689756,186959
-184.75678201536383,186900
-182.1217803151193,186987
-179.48917180512365,186954
-176.85895242276067,186907
-174.23111811382987,186943
-171.6056648325224,186965
-168.9825885414038,186958
-166.36188521139883,186965
-163.7435508217676,186972
-161.1275813600925,186934
-158.5139728222675,186991
-155.9027212124568,187007
-153.29382254310144,186972
-150.68727283489102,187023
-148.08306811674427,186999
-145.48120442579815,187046
-142.88167780737976,186955
-140.28448431499964,187026
-137.68962001033026,186929
-135.09708096318215,187008
-132.50686325150164,187016
-129.9189629613319,187071
-127.33337618681942,187077
-124.7500990301728,187006
-122.16912760167152,187025
-119.59045801962237,187064
-117.01408641036403,187012
-114.44000890823217,187040
-111.86822165555957,187038
-109.29872080263922,187036
-106.73150250773517,187080
-104.16656293703048,187022
-101.60389826464238,187061
-99.04350467258762,187087
-96.4853783507651,187091
-93.92951549695586,187063
-91.37591231678189,187088
-88.82456502370832,187064
-86.27546983902167,187031
-83.72862299181041,187096
-81.18402071895193,187127
-78.641659265093,187134
-76.10153488263674,187134
-73.56364383172102,187094
-71.02798238021188,187064
-68.49454680367319,187135
-65.96333338536667,187126
-63.43433841622149,187156
-60.9075581948235,187122
-58.38298902740647,187087
-55.86062722782179,187019
-53.34046911753196,187114
-50.82251102559538,187080
-48.30674928864472,187179
-45.79318025087816,187079
-43.28180026403347,187145
-40.77260568738361,187136
-38.265592887712884,187150
-35.76075823930394,187127
-33.2580981239226,187179
-30.757608930802665,187126
-28.259287056628565,187119
-25.763128905524535,187150
-23.26913088903076,187139
-20.777289426094672,187184
-18.287600943053643,187167
-15.800061873619784,187223
-13.314668658862601,187069
-10.831417747200321,187120
-8.350305594373875,187151
-5.871328663444725,187177
-3.394483424768845,187183
-0.9197663559815452,187178
1.5528260580025335,187180
4.02329732502411,187172
6.491650945681434,187138
8.957890413351967,187137
11.422019214203226,187185
13.884040827203629,187172
16.343958724152845,187212
18.801776369677462,187196
21.257497221257008,187183
23.711124729236968,187241
26.16266233684177,187189
28.61211348018783,187197
31.059481588305207,187172
33.50477008314412,187092
35.94798237959015,187199
38.38912188548803,187171
40.82819200163954,187195
43.265196121833846,187143
45.70013763285398,187169
48.133019914492046,187125
50.5638463395644,187182
52.99262027392247,187274
55.419345076474464,187189
57.84402409919186,187229
60.26666068712459,187144
62.687258178416215,187147
65.10581990432779,187201
67.522349189227,187270
69.93684935063371,187150
72.34932369920696,187236
74.75977553877316,187259
77.16820816633472,187161
79.57462487208745,187158
81.97902893943356,187203
84.38142364498815,187222
86.78181225860519,187244
89.18019804338411,187212
91.5765842556763,187249
93.97097414511317,187221
96.36337095461286,187252
98.75377792039524,187317
101.14219827198632,187224
103.52863523224644,187254
105.91309201737246,187274
108.29557183691723,187244
110.67607789380044,187256
113.05461338431732,187294
115.43118149816029,187218
117.80578541843202,187205
120.17842832164972,187221
122.54911337776466,187228
124.91784375017302,187232
127.28462259573546,187199
129.64945306477702,187236
132.01233830111318,187178
134.37328144205426,187228
136.73228561842484,187251
139.08935395456598,187323
141.44448956836774,187252
143.79769557125834,187222
146.1489750682302,187281
148.49833115785282,187284
150.84576693228604,187285
153.191285477282,187276
155.5348898722112,187296
157.87658319007124,187303
160.21636849749328,187339
162.55424885475938,187307
164.89022731581764,187257
167.22430692828888,187261
169.55649073348158,187304
171.88678176640724,187274
174.2151830557868,187304
176.541697624068,187240
178.86632848743622,187264
181.1890786558275,187226
183.50995113293294,187256
185.82894891622453,187264
188.14607499695757,187294
190.46133236019,187290
192.77472398478028,187279
195.0862528434221,187365
197.39592190262928,187286
199.7037341227746,187239
202.00969245808562,187356
204.31379985665336,187287
206.61605926045826,187357
208.91647360537667,187390
211.21504582118305,187356
213.51177883157823,187323
215.8066755541849,187280
218.09973890057378,187270
220.39097177626363,187382
222.6803770807406,187376
224.96795770746712,187301
227.25371654389036,187403
229.53765647146196,187343
231.81978036564652,187404
234.10009109591954,187381
236.37859152580424,187327
238.65528451286502,187328
240.93017290871848,187339
243.20325955905915,187356
245.47454730365104,187394
247.74403897635798,187378
250.0117374051392,187375
252.27764541207966,187407
254.54176581337717,187434
256.8041014193705,187410
259.06465503454814,187382
261.32342945755454,187373
263.5804274812056,187412
265.83565189250163,187420
268.08910547262496,187348
270.34079099697277,187342
272.59071123515247,187390
274.83886895099266,187377
277.0852669025671,187424
279.329907842186,187394
281.5727945164261,187343
283.8139296661309,187466
286.0533160264217,187397
288.2909563267167,187376
290.5268532907269,187427
292.76100963648423,187380
294.99342807633514,187395
297.2241113169665,187465
299.45306205941216,187406
301.68028299905075,187389
303.9057768256361,187377
306.1295462232971,187412
308.3515938705466,187411
310.5719224402942,187451
312.79053459986596,187492
315.0074330109955,187431
317.2226203298524,187451
319.4360992070464,187446
321.647872287634,187455
323.85794221113366,187435
326.0663116115363,187435
328.27298311731033,187504
330.477959351416,187486
332.6812429313214,187537
334.8828364690016,187484
337.08274257095246,187421
339.28096383820537,187486
341.47750286633163,187406
343.67236224546207,187498
345.8655445602848,187485
348.05705239006033,187456
350.24688830863477,187534
352.43505488444845,187532
354.62155468054004,187422
356.80639025456856,187533
358.9895641588131,187482
361.1710789401838,187489
363.3509371402349,187530
