39_magnesium_carbonate_light_Pharm_sales_and_marketing_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,189012
-358.5672754570978,189234
-355.77025989936726,189343
-352.97591591093277,189431
-350.18423885041375,189484
-347.3952240861159,189665
-344.60886699602463,189705
-341.82516296777254,189551
-339.0441073986201,189689
-336.2656956954402,189636
-333.48992327468994,189710
-330.7167855623894,189675
-327.9462779940995,189750
-325.17839601490897,189794
-322.4131350793979,189886
-319.65049065163294,189925
-316.89045820512644,189965
-314.1330332228362,190014
-311.3782111971333,190045
-308.6259876297756,190015
-305.8763580319037,190065
-303.1293179239997,190078
-300.38486283588077,190055
-297.64298830667076,190202
-294.903689884783,190207
-292.1669631279051,190253
-289.43280360295984,190315
-286.7012068861032,190446
-283.97216856270023,190368
-281.2456842272927,190450
-278.5217494835949,190497
-275.8003599444628,190561
-273.0815112318751,190587
-270.3651989769155,190622
-267.65141881975126,190651
-264.9401664096113,190732
-262.2314374047734,190692
-259.5252274725313,190732
-256.82153228918884,190857
-254.12034754002676,190817
-251.42166891929662,190823
-248.72549213018382,190962
-246.03181288480965,190966
-243.34062690418816,191021
-240.6519299182259,190995
-237.96571766568744,191050
-235.28198589419304,191065
-232.6007303601798,191167
-229.92194682889274,191181
-227.2456310743699,191169
-224.57177887940955,191340
-221.90038603556388,191336
-219.23144834311074,191363
-216.56496161104496,191361
-213.90092165704144,191408
-211.23932430745958,191527
-208.58016539730423,191432
-205.92344077021698,191531
-203.2691462784523,191584
-200.6172777828689,191643
-197.9678311528929,191712
-195.32080226651985,191749
-192.6761870102737,191778
-190.03398127921548,191779
-187.39418097689756,191817
-184.75678201536383,191858
-182.1217803151193,191899
-179.48917180512365,191964
-176.85895242276067,191990
-174.23111811382987,192079
-171.6056648325224,192135
-168.9825885414038,192165
-166.36188521139883,192037
-163.7435508217676,192023
-161.1275813600925,192145
-158.5139728222675,192246
-155.9027212124568,192271
-153.29382254310144,192351
-150.68727283489102,192397
-148.08306811674427,192366
-145.48120442579815,192461
-142.88167780737976,192470
-140.28448431499964,192374
-137.68962001033026,192513
-135.09708096318215,192521
-132.50686325150164,192535
-129.9189629613319,192600
-127.33337618681942,192680
-124.7500990301728,192693
-122.16912760167152,192607
-119.59045801962237,192693
-117.01408641036403,192706
-114.44000890823217,192732
-111.86822165555957,192848
-109.29872080263922,192801
-106.73150250773517,192866
-104.16656293703048,192911
-101.60389826464238,192896
-99.04350467258762,192966
-96.4853783507651,192961
-93.92951549695586,193120
-91.37591231678189,193098
-88.82456502370832,193038
-86.27546983902167,193122
-83.72862299181041,193101
-81.18402071895193,193054
-78.641659265093,193272
-76.10153488263674,193196
-73.56364383172102,193275
-71.02798238021188,193293
-68.49454680367319,193337
-65.96333338536667,193226
-63.43433841622149,193373
-60.9075581948235,193459
-58.38298902740647,193432
-55.86062722782179,193447
-53.34046911753196,193457
-50.82251102559538,193514
-48.30674928864472,193475
-45.79318025087816,193556
-43.28180026403347,193500
-40.77260568738361,193690
-38.265592887712884,193663
-35.76075823930394,193664
-33.2580981239226,193582
-30.757608930802665,193726
-28.259287056628565,193790
-25.763128905524535,193765
-23.26913088903076,193780
-20.777289426094672,193719
-18.287600943053643,193855
-15.800061873619784,193787
-13.314668658862601,193876
-10.831417747200321,193893
-8.350305594373875,193803
-5.871328663444725,193879
-3.394483424768845,193946
-0.9197663559815452,193948
1.5528260580025335,193923
4.02329732502411,194040
6.491650945681434,194081
8.957890413351967,194087
11.422019214203226,194136
13.884040827203629,194096
16.343958724152845,194176
18.801776369677462,194148
21.257497221257008,194240
23.711124729236968,194208
26.16266233684177,194324
28.61211348018783,194358
31.059481588305207,194351
33.50477008314412,194255
35.94798237959015,194382
38.38912188548803,194351
40.82819200163954,194413
43.265196121833846,194329
45.70013763285398,194374
48.133019914492046,194520
50.5638463395644,194507
52.99262027392247,194516
55.419345076474464,194575
57.84402409919186,194459
60.26666068712459,194512
62.687258178416215,194505
65.10581990432779,194628
67.522349189227,194661
69.93684935063371,194665
72.34932369920696,194754
74.75977553877316,194690
77.16820816633472,194690
79.57462487208745,194798
81.97902893943356,194756
84.38142364498815,194744
86.78181225860519,194803
89.18019804338411,194865
91.5765842556763,194857
93.97097414511317,194852
96.36337095461286,194836
98.75377792039524,194844
101.14219827198632,194817
103.52863523224644,194884
105.91309201737246,195030
108.29557183691723,194945
110.67607789380044,195035
113.05461338431732,195028
115.43118149816029,194969
117.80578541843202,195029
120.17842832164972,195199
122.54911337776466,195215
124.91784375017302,195192
127.28462259573546,195193
129.64945306477702,195236
132.01233830111318,195178
134.37328144205426,195319
136.73228561842484,195201
139.08935395456598,195428
141.44448956836774,195297
143.79769557125834,195276
146.1489750682302,195340
148.49833115785282,195344
150.84576693228604,195350
153.191285477282,195509
155.5348898722112,195500
157.87658319007124,195464
160.21636849749328,195545
162.55424885475938,195579
164.89022731581764,195608
167.22430692828888,195516
169.55649073348158,195597
171.88678176640724,195592
174.2151830557868,195789
176.541697624068,195782
178.86632848743622,195732
181.1890786558275,195738
183.50995113293294,195833
185.82894891622453,195846
188.14607499695757,195770
190.46133236019,195780
192.77472398478028,195925
195.0862528434221,195912
197.39592190262928,195956
199.7037341227746,195899
202.00969245808562,195984
204.31379985665336,196077
206.61605926045826,195988
208.91647360537667,196052
211.21504582118305,196223
213.51177883157823,196104
215.8066755541849,196076
218.09973890057378,196146
220.39097177626363,196172
222.6803770807406,196148
224.96795770746712,196150
227.25371654389036,196200
229.53765647146196,196242
231.81978036564652,196343
234.10009109591954,196293
236.37859152580424,196338
238.65528451286502,196347
240.93017290871848,196392
243.20325955905915,196472
245.47454730365104,196441
247.74403897635798,196484
250.0117374051392,196507
252.27764541207966,196503
254.54176581337717,196649
256.8041014193705,196535
259.06465503454814,196799
261.32342945755454,196602
263.5804274812056,196707
265.83565189250163,196762
268.08910547262496,196716
270.34079099697277,196729
272.59071123515247,196889
274.83886895099266,196785
277.0852669025671,196792
279.329907842186,196699
281.5727945164261,196790
283.8139296661309,196785
286.0533160264217,196943
288.2909563267167,196901
290.5268532907269,196986
292.76100963648423,197005
294.99342807633514,197046
297.2241113169665,197162
