3_L-cysteine_Fluka_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187441
-358.5672754570978,187594
-355.77025989936726,187730
-352.97591591093277,187791
-350.18423885041375,187901
-347.3952240861159,187915
-344.60886699602463,187940
-341.82516296777254,188010
-339.0441073986201,187837
-336.2656956954402,187908
-333.48992327468994,187848
-330.7167855623894,187880
-327.9462779940995,187888
-325.17839601490897,187904
-322.4131350793979,187892
-319.65049065163294,187955
-316.89045820512644,187946
-314.1330332228362,188002
-311.3782111971333,187946
-308.6259876297756,187901
-305.8763580319037,187919
-303.1293179239997,187922
-300.38486283588077,187868
-297.64298830667076,187889
-294.903689884783,187952
-292.1669631279051,188003
-289.43280360295984,188022
-286.7012068861032,188027
-283.97216856270023,188034
-281.2456842272927,188049
-278.5217494835949,188039
-275.8003599444628,188085
-273.0815112318751,188038
-270.3651989769155,188104
-267.65141881975126,188159
-264.9401664096113,188139
-262.2314374047734,188057
-259.5252274725313,188147
-256.82153228918884,188173
-254.12034754002676,188120
-251.42166891929662,188142
-248.72549213018382,188209
-246.03181288480965,188124
-243.34062690418816,188192
-240.6519299182259,188185
-237.96571766568744,188093
-235.28198589419304,188163
-232.6007303601798,188266
-229.92194682889274,188137
-227.2456310743699,188185
-224.57177887940955,188247
-221.90038603556388,188266
-219.23144834311074,188258
-216.56496161104496,188250
-213.90092165704144,188231
-211.23932430745958,188277
-208.58016539730423,188342
-205.92344077021698,188305
-203.2691462784523,188307
-200.6172777828689,188282
-197.9678311528929,188373
-195.32080226651985,188463
-192.6761870102737,188344
-190.03398127921548,188404
-187.39418097689756,188314
-184.75678201536383,188404
-182.1217803151193,188335
-179.48917180512365,188449
-176.85895242276067,188417
-174.23111811382987,188459
-171.6056648325224,188437
-168.9825885414038,188378
-166.36188521139883,188499
-163.7435508217676,188485
-161.1275813600925,188398
-158.5139728222675,188461
-155.9027212124568,188471
-153.29382254310144,188448
-150.68727283489102,188469
-148.08306811674427,188515
-145.48120442579815,188526
-142.88167780737976,188483
-140.28448431499964,188516
-137.68962001033026,188503
-135.09708096318215,188523
-132.50686325150164,188528
-129.9189629613319,188517
-127.33337618681942,188535
-124.7500990301728,188611
-122.16912760167152,188511
-119.59045801962237,188509
-117.01408641036403,188572
-114.44000890823217,188458
-111.86822165555957,188508
-109.29872080263922,188578
-106.73150250773517,188599
-104.16656293703048,188568
-101.60389826464238,188549
-99.04350467258762,188635
-96.4853783507651,188534
-93.92951549695586,188598
-91.37591231678189,188545
-88.82456502370832,188601
-86.27546983902167,188619
-83.72862299181041,188592
-81.18402071895193,188624
-78.641659265093,188603
-76.10153488263674,188679
-73.56364383172102,188656
-71.02798238021188,188623
-68.49454680367319,188590
-65.96333338536667,188575
-63.43433841622149,188569
-60.9075581948235,188663
-58.38298902740647,188604
-55.86062722782179,188636
-53.34046911753196,188670
-50.82251102559538,188717
-48.30674928864472,188609
-45.79318025087816,188730
-43.28180026403347,188651
-40.77260568738361,188689
-38.265592887712884,188627
-35.76075823930394,188660
-33.2580981239226,188756
-30.757608930802665,188661
-28.259287056628565,188772
-25.763128905524535,188805
-23.26913088903076,188665
-20.777289426094672,188748
-18.287600943053643,188697
-15.800061873619784,188712
-13.314668658862601,188754
-10.831417747200321,188699
-8.350305594373875,188692
-5.871328663444725,188761
-3.394483424768845,188723
-0.9197663559815452,188711
1.5528260580025335,188788
4.02329732502411,188727
6.491650945681434,188782
8.957890413351967,188771
11.422019214203226,188753
13.884040827203629,188836
16.343958724152845,188714
18.801776369677462,188692
21.257497221257008,188779
23.711124729236968,188695
26.16266233684177,188728
28.61211348018783,188676
31.059481588305207,188727
33.50477008314412,188795
35.94798237959015,188763
38.38912188548803,188731
40.82819200163954,188790
43.265196121833846,188783
45.70013763285398,188780
48.133019914492046,188758
50.5638463395644,188706
52.99262027392247,188811
55.419345076474464,188754
57.84402409919186,188788
60.26666068712459,188781
62.687258178416215,188755
65.10581990432779,188725
67.522349189227,188792
69.93684935063371,188864
72.34932369920696,188799
74.75977553877316,188812
77.16820816633472,188845
79.57462487208745,188826
81.97902893943356,188865
84.38142364498815,188812
86.78181225860519,188812
89.18019804338411,188699
91.5765842556763,188755
93.97097414511317,188827
96.36337095461286,188786
98.75377792039524,188823
101.14219827198632,188805
103.52863523224644,188830
105.91309201737246,188833
108.29557183691723,188769
110.67607789380044,188806
113.05461338431732,188800
115.43118149816029,188844
117.80578541843202,188826
120.17842832164972,188845
122.54911337776466,188888
124.91784375017302,188880
127.28462259573546,188917
129.64945306477702,188862
132.01233830111318,188882
134.37328144205426,188814
136.73228561842484,188879
139.08935395456598,188873
141.44448956836774,188798
143.79769557125834,188918
146.1489750682302,188738
148.49833115785282,188886
150.84576693228604,188887
153.191285477282,188858
155.5348898722112,188857
157.87658319007124,188893
160.21636849749328,188804
162.55424885475938,188849
164.89022731581764,188864
167.22430692828888,188825
169.55649073348158,188867
171.88678176640724,188933
174.2151830557868,188946
176.541697624068,188908
178.86632848743622,188910
181.1890786558275,188854
183.50995113293294,188840
185.82894891622453,188903
188.14607499695757,188927
190.46133236019,188936
192.77472398478028,188907
195.0862528434221,188880
197.39592190262928,188939
199.7037341227746,189000
202.00969245808562,188960
204.31379985665336,188972
206.61605926045826,188959
208.91647360537667,188979
211.21504582118305,188920
213.51177883157823,188920
215.8066755541849,188943
218.09973890057378,188926
220.39097177626363,188925
222.6803770807406,188902
224.96795770746712,188965
227.25371654389036,188897
229.53765647146196,188955
231.81978036564652,188960
234.10009109591954,188991
236.37859152580424,188946
238.65528451286502,188937
240.93017290871848,188881
243.20325955905915,188913
245.47454730365104,188971
247.74403897635798,188954
250.0117374051392,188890
252.27764541207966,189023
254.54176581337717,188990
256.8041014193705,188949
259.06465503454814,188969
261.32342945755454,188952
263.5804274812056,188937
265.83565189250163,189051
268.08910547262496,188907
270.34079099697277,189001
272.59071123515247,188959
274.83886895099266,188956
277.0852669025671,188980
279.329907842186,188966
281.5727945164261,188955
283.8139296661309,188929
286.0533160264217,188894
288.2909563267167,188916
290.5268532907269,189021
292.76100963648423,188995
294.99342807633514,188995
297.2241113169665,188967
299.45306205941216,189023
301.68028299905075,188961
303.9057768256361,188957
306.1295462232971,188993
308.3515938705466,188994
310.5719224402942,188985
312.79053459986596,189010
315.0074330109955,188995
317.2226203298524,189010
319.4360992070464,188989
321.647872287634,189031
323.85794221113366,188983
326.0663116115363,189044
328.27298311731033,189028
330.477959351416,188934
332.6812429313214,189000
334.8828364690016,189012
337.08274257095246,189067
339.28096383820537,189053
341.47750286633163,189020
343.67236224546207,189019
345.8655445602848,189009
348.05705239006033,189011
350.24688830863477,189078
352.43505488444845,189045
354.62155468054004,189127
356.80639025456856,189081
358.9895641588131,189182
361.1710789401838,189136
363.3509371402349,189163
365.5291412951755,189168
367.70569393587823,189246
369.8805975878858,189222
372.05385477142835,189298
374.2254680014212,189238
376.3954397874845,189312
378.56377263395825,189336
380.7304690398917,189352
382.89553149907334,189351
385.05896250003343,189410
387.2207645260438,189326
389.38094005515256,189413
391.53949156016256,189321
393.6964215086637,189291
395.85173236303524,189282
398.0054265804501,189292
400.1575066128987,189356
402.3079749071803,189303
404.45683390492263,189300
406.60408604259675,189317
408.74973375151086,189307
410.8937794578384,189431
413.03622558260497,189358
415.17707454172097,189458
417.3163287459771,189478
419.4539906010597,189441
421.5900625075442,189389
423.7245468609362,189460
425.85744605165,189443
427.9887624650323,189532
430.11849848136876,189561
432.24665647589256,189594
434.3732388187955,189578
436.4982478752364,189593
438.6216860053477,189506
440.7435555642465,189442
442.86385890204275,189557
444.98259836385284,189481
447.0997762897992,189601
449.2153950150322,189535
451.32945686972334,189422
453.4419641790853,189501
455.55291926338646,189495
457.6623244379385,189385
459.7701820131263,189453
461.87649429440614,189492
463.9812635823205,189543
466.0844921724962,189578
468.18618235567027,189524
470.28633641768135,189611
472.38495663948913,189537
474.4820452971766,189674
476.57760466196953,189641
478.67163700022985,189747
480.76414457347977,189793
482.85512963839284,189827
484.94459444682224,189810
487.0325412457922,189829
489.1189722775217,189928
491.20388977942025,189871
493.2872959840986,189829
495.3691931193884,189852
497.4495834083378,189733
499.5284690692244,189719
501.6058523155619,189610
503.6817353561173,189552
505.7561203949067,189489
507.8290096312125,189560
509.90040525958347,189540
511.9703094698543,189484
514.0387244471499,189427
516.1056523718833,189478
518.1710954197771,189406
520.2350557618681,189421
522.297535564516,189441
524.3585369894051,189422
526.4180621935601,189450
528.4761133293498,189445
530.532692544505,189502
532.5878019821076,189463
534.6414437806184,189525
536.6936200738706,189460
538.7443329910902,189520
540.7935846568927,189505
542.8413771912986,189562
544.8877127097385,189499
546.9325933230668,189640
548.9760211375527,189659
551.0179982549154,189718
553.0585267723011,189763
555.0976087823198,189803
557.1352463730342,189843
559.1714416279709,190006
561.2061966261354,189885
563.2395134420138,189977
565.2713941455825,189925
567.3018408023137,189907
569.3308554731891,189788
571.3584402147017,189720
573.38459707886,189637
575.4093281132104,189649
577.4326353608323,189647
579.4545208603463,189608
581.4749866459327,189605
583.49403474732,189527
585.5116671898151,189537
587.5278859942948,189440
589.5426931772172,189435
591.5560907506315,189502
593.5680807221872,189466
595.5786650951346,189370
597.5878458683434,189525
599.5956250362945,189530
601.602004589104,189470
603.6069865125183,189519
605.6105727879346,189442
607.6127653923888,189419
609.6135662985803,189448
611.612977474878,189461
613.6110008853166,189407
615.607638489613,189425
617.6028922431692,189466
619.5967640970873,189441
621.5892559981651,189512
623.5803698889132,189471
625.5701077075557,189487
627.5584713880469,189415
629.5454628600628,189462
631.5310840490249,189419
633.5153368760984,189471
635.4982232581962,189521
637.4797451080003,189470
639.4599043339517,189446
641.4387028402715,189325
643.4161425269567,189501
645.3922252897958,189511
647.3669530203722,189591
649.3403276060737,189500
651.312350930099,189526
653.2830248714528,189459
655.2523513049806,189550
657.2203321013455,189436
659.1869691270516,189519
661.1522642444522,189546
663.1162193117485,189648
665.0788361830043,189646
667.0401167081395,189647
669.0000627329606,189740
670.9586760991413,189655
672.9159586442499,189669
674.8719122017421,189778
676.8265386009813,189847
678.7798396672302,189904
680.7318172216713,190112
682.6824730814013,190319
684.6318090594511,190600
686.579826964784,191013
688.5265286022995,191534
690.4719157728532,192084
692.4159902732497,192563
694.3587538962544,192877
696.3002084306034,193050
698.2403556610064,192949
700.1791973681526,192674
702.1167353287242,192119
704.0529713153937,191584
705.9879070968334,191065
707.9215444377295,190701
709.8538850987788,190505
711.7849308366968,190389
713.714683404235,190219
715.6431445501659,190243
717.5703160193134,190390
719.4961995525485,190518
721.4207968867913,190785
723.3441097550218,191092
725.266139886291,191461
727.1868890057204,191839
729.1063588345096,192135
731.0245510899477,192166
732.9414674854171,192115
734.857109730392,191854
736.7714795304594,191480
738.6845785873155,191039
740.5964085987733,190828
742.5069712587708,190550
744.4162682573776,190368
746.3243012808011,190146
748.231072011385,190098
750.1365821276345,189954
752.0408333042019,189906
753.9438272119014,189873
755.845565517724,189868
757.7460498848251,189863
759.6452819725436,189748
761.5432634364129,189766
763.4399959281498,189757
765.3354810956744,189752
767.2297205831165,189771
769.122716030809,189706
771.0144690753094,189839
772.9049813493958,189797
774.7942544820801,189866
776.6822900986069,189848
778.5690898204616,190053
780.4546552653821,190126
782.3389880473596,190526
784.2220897766468,190980
786.1039620597537,191453
787.9846064994781,191850
789.8640246948837,192193
791.7422182413219,192462
793.6191887304386,193013
795.4949377501734,193399
797.3694668847648,193621
799.242777714767,193571
801.1148718170373,192924
802.9857507647658,192106
804.8554161274591,191352
806.7238694709584,190852
808.5911123574454,190590
810.4571463454411,190261
812.3219729898171,190223
814.1855938418024,190179
816.0480104489848,190066
817.9092243553202,190090
819.7692371011349,190030
821.6280502231356,189937
823.4856652544103,189970
825.3420837244407,189889
827.197307159105,189922
829.0513370806771,189877
830.9041750078424,189902
832.7558224556952,189868
834.6062809357546,189795
836.4555519559569,189953
838.3036370206718,189837
840.150537630706,190105
841.9962552832995,190025
843.8407914721489,190296
845.684147687399,190502
847.5263254156514,190781
849.3673261399689,190933
851.2071513398864,191181
853.0458024914172,191252
854.8832810670467,191441
856.7195885357537,191660
858.5547263630024,191748
860.3886960107569,191615
862.2214989374797,191246
864.053136598146,190762
865.8836104442424,190352
