40_magnesium_carbonate_heavy_MB_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186296
-358.5672754570978,186447
-355.77025989936726,186485
-352.97591591093277,186580
-350.18423885041375,186634
-347.3952240861159,186671
-344.60886699602463,186643
-341.82516296777254,186645
-339.0441073986201,186617
-336.2656956954402,186633
-333.48992327468994,186722
-330.7167855623894,186586
-327.9462779940995,186586
-325.17839601490897,186615
-322.4131350793979,186585
-319.65049065163294,186624
-316.89045820512644,186631
-314.1330332228362,186553
-311.3782111971333,186654
-308.6259876297756,186592
-305.8763580319037,186593
-303.1293179239997,186643
-300.38486283588077,186627
-297.64298830667076,186647
-294.903689884783,186639
-292.1669631279051,186644
-289.43280360295984,186622
-286.7012068861032,186627
-283.97216856270023,186595
-281.2456842272927,186648
-278.5217494835949,186633
-275.8003599444628,186633
-273.0815112318751,186618
-270.3651989769155,186686
-267.65141881975126,186615
-264.9401664096113,186599
-262.2314374047734,186649
-259.5252274725313,186645
-256.82153228918884,186617
-254.12034754002676,186641
-251.42166891929662,186704
-248.72549213018382,186643
-246.03181288480965,186664
-243.34062690418816,186632
-240.6519299182259,186648
-237.96571766568744,186666
-235.28198589419304,186616
-232.6007303601798,186666
-229.92194682889274,186630
-227.2456310743699,186661
-224.57177887940955,186725
-221.90038603556388,186638
-219.23144834311074,186674
-216.56496161104496,186687
-213.90092165704144,186660
-211.23932430745958,186665
-208.58016539730423,186684
-205.92344077021698,186689
-203.2691462784523,186666
-200.6172777828689,186758
-197.9678311528929,186671
-195.32080226651985,186769
-192.6761870102737,186665
-190.03398127921548,186676
-187.39418097689756,186724
-184.75678201536383,186793
-182.1217803151193,186633
-179.48917180512365,186713
-176.85895242276067,186802
-174.23111811382987,186749
-171.6056648325224,186714
-168.9825885414038,186698
-166.36188521139883,186730
-163.7435508217676,186714
-161.1275813600925,186708
-158.5139728222675,186704
-155.9027212124568,186725
-153.29382254310144,186755
-150.68727283489102,186669
-148.08306811674427,186746
-145.48120442579815,186727
-142.88167780737976,186736
-140.28448431499964,186704
-137.68962001033026,186758
-135.09708096318215,186779
-132.50686325150164,186741
