41_magnesium_carbonate_heavy_Ramprie_laboratories_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186677
-358.5672754570978,186844
-355.77025989936726,187025
-352.97591591093277,187122
-350.18423885041375,187157
-347.3952240861159,187200
-344.60886699602463,187112
-341.82516296777254,187192
-339.0441073986201,187167
-336.2656956954402,187230
-333.48992327468994,187192
-330.7167855623894,187178
-327.9462779940995,187119
-325.17839601490897,187223
-322.4131350793979,187211
-319.65049065163294,187276
-316.89045820512644,187202
-314.1330332228362,187281
-311.3782111971333,187230
-308.6259876297756,187249
-305.8763580319037,187318
-303.1293179239997,187314
-300.38486283588077,187267
-297.64298830667076,187328
-294.903689884783,187381
-292.1669631279051,187420
-289.43280360295984,187403
-286.7012068861032,187376
-283.97216856270023,187409
-281.2456842272927,187508
-278.5217494835949,187386
-275.8003599444628,187454
-273.0815112318751,187472
-270.3651989769155,187499
-267.65141881975126,187550
-264.9401664096113,187509
-262.2314374047734,187485
-259.5252274725313,187543
-256.82153228918884,187502
-254.12034754002676,187526
-251.42166891929662,187658
-248.72549213018382,187546
-246.03181288480965,187695
-243.34062690418816,187628
-240.6519299182259,187721
-237.96571766568744,187659
-235.28198589419304,187680
-232.6007303601798,187705
-229.92194682889274,187746
-227.2456310743699,187690
-224.57177887940955,187765
-221.90038603556388,187777
-219.23144834311074,187821
-216.56496161104496,187858
-213.90092165704144,187885
-211.23932430745958,187834
-208.58016539730423,187863
-205.92344077021698,187888
-203.2691462784523,187886
-200.6172777828689,187915
-197.9678311528929,187955
-195.32080226651985,187905
-192.6761870102737,188041
-190.03398127921548,187872
-187.39418097689756,187968
-184.75678201536383,187962
-182.1217803151193,188004
-179.48917180512365,188002
-176.85895242276067,187982
-174.23111811382987,187990
-171.6056648325224,188009
-168.9825885414038,188062
-166.36188521139883,188074
-163.7435508217676,188040
-161.1275813600925,188066
-158.5139728222675,188072
-155.9027212124568,188090
-153.29382254310144,188153
-150.68727283489102,188093
-148.08306811674427,188133
-145.48120442579815,188160
-142.88167780737976,188259
-140.28448431499964,188204
-137.68962001033026,188188
-135.09708096318215,188189
-132.50686325150164,188210
-129.9189629613319,188236
-127.33337618681942,188253
-124.7500990301728,188369
-122.16912760167152,188305
-119.59045801962237,188289
-117.01408641036403,188363
-114.44000890823217,188331
-111.86822165555957,188344
-109.29872080263922,188284
-106.73150250773517,188314
-104.16656293703048,188363
-101.60389826464238,188388
-99.04350467258762,188431
-96.4853783507651,188400
-93.92951549695586,188415
-91.37591231678189,188422
-88.82456502370832,188433
-86.27546983902167,188424
-83.72862299181041,188387
-81.18402071895193,188449
-78.641659265093,188381
-76.10153488263674,188424
-73.56364383172102,188468
-71.02798238021188,188391
-68.49454680367319,188472
-65.96333338536667,188429
-63.43433841622149,188513
-60.9075581948235,188425
-58.38298902740647,188473
-55.86062722782179,188427
-53.34046911753196,188572
-50.82251102559538,188477
-48.30674928864472,188529
-45.79318025087816,188510
-43.28180026403347,188580
-40.77260568738361,188492
-38.265592887712884,188515
-35.76075823930394,188596
-33.2580981239226,188471
-30.757608930802665,188558
-28.259287056628565,188559
-25.763128905524535,188516
-23.26913088903076,188589
-20.777289426094672,188584
-18.287600943053643,188581
-15.800061873619784,188610
-13.314668658862601,188609
-10.831417747200321,188628
-8.350305594373875,188590
-5.871328663444725,188594
-3.394483424768845,188480
-0.9197663559815452,188587
1.5528260580025335,188599
4.02329732502411,188613
6.491650945681434,188621
8.957890413351967,188620
11.422019214203226,188675
13.884040827203629,188709
16.343958724152845,188591
18.801776369677462,188609
21.257497221257008,188674
23.711124729236968,188679
26.16266233684177,188722
28.61211348018783,188681
31.059481588305207,188687
33.50477008314412,188722
35.94798237959015,188748
38.38912188548803,188736
40.82819200163954,188745
43.265196121833846,188803
45.70013763285398,188811
48.133019914492046,188739
50.5638463395644,188779
52.99262027392247,188824
55.419345076474464,188836
57.84402409919186,188773
60.26666068712459,188819
62.687258178416215,188821
65.10581990432779,188879
67.522349189227,188904
69.93684935063371,188939
72.34932369920696,188888
74.75977553877316,188959
77.16820816633472,188943
79.57462487208745,188931
81.97902893943356,188977
84.38142364498815,189012
86.78181225860519,188997
89.18019804338411,189041
91.5765842556763,188919
93.97097414511317,188990
96.36337095461286,188965
98.75377792039524,188974
101.14219827198632,188985
103.52863523224644,189040
105.91309201737246,189065
108.29557183691723,189136
110.67607789380044,189116
113.05461338431732,189082
115.43118149816029,189201
117.80578541843202,189139
120.17842832164972,189153
122.54911337776466,189190
124.91784375017302,189217
127.28462259573546,189250
129.64945306477702,189223
132.01233830111318,189158
134.37328144205426,189258
136.73228561842484,189259
139.08935395456598,189096
141.44448956836774,189166
143.79769557125834,189211
146.1489750682302,189174
148.49833115785282,189143
150.84576693228604,189157
153.191285477282,189071
155.5348898722112,189189
157.87658319007124,189240
160.21636849749328,189211
162.55424885475938,189222
164.89022731581764,189215
167.22430692828888,189179
169.55649073348158,189167
171.88678176640724,189236
174.2151830557868,189279
176.541697624068,189326
178.86632848743622,189317
181.1890786558275,189361
183.50995113293294,189266
185.82894891622453,189291
188.14607499695757,189308
190.46133236019,189341
192.77472398478028,189256
195.0862528434221,189310
197.39592190262928,189289
199.7037341227746,189275
202.00969245808562,189310
204.31379985665336,189434
206.61605926045826,189398
208.91647360537667,189336
211.21504582118305,189497
213.51177883157823,189434
215.8066755541849,189378
218.09973890057378,189342
220.39097177626363,189397
222.6803770807406,189441
224.96795770746712,189359
227.25371654389036,189451
229.53765647146196,189346
231.81978036564652,189507
234.10009109591954,189567
236.37859152580424,189479
238.65528451286502,189471
240.93017290871848,189397
243.20325955905915,189420
245.47454730365104,189448
247.74403897635798,189532
250.0117374051392,189544
252.27764541207966,189486
254.54176581337717,189535
256.8041014193705,189492
259.06465503454814,189493
261.32342945755454,189579
263.5804274812056,189590
265.83565189250163,189595
268.08910547262496,189553
270.34079099697277,189691
272.59071123515247,189633
274.83886895099266,189520
277.0852669025671,189573
279.329907842186,189621
281.5727945164261,189510
283.8139296661309,189648
286.0533160264217,189684
288.2909563267167,189665
290.5268532907269,189594
292.76100963648423,189647
294.99342807633514,189770
297.2241113169665,189700
299.45306205941216,189617
301.68028299905075,189675
303.9057768256361,189688
306.1295462232971,189703
308.3515938705466,189731
310.5719224402942,189794
312.79053459986596,189780
315.0074330109955,189729
317.2226203298524,189742
319.4360992070464,189822
321.647872287634,189810
323.85794221113366,189830
326.0663116115363,189754
328.27298311731033,189799
330.477959351416,189801
332.6812429313214,189821
334.8828364690016,189765
337.08274257095246,189827
339.28096383820537,189794
341.47750286633163,189933
343.67236224546207,189839
345.8655445602848,189891
348.05705239006033,189969
350.24688830863477,189955
352.43505488444845,189954
354.62155468054004,189905
356.80639025456856,190032
358.9895641588131,190009
361.1710789401838,189969
363.3509371402349,189982
365.5291412951755,190053
367.70569393587823,190070
369.8805975878858,190096
372.05385477142835,190000
374.2254680014212,190035
376.3954397874845,190084
378.56377263395825,190076
380.7304690398917,190105
382.89553149907334,190072
385.05896250003343,190079
387.2207645260438,190148
389.38094005515256,190186
391.53949156016256,190105
393.6964215086637,190215
395.85173236303524,190140
398.0054265804501,190222
400.1575066128987,190199
402.3079749071803,190152
404.45683390492263,190192
406.60408604259675,190238
408.74973375151086,190286
410.8937794578384,190120
413.03622558260497,190233
415.17707454172097,190273
417.3163287459771,190320
419.4539906010597,190253
421.5900625075442,190276
423.7245468609362,190346
425.85744605165,190335
427.9887624650323,190394
430.11849848136876,190315
432.24665647589256,190376
434.3732388187955,190349
436.4982478752364,190379
438.6216860053477,190413
440.7435555642465,190371
442.86385890204275,190411
444.98259836385284,190370
447.0997762897992,190389
449.2153950150322,190510
451.32945686972334,190467
453.4419641790853,190479
455.55291926338646,190490
457.6623244379385,190525
459.7701820131263,190633
461.87649429440614,190556
463.9812635823205,190528
466.0844921724962,190537
468.18618235567027,190564
470.28633641768135,190559
472.38495663948913,190594
474.4820452971766,190624
476.57760466196953,190555
478.67163700022985,190450
480.76414457347977,190664
482.85512963839284,190595
484.94459444682224,190671
487.0325412457922,190669
489.1189722775217,190692
491.20388977942025,190682
493.2872959840986,190656
495.3691931193884,190653
497.4495834083378,190766
499.5284690692244,190710
501.6058523155619,190559
503.6817353561173,190731
505.7561203949067,190803
507.8290096312125,190741
509.90040525958347,190718
511.9703094698543,190746
514.0387244471499,190817
516.1056523718833,190774
518.1710954197771,190708
520.2350557618681,190914
522.297535564516,190906
524.3585369894051,190833
526.4180621935601,190931
528.4761133293498,190865
530.532692544505,190880
532.5878019821076,191017
534.6414437806184,190943
536.6936200738706,190888
538.7443329910902,190914
540.7935846568927,190970
542.8413771912986,190932
544.8877127097385,190899
546.9325933230668,190919
548.9760211375527,191039
551.0179982549154,190980
553.0585267723011,190951
555.0976087823198,191008
557.1352463730342,191024
559.1714416279709,191059
561.2061966261354,191091
563.2395134420138,191200
565.2713941455825,191194
567.3018408023137,191124
569.3308554731891,191136
571.3584402147017,191126
573.38459707886,191169
575.4093281132104,191132
577.4326353608323,191208
579.4545208603463,191047
581.4749866459327,191119
583.49403474732,191144
585.5116671898151,191244
587.5278859942948,191216
589.5426931772172,191156
591.5560907506315,191269
593.5680807221872,191284
595.5786650951346,191141
597.5878458683434,191258
599.5956250362945,191306
601.602004589104,191362
603.6069865125183,191344
605.6105727879346,191338
607.6127653923888,191451
609.6135662985803,191436
611.612977474878,191360
613.6110008853166,191405
615.607638489613,191461
617.6028922431692,191446
619.5967640970873,191483
621.5892559981651,191492
623.5803698889132,191459
625.5701077075557,191447
627.5584713880469,191504
629.5454628600628,191458
631.5310840490249,191441
633.5153368760984,191544
635.4982232581962,191446
637.4797451080003,191592
639.4599043339517,191622
641.4387028402715,191655
643.4161425269567,191588
645.3922252897958,191592
647.3669530203722,191593
649.3403276060737,191683
651.312350930099,191700
653.2830248714528,191729
655.2523513049806,191696
657.2203321013455,191758
659.1869691270516,191761
661.1522642444522,191864
663.1162193117485,191785
665.0788361830043,191803
667.0401167081395,191732
669.0000627329606,191825
670.9586760991413,191783
672.9159586442499,191890
674.8719122017421,191871
676.8265386009813,191866
678.7798396672302,191884
680.7318172216713,191864
682.6824730814013,191855
684.6318090594511,191883
686.579826964784,191935
688.5265286022995,191916
690.4719157728532,191935
692.4159902732497,191980
694.3587538962544,191890
696.3002084306034,191911
698.2403556610064,191942
700.1791973681526,191925
702.1167353287242,191894
704.0529713153937,191896
705.9879070968334,192029
707.9215444377295,191940
709.8538850987788,192011
711.7849308366968,191980
713.714683404235,191988
715.6431445501659,191886
717.5703160193134,192125
719.4961995525485,192052
721.4207968867913,192098
723.3441097550218,192166
725.266139886291,192386
727.1868890057204,192482
729.1063588345096,192630
731.0245510899477,192634
732.9414674854171,192576
734.857109730392,192540
736.7714795304594,192394
738.6845785873155,192250
740.5964085987733,192318
742.5069712587708,192236
744.4162682573776,192207
