42_sodium_dodecyl_sulfate_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187261
-358.5672754570978,187444
-355.77025989936726,187536
-352.97591591093277,187627
-350.18423885041375,187750
-347.3952240861159,187725
-344.60886699602463,187813
-341.82516296777254,187771
-339.0441073986201,187696
-336.2656956954402,187675
-333.48992327468994,187668
-330.7167855623894,187692
-327.9462779940995,187731
-325.17839601490897,187711
-322.4131350793979,187721
-319.65049065163294,187744
-316.89045820512644,187907
-314.1330332228362,187804
-311.3782111971333,187768
-308.6259876297756,187765
-305.8763580319037,187857
-303.1293179239997,187680
-300.38486283588077,187646
-297.64298830667076,187791
-294.903689884783,187807
-292.1669631279051,187824
-289.43280360295984,187852
-286.7012068861032,187894
-283.97216856270023,187875
-281.2456842272927,187884
-278.5217494835949,187869
-275.8003599444628,187926
-273.0815112318751,187904
-270.3651989769155,187943
-267.65141881975126,187967
-264.9401664096113,187971
-262.2314374047734,187973
-259.5252274725313,187989
-256.82153228918884,187951
-254.12034754002676,187981
-251.42166891929662,187997
-248.72549213018382,187969
-246.03181288480965,188010
-243.34062690418816,188024
-240.6519299182259,188128
-237.96571766568744,188015
-235.28198589419304,188076
-232.6007303601798,188026
-229.92194682889274,188019
-227.2456310743699,188060
-224.57177887940955,188129
-221.90038603556388,188128
-219.23144834311074,188139
-216.56496161104496,188086
-213.90092165704144,188150
-211.23932430745958,188172
-208.58016539730423,188099
-205.92344077021698,188125
-203.2691462784523,188247
-200.6172777828689,188220
-197.9678311528929,188255
-195.32080226651985,188191
-192.6761870102737,188279
-190.03398127921548,188247
-187.39418097689756,188152
-184.75678201536383,188354
-182.1217803151193,188220
-179.48917180512365,188296
-176.85895242276067,188264
-174.23111811382987,188259
-171.6056648325224,188261
-168.9825885414038,188280
-166.36188521139883,188361
-163.7435508217676,188301
-161.1275813600925,188338
-158.5139728222675,188353
-155.9027212124568,188391
-153.29382254310144,188322
-150.68727283489102,188348
-148.08306811674427,188324
-145.48120442579815,188412
-142.88167780737976,188324
-140.28448431499964,188424
-137.68962001033026,188379
-135.09708096318215,188335
-132.50686325150164,188472
-129.9189629613319,188350
-127.33337618681942,188461
-124.7500990301728,188384
-122.16912760167152,188334
-119.59045801962237,188388
-117.01408641036403,188458
-114.44000890823217,188557
-111.86822165555957,188449
-109.29872080263922,188450
-106.73150250773517,188435
-104.16656293703048,188537
-101.60389826464238,188405
-99.04350467258762,188500
-96.4853783507651,188536
-93.92951549695586,188389
-91.37591231678189,188527
-88.82456502370832,188455
-86.27546983902167,188479
-83.72862299181041,188514
-81.18402071895193,188557
-78.641659265093,188526
-76.10153488263674,188538
-73.56364383172102,188517
-71.02798238021188,188563
-68.49454680367319,188577
-65.96333338536667,188537
-63.43433841622149,188461
-60.9075581948235,188559
-58.38298902740647,188520
-55.86062722782179,188610
-53.34046911753196,188546
-50.82251102559538,188597
-48.30674928864472,188455
-45.79318025087816,188592
-43.28180026403347,188570
-40.77260568738361,188600
-38.265592887712884,188588
-35.76075823930394,188613
-33.2580981239226,188669
-30.757608930802665,188565
-28.259287056628565,188615
-25.763128905524535,188617
-23.26913088903076,188709
-20.777289426094672,188662
-18.287600943053643,188580
-15.800061873619784,188670
-13.314668658862601,188583
-10.831417747200321,188690
-8.350305594373875,188591
-5.871328663444725,188567
-3.394483424768845,188618
-0.9197663559815452,188655
1.5528260580025335,188696
4.02329732502411,188609
6.491650945681434,188655
8.957890413351967,188649
11.422019214203226,188619
13.884040827203629,188667
16.343958724152845,188615
18.801776369677462,188672
21.257497221257008,188601
23.711124729236968,188646
26.16266233684177,188658
28.61211348018783,188636
31.059481588305207,188624
33.50477008314412,188631
35.94798237959015,188639
38.38912188548803,188697
40.82819200163954,188647
43.265196121833846,188644
45.70013763285398,188653
48.133019914492046,188755
50.5638463395644,188655
52.99262027392247,188785
55.419345076474464,188712
57.84402409919186,188676
60.26666068712459,188711
62.687258178416215,188694
65.10581990432779,188677
67.522349189227,188690
69.93684935063371,188729
72.34932369920696,188677
74.75977553877316,188722
77.16820816633472,188693
79.57462487208745,188760
81.97902893943356,188701
84.38142364498815,188706
86.78181225860519,188800
89.18019804338411,188733
91.5765842556763,188686
93.97097414511317,188772
96.36337095461286,188749
98.75377792039524,188746
101.14219827198632,188778
103.52863523224644,188715
105.91309201737246,188695
108.29557183691723,188767
110.67607789380044,188736
113.05461338431732,188855
115.43118149816029,188746
117.80578541843202,188759
120.17842832164972,188777
122.54911337776466,188729
124.91784375017302,188758
127.28462259573546,188739
129.64945306477702,188819
132.01233830111318,188745
134.37328144205426,188783
136.73228561842484,188709
139.08935395456598,188799
141.44448956836774,188740
143.79769557125834,188774
146.1489750682302,188807
148.49833115785282,188729
150.84576693228604,188693
153.191285477282,188769
155.5348898722112,188778
157.87658319007124,188758
160.21636849749328,188756
162.55424885475938,188798
164.89022731581764,188806
167.22430692828888,188804
169.55649073348158,188824
171.88678176640724,188803
174.2151830557868,188773
176.541697624068,188837
178.86632848743622,188773
181.1890786558275,188797
183.50995113293294,188797
185.82894891622453,188754
188.14607499695757,188841
190.46133236019,188739
192.77472398478028,188830
195.0862528434221,188887
197.39592190262928,188814
199.7037341227746,188824
202.00969245808562,188905
204.31379985665336,188739
206.61605926045826,188823
208.91647360537667,188879
211.21504582118305,188728
213.51177883157823,188820
215.8066755541849,188892
218.09973890057378,188795
220.39097177626363,188830
222.6803770807406,188824
224.96795770746712,188834
227.25371654389036,188866
229.53765647146196,188836
231.81978036564652,188826
234.10009109591954,188875
236.37859152580424,188904
238.65528451286502,188861
240.93017290871848,188805
243.20325955905915,188863
245.47454730365104,188842
247.74403897635798,188835
250.0117374051392,188839
252.27764541207966,188855
254.54176581337717,188798
256.8041014193705,188921
259.06465503454814,188814
261.32342945755454,188901
263.5804274812056,188986
265.83565189250163,188857
268.08910547262496,188877
270.34079099697277,188915
272.59071123515247,188946
274.83886895099266,188859
277.0852669025671,188942
279.329907842186,188919
281.5727945164261,188837
283.8139296661309,188896
286.0533160264217,188845
288.2909563267167,188925
290.5268532907269,188954
292.76100963648423,188913
294.99342807633514,188965
297.2241113169665,188916
299.45306205941216,188956
301.68028299905075,188884
303.9057768256361,188970
306.1295462232971,188889
308.3515938705466,188913
310.5719224402942,188926
312.79053459986596,188985
315.0074330109955,188913
317.2226203298524,189034
319.4360992070464,188944
321.647872287634,188995
323.85794221113366,188903
326.0663116115363,188990
328.27298311731033,189014
330.477959351416,188990
332.6812429313214,188913
334.8828364690016,188914
337.08274257095246,188975
339.28096383820537,188935
341.47750286633163,188996
343.67236224546207,188995
345.8655445602848,189024
348.05705239006033,189021
350.24688830863477,189038
352.43505488444845,188988
354.62155468054004,188981
356.80639025456856,189043
358.9895641588131,189007
361.1710789401838,189027
363.3509371402349,189010
365.5291412951755,189035
367.70569393587823,188966
369.8805975878858,188972
372.05385477142835,188983
374.2254680014212,189053
376.3954397874845,189000
378.56377263395825,189028
380.7304690398917,189046
382.89553149907334,189067
385.05896250003343,188961
387.2207645260438,189057
389.38094005515256,188987
391.53949156016256,188998
393.6964215086637,189020
395.85173236303524,189047
398.0054265804501,188914
400.1575066128987,189098
402.3079749071803,189070
404.45683390492263,188930
406.60408604259675,189003
408.74973375151086,189002
410.8937794578384,189027
413.03622558260497,189063
415.17707454172097,189098
417.3163287459771,189078
419.4539906010597,189041
421.5900625075442,189095
423.7245468609362,189008
425.85744605165,189095
427.9887624650323,189119
430.11849848136876,189042
432.24665647589256,189080
434.3732388187955,189111
436.4982478752364,189138
438.6216860053477,189153
440.7435555642465,189052
442.86385890204275,189128
444.98259836385284,189044
447.0997762897992,189099
449.2153950150322,189107
451.32945686972334,189153
453.4419641790853,189144
455.55291926338646,189098
457.6623244379385,189084
459.7701820131263,189149
461.87649429440614,189161
463.9812635823205,189187
466.0844921724962,189126
468.18618235567027,189070
470.28633641768135,189146
472.38495663948913,189125
474.4820452971766,189077
476.57760466196953,189180
478.67163700022985,189108
480.76414457347977,189226
482.85512963839284,189129
484.94459444682224,189139
487.0325412457922,189226
489.1189722775217,189120
491.20388977942025,189167
493.2872959840986,189119
495.3691931193884,189184
497.4495834083378,189193
499.5284690692244,189174
501.6058523155619,189230
503.6817353561173,189192
505.7561203949067,189124
507.8290096312125,189202
509.90040525958347,189091
511.9703094698543,189218
514.0387244471499,189175
516.1056523718833,189251
518.1710954197771,189218
520.2350557618681,189139
522.297535564516,189276
524.3585369894051,189192
526.4180621935601,189275
528.4761133293498,189222
530.532692544505,189223
532.5878019821076,189261
534.6414437806184,189213
536.6936200738706,189313
538.7443329910902,189191
540.7935846568927,189318
542.8413771912986,189360
544.8877127097385,189233
546.9325933230668,189327
548.9760211375527,189385
551.0179982549154,189333
553.0585267723011,189316
555.0976087823198,189293
557.1352463730342,189379
559.1714416279709,189361
561.2061966261354,189413
563.2395134420138,189389
565.2713941455825,189324
567.3018408023137,189391
569.3308554731891,189369
571.3584402147017,189419
573.38459707886,189428
575.4093281132104,189374
577.4326353608323,189429
579.4545208603463,189367
581.4749866459327,189480
583.49403474732,189366
585.5116671898151,189450
587.5278859942948,189402
589.5426931772172,189497
591.5560907506315,189442
593.5680807221872,189540
595.5786650951346,189509
597.5878458683434,189528
599.5956250362945,189556
601.602004589104,189604
603.6069865125183,189621
605.6105727879346,189577
607.6127653923888,189637
609.6135662985803,189761
611.612977474878,189729
613.6110008853166,189826
615.607638489613,189806
617.6028922431692,189838
619.5967640970873,189955
621.5892559981651,189911
623.5803698889132,189954
625.5701077075557,190066
627.5584713880469,190145
629.5454628600628,190245
631.5310840490249,190307
633.5153368760984,190424
635.4982232581962,190604
637.4797451080003,190863
639.4599043339517,190943
641.4387028402715,190995
643.4161425269567,191247
645.3922252897958,191333
647.3669530203722,191503
649.3403276060737,191590
651.312350930099,191618
653.2830248714528,191743
655.2523513049806,191818
657.2203321013455,191836
659.1869691270516,191928
661.1522642444522,191780
663.1162193117485,191657
665.0788361830043,191594
667.0401167081395,191633
669.0000627329606,191712
670.9586760991413,191841
672.9159586442499,191955
674.8719122017421,192111
676.8265386009813,192144
678.7798396672302,192345
680.7318172216713,192596
682.6824730814013,192641
684.6318090594511,192663
686.579826964784,192349
688.5265286022995,192007
690.4719157728532,191512
692.4159902732497,191135
694.3587538962544,190750
696.3002084306034,190378
698.2403556610064,190280
700.1791973681526,190018
702.1167353287242,189937
704.0529713153937,189796
705.9879070968334,189784
707.9215444377295,189676
709.8538850987788,189749
711.7849308366968,189644
713.714683404235,189639
715.6431445501659,189580
717.5703160193134,189668
719.4961995525485,189704
721.4207968867913,189703
723.3441097550218,189723
725.266139886291,189674
727.1868890057204,189659
729.1063588345096,189776
731.0245510899477,189624
732.9414674854171,189699
734.857109730392,189666
736.7714795304594,189635
738.6845785873155,189666
740.5964085987733,189671
742.5069712587708,189640
744.4162682573776,189668
746.3243012808011,189698
748.231072011385,189740
750.1365821276345,189668
752.0408333042019,189675
753.9438272119014,189642
755.845565517724,189740
757.7460498848251,189705
759.6452819725436,189709
761.5432634364129,189786
763.4399959281498,189828
765.3354810956744,189726
767.2297205831165,189842
769.122716030809,189739
771.0144690753094,189740
772.9049813493958,189685
774.7942544820801,189685
776.6822900986069,189713
778.5690898204616,189717
780.4546552653821,189650
782.3389880473596,189661
784.2220897766468,189712
786.1039620597537,189716
787.9846064994781,189568
789.8640246948837,189706
791.7422182413219,189585
793.6191887304386,189673
795.4949377501734,189629
797.3694668847648,189621
799.242777714767,189665
