43_sodium_dodecyl_sulfate_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187856
-358.5672754570978,188025
-355.77025989936726,188230
-352.97591591093277,188340
-350.18423885041375,188336
-347.3952240861159,188411
-344.60886699602463,188413
-341.82516296777254,188431
-339.0441073986201,188361
-336.2656956954402,188333
-333.48992327468994,188322
-330.7167855623894,188283
-327.9462779940995,188322
-325.17839601490897,188274
-322.4131350793979,188389
-319.65049065163294,188370
-316.89045820512644,188386
-314.1330332228362,188423
-311.3782111971333,188458
-308.6259876297756,188471
-305.8763580319037,188394
-303.1293179239997,188347
-300.38486283588077,188431
-297.64298830667076,188383
-294.903689884783,188461
-292.1669631279051,188453
-289.43280360295984,188576
-286.7012068861032,188642
-283.97216856270023,188575
-281.2456842272927,188605
-278.5217494835949,188544
-275.8003599444628,188536
-273.0815112318751,188529
-270.3651989769155,188632
-267.65141881975126,188649
-264.9401664096113,188710
-262.2314374047734,188777
-259.5252274725313,188721
-256.82153228918884,188683
-254.12034754002676,188666
-251.42166891929662,188758
-248.72549213018382,188739
-246.03181288480965,188825
-243.34062690418816,188786
-240.6519299182259,188788
-237.96571766568744,188690
-235.28198589419304,188710
-232.6007303601798,188815
-229.92194682889274,188736
-227.2456310743699,188866
-224.57177887940955,188887
-221.90038603556388,188835
-219.23144834311074,188885
-216.56496161104496,188960
-213.90092165704144,188868
-211.23932430745958,188875
-208.58016539730423,188947
-205.92344077021698,188989
-203.2691462784523,188925
-200.6172777828689,189022
-197.9678311528929,189070
-195.32080226651985,189102
-192.6761870102737,189088
-190.03398127921548,188926
-187.39418097689756,189010
-184.75678201536383,189013
-182.1217803151193,189105
-179.48917180512365,189024
-176.85895242276067,189108
-174.23111811382987,189120
-171.6056648325224,189123
-168.9825885414038,189184
-166.36188521139883,189124
-163.7435508217676,189144
-161.1275813600925,189173
-158.5139728222675,189133
-155.9027212124568,189119
-153.29382254310144,189180
-150.68727283489102,189203
-148.08306811674427,189217
-145.48120442579815,189214
-142.88167780737976,189141
-140.28448431499964,189174
-137.68962001033026,189217
-135.09708096318215,189285
-132.50686325150164,189271
-129.9189629613319,189312
-127.33337618681942,189262
-124.7500990301728,189364
