44_citric_acid_Sigma-Aldrich_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187273
-358.5672754570978,187454
-355.77025989936726,187527
-352.97591591093277,187673
-350.18423885041375,187740
-347.3952240861159,187749
-344.60886699602463,187723
-341.82516296777254,187762
-339.0441073986201,187758
-336.2656956954402,187698
-333.48992327468994,187613
-330.7167855623894,187704
-327.9462779940995,187692
-325.17839601490897,187706
-322.4131350793979,187709
-319.65049065163294,187720
-316.89045820512644,187817
-314.1330332228362,187800
-311.3782111971333,187683
-308.6259876297756,187797
-305.8763580319037,187692
-303.1293179239997,187745
-300.38486283588077,187653
-297.64298830667076,187768
-294.903689884783,187852
-292.1669631279051,187793
-289.43280360295984,187802
-286.7012068861032,187870
-283.97216856270023,187820
-281.2456842272927,187940
-278.5217494835949,187863
-275.8003599444628,187808
-273.0815112318751,187852
-270.3651989769155,187899
-267.65141881975126,187973
-264.9401664096113,187965
-262.2314374047734,187957
-259.5252274725313,187932
-256.82153228918884,187914
-254.12034754002676,187846
-251.42166891929662,187976
-248.72549213018382,187945
-246.03181288480965,187948
-243.34062690418816,188034
-240.6519299182259,188034
-237.96571766568744,188017
-235.28198589419304,188024
-232.6007303601798,188047
-229.92194682889274,187962
-227.2456310743699,188080
-224.57177887940955,188051
-221.90038603556388,188079
-219.23144834311074,188059
-216.56496161104496,188135
-213.90092165704144,188159
-211.23932430745958,188022
-208.58016539730423,188162
-205.92344077021698,188104
-203.2691462784523,188085
-200.6172777828689,188172
-197.9678311528929,188147
-195.32080226651985,188175
-192.6761870102737,188200
-190.03398127921548,188138
-187.39418097689756,188189
-184.75678201536383,188158
-182.1217803151193,188200
-179.48917180512365,188211
-176.85895242276067,188128
-174.23111811382987,188257
-171.6056648325224,188226
-168.9825885414038,188211
-166.36188521139883,188185
-163.7435508217676,188287
-161.1275813600925,188303
-158.5139728222675,188331
-155.9027212124568,188211
-153.29382254310144,188339
-150.68727283489102,188258
-148.08306811674427,188313
-145.48120442579815,188319
-142.88167780737976,188301
-140.28448431499964,188331
-137.68962001033026,188357
-135.09708096318215,188315
-132.50686325150164,188298
-129.9189629613319,188339
-127.33337618681942,188329
-124.7500990301728,188366
-122.16912760167152,188372
-119.59045801962237,188335
-117.01408641036403,188364
-114.44000890823217,188335
-111.86822165555957,188352
-109.29872080263922,188455
-106.73150250773517,188373
-104.16656293703048,188398
-101.60389826464238,188375
-99.04350467258762,188422
-96.4853783507651,188391
-93.92951549695586,188435
-91.37591231678189,188469
-88.82456502370832,188427
-86.27546983902167,188423
-83.72862299181041,188446
-81.18402071895193,188439
-78.641659265093,188485
-76.10153488263674,188451
-73.56364383172102,188482
-71.02798238021188,188483
-68.49454680367319,188423
-65.96333338536667,188508
-63.43433841622149,188475
-60.9075581948235,188511
-58.38298902740647,188485
-55.86062722782179,188475
-53.34046911753196,188486
-50.82251102559538,188517
-48.30674928864472,188504
-45.79318025087816,188472
-43.28180026403347,188537
-40.77260568738361,188529
-38.265592887712884,188572
-35.76075823930394,188427
-33.2580981239226,188516
-30.757608930802665,188541
-28.259287056628565,188520
-25.763128905524535,188520
-23.26913088903076,188630
