45_sodium_benzoate_MB_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186378
-358.5672754570978,186719
-355.77025989936726,186786
-352.97591591093277,186903
-350.18423885041375,186907
-347.3952240861159,186924
-344.60886699602463,186906
-341.82516296777254,187018
-339.0441073986201,186961
-336.2656956954402,187006
-333.48992327468994,186966
-330.7167855623894,186991
-327.9462779940995,186977
-325.17839601490897,186982
-322.4131350793979,186873
-319.65049065163294,186998
-316.89045820512644,186950
-314.1330332228362,186975
-311.3782111971333,187027
-308.6259876297756,186964
-305.8763580319037,186982
-303.1293179239997,186993
-300.38486283588077,187044
-297.64298830667076,187017
-294.903689884783,187028
-292.1669631279051,187023
-289.43280360295984,187051
-286.7012068861032,187080
-283.97216856270023,187105
-281.2456842272927,187130
-278.5217494835949,187095
-275.8003599444628,187091
-273.0815112318751,187156
-270.3651989769155,187235
-267.65141881975126,187210
-264.9401664096113,187206
-262.2314374047734,187128
-259.5252274725313,187191
-256.82153228918884,187207
-254.12034754002676,187164
-251.42166891929662,187160
-248.72549213018382,187147
-246.03181288480965,187243
-243.34062690418816,187264
-240.6519299182259,187272
-237.96571766568744,187332
-235.28198589419304,187253
-232.6007303601798,187278
-229.92194682889274,187227
-227.2456310743699,187290
-224.57177887940955,187338
-221.90038603556388,187312
-219.23144834311074,187297
-216.56496161104496,187336
-213.90092165704144,187319
-211.23932430745958,187331
-208.58016539730423,187424
-205.92344077021698,187378
-203.2691462784523,187363
-200.6172777828689,187342
-197.9678311528929,187427
-195.32080226651985,187433
-192.6761870102737,187331
-190.03398127921548,187441
-187.39418097689756,187378
-184.75678201536383,187399
-182.1217803151193,187412
-179.48917180512365,187471
-176.85895242276067,187477
-174.23111811382987,187517
-171.6056648325224,187405
-168.9825885414038,187467
-166.36188521139883,187498
-163.7435508217676,187497
-161.1275813600925,187511
-158.5139728222675,187476
-155.9027212124568,187504
-153.29382254310144,187540
-150.68727283489102,187436
-148.08306811674427,187483
-145.48120442579815,187568
-142.88167780737976,187513
-140.28448431499964,187441
-137.68962001033026,187578
-135.09708096318215,187580
-132.50686325150164,187519
-129.9189629613319,187553
-127.33337618681942,187559
-124.7500990301728,187602
-122.16912760167152,187626
-119.59045801962237,187621
-117.01408641036403,187646
-114.44000890823217,187607
-111.86822165555957,187628
-109.29872080263922,187570
-106.73150250773517,187682
-104.16656293703048,187579
-101.60389826464238,187641
-99.04350467258762,187574
-96.4853783507651,187623
-93.92951549695586,187685
-91.37591231678189,187608
-88.82456502370832,187685
