46_magnesium_stearate_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,189827
-358.5672754570978,190050
-355.77025989936726,190242
-352.97591591093277,190381
-350.18423885041375,190429
-347.3952240861159,190424
-344.60886699602463,190587
-341.82516296777254,190561
-339.0441073986201,190625
-336.2656956954402,190592
-333.48992327468994,190669
-330.7167855623894,190687
-327.9462779940995,190787
-325.17839601490897,190837
-322.4131350793979,190840
-319.65049065163294,190952
-316.89045820512644,190965
-314.1330332228362,190999
-311.3782111971333,191047
-308.6259876297756,191024
-305.8763580319037,191085
-303.1293179239997,191169
-300.38486283588077,191244
-297.64298830667076,191253
-294.903689884783,191272
-292.1669631279051,191388
-289.43280360295984,191477
-286.7012068861032,191519
-283.97216856270023,191596
-281.2456842272927,191626
-278.5217494835949,191684
-275.8003599444628,191716
-273.0815112318751,191714
-270.3651989769155,191739
-267.65141881975126,191848
-264.9401664096113,191933
-262.2314374047734,191898
-259.5252274725313,191982
-256.82153228918884,191926
-254.12034754002676,192167
-251.42166891929662,192101
-248.72549213018382,192146
-246.03181288480965,192116
-243.34062690418816,192291
-240.6519299182259,192297
-237.96571766568744,192348
-235.28198589419304,192413
-232.6007303601798,192499
-229.92194682889274,192507
-227.2456310743699,192641
-224.57177887940955,192679
-221.90038603556388,192803
-219.23144834311074,192794
-216.56496161104496,192852
-213.90092165704144,192882
-211.23932430745958,192864
-208.58016539730423,192964
-205.92344077021698,192977
-203.2691462784523,193126
-200.6172777828689,193008
-197.9678311528929,193203
-195.32080226651985,193215
-192.6761870102737,193310
-190.03398127921548,193353
-187.39418097689756,193425
-184.75678201536383,193423
-182.1217803151193,193473
-179.48917180512365,193570
-176.85895242276067,193581
-174.23111811382987,193612
-171.6056648325224,193741
-168.9825885414038,193804
-166.36188521139883,193784
-163.7435508217676,193858
-161.1275813600925,193878
-158.5139728222675,193945
-155.9027212124568,193940
-153.29382254310144,193994
-150.68727283489102,194070
-148.08306811674427,194132
-145.48120442579815,194094
-142.88167780737976,194110
-140.28448431499964,194310
-137.68962001033026,194184
-135.09708096318215,194294
-132.50686325150164,194471
-129.9189629613319,194462
-127.33337618681942,194393
-124.7500990301728,194540
-122.16912760167152,194616
-119.59045801962237,194628
-117.01408641036403,194621
-114.44000890823217,194795
-111.86822165555957,194778
-109.29872080263922,194675
-106.73150250773517,194812
-104.16656293703048,194915
-101.60389826464238,195024
-99.04350467258762,195032
-96.4853783507651,194896
-93.92951549695586,195103
-91.37591231678189,195035
-88.82456502370832,195121
-86.27546983902167,195281
-83.72862299181041,195335
-81.18402071895193,195251
-78.641659265093,195393
-76.10153488263674,195453
-73.56364383172102,195443
-71.02798238021188,195487
-68.49454680367319,195655
-65.96333338536667,195546
-63.43433841622149,195573
-60.9075581948235,195684
-58.38298902740647,195681
-55.86062722782179,195790
-53.34046911753196,195839
-50.82251102559538,195796
-48.30674928864472,195883
-45.79318025087816,195973
-43.28180026403347,195954
-40.77260568738361,196024
-38.265592887712884,196045
-35.76075823930394,196078
-33.2580981239226,196293
-30.757608930802665,196160
-28.259287056628565,196184
-25.763128905524535,196341
-23.26913088903076,196342
-20.777289426094672,196364
-18.287600943053643,196388
-15.800061873619784,196456
-13.314668658862601,196449
-10.831417747200321,196486
-8.350305594373875,196428
-5.871328663444725,196574
-3.394483424768845,196563
-0.9197663559815452,196591
1.5528260580025335,196758
4.02329732502411,196738
6.491650945681434,196716
8.957890413351967,196817
11.422019214203226,196902
13.884040827203629,197000
16.343958724152845,196837
18.801776369677462,196984
21.257497221257008,197026
23.711124729236968,197075
26.16266233684177,197015
28.61211348018783,197155
31.059481588305207,197248
33.50477008314412,197155
35.94798237959015,197148
38.38912188548803,197221
40.82819200163954,197364
43.265196121833846,197419
45.70013763285398,197431
48.133019914492046,197347
50.5638463395644,197401
52.99262027392247,197543
55.419345076474464,197552
57.84402409919186,197629
60.26666068712459,197631
62.687258178416215,197647
65.10581990432779,197723
67.522349189227,197747
69.93684935063371,197830
72.34932369920696,197880
74.75977553877316,197895
77.16820816633472,197909
79.57462487208745,197878
81.97902893943356,197982
84.38142364498815,198161
86.78181225860519,197972
89.18019804338411,197999
91.5765842556763,198187
93.97097414511317,198062
96.36337095461286,198098
98.75377792039524,198218
101.14219827198632,198258
103.52863523224644,198126
105.91309201737246,198354
108.29557183691723,198369
110.67607789380044,198314
113.05461338431732,198418
115.43118149816029,198345
117.80578541843202,198434
120.17842832164972,198486
122.54911337776466,198597
124.91784375017302,198588
127.28462259573546,198674
129.64945306477702,198690
132.01233830111318,198726
134.37328144205426,198788
136.73228561842484,198742
139.08935395456598,198949
141.44448956836774,198921
143.79769557125834,198906
146.1489750682302,199068
148.49833115785282,199100
150.84576693228604,198882
153.191285477282,199007
155.5348898722112,199042
157.87658319007124,199212
160.21636849749328,199231
162.55424885475938,199211
164.89022731581764,199195
167.22430692828888,199321
169.55649073348158,199320
171.88678176640724,199349
174.2151830557868,199518
176.541697624068,199497
178.86632848743622,199466
181.1890786558275,199613
183.50995113293294,199655
185.82894891622453,199577
188.14607499695757,199577
190.46133236019,199685
192.77472398478028,199778
195.0862528434221,199685
197.39592190262928,199823
199.7037341227746,199867
202.00969245808562,199965
204.31379985665336,199941
206.61605926045826,199979
208.91647360537667,200111
211.21504582118305,200076
213.51177883157823,200183
215.8066755541849,200270
218.09973890057378,200315
220.39097177626363,200173
222.6803770807406,200277
224.96795770746712,200246
227.25371654389036,200354
229.53765647146196,200453
231.81978036564652,200588
234.10009109591954,200547
236.37859152580424,200565
238.65528451286502,200678
240.93017290871848,200642
243.20325955905915,200801
245.47454730365104,200780
247.74403897635798,200790
250.0117374051392,200918
252.27764541207966,200870
254.54176581337717,200851
256.8041014193705,201069
259.06465503454814,201070
261.32342945755454,201181
263.5804274812056,201040
265.83565189250163,201298
268.08910547262496,201181
270.34079099697277,201077
272.59071123515247,201302
274.83886895099266,201340
277.0852669025671,201369
279.329907842186,201454
281.5727945164261,201282
283.8139296661309,201511
286.0533160264217,201507
288.2909563267167,201572
290.5268532907269,201619
292.76100963648423,201619
294.99342807633514,201613
297.2241113169665,201901
299.45306205941216,201944
301.68028299905075,201898
303.9057768256361,202063
306.1295462232971,202168
308.3515938705466,201966
310.5719224402942,202189
312.79053459986596,202329
315.0074330109955,202271
317.2226203298524,202325
319.4360992070464,202299
321.647872287634,202272
323.85794221113366,202393
326.0663116115363,202447
328.27298311731033,202501
330.477959351416,202512
332.6812429313214,202694
334.8828364690016,202746
337.08274257095246,202728
339.28096383820537,202798
341.47750286633163,202962
343.67236224546207,203102
345.8655445602848,203183
348.05705239006033,203373
350.24688830863477,203178
352.43505488444845,203122
354.62155468054004,203297
