47_sodium_acetate_Univar_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,186109
-358.5672754570978,186235
-355.77025989936726,186396
-352.97591591093277,186512
-350.18423885041375,186402
-347.3952240861159,186475
-344.60886699602463,186480
-341.82516296777254,186447
-339.0441073986201,186456
-336.2656956954402,186462
-333.48992327468994,186496
-330.7167855623894,186333
-327.9462779940995,186459
-325.17839601490897,186401
-322.4131350793979,186418
-319.65049065163294,186515
-316.89045820512644,186434
-314.1330332228362,186444
-311.3782111971333,186353
-308.6259876297756,186371
-305.8763580319037,186460
-303.1293179239997,186406
-300.38486283588077,186414
-297.64298830667076,186389
-294.903689884783,186404
-292.1669631279051,186405
-289.43280360295984,186414
-286.7012068861032,186373
-283.97216856270023,186436
-281.2456842272927,186402
-278.5217494835949,186481
-275.8003599444628,186463
-273.0815112318751,186421
-270.3651989769155,186391
-267.65141881975126,186444
-264.9401664096113,186439
-262.2314374047734,186514
-259.5252274725313,186505
-256.82153228918884,186448
-254.12034754002676,186413
-251.42166891929662,186397
-248.72549213018382,186404
-246.03181288480965,186477
-243.34062690418816,186451
-240.6519299182259,186464
-237.96571766568744,186388
-235.28198589419304,186426
-232.6007303601798,186426
-229.92194682889274,186390
-227.2456310743699,186411
-224.57177887940955,186395
-221.90038603556388,186476
-219.23144834311074,186460
-216.56496161104496,186493
-213.90092165704144,186406
-211.23932430745958,186422
-208.58016539730423,186437
-205.92344077021698,186510
-203.2691462784523,186431
-200.6172777828689,186451
-197.9678311528929,186473
-195.32080226651985,186537
-192.6761870102737,186510
-190.03398127921548,186499
-187.39418097689756,186506
-184.75678201536383,186453
-182.1217803151193,186434
-179.48917180512365,186435
-176.85895242276067,186471
-174.23111811382987,186426
-171.6056648325224,186498
-168.9825885414038,186407
-166.36188521139883,186450
-163.7435508217676,186417
-161.1275813600925,186438
-158.5139728222675,186417
-155.9027212124568,186404
-153.29382254310144,186452
-150.68727283489102,186458
-148.08306811674427,186453
-145.48120442579815,186461
-142.88167780737976,186442
-140.28448431499964,186478
-137.68962001033026,186448
-135.09708096318215,186454
-132.50686325150164,186462
-129.9189629613319,186468
-127.33337618681942,186448
-124.7500990301728,186441
-122.16912760167152,186477
-119.59045801962237,186431
-117.01408641036403,186424
-114.44000890823217,186460
-111.86822165555957,186429
-109.29872080263922,186450
-106.73150250773517,186446
-104.16656293703048,186473
-101.60389826464238,186453
-99.04350467258762,186447
-96.4853783507651,186457
-93.92951549695586,186557
-91.37591231678189,186481
-88.82456502370832,186391
-86.27546983902167,186549
-83.72862299181041,186441
-81.18402071895193,186458
-78.641659265093,186492
-76.10153488263674,186488
-73.56364383172102,186473
-71.02798238021188,186497
-68.49454680367319,186489
-65.96333338536667,186555
-63.43433841622149,186485
-60.9075581948235,186442
-58.38298902740647,186393
-55.86062722782179,186469
-53.34046911753196,186497
-50.82251102559538,186538
-48.30674928864472,186435
-45.79318025087816,186519
-43.28180026403347,186452
-40.77260568738361,186466
-38.265592887712884,186467
-35.76075823930394,186503
-33.2580981239226,186444
-30.757608930802665,186510
-28.259287056628565,186465
-25.763128905524535,186484
-23.26913088903076,186462
-20.777289426094672,186447
-18.287600943053643,186500
-15.800061873619784,186428
-13.314668658862601,186407
-10.831417747200321,186457
-8.350305594373875,186498
-5.871328663444725,186486
-3.394483424768845,186496
-0.9197663559815452,186430
1.5528260580025335,186457
4.02329732502411,186456
6.491650945681434,186514
8.957890413351967,186490
11.422019214203226,186482
13.884040827203629,186462
16.343958724152845,186539
18.801776369677462,186485
21.257497221257008,186473
23.711124729236968,186439
26.16266233684177,186469
28.61211348018783,186496
31.059481588305207,186377
33.50477008314412,186513
35.94798237959015,186428
38.38912188548803,186492
40.82819200163954,186471
43.265196121833846,186397
45.70013763285398,186432
48.133019914492046,186501
50.5638463395644,186419
52.99262027392247,186451
55.419345076474464,186401
57.84402409919186,186431
60.26666068712459,186481
62.687258178416215,186414
65.10581990432779,186451
67.522349189227,186438
69.93684935063371,186498
72.34932369920696,186443
74.75977553877316,186444
77.16820816633472,186441
79.57462487208745,186511
81.97902893943356,186489
84.38142364498815,186457
86.78181225860519,186438
89.18019804338411,186486
91.5765842556763,186472
93.97097414511317,186467
96.36337095461286,186517
98.75377792039524,186454
101.14219827198632,186405
103.52863523224644,186464
105.91309201737246,186433
108.29557183691723,186438
110.67607789380044,186489
113.05461338431732,186497
115.43118149816029,186434
117.80578541843202,186386
120.17842832164972,186559
122.54911337776466,186472
124.91784375017302,186415
127.28462259573546,186448
129.64945306477702,186451
132.01233830111318,186466
134.37328144205426,186456
136.73228561842484,186480
139.08935395456598,186425
141.44448956836774,186454
143.79769557125834,186417
146.1489750682302,186413
148.49833115785282,186479
150.84576693228604,186441
153.191285477282,186440
155.5348898722112,186514
157.87658319007124,186451
160.21636849749328,186545
162.55424885475938,186504
164.89022731581764,186449
167.22430692828888,186494
169.55649073348158,186503
171.88678176640724,186475
174.2151830557868,186487
176.541697624068,186446
178.86632848743622,186466
181.1890786558275,186484
183.50995113293294,186423
185.82894891622453,186458
188.14607499695757,186441
190.46133236019,186463
192.77472398478028,186476
195.0862528434221,186379
197.39592190262928,186468
199.7037341227746,186519
202.00969245808562,186465
204.31379985665336,186488
206.61605926045826,186480
208.91647360537667,186498
211.21504582118305,186503
213.51177883157823,186458
215.8066755541849,186524
218.09973890057378,186576
220.39097177626363,186551
222.6803770807406,186498
224.96795770746712,186525
227.25371654389036,186667
229.53765647146196,186595
231.81978036564652,186601
234.10009109591954,186579
236.37859152580424,186621
238.65528451286502,186723
240.93017290871848,186697
243.20325955905915,186673
245.47454730365104,186716
247.74403897635798,186579
250.0117374051392,186691
252.27764541207966,186612
254.54176581337717,186670
256.8041014193705,186568
259.06465503454814,186665
261.32342945755454,186609
263.5804274812056,186623
265.83565189250163,186608
268.08910547262496,186525
270.34079099697277,186543
272.59071123515247,186620
274.83886895099266,186581
277.0852669025671,186558
279.329907842186,186541
281.5727945164261,186584
283.8139296661309,186554
286.0533160264217,186528
288.2909563267167,186576
290.5268532907269,186521
292.76100963648423,186505
294.99342807633514,186590
297.2241113169665,186546
299.45306205941216,186589
301.68028299905075,186553
303.9057768256361,186560
306.1295462232971,186569
308.3515938705466,186539
310.5719224402942,186598
312.79053459986596,186510
315.0074330109955,186592
317.2226203298524,186556
319.4360992070464,186529
321.647872287634,186546
323.85794221113366,186568
326.0663116115363,186566
328.27298311731033,186570
330.477959351416,186665
332.6812429313214,186524
334.8828364690016,186656
337.08274257095246,186641
339.28096383820537,186638
341.47750286633163,186630
343.67236224546207,186626
345.8655445602848,186603
348.05705239006033,186660
350.24688830863477,186595
352.43505488444845,186625
354.62155468054004,186594
356.80639025456856,186602
358.9895641588131,186632
361.1710789401838,186674
363.3509371402349,186625
365.5291412951755,186657
367.70569393587823,186707
369.8805975878858,186694
372.05385477142835,186731
374.2254680014212,186733
376.3954397874845,186831
378.56377263395825,186756
380.7304690398917,186883
382.89553149907334,186804
385.05896250003343,186831
387.2207645260438,186755
389.38094005515256,186782
391.53949156016256,186739
393.6964215086637,186777
395.85173236303524,186776
398.0054265804501,186764
400.1575066128987,186731
402.3079749071803,186712
404.45683390492263,186675
406.60408604259675,186692
408.74973375151086,186621
410.8937794578384,186601
413.03622558260497,186664
415.17707454172097,186661
417.3163287459771,186641
419.4539906010597,186719
421.5900625075442,186568
423.7245468609362,186596
425.85744605165,186691
427.9887624650323,186669
430.11849848136876,186619
432.24665647589256,186614
434.3732388187955,186635
436.4982478752364,186628
438.6216860053477,186674
440.7435555642465,186669
442.86385890204275,186618
444.98259836385284,186687
447.0997762897992,186703
449.2153950150322,186656
451.32945686972334,186664
453.4419641790853,186658
455.55291926338646,186767
457.6623244379385,186750
459.7701820131263,186707
461.87649429440614,186732
463.9812635823205,186782
466.0844921724962,186751
468.18618235567027,186765
470.28633641768135,186721
472.38495663948913,186847
474.4820452971766,186826
476.57760466196953,186798
478.67163700022985,186824
480.76414457347977,186899
482.85512963839284,186939
484.94459444682224,186927
487.0325412457922,186961
489.1189722775217,186964
491.20388977942025,187086
493.2872959840986,187046
495.3691931193884,187074
497.4495834083378,187055
499.5284690692244,187137
501.6058523155619,187097
503.6817353561173,187130
505.7561203949067,187099
507.8290096312125,187087
509.90040525958347,187085
511.9703094698543,187138
514.0387244471499,187118
516.1056523718833,187071
518.1710954197771,187108
520.2350557618681,187158
522.297535564516,187103
524.3585369894051,186975
526.4180621935601,187115
528.4761133293498,187069
530.532692544505,187173
532.5878019821076,187109
534.6414437806184,187124
536.6936200738706,187067
538.7443329910902,187022
540.7935846568927,187083
542.8413771912986,187081
544.8877127097385,187073
546.9325933230668,186990
548.9760211375527,186926
551.0179982549154,187048
553.0585267723011,187043
555.0976087823198,187086
557.1352463730342,187020
559.1714416279709,187052
561.2061966261354,187056
563.2395134420138,187099
565.2713941455825,187084
567.3018408023137,187019
569.3308554731891,187070
571.3584402147017,187060
573.38459707886,187065
575.4093281132104,187091
577.4326353608323,187097
579.4545208603463,187048
581.4749866459327,187122
583.49403474732,187119
585.5116671898151,187113
587.5278859942948,187097
589.5426931772172,187181
591.5560907506315,187138
593.5680807221872,187104
595.5786650951346,187156
597.5878458683434,187171
599.5956250362945,187143
601.602004589104,187236
603.6069865125183,187213
605.6105727879346,187230
607.6127653923888,187245
609.6135662985803,187277
611.612977474878,187203
613.6110008853166,187301
615.607638489613,187300
617.6028922431692,187302
619.5967640970873,187232
621.5892559981651,187234
623.5803698889132,187248
625.5701077075557,187297
627.5584713880469,187256
629.5454628600628,187303
631.5310840490249,187216
633.5153368760984,187327
635.4982232581962,187253
637.4797451080003,187341
639.4599043339517,187276
641.4387028402715,187382
643.4161425269567,187420
645.3922252897958,187424
647.3669530203722,187409
649.3403276060737,187496
651.312350930099,187588
653.2830248714528,187669
655.2523513049806,187635
657.2203321013455,187662
659.1869691270516,187732
661.1522642444522,187809
663.1162193117485,187967
665.0788361830043,188022
667.0401167081395,188090
669.0000627329606,188216
670.9586760991413,188424
672.9159586442499,188551
674.8719122017421,188799
676.8265386009813,188949
678.7798396672302,189222
680.7318172216713,189486
682.6824730814013,189761
684.6318090594511,190205
686.579826964784,190490
688.5265286022995,190907
690.4719157728532,191431
692.4159902732497,191850
694.3587538962544,192349
696.3002084306034,192957
698.2403556610064,193573
700.1791973681526,193911
702.1167353287242,194407
704.0529713153937,194617
705.9879070968334,194692
707.9215444377295,194715
709.8538850987788,194395
711.7849308366968,193974
713.714683404235,193456
715.6431445501659,192930
717.5703160193134,192335
719.4961995525485,191801
721.4207968867913,191262
723.3441097550218,190629
725.266139886291,190207
727.1868890057204,189954
729.1063588345096,189441
731.0245510899477,189257
732.9414674854171,189016
734.857109730392,188739
736.7714795304594,188631
738.6845785873155,188475
740.5964085987733,188401
742.5069712587708,188145
744.4162682573776,188032
746.3243012808011,187916
748.231072011385,187909
750.1365821276345,187817
752.0408333042019,187702
753.9438272119014,187728
755.845565517724,187645
757.7460498848251,187647
759.6452819725436,187614
761.5432634364129,187578
763.4399959281498,187491
765.3354810956744,187548
767.2297205831165,187540
769.122716030809,187442
771.0144690753094,187529
772.9049813493958,187531
774.7942544820801,187579
776.6822900986069,187724
778.5690898204616,187823
780.4546552653821,188000
782.3389880473596,188478
784.2220897766468,189275
786.1039620597537,190814
787.9846064994781,192740
789.8640246948837,193458
791.7422182413219,192392
793.6191887304386,190343
795.4949377501734,188755
797.3694668847648,188077
799.242777714767,187742
801.1148718170373,187483
802.9857507647658,187402
804.8554161274591,187340
806.7238694709584,187287
808.5911123574454,187257
810.4571463454411,187191
812.3219729898171,187110
814.1855938418024,187110
816.0480104489848,187159
817.9092243553202,187147
819.7692371011349,187029
821.6280502231356,187011
823.4856652544103,187080
825.3420837244407,187097
827.197307159105,186978
829.0513370806771,187006
830.9041750078424,186998
832.7558224556952,186992
834.6062809357546,187058
836.4555519559569,186987
838.3036370206718,186995
840.150537630706,187003
