48_zein_Sigma_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,221112
-357.0856406039081,221504
-354.309364219462,222200
-351.5356215502653,222735
-348.7644077355815,223209
-345.9957179299897,223596
-343.22954730333896,224216
-340.4658910406981,224649
-337.70474434230425,224674
-334.9461024235167,224949
-332.189960514772,225774
-329.43631386151816,225686
-326.68515772419585,226090
-323.9364873781599,226607
-321.1902981136469,227027
-318.44658523572315,227426
-315.70534406423707,228068
-312.9665699337777,228477
-310.23025819361436,228874
-307.4964042076552,229087
-304.76500335440596,229087
-302.0360510269139,229533
-299.3095426327198,229714
-296.5854735938233,230156
-293.8638393466223,230849
-291.1446353418695,231279
-288.4278570446336,231688
-285.7134999342402,232303
-283.00155950423783,232671
-280.29203126234745,233072
-277.5849107304064,233338
-274.8801934443403,233645
-272.17787495410414,233783
-269.47795082363916,234158
-266.7804166308339,234850
-264.0852679674653,235162
-261.39250043917104,235605
-258.7021096653883,235943
-256.01409127931714,236156
-253.32844092787508,236427
-250.6451542716513,236817
-247.96422698485912,237145
-245.2856547552969,237337
-242.60943328430034,237859
-239.93555828669696,238454
-237.2640254907671,238813
-234.59483063819394,239160
-231.9279694840224,239392
-229.26343779661792,239829
-226.6012313576187,240557
-223.94134596189028,240518
-221.28377741748852,240851
-218.6285215456164,241286
-215.97557418057178,241439
-213.32493116971293,241940
-210.67658837341284,242131
-208.03054166502022,242323
-205.38678693080317,242660
-202.74532006992743,243141
-200.1061369944,243261
-197.46923362902587,243688
-194.83460591137322,244229
-192.20224979173008,244340
-189.57216123305452,245033
-186.94433621094632,245307
-184.31877071358858,245255
-181.6954607417238,245692
-179.07440230859746,246078
-176.4555914399255,246604
-173.83902417384897,246672
-171.22469656089683,247098
-168.61260466393855,247275
-166.00274455814923,247346
-163.39511233096636,247841
-160.78970408205063,248078
-158.1865159232406,248249
-155.5855439785178,248588
-152.9867843839657,248821
-150.39023328772186,248987
-147.79588684995204,249553
-145.20374124279587,249962
-142.61379265033662,250169
-140.02603726855122,250439
-137.44047130528642,250672
-134.85709098020465,250607
-132.2758925247471,251280
-129.69687218210768,251511
-127.12002620716804,251708
-124.54535086648235,251927
-121.97284243822956,251926
-119.4024972121701,252229
-116.83431148961547,252560
-114.26828158338274,252758
-111.70440381775333,252989
-109.14267452844916,253074
-106.58309006257842,253535
-104.0256467786031,253725
-101.47034104630426,254091
-98.91716924673426,254211
-96.36612777218873,254446
-93.81721302616957,254665
-91.2704214233351,254990
-88.72574938947191,254920
-86.18319336145801,255274
-83.64274978721505,255846
-81.10441512568885,256015
-78.56818584679087,256366
-76.03405843137865,256467
-73.50202937120818,256649
-70.97209516889694,256739
-68.44425233790228,256912
-65.91849740245851,257165
-63.39482689756392,257213
-60.87323736892434,257417
-58.353725372944574,257421
-55.836287476650206,258151
-53.320920257696365,257990
-50.80762030429831,258600
-48.296384215211916,258444
-45.787208599690295,258635
-43.28009007745345,258877
-40.775025278644904,258843
-38.272010843805674,259023
-35.77104342382875,259379
-33.27211967993522,259537
-30.775236283622256,259876
-28.280389916643564,260069
-25.787577270966043,260409
-23.29679504873509,260451
-20.808039962242045,260760
-18.321308733889545,261029
-15.836598096148103,261248
-13.353904791536635,261204
-10.87322557257256,261083
-8.39455720174579,261333
-5.917896451481871,261451
-3.4432401041072787,261508
-0.9705849518147278,261708
1.5000722033671823,261898
3.968734549617339,261873
6.4354052653481375,262135
8.900087519238005,262473
11.362784470272599,262431
