49_gelatin_typeA_porcine_skin_Sigma_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,198642
-357.0856406039081,198953
-354.309364219462,199399
-351.5356215502653,199504
-348.7644077355815,199734
-345.9957179299897,199946
-343.22954730333896,200064
-340.4658910406981,200159
-337.70474434230425,200341
-334.9461024235167,200455
-332.189960514772,200652
-329.43631386151816,200683
-326.68515772419585,200821
-323.9364873781599,200975
-321.1902981136469,201223
-318.44658523572315,201432
-315.70534406423707,201661
-312.9665699337777,201791
-310.23025819361436,201957
-307.4964042076552,201953
-304.76500335440596,202027
-302.0360510269139,202101
-299.3095426327198,202209
-296.5854735938233,202407
-293.8638393466223,202715
-291.1446353418695,202918
-288.4278570446336,203072
-285.7134999342402,203278
-283.00155950423783,203359
-280.29203126234745,203626
-277.5849107304064,203769
-274.8801934443403,203798
-272.17787495410414,203763
-269.47795082363916,204140
-266.7804166308339,204211
-264.0852679674653,204482
-261.39250043917104,204803
-258.7021096653883,204787
-256.01409127931714,204929
-253.32844092787508,204869
-250.6451542716513,205076
-247.96422698485912,205279
-245.2856547552969,205429
-242.60943328430034,205597
-239.93555828669696,205633
-237.2640254907671,206040
-234.59483063819394,206039
-231.9279694840224,206269
-229.26343779661792,206318
-226.6012313576187,206582
-223.94134596189028,206600
-221.28377741748852,206822
-218.6285215456164,207028
-215.97557418057178,207140
-213.32493116971293,207299
-210.67658837341284,207443
-208.03054166502022,207395
-205.38678693080317,207442
-202.74532006992743,207895
-200.1061369944,207907
-197.46923362902587,208129
-194.83460591137322,208316
-192.20224979173008,208471
-189.57216123305452,208602
-186.94433621094632,208682
-184.31877071358858,208797
-181.6954607417238,208944
-179.07440230859746,209069
-176.4555914399255,209187
-173.83902417384897,209375
-171.22469656089683,209482
-168.61260466393855,209665
-166.00274455814923,209695
-163.39511233096636,209920
-160.78970408205063,210031
-158.1865159232406,210187
-155.5855439785178,210251
-152.9867843839657,210316
-150.39023328772186,210451
-147.79588684995204,210686
-145.20374124279587,210755
-142.61379265033662,210759
-140.02603726855122,211102
-137.44047130528642,211124
-134.85709098020465,211309
-132.2758925247471,211252
-129.69687218210768,211448
-127.12002620716804,211658
-124.54535086648235,211772
-121.97284243822956,211881
-119.4024972121701,211945
-116.83431148961547,212147
-114.26828158338274,212166
-111.70440381775333,212313
-109.14267452844916,212194
-106.58309006257842,212547
-104.0256467786031,212647
-101.47034104630426,212738
-98.91716924673426,212867
-96.36612777218873,212906
-93.81721302616957,213011
-91.2704214233351,213248
-88.72574938947191,213354
-86.18319336145801,213291
-83.64274978721505,213449
-81.10441512568885,213620
-78.56818584679087,213621
-76.03405843137865,213813
-73.50202937120818,213890
-70.97209516889694,213933
-68.44425233790228,214053
-65.91849740245851,213945
-63.39482689756392,214376
-60.87323736892434,214342
-58.353725372944574,214213
-55.836287476650206,214595
-53.320920257696365,214551
-50.80762030429831,214657
-48.296384215211916,214829
-45.787208599690295,214813
-43.28009007745345,215036
-40.775025278644904,215036
-38.272010843805674,215053
-35.77104342382875,215162
-33.27211967993522,215219
-30.775236283622256,215395
-28.280389916643564,215524
-25.787577270966043,215508
-23.29679504873509,215618
-20.808039962242045,215791
-18.321308733889545,215873
-15.836598096148103,216165
-13.353904791536635,215997
-10.87322557257256,216082
-8.39455720174579,216176
-5.917896451481871,216295
-3.4432401041072787,216283
-0.9705849518147278,216342
1.5000722033671823,216634
3.968734549617339,216571
6.4354052653481375,216712
8.900087519238005,216743
11.362784470272599,216886
13.823499267777342,217029
16.282235051447767,217011
18.738994951382047,217215
21.19378208811787,217128
23.64659957266712,217226
26.097450506548398,217377
28.5463379818174,217631
30.99326508110376,217639
33.438234877637086,217371
35.88125043529466,217505
38.322314808616596,217562
40.76143104285793,217531
43.198602173999404,217790
45.63383122880172,217894
48.06712122482288,217957
50.49847517045718,218111
52.927896064967804,218332
55.355386898519285,218260
57.78095065220789,218342
60.20459029809416,218229
62.6263087992354,218464
65.0461091097226,218633
67.46399417470201,218880
69.87996693042084,218762
72.29403030424011,218888
74.70618721468463,218992
77.11644057147113,219012
79.52479327553216,219240
81.93124821905072,219179
84.33580828549718,219242
86.73847634965313,219238
89.13925527764604,219427
91.53814792698398,219235
93.93515714657946,219361
96.33028577678846,219572
98.72353664942997,219554
101.11491258783367,219813
103.5044164068551,219750
105.89205091291257,219850
108.27781890401963,219982
110.6617231698176,220092
113.04376649159519,220157
115.42395164232953,220073
117.80228138671445,220271
120.17875848118875,220367
122.55338567396852,220544
124.92616570506905,220609
127.29710130635453,220738
129.66619520154467,220837
132.03345010626015,220887
134.39886872804433,221096
136.7624537664024,221125
139.1242079128185,221421
141.4841338507949,221348
143.84223425588024,221424
146.19851179569756,221609
148.5529691299661,221628
150.90560891054895,221797
153.25643378146393,221726
155.60544637892477,221799
157.9526493313628,221811
160.29804525946167,221919
162.64163677617893,221913
