4_L-glutamic_acid_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187293
-358.5672754570978,187400
-355.77025989936726,187572
-352.97591591093277,187628
-350.18423885041375,187720
-347.3952240861159,187760
-344.60886699602463,187755
-341.82516296777254,187747
-339.0441073986201,187719
-336.2656956954402,187786
-333.48992327468994,187708
-330.7167855623894,187746
-327.9462779940995,187655
-325.17839601490897,187723
-322.4131350793979,187721
-319.65049065163294,187751
-316.89045820512644,187782
-314.1330332228362,187840
-311.3782111971333,187863
-308.6259876297756,187768
-305.8763580319037,187708
-303.1293179239997,187721
-300.38486283588077,187731
-297.64298830667076,187815
-294.903689884783,187779
-292.1669631279051,187791
-289.43280360295984,187918
-286.7012068861032,187910
-283.97216856270023,187909
-281.2456842272927,187939
-278.5217494835949,187922
-275.8003599444628,187850
-273.0815112318751,187937
-270.3651989769155,187920
-267.65141881975126,188031
-264.9401664096113,187935
-262.2314374047734,188033
-259.5252274725313,187946
-256.82153228918884,187988
-254.12034754002676,188004
-251.42166891929662,187983
-248.72549213018382,188009
-246.03181288480965,187990
-243.34062690418816,187989
-240.6519299182259,188041
-237.96571766568744,188059
-235.28198589419304,188066
-232.6007303601798,187994
-229.92194682889274,188000
-227.2456310743699,188096
-224.57177887940955,188110
-221.90038603556388,188196
-219.23144834311074,188105
-216.56496161104496,188133
-213.90092165704144,188139
-211.23932430745958,188118
-208.58016539730423,188167
-205.92344077021698,188126
-203.2691462784523,188284
-200.6172777828689,188159
-197.9678311528929,188265
-195.32080226651985,188194
-192.6761870102737,188280
-190.03398127921548,188221
-187.39418097689756,188239
-184.75678201536383,188279
-182.1217803151193,188285
-179.48917180512365,188216
-176.85895242276067,188276
-174.23111811382987,188286
-171.6056648325224,188226
-168.9825885414038,188231
-166.36188521139883,188264
-163.7435508217676,188278
-161.1275813600925,188292
-158.5139728222675,188298
-155.9027212124568,188320
-153.29382254310144,188370
-150.68727283489102,188284
-148.08306811674427,188379
-145.48120442579815,188441
-142.88167780737976,188349
-140.28448431499964,188359
-137.68962001033026,188376
-135.09708096318215,188409
-132.50686325150164,188410
-129.9189629613319,188342
-127.33337618681942,188484
-124.7500990301728,188460
-122.16912760167152,188319
-119.59045801962237,188426
-117.01408641036403,188416
-114.44000890823217,188538
-111.86822165555957,188400
-109.29872080263922,188466
-106.73150250773517,188418
-104.16656293703048,188458
-101.60389826464238,188356
-99.04350467258762,188424
-96.4853783507651,188491
-93.92951549695586,188418
-91.37591231678189,188501
-88.82456502370832,188553
-86.27546983902167,188522
-83.72862299181041,188467
-81.18402071895193,188475
-78.641659265093,188502
-76.10153488263674,188548
-73.56364383172102,188496
-71.02798238021188,188524
-68.49454680367319,188430
-65.96333338536667,188441
-63.43433841622149,188488
-60.9075581948235,188572
-58.38298902740647,188450
-55.86062722782179,188534
-53.34046911753196,188525
-50.82251102559538,188518
-48.30674928864472,188581
-45.79318025087816,188562
-43.28180026403347,188630
-40.77260568738361,188573
-38.265592887712884,188612
-35.76075823930394,188569
-33.2580981239226,188644
-30.757608930802665,188607
-28.259287056628565,188559
-25.763128905524535,188656
-23.26913088903076,188588
-20.777289426094672,188674
-18.287600943053643,188674
-15.800061873619784,188604
-13.314668658862601,188598
-10.831417747200321,188612
-8.350305594373875,188631
-5.871328663444725,188618
-3.394483424768845,188656
-0.9197663559815452,188669
1.5528260580025335,188610
4.02329732502411,188606
6.491650945681434,188574
8.957890413351967,188604
11.422019214203226,188625
13.884040827203629,188637
16.343958724152845,188604
18.801776369677462,188632
21.257497221257008,188603
23.711124729236968,188712
26.16266233684177,188575
28.61211348018783,188622
31.059481588305207,188676
33.50477008314412,188641
35.94798237959015,188599
38.38912188548803,188620
40.82819200163954,188628
43.265196121833846,188599
45.70013763285398,188612
48.133019914492046,188645
50.5638463395644,188712
52.99262027392247,188663
55.419345076474464,188651
57.84402409919186,188643
60.26666068712459,188576
62.687258178416215,188728
65.10581990432779,188691
67.522349189227,188793
69.93684935063371,188692
72.34932369920696,188720
74.75977553877316,188723
77.16820816633472,188646
79.57462487208745,188705
81.97902893943356,188708
84.38142364498815,188677
86.78181225860519,188649
89.18019804338411,188756
91.5765842556763,188734
93.97097414511317,188733
96.36337095461286,188670
98.75377792039524,188631
101.14219827198632,188636
103.52863523224644,188652
105.91309201737246,188708
108.29557183691723,188653
110.67607789380044,188676
113.05461338431732,188738
115.43118149816029,188732
117.80578541843202,188705
120.17842832164972,188687
122.54911337776466,188765
124.91784375017302,188698
127.28462259573546,188803
129.64945306477702,188748
132.01233830111318,188708
134.37328144205426,188743
136.73228561842484,188765
139.08935395456598,188691
141.44448956836774,188739
143.79769557125834,188674
146.1489750682302,188689
148.49833115785282,188691
150.84576693228604,188737
153.191285477282,188750
155.5348898722112,188742
157.87658319007124,188760
160.21636849749328,188754
162.55424885475938,188766
164.89022731581764,188753
167.22430692828888,188856
169.55649073348158,188698
171.88678176640724,188723
174.2151830557868,188812
176.541697624068,188750
178.86632848743622,188758
181.1890786558275,188742
183.50995113293294,188690
185.82894891622453,188726
188.14607499695757,188731
190.46133236019,188781
192.77472398478028,188722
195.0862528434221,188772
197.39592190262928,188690
199.7037341227746,188748
202.00969245808562,188836
204.31379985665336,188810
206.61605926045826,188887
208.91647360537667,188781
211.21504582118305,188835
213.51177883157823,188834
215.8066755541849,188855
218.09973890057378,188738
220.39097177626363,188833
222.6803770807406,188811
224.96795770746712,188807
227.25371654389036,188858
229.53765647146196,188738
231.81978036564652,188864
234.10009109591954,188813
236.37859152580424,188728
238.65528451286502,188743
240.93017290871848,188790
243.20325955905915,188775
245.47454730365104,188846
247.74403897635798,188827
250.0117374051392,188829
252.27764541207966,188860
254.54176581337717,188822
256.8041014193705,188827
259.06465503454814,188907
261.32342945755454,188821
263.5804274812056,188780
265.83565189250163,188886
268.08910547262496,188792
270.34079099697277,188940
272.59071123515247,188914
274.83886895099266,188850
277.0852669025671,188846
279.329907842186,188802
281.5727945164261,188750
283.8139296661309,188803
286.0533160264217,188916
288.2909563267167,188810
290.5268532907269,188828
292.76100963648423,188867
294.99342807633514,188832
297.2241113169665,188907
299.45306205941216,188890
301.68028299905075,188881
303.9057768256361,188913
306.1295462232971,188878
308.3515938705466,188930
310.5719224402942,188897
312.79053459986596,188959
315.0074330109955,188907
317.2226203298524,188945
319.4360992070464,188967
321.647872287634,188994
323.85794221113366,188981
326.0663116115363,188965
328.27298311731033,188877
330.477959351416,188941
332.6812429313214,188976
334.8828364690016,188909
337.08274257095246,188837
339.28096383820537,188916
341.47750286633163,188949
343.67236224546207,188859
345.8655445602848,188922
348.05705239006033,188873
350.24688830863477,188910
352.43505488444845,188976
354.62155468054004,188907
356.80639025456856,188963
358.9895641588131,188964
361.1710789401838,188920
363.3509371402349,188943
365.5291412951755,188923
