50_gelatin_typeB_bovine_skin_Sigma_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,196957
-357.0856406039081,197445
-354.309364219462,197593
-351.5356215502653,197797
-348.7644077355815,198006
-345.9957179299897,198226
-343.22954730333896,198367
-340.4658910406981,198428
-337.70474434230425,198656
-334.9461024235167,198518
-332.189960514772,198732
-329.43631386151816,198871
-326.68515772419585,198874
-323.9364873781599,199098
-321.1902981136469,199289
-318.44658523572315,199443
-315.70534406423707,199635
-312.9665699337777,199763
-310.23025819361436,200002
-307.4964042076552,199985
-304.76500335440596,199962
-302.0360510269139,199962
-299.3095426327198,200144
-296.5854735938233,200218
-293.8638393466223,200377
-291.1446353418695,200782
-288.4278570446336,200957
-285.7134999342402,201146
-283.00155950423783,201225
-280.29203126234745,201190
-277.5849107304064,201492
-274.8801934443403,201576
-272.17787495410414,201667
-269.47795082363916,201956
-266.7804166308339,201884
-264.0852679674653,202084
-261.39250043917104,202287
-258.7021096653883,202378
-256.01409127931714,202549
-253.32844092787508,202477
-250.6451542716513,202644
-247.96422698485912,202684
-245.2856547552969,202881
-242.60943328430034,202902
-239.93555828669696,203241
-237.2640254907671,203397
-234.59483063819394,203434
-231.9279694840224,203552
-229.26343779661792,203786
-226.6012313576187,203980
-223.94134596189028,204119
-221.28377741748852,204166
-218.6285215456164,204293
-215.97557418057178,204363
-213.32493116971293,204592
-210.67658837341284,204648
-208.03054166502022,204649
-205.38678693080317,204696
-202.74532006992743,204833
-200.1061369944,205121
-197.46923362902587,205246
-194.83460591137322,205412
-192.20224979173008,205562
-189.57216123305452,205708
-186.94433621094632,205720
-184.31877071358858,205857
-181.6954607417238,205893
-179.07440230859746,206052
-176.4555914399255,206205
-173.83902417384897,206358
-171.22469656089683,206211
-168.61260466393855,206579
-166.00274455814923,206571
-163.39511233096636,206594
-160.78970408205063,206794
-158.1865159232406,206988
-155.5855439785178,207129
-152.9867843839657,207124
-150.39023328772186,207320
-147.79588684995204,207323
-145.20374124279587,207440
-142.61379265033662,207678
-140.02603726855122,207753
-137.44047130528642,207830
-134.85709098020465,207901
-132.2758925247471,208061
-129.69687218210768,208048
-127.12002620716804,208245
-124.54535086648235,208386
-121.97284243822956,208454
-119.4024972121701,208605
-116.83431148961547,208536
-114.26828158338274,208875
-111.70440381775333,208767
-109.14267452844916,208758
-106.58309006257842,208796
-104.0256467786031,208975
-101.47034104630426,209200
-98.91716924673426,209283
-96.36612777218873,209377
-93.81721302616957,209545
-91.2704214233351,209520
-88.72574938947191,209510
-86.18319336145801,209855
-83.64274978721505,209854
-81.10441512568885,210132
-78.56818584679087,210111
-76.03405843137865,210185
-73.50202937120818,210130
-70.97209516889694,210288
-68.44425233790228,210309
-65.91849740245851,210269
-63.39482689756392,210527
-60.87323736892434,210432
-58.353725372944574,210556
-55.836287476650206,210816
-53.320920257696365,210765
-50.80762030429831,211034
-48.296384215211916,211095
-45.787208599690295,211079
-43.28009007745345,211084
-40.775025278644904,211137
-38.272010843805674,211274
-35.77104342382875,211437
-33.27211967993522,211433
-30.775236283622256,211681
-28.280389916643564,211700
-25.787577270966043,211557
-23.29679504873509,211646
-20.808039962242045,211943
-18.321308733889545,211789
-15.836598096148103,212027
-13.353904791536635,212063
-10.87322557257256,212118
-8.39455720174579,212136
-5.917896451481871,212268
-3.4432401041072787,212199
-0.9705849518147278,212402
1.5000722033671823,212414
3.968734549617339,212470
6.4354052653481375,212555
8.900087519238005,212552
11.362784470272599,212635
13.823499267777342,212798
16.282235051447767,212989
18.738994951382047,212854
21.19378208811787,212929
23.64659957266712,213172
26.097450506548398,213212
28.5463379818174,213286
30.99326508110376,213206
33.438234877637086,213410
35.88125043529466,213468
38.322314808616596,213391
40.76143104285793,213316
43.198602173999404,213648
45.63383122880172,213705
48.06712122482288,213714
50.49847517045718,213861
52.927896064967804,213856
55.355386898519285,213776
57.78095065220789,213862
60.20459029809416,213990
62.6263087992354,214138
65.0461091097226,214227
67.46399417470201,214452
69.87996693042084,214381
72.29403030424011,214469
74.70618721468463,214575
77.11644057147113,214673
79.52479327553216,214625
81.93124821905072,214781
84.33580828549718,214975
86.73847634965313,214797
89.13925527764604,214922
91.53814792698398,214906
93.93515714657946,215095
96.33028577678846,215037
98.72353664942997,215246
101.11491258783367,215322
103.5044164068551,215186
105.89205091291257,215350
108.27781890401963,215222
110.6617231698176,215407
113.04376649159519,215493
115.42395164232953,215546
117.80228138671445,215583
120.17875848118875,215699
122.55338567396852,215833
124.92616570506905,216044
127.29710130635453,216034
129.66619520154467,216206
132.03345010626015,216409
134.39886872804433,216343
136.7624537664024,216393
139.1242079128185,216580
141.4841338507949,216657
143.84223425588024,216646
146.19851179569756,216892
148.5529691299661,216634
150.90560891054895,217105
153.25643378146393,216989
155.60544637892477,216908
157.9526493313628,217030
160.29804525946167,217191
162.64163677617893,217094
164.98342648678735,217109
167.32341698889007,217326
169.66161087245743,217397
171.998010719853,217247
174.3326191058661,217357
176.66543859773356,217389
178.9964717551721,217434
181.32572113041317,217374
183.65318926821155,217767
185.97887870589955,217675
188.3027919733979,217709
190.62493159324603,217828
192.9453000806369,217994
195.2638999434364,218139
197.58073368222233,218336
199.89580379029545,218352
