51_casein_sodium_salt_from_bovine_milk_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,191465
-358.5672754570978,191646
-355.77025989936726,191889
-352.97591591093277,191926
-350.18423885041375,192038
-347.3952240861159,192145
-344.60886699602463,192150
-341.82516296777254,192111
-339.0441073986201,192157
-336.2656956954402,192116
-333.48992327468994,192284
-330.7167855623894,192258
-327.9462779940995,192291
-325.17839601490897,192300
-322.4131350793979,192467
-319.65049065163294,192544
-316.89045820512644,192562
-314.1330332228362,192630
-311.3782111971333,192678
-308.6259876297756,192652
-305.8763580319037,192645
-303.1293179239997,192668
-300.38486283588077,192742
-297.64298830667076,192918
-294.903689884783,192862
-292.1669631279051,193021
-289.43280360295984,193131
-286.7012068861032,193228
-283.97216856270023,193201
-281.2456842272927,193270
-278.5217494835949,193341
-275.8003599444628,193305
-273.0815112318751,193372
-270.3651989769155,193451
-267.65141881975126,193593
-264.9401664096113,193618
-262.2314374047734,193681
-259.5252274725313,193612
-256.82153228918884,193660
-254.12034754002676,193789
-251.42166891929662,193795
-248.72549213018382,193808
-246.03181288480965,193895
-243.34062690418816,194055
-240.6519299182259,193912
-237.96571766568744,194077
-235.28198589419304,194072
-232.6007303601798,194125
-229.92194682889274,194091
-227.2456310743699,194262
-224.57177887940955,194267
-221.90038603556388,194295
-219.23144834311074,194486
-216.56496161104496,194401
-213.90092165704144,194549
-211.23932430745958,194524
-208.58016539730423,194589
-205.92344077021698,194664
-203.2691462784523,194692
-200.6172777828689,194686
-197.9678311528929,194832
-195.32080226651985,194864
-192.6761870102737,194920
-190.03398127921548,194984
-187.39418097689756,195027
-184.75678201536383,195024
-182.1217803151193,195061
-179.48917180512365,195092
-176.85895242276067,195057
-174.23111811382987,195247
-171.6056648325224,195203
-168.9825885414038,195329
-166.36188521139883,195292
-163.7435508217676,195372
-161.1275813600925,195473
-158.5139728222675,195548
-155.9027212124568,195652
-153.29382254310144,195587
-150.68727283489102,195655
-148.08306811674427,195712
-145.48120442579815,195793
-142.88167780737976,195689
-140.28448431499964,195816
-137.68962001033026,195925
-135.09708096318215,195973
-132.50686325150164,196080
-129.9189629613319,196108
-127.33337618681942,196022
-124.7500990301728,196137
-122.16912760167152,196087
-119.59045801962237,196148
-117.01408641036403,196116
-114.44000890823217,196202
-111.86822165555957,196230
-109.29872080263922,196347
-106.73150250773517,196382
-104.16656293703048,196432
-101.60389826464238,196383
-99.04350467258762,196435
-96.4853783507651,196498
-93.92951549695586,196662
-91.37591231678189,196557
-88.82456502370832,196582
-86.27546983902167,196747
-83.72862299181041,196703
-81.18402071895193,196710
-78.641659265093,196878
-76.10153488263674,196974
-73.56364383172102,196908
-71.02798238021188,196845
-68.49454680367319,196951
-65.96333338536667,196913
-63.43433841622149,197076
-60.9075581948235,197041
-58.38298902740647,197010
-55.86062722782179,197105
-53.34046911753196,197214
-50.82251102559538,197237
-48.30674928864472,197294
-45.79318025087816,197302
-43.28180026403347,197420
-40.77260568738361,197410
-38.265592887712884,197426
-35.76075823930394,197362
-33.2580981239226,197522
-30.757608930802665,197442
-28.259287056628565,197569
-25.763128905524535,197681
-23.26913088903076,197548
-20.777289426094672,197624
-18.287600943053643,197694
-15.800061873619784,197697
-13.314668658862601,197760
-10.831417747200321,197876
-8.350305594373875,197775
-5.871328663444725,197776
-3.394483424768845,197928
-0.9197663559815452,197965
1.5528260580025335,197964
4.02329732502411,197895
6.491650945681434,198079
8.957890413351967,197963
