52_plasdone_K12_ISP_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,187136
-357.0856406039081,187292
-354.309364219462,187530
-351.5356215502653,187611
-348.7644077355815,187666
-345.9957179299897,187699
-343.22954730333896,187757
-340.4658910406981,187671
-337.70474434230425,187675
-334.9461024235167,187721
-332.189960514772,187760
-329.43631386151816,187698
-326.68515772419585,187764
-323.9364873781599,187855
-321.1902981136469,187808
-318.44658523572315,187812
-315.70534406423707,187887
-312.9665699337777,187925
-310.23025819361436,187975
-307.4964042076552,187889
-304.76500335440596,187913
-302.0360510269139,187942
-299.3095426327198,187888
-296.5854735938233,187932
-293.8638393466223,188001
-291.1446353418695,188018
-288.4278570446336,188185
-285.7134999342402,188115
-283.00155950423783,188140
-280.29203126234745,188176
-277.5849107304064,188126
-274.8801934443403,188113
-272.17787495410414,188150
-269.47795082363916,188220
-266.7804166308339,188254
-264.0852679674653,188316
-261.39250043917104,188309
-258.7021096653883,188408
-256.01409127931714,188357
-253.32844092787508,188394
-250.6451542716513,188438
-247.96422698485912,188434
-245.2856547552969,188413
-242.60943328430034,188456
-239.93555828669696,188508
-237.2640254907671,188439
-234.59483063819394,188482
-231.9279694840224,188535
-229.26343779661792,188563
-226.6012313576187,188611
-223.94134596189028,188659
-221.28377741748852,188695
-218.6285215456164,188663
-215.97557418057178,188621
-213.32493116971293,188640
-210.67658837341284,188687
-208.03054166502022,188705
-205.38678693080317,188748
-202.74532006992743,188764
-200.1061369944,188823
-197.46923362902587,188975
-194.83460591137322,188832
-192.20224979173008,188870
-189.57216123305452,188915
-186.94433621094632,188884
-184.31877071358858,188895
-181.6954607417238,188864
-179.07440230859746,188980
-176.4555914399255,188953
-173.83902417384897,188991
-171.22469656089683,188930
-168.61260466393855,188951
-166.00274455814923,188935
-163.39511233096636,188996
-160.78970408205063,189079
-158.1865159232406,189016
-155.5855439785178,189100
-152.9867843839657,189061
-150.39023328772186,189156
-147.79588684995204,189093
-145.20374124279587,189102
-142.61379265033662,189152
-140.02603726855122,189159
-137.44047130528642,189157
-134.85709098020465,189237
-132.2758925247471,189138
-129.69687218210768,189249
-127.12002620716804,189245
-124.54535086648235,189231
-121.97284243822956,189239
-119.4024972121701,189331
-116.83431148961547,189325
-114.26828158338274,189352
-111.70440381775333,189343
-109.14267452844916,189366
-106.58309006257842,189256
-104.0256467786031,189400
-101.47034104630426,189438
-98.91716924673426,189383
-96.36612777218873,189490
-93.81721302616957,189420
-91.2704214233351,189450
-88.72574938947191,189445
-86.18319336145801,189365
-83.64274978721505,189462
-81.10441512568885,189503
-78.56818584679087,189615
-76.03405843137865,189536
-73.50202937120818,189584
-70.97209516889694,189540
-68.44425233790228,189540
-65.91849740245851,189515
-63.39482689756392,189482
-60.87323736892434,189586
-58.353725372944574,189573
-55.836287476650206,189696
-53.320920257696365,189662
-50.80762030429831,189661
-48.296384215211916,189609
-45.787208599690295,189655
-43.28009007745345,189671
-40.775025278644904,189579
-38.272010843805674,189618
-35.77104342382875,189764
-33.27211967993522,189721
-30.775236283622256,189749
-28.280389916643564,189763
-25.787577270966043,189711
-23.29679504873509,189731
-20.808039962242045,189848
-18.321308733889545,189736
-15.836598096148103,189761
-13.353904791536635,189798
-10.87322557257256,189771
-8.39455720174579,189867
-5.917896451481871,189823
-3.4432401041072787,189843
-0.9705849518147278,189937
1.5000722033671823,189805
3.968734549617339,189866
6.4354052653481375,189917
8.900087519238005,189891
11.362784470272599,189879
13.823499267777342,189936
16.282235051447767,189827
18.738994951382047,189939
21.19378208811787,189963
23.64659957266712,189934
26.097450506548398,189922
28.5463379818174,189943
30.99326508110376,189934
33.438234877637086,189858
35.88125043529466,189928
38.322314808616596,189914
40.76143104285793,189876
43.198602173999404,189989
45.63383122880172,189895
48.06712122482288,189914
50.49847517045718,189987
52.927896064967804,190026
55.355386898519285,190014
57.78095065220789,190033
60.20459029809416,190001
62.6263087992354,190084
65.0461091097226,189953
67.46399417470201,190048
69.87996693042084,190101
72.29403030424011,190168
74.70618721468463,190100
77.11644057147113,190113
79.52479327553216,190078
81.93124821905072,190147
84.33580828549718,190045
86.73847634965313,190168
89.13925527764604,190152
91.53814792698398,190184
93.93515714657946,190066
96.33028577678846,190129
98.72353664942997,190202
101.11491258783367,190128
103.5044164068551,190071
105.89205091291257,190082
108.27781890401963,190168
110.6617231698176,190184
113.04376649159519,190272
115.42395164232953,190212
117.80228138671445,190227
120.17875848118875,190240
122.55338567396852,190287
124.92616570506905,190211
127.29710130635453,190307
129.66619520154467,190292
132.03345010626015,190284
134.39886872804433,190407
136.7624537664024,190295
139.1242079128185,190280
141.4841338507949,190318
143.84223425588024,190324
146.19851179569756,190282
148.5529691299661,190371
150.90560891054895,190351
153.25643378146393,190332
155.60544637892477,190379
157.9526493313628,190368
160.29804525946167,190497
162.64163677617893,190389
164.98342648678735,190373
167.32341698889007,190483
169.66161087245743,190381
171.998010719853,190479
174.3326191058661,190446
176.66543859773356,190537
178.9964717551721,190528
181.32572113041317,190513
183.65318926821155,190484
185.97887870589955,190532
188.3027919733979,190553
190.62493159324603,190506
192.9453000806369,190627
195.2638999434364,190575
197.58073368222233,190645
199.89580379029545,190627
202.20911275372916,190598
204.5206630513761,190625
206.8304571549136,190557
209.13849752885469,190671
211.4447866305891,190635
213.74932691040505,190638
216.05212081151748,190741
218.3531707700961,190853
220.65247921528942,190804
222.95004856925493,190672
225.24588124718525,190767
227.5399796573406,190779
229.83234620106404,190862
232.12298327281817,190904
234.41189326021353,190848
236.69907854402365,190831
238.98454149822194,190855
241.26828449001422,190889
243.5503098798409,190897
245.83062002143333,190910
248.10921726182033,191004
250.38610394136506,190972
252.66128239378017,191071
254.93475494617118,191053
257.2065239190408,191057
259.47659162633886,191099
261.7449603754731,191145
264.01163246733523,191169
266.27661019633547,191192
268.53989585042024,191264
270.80149171110213,191180
273.0614000534927,191259
275.31962314630886,191351
277.57616325191833,191362
279.8310226263573,191474
282.0842035193517,191459
284.33570817435435,191592
286.5855388285558,191619
288.83369771292524,191741
291.0801870522196,191918
293.3250090650288,191977
295.56816596377786,192262
297.80965995476834,192520
300.0494932382,192661
302.28766800819653,192921
304.5241864528276,193278
306.75905075413027,193665
308.992263088146,194008
311.2238256249315,194376
313.4537405285976,194791
315.6820099573204,195335
317.9086360633756,195689
320.1336209931603,196002
322.35696688721504,196343
324.5786758802492,196620
326.7987501011697,196832
329.01719167310233,197299
331.2340027134138,197478
333.4491853337375,197769
335.6627416400016,198028
337.8746737324489,198293
340.0849837056625,198525
342.2936736485879,198624
344.5007456445606,198785
346.7062017713262,198998
348.9100441010683,199065
351.1122747004323,199190
353.31289563053866,199047
355.5119089470259,198904
357.70931670005757,198792
359.90512093435,198532
362.0993236892029,198089
364.29192699851666,197780
366.4829328908141,197324
368.67234338927057,196920
370.86016051172953,196582
373.04638627073257,195978
375.2310226735368,195560
377.4140717221477,195103
379.5955354133295,194665
381.7754157386358,194319
383.95371468443125,193845
386.1304342319175,193652
388.30557635715064,193397
390.4791430310692,193140
392.6511362195117,192983
394.82155788324485,192754
396.99040997798284,192722
399.1576944544091,192631
401.3234132582027,192670
403.4875683300637,192438
405.65016160572014,192327
407.81119501597135,192402
409.9706704866987,192381
412.12858993888494,192276
414.28495528864505,192352
416.43976844724745,192294
418.5930313211294,192307
420.7447458119272,192307
422.8949138164917,192208
425.04353722691394,192254
427.19061793054703,192159
429.33615781003,192133
431.4801587433051,192144
433.6226226036417,192078
435.7635512596599,192080
437.9029465753528,192109
440.0408104101011,192087
442.1771446187078,192069
444.31195105140534,192159
446.4452315538895,192034
448.57698796733297,192133
450.70722212840883,192076
452.8359358693147,192037
454.9631310177922,192058
457.0888093971483,192135
459.2129728262732,191997
461.3356231196724,192032
463.4567620874757,192194
465.576391535463,192166
467.69451326508823,192100
469.81112907349893,192145
471.9262407535535,192192
474.039850093845,192131
476.15195887872966,192222
478.26256888832853,192222
480.37168189856914,192195
482.4792996811983,192127
484.58542400379525,192217
486.690056629806,192205
488.7931993185525,192208
490.89485382526044,192213
492.99502190107904,192188
495.0937052930959,192253
497.19090574436774,192227
499.28662499392885,192242
501.38086477681924,192286
503.4736268241108,192240
505.56491286290725,192314
507.6547246163853,192326
509.74306380381205,192264
511.829932140545,192311
513.9153313380817,192278
515.9992631040625,192317
518.0817291422892,192333
520.1627311527518,192354
522.2422708316479,192406
524.3203498713997,192523
526.39696996068,192495
528.4721327844175,192568
530.5458400238364,192550
532.61809335646,192578
534.6888944561425,192554
536.7582449930779,192601
538.826146633828,192600
