54_plasdone_K29_32_ISP_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,186081
-357.0856406039081,186181
-354.309364219462,186221
-351.5356215502653,186409
-348.7644077355815,186422
-345.9957179299897,186419
-343.22954730333896,186552
-340.4658910406981,186532
-337.70474434230425,186405
-334.9461024235167,186474
-332.189960514772,186429
-329.43631386151816,186521
-326.68515772419585,186494
-323.9364873781599,186483
-321.1902981136469,186451
-318.44658523572315,186461
-315.70534406423707,186603
-312.9665699337777,186600
-310.23025819361436,186444
-307.4964042076552,186486
-304.76500335440596,186573
-302.0360510269139,186573
-299.3095426327198,186526
-296.5854735938233,186505
-293.8638393466223,186572
-291.1446353418695,186549
-288.4278570446336,186591
-285.7134999342402,186599
-283.00155950423783,186617
-280.29203126234745,186662
-277.5849107304064,186659
-274.8801934443403,186610
-272.17787495410414,186694
-269.47795082363916,186652
-266.7804166308339,186708
-264.0852679674653,186677
-261.39250043917104,186670
-258.7021096653883,186746
-256.01409127931714,186801
-253.32844092787508,186787
-250.6451542716513,186753
-247.96422698485912,186758
-245.2856547552969,186704
-242.60943328430034,186742
-239.93555828669696,186717
-237.2640254907671,186782
-234.59483063819394,186747
-231.9279694840224,186799
-229.26343779661792,186809
-226.6012313576187,186789
-223.94134596189028,186965
-221.28377741748852,186833
-218.6285215456164,186818
-215.97557418057178,186834
-213.32493116971293,186893
-210.67658837341284,186923
-208.03054166502022,186901
-205.38678693080317,186902
-202.74532006992743,186840
-200.1061369944,186957
-197.46923362902587,186918
-194.83460591137322,186948
-192.20224979173008,186965
-189.57216123305452,186964
-186.94433621094632,186981
-184.31877071358858,186892
-181.6954607417238,186944
-179.07440230859746,186962
-176.4555914399255,186907
-173.83902417384897,186958
-171.22469656089683,187035
-168.61260466393855,187017
-166.00274455814923,187036
-163.39511233096636,186962
-160.78970408205063,187020
-158.1865159232406,187033
-155.5855439785178,187088
-152.9867843839657,187129
-150.39023328772186,187045
-147.79588684995204,187052
-145.20374124279587,187145
-142.61379265033662,187071
-140.02603726855122,187074
-137.44047130528642,187108
-134.85709098020465,187210
-132.2758925247471,187101
-129.69687218210768,187143
-127.12002620716804,187255
-124.54535086648235,187163
-121.97284243822956,187114
-119.4024972121701,187101
-116.83431148961547,187178
-114.26828158338274,187253
-111.70440381775333,187158
-109.14267452844916,187154
-106.58309006257842,187115
-104.0256467786031,187149
-101.47034104630426,187185
-98.91716924673426,187137
