56_polyvinylpyrrolidone_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,185802
-358.5672754570978,185896
-355.77025989936726,186002
-352.97591591093277,186124
-350.18423885041375,186152
-347.3952240861159,186199
-344.60886699602463,186245
-341.82516296777254,186169
-339.0441073986201,186105
-336.2656956954402,186092
-333.48992327468994,186085
-330.7167855623894,186066
-327.9462779940995,186123
-325.17839601490897,186100
-322.4131350793979,186069
-319.65049065163294,186069
-316.89045820512644,186075
-314.1330332228362,186096
-311.3782111971333,186073
-308.6259876297756,186060
-305.8763580319037,186085
-303.1293179239997,186100
-300.38486283588077,186090
-297.64298830667076,186079
-294.903689884783,186099
-292.1669631279051,186101
-289.43280360295984,186147
-286.7012068861032,186107
-283.97216856270023,186060
-281.2456842272927,186127
-278.5217494835949,186070
-275.8003599444628,186117
-273.0815112318751,186104
-270.3651989769155,186099
-267.65141881975126,186126
-264.9401664096113,186084
-262.2314374047734,186067
-259.5252274725313,186071
-256.82153228918884,186078
-254.12034754002676,186088
-251.42166891929662,186112
-248.72549213018382,186055
-246.03181288480965,186051
-243.34062690418816,186108
-240.6519299182259,186117
-237.96571766568744,186098
-235.28198589419304,186102
-232.6007303601798,186118
-229.92194682889274,186119
-227.2456310743699,186114
-224.57177887940955,186104
-221.90038603556388,186068
-219.23144834311074,186099
-216.56496161104496,186142
-213.90092165704144,186104
-211.23932430745958,186145
-208.58016539730423,186142
-205.92344077021698,186101
-203.2691462784523,186083
-200.6172777828689,186045
-197.9678311528929,186136
-195.32080226651985,186114
-192.6761870102737,186177
-190.03398127921548,186145
-187.39418097689756,186100
-184.75678201536383,186066
-182.1217803151193,186111
-179.48917180512365,186038
-176.85895242276067,186061
-174.23111811382987,186079
-171.6056648325224,186048
-168.9825885414038,186067
-166.36188521139883,186100
-163.7435508217676,186074
-161.1275813600925,186104
-158.5139728222675,186093
-155.9027212124568,186054
-153.29382254310144,186093
-150.68727283489102,186117
-148.08306811674427,186063
-145.48120442579815,186080
-142.88167780737976,186148
-140.28448431499964,186063
-137.68962001033026,186058
-135.09708096318215,186085
-132.50686325150164,186084
-129.9189629613319,186124
-127.33337618681942,186098
-124.7500990301728,186073
-122.16912760167152,186116
-119.59045801962237,186089
-117.01408641036403,186107
-114.44000890823217,186113
-111.86822165555957,186092
-109.29872080263922,186172
-106.73150250773517,186109
-104.16656293703048,186095
-101.60389826464238,186153
-99.04350467258762,186062
-96.4853783507651,186066
-93.92951549695586,186114
-91.37591231678189,186141
-88.82456502370832,186099
-86.27546983902167,186160
-83.72862299181041,186120
-81.18402071895193,186145
-78.641659265093,186125
-76.10153488263674,186095
-73.56364383172102,186126
-71.02798238021188,186082
-68.49454680367319,186155
-65.96333338536667,186133
-63.43433841622149,186087
-60.9075581948235,186084
-58.38298902740647,186098
-55.86062722782179,186104
-53.34046911753196,186121
-50.82251102559538,186083
-48.30674928864472,186078
-45.79318025087816,186082
-43.28180026403347,186096
-40.77260568738361,186142
-38.265592887712884,186066
-35.76075823930394,186089
-33.2580981239226,186125
-30.757608930802665,186076
-28.259287056628565,186118
-25.763128905524535,186098
-23.26913088903076,186103
-20.777289426094672,186085
-18.287600943053643,186121
-15.800061873619784,186096
-13.314668658862601,186219
-10.831417747200321,186146
-8.350305594373875,186088
-5.871328663444725,186130
-3.394483424768845,186075
-0.9197663559815452,186067
1.5528260580025335,186076
4.02329732502411,186070
6.491650945681434,186124
8.957890413351967,186089
11.422019214203226,186117
13.884040827203629,186112
16.343958724152845,186128
18.801776369677462,186103
21.257497221257008,186139
23.711124729236968,186040
26.16266233684177,186056
28.61211348018783,186139
31.059481588305207,186119
33.50477008314412,186021
35.94798237959015,186150
38.38912188548803,186097
40.82819200163954,186121
43.265196121833846,186103
45.70013763285398,186128
48.133019914492046,186064
50.5638463395644,186106
52.99262027392247,186122
55.419345076474464,186094
57.84402409919186,186091
60.26666068712459,186071
62.687258178416215,186081
65.10581990432779,186016
67.522349189227,186039
69.93684935063371,186034
72.34932369920696,186101
74.75977553877316,186111
77.16820816633472,186139
79.57462487208745,186149
81.97902893943356,186065
84.38142364498815,186056
86.78181225860519,186162
89.18019804338411,186095
91.5765842556763,186094
93.97097414511317,186044
96.36337095461286,186072
98.75377792039524,186131
101.14219827198632,186129
103.52863523224644,186028
105.91309201737246,186051
108.29557183691723,186058
110.67607789380044,186075
113.05461338431732,186130
115.43118149816029,186100
117.80578541843202,186045
120.17842832164972,186124
122.54911337776466,186048
124.91784375017302,186133
127.28462259573546,186105
129.64945306477702,186018
132.01233830111318,186066
134.37328144205426,185972
136.73228561842484,186048
139.08935395456598,185999
141.44448956836774,186002
143.79769557125834,186039
146.1489750682302,186048
148.49833115785282,186061
150.84576693228604,186126
153.191285477282,186064
155.5348898722112,186085
157.87658319007124,186068
160.21636849749328,186067
162.55424885475938,186090
164.89022731581764,186108
167.22430692828888,186047
169.55649073348158,186050
171.88678176640724,186101
174.2151830557868,186126
176.541697624068,186047
178.86632848743622,186112
181.1890786558275,186025
183.50995113293294,186076
185.82894891622453,185999
188.14607499695757,186103
190.46133236019,186091
192.77472398478028,186113
195.0862528434221,185982
197.39592190262928,186079
199.7037341227746,186158
202.00969245808562,186017
204.31379985665336,186064
206.61605926045826,186123
208.91647360537667,186140
211.21504582118305,186067
213.51177883157823,186125
215.8066755541849,186095
218.09973890057378,186024
220.39097177626363,186052
222.6803770807406,186060
224.96795770746712,186063
227.25371654389036,186104
229.53765647146196,186085
231.81978036564652,186045
234.10009109591954,186110
236.37859152580424,186067
238.65528451286502,186094
240.93017290871848,186026
243.20325955905915,186097
245.47454730365104,186068
247.74403897635798,186006
250.0117374051392,186080
252.27764541207966,185986
254.54176581337717,186093
256.8041014193705,186173
259.06465503454814,186104
261.32342945755454,186095
263.5804274812056,186106
265.83565189250163,186188
268.08910547262496,186097
270.34079099697277,186118
272.59071123515247,186080
274.83886895099266,186100
277.0852669025671,186070
279.329907842186,186103
281.5727945164261,186093
283.8139296661309,186108
286.0533160264217,186119
288.2909563267167,186194
290.5268532907269,186186
292.76100963648423,186185
294.99342807633514,186154
297.2241113169665,186174
299.45306205941216,186164
301.68028299905075,186165
303.9057768256361,186171
306.1295462232971,186217
308.3515938705466,186181
310.5719224402942,186220
312.79053459986596,186176
315.0074330109955,186205
317.2226203298524,186305
319.4360992070464,186279
321.647872287634,186352
323.85794221113366,186340
326.0663116115363,186342
328.27298311731033,186396
330.477959351416,186464
332.6812429313214,186497
334.8828364690016,186488
337.08274257095246,186535
339.28096383820537,186498
341.47750286633163,186572
343.67236224546207,186514
345.8655445602848,186595
348.05705239006033,186613
350.24688830863477,186665
352.43505488444845,186539
354.62155468054004,186626
356.80639025456856,186679
358.9895641588131,186605
361.1710789401838,186625
363.3509371402349,186630
365.5291412951755,186596
367.70569393587823,186610
369.8805975878858,186529
372.05385477142835,186587
374.2254680014212,186548
376.3954397874845,186503
378.56377263395825,186460
380.7304690398917,186393
382.89553149907334,186430
385.05896250003343,186383
387.2207645260438,186317
389.38094005515256,186259
391.53949156016256,186249
393.6964215086637,186201
395.85173236303524,186295
398.0054265804501,186220
400.1575066128987,186261
402.3079749071803,186239
404.45683390492263,186188
406.60408604259675,186180
408.74973375151086,186168
410.8937794578384,186164
413.03622558260497,186131
415.17707454172097,186175
417.3163287459771,186201
419.4539906010597,186127
421.5900625075442,186135
423.7245468609362,186130
425.85744605165,186096
427.9887624650323,186173
430.11849848136876,186112
432.24665647589256,186139
434.3732388187955,186147
436.4982478752364,186111
438.6216860053477,186157
440.7435555642465,186178
442.86385890204275,186143
444.98259836385284,186157
447.0997762897992,186119
449.2153950150322,186079
451.32945686972334,186124
453.4419641790853,186093
455.55291926338646,186080
457.6623244379385,186060
459.7701820131263,186098
461.87649429440614,186095
463.9812635823205,186061
466.0844921724962,186141
468.18618235567027,186080
470.28633641768135,186071
472.38495663948913,185996
474.4820452971766,186118
476.57760466196953,186049
478.67163700022985,186151
480.76414457347977,186113
482.85512963839284,186100
484.94459444682224,186136
487.0325412457922,186103
489.1189722775217,186122
491.20388977942025,186131
493.2872959840986,186088
495.3691931193884,186197
497.4495834083378,186064
499.5284690692244,186138
501.6058523155619,186149
503.6817353561173,186100
505.7561203949067,186123
507.8290096312125,186106
509.90040525958347,186161
511.9703094698543,186119
514.0387244471499,186018
516.1056523718833,186121
518.1710954197771,186086
520.2350557618681,186143
522.297535564516,186177
524.3585369894051,186088
526.4180621935601,186164
528.4761133293498,186166
530.532692544505,186175
532.5878019821076,186135
534.6414437806184,186145
536.6936200738706,186077
538.7443329910902,186142
540.7935846568927,186090
542.8413771912986,186118
544.8877127097385,186140
546.9325933230668,186112
548.9760211375527,186144
551.0179982549154,186156
553.0585267723011,186144
555.0976087823198,186129
557.1352463730342,186147
559.1714416279709,186189
561.2061966261354,186182
563.2395134420138,186188
565.2713941455825,186172
567.3018408023137,186150
569.3308554731891,186084
571.3584402147017,186151
573.38459707886,186172
575.4093281132104,186150
577.4326353608323,186191
579.4545208603463,186163
581.4749866459327,186252
583.49403474732,186233
