57_polyvinylpyrrolidone_K90_Sigma-Aldrich_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,185755
-358.5672754570978,186005
-355.77025989936726,185972
-352.97591591093277,186146
-350.18423885041375,186168
-347.3952240861159,186160
-344.60886699602463,186114
-341.82516296777254,186144
-339.0441073986201,186234
-336.2656956954402,186097
-333.48992327468994,186154
-330.7167855623894,186165
-327.9462779940995,186054
-325.17839601490897,186141
-322.4131350793979,186152
-319.65049065163294,186120
-316.89045820512644,186091
-314.1330332228362,186108
-311.3782111971333,186094
-308.6259876297756,186102
-305.8763580319037,186119
-303.1293179239997,186109
-300.38486283588077,186112
-297.64298830667076,186170
-294.903689884783,186122
-292.1669631279051,186050
-289.43280360295984,186111
-286.7012068861032,186071
-283.97216856270023,186104
-281.2456842272927,186057
-278.5217494835949,186210
-275.8003599444628,186168
-273.0815112318751,186131
-270.3651989769155,186113
-267.65141881975126,186126
-264.9401664096113,186113
-262.2314374047734,186183
-259.5252274725313,186154
-256.82153228918884,186112
-254.12034754002676,186135
-251.42166891929662,186132
-248.72549213018382,186151
-246.03181288480965,186139
-243.34062690418816,186168
-240.6519299182259,186139
-237.96571766568744,186253
-235.28198589419304,186126
-232.6007303601798,186119
-229.92194682889274,186191
-227.2456310743699,186161
-224.57177887940955,186160
-221.90038603556388,186140
-219.23144834311074,186162
-216.56496161104496,186149
-213.90092165704144,186145
-211.23932430745958,186168
-208.58016539730423,186162
-205.92344077021698,186155
-203.2691462784523,186207
-200.6172777828689,186162
-197.9678311528929,186187
-195.32080226651985,186215
-192.6761870102737,186216
-190.03398127921548,186206
-187.39418097689756,186172
-184.75678201536383,186165
-182.1217803151193,186105
-179.48917180512365,186147
-176.85895242276067,186154
-174.23111811382987,186175
-171.6056648325224,186132
-168.9825885414038,186124
-166.36188521139883,186202
-163.7435508217676,186160
-161.1275813600925,186214
-158.5139728222675,186150
-155.9027212124568,186213
-153.29382254310144,186208
-150.68727283489102,186227
-148.08306811674427,186137
-145.48120442579815,186135
-142.88167780737976,186116
-140.28448431499964,186175
-137.68962001033026,186212
-135.09708096318215,186191
-132.50686325150164,186227
-129.9189629613319,186185
-127.33337618681942,186200
-124.7500990301728,186186
-122.16912760167152,186241
-119.59045801962237,186230
-117.01408641036403,186206
-114.44000890823217,186201
-111.86822165555957,186271
-109.29872080263922,186174
-106.73150250773517,186151
-104.16656293703048,186230
-101.60389826464238,186156
-99.04350467258762,186190
-96.4853783507651,186206
-93.92951549695586,186133
-91.37591231678189,186198
-88.82456502370832,186215
-86.27546983902167,186175
-83.72862299181041,186242
-81.18402071895193,186143
-78.641659265093,186200
-76.10153488263674,186290
-73.56364383172102,186217
-71.02798238021188,186230
-68.49454680367319,186219
-65.96333338536667,186289
-63.43433841622149,186206
-60.9075581948235,186208
-58.38298902740647,186190
-55.86062722782179,186199
-53.34046911753196,186206
-50.82251102559538,186238
-48.30674928864472,186184
-45.79318025087816,186191
-43.28180026403347,186230
-40.77260568738361,186265
-38.265592887712884,186249
-35.76075823930394,186273
-33.2580981239226,186166
-30.757608930802665,186275
-28.259287056628565,186201
-25.763128905524535,186191
-23.26913088903076,186180
-20.777289426094672,186169
-18.287600943053643,186201
-15.800061873619784,186204
-13.314668658862601,186224
-10.831417747200321,186187
-8.350305594373875,186235
-5.871328663444725,186201
-3.394483424768845,186267
-0.9197663559815452,186220
1.5528260580025335,186210
4.02329732502411,186239
6.491650945681434,186220
8.957890413351967,186287
11.422019214203226,186322
13.884040827203629,186188
16.343958724152845,186191
18.801776369677462,186193
21.257497221257008,186236
23.711124729236968,186206
26.16266233684177,186208
28.61211348018783,186179
31.059481588305207,186236
33.50477008314412,186250
35.94798237959015,186233
38.38912188548803,186140
40.82819200163954,186301
43.265196121833846,186219
45.70013763285398,186231
48.133019914492046,186098
50.5638463395644,186215
52.99262027392247,186275
55.419345076474464,186200
57.84402409919186,186242
60.26666068712459,186203
62.687258178416215,186249
65.10581990432779,186253
67.522349189227,186223
69.93684935063371,186281
72.34932369920696,186242
74.75977553877316,186297
77.16820816633472,186285
79.57462487208745,186203
81.97902893943356,186208
84.38142364498815,186244
86.78181225860519,186234
89.18019804338411,186238
91.5765842556763,186137
93.97097414511317,186254
96.36337095461286,186210
98.75377792039524,186195
101.14219827198632,186261
103.52863523224644,186237
105.91309201737246,186251
108.29557183691723,186241
110.67607789380044,186173
113.05461338431732,186144
115.43118149816029,186225
117.80578541843202,186220
120.17842832164972,186268
122.54911337776466,186215
124.91784375017302,186239
127.28462259573546,186263
129.64945306477702,186241
132.01233830111318,186274
134.37328144205426,186226
136.73228561842484,186187
139.08935395456598,186254
141.44448956836774,186216
143.79769557125834,186233
146.1489750682302,186231
148.49833115785282,186205
150.84576693228604,186312
153.191285477282,186290
155.5348898722112,186262
157.87658319007124,186277
160.21636849749328,186226
162.55424885475938,186245
164.89022731581764,186286
167.22430692828888,186289
169.55649073348158,186212
171.88678176640724,186292
174.2151830557868,186218
176.541697624068,186217
178.86632848743622,186247
181.1890786558275,186323
183.50995113293294,186235
185.82894891622453,186229
188.14607499695757,186244
190.46133236019,186214
192.77472398478028,186251
195.0862528434221,186289
197.39592190262928,186212
199.7037341227746,186275
202.00969245808562,186286
204.31379985665336,186288
206.61605926045826,186266
208.91647360537667,186236
211.21504582118305,186271
213.51177883157823,186320
215.8066755541849,186223
218.09973890057378,186236
220.39097177626363,186241
222.6803770807406,186337
224.96795770746712,186277
227.25371654389036,186234
229.53765647146196,186244
231.81978036564652,186250
234.10009109591954,186302
236.37859152580424,186300
238.65528451286502,186235
240.93017290871848,186310
243.20325955905915,186293
245.47454730365104,186268
247.74403897635798,186325
250.0117374051392,186271
252.27764541207966,186310
254.54176581337717,186208
256.8041014193705,186231
259.06465503454814,186305
