59_poly_vinyl_alcohol_87-89pr_hydrolyzed_higher_weight_Aldrich_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,188324
-357.0856406039081,188503
-354.309364219462,188663
-351.5356215502653,188891
-348.7644077355815,188864
-345.9957179299897,188960
-343.22954730333896,188958
-340.4658910406981,189026
-337.70474434230425,189090
-334.9461024235167,188983
-332.189960514772,189008
-329.43631386151816,189029
-326.68515772419585,189034
-323.9364873781599,189043
-321.1902981136469,189112
-318.44658523572315,189258
-315.70534406423707,189257
-312.9665699337777,189400
-310.23025819361436,189294
-307.4964042076552,189303
-304.76500335440596,189241
-302.0360510269139,189264
-299.3095426327198,189376
-296.5854735938233,189243
-293.8638393466223,189358
-291.1446353418695,189507
-288.4278570446336,189588
-285.7134999342402,189507
-283.00155950423783,189625
-280.29203126234745,189641
-277.5849107304064,189645
-274.8801934443403,189717
-272.17787495410414,189736
-269.47795082363916,189653
-266.7804166308339,189840
-264.0852679674653,189939
-261.39250043917104,189887
-258.7021096653883,189831
-256.01409127931714,189924
-253.32844092787508,189890
-250.6451542716513,189914
-247.96422698485912,189960
-245.2856547552969,189976
-242.60943328430034,190145
-239.93555828669696,190140
-237.2640254907671,190107
-234.59483063819394,190123
-231.9279694840224,190210
-229.26343779661792,190165
-226.6012313576187,190269
-223.94134596189028,190282
-221.28377741748852,190383
-218.6285215456164,190409
-215.97557418057178,190423
-213.32493116971293,190435
-210.67658837341284,190474
-208.03054166502022,190504
-205.38678693080317,190563
-202.74532006992743,190581
-200.1061369944,190564
-197.46923362902587,190501
-194.83460591137322,190656
-192.20224979173008,190678
-189.57216123305452,190666
-186.94433621094632,190758
-184.31877071358858,190805
-181.6954607417238,190811
-179.07440230859746,190755
-176.4555914399255,190835
-173.83902417384897,190879
-171.22469656089683,190869
-168.61260466393855,190956
-166.00274455814923,190858
-163.39511233096636,190905
-160.78970408205063,190943
-158.1865159232406,191078
-155.5855439785178,191071
-152.9867843839657,190999
-150.39023328772186,191106
-147.79588684995204,191153
-145.20374124279587,191067
-142.61379265033662,191199
-140.02603726855122,191236
-137.44047130528642,191231
-134.85709098020465,191178
-132.2758925247471,191153
-129.69687218210768,191286
-127.12002620716804,191206
-124.54535086648235,191351
-121.97284243822956,191348
-119.4024972121701,191318
-116.83431148961547,191321
-114.26828158338274,191535
-111.70440381775333,191476
-109.14267452844916,191343
-106.58309006257842,191368
-104.0256467786031,191447
-101.47034104630426,191444
-98.91716924673426,191438
-96.36612777218873,191515
-93.81721302616957,191540
-91.2704214233351,191547
-88.72574938947191,191524
-86.18319336145801,191522
-83.64274978721505,191617
-81.10441512568885,191633
-78.56818584679087,191682
-76.03405843137865,191643
-73.50202937120818,191606
-70.97209516889694,191672
-68.44425233790228,191705
-65.91849740245851,191653
-63.39482689756392,191740
-60.87323736892434,191726
-58.353725372944574,191767
-55.836287476650206,191869
-53.320920257696365,191781
-50.80762030429831,191793
-48.296384215211916,191781
-45.787208599690295,191795
-43.28009007745345,191790
-40.775025278644904,191940
-38.272010843805674,191791
-35.77104342382875,191917
-33.27211967993522,191926
-30.775236283622256,191867
-28.280389916643564,191856
-25.787577270966043,191822
-23.29679504873509,191892
-20.808039962242045,191935
-18.321308733889545,191849
-15.836598096148103,191929
-13.353904791536635,191955
-10.87322557257256,191906
-8.39455720174579,191971
-5.917896451481871,192065
-3.4432401041072787,192008
-0.9705849518147278,192054
1.5000722033671823,192058
3.968734549617339,192015
6.4354052653481375,192058
8.900087519238005,192015
11.362784470272599,192011
13.823499267777342,191994
16.282235051447767,192083
18.738994951382047,192109
21.19378208811787,192078
23.64659957266712,192088
26.097450506548398,192077
28.5463379818174,192106
30.99326508110376,192134
33.438234877637086,192095
35.88125043529466,192079
38.322314808616596,192035
40.76143104285793,192120
43.198602173999404,192124
45.63383122880172,192135
48.06712122482288,192143
50.49847517045718,192166
52.927896064967804,192117
55.355386898519285,192096
57.78095065220789,192203
60.20459029809416,192145
62.6263087992354,192214
65.0461091097226,192217
67.46399417470201,192268
69.87996693042084,192234
72.29403030424011,192228
74.70618721468463,192283
77.11644057147113,192254
79.52479327553216,192290
81.93124821905072,192271
84.33580828549718,192280
86.73847634965313,192314
89.13925527764604,192359
91.53814792698398,192254
93.93515714657946,192266
96.33028577678846,192361
98.72353664942997,192453
101.11491258783367,192337
103.5044164068551,192336
105.89205091291257,192354
108.27781890401963,192352
110.6617231698176,192288
113.04376649159519,192401
115.42395164232953,192436
117.80228138671445,192356
120.17875848118875,192380
122.55338567396852,192412
124.92616570506905,192479
127.29710130635453,192451
129.66619520154467,192455
132.03345010626015,192524
134.39886872804433,192439
136.7624537664024,192418
139.1242079128185,192512
141.4841338507949,192560
143.84223425588024,192471
146.19851179569756,192517
148.5529691299661,192446
150.90560891054895,192419
153.25643378146393,192545
155.60544637892477,192542
157.9526493313628,192551
160.29804525946167,192596
162.64163677617893,192552
164.98342648678735,192548
167.32341698889007,192541
169.66161087245743,192612
171.998010719853,192616
174.3326191058661,192635
176.66543859773356,192522
178.9964717551721,192622
181.32572113041317,192613
183.65318926821155,192495
185.97887870589955,192637
188.3027919733979,192599
190.62493159324603,192548
192.9453000806369,192751
195.2638999434364,192730
197.58073368222233,192772
199.89580379029545,192790
202.20911275372916,192784
204.5206630513761,192844
206.8304571549136,192873
209.13849752885469,192890
211.4447866305891,192997
213.74932691040505,193039
216.05212081151748,193079
218.3531707700961,193120
220.65247921528942,193022
222.95004856925493,193161
225.24588124718525,193180
227.5399796573406,193144
229.83234620106404,193282
232.12298327281817,193388
234.41189326021353,193407
236.69907854402365,193380
238.98454149822194,193424
241.26828449001422,193405
243.5503098798409,193528
245.83062002143333,193384
248.10921726182033,193465
250.38610394136506,193450
252.66128239378017,193404
254.93475494617118,193410
257.2065239190408,193487
259.47659162633886,193404
261.7449603754731,193554
264.01163246733523,193551
266.27661019633547,193461
268.53989585042024,193450
270.80149171110213,193518
273.0614000534927,193408
275.31962314630886,193385
277.57616325191833,193429
279.8310226263573,193416
282.0842035193517,193323
284.33570817435435,193360
286.5855388285558,193321
288.83369771292524,193363
291.0801870522196,193219
293.3250090650288,193278
295.56816596377786,193300
297.80965995476834,193356
300.0494932382,193275
302.28766800819653,193321
304.5241864528276,193292
306.75905075413027,193310
308.992263088146,193245
311.2238256249315,193244
313.4537405285976,193270
315.6820099573204,193286
317.9086360633756,193240
320.1336209931603,193211
322.35696688721504,193287
324.5786758802492,193312
326.7987501011697,193247
329.01719167310233,193233
331.2340027134138,193191
333.4491853337375,193236
335.6627416400016,193336
337.8746737324489,193322
340.0849837056625,193272
342.2936736485879,193303
344.5007456445606,193337
346.7062017713262,193359
348.9100441010683,193385
351.1122747004323,193299
353.31289563053866,193346
355.5119089470259,193419
357.70931670005757,193390
359.90512093435,193474
362.0993236892029,193362
364.29192699851666,193417
366.4829328908141,193453
368.67234338927057,193518
370.86016051172953,193506
373.04638627073257,193444
375.2310226735368,193482
377.4140717221477,193396
379.5955354133295,193500
381.7754157386358,193517
383.95371468443125,193502
386.1304342319175,193563
388.30557635715064,193456
390.4791430310692,193512
392.6511362195117,193488
394.82155788324485,193467
396.99040997798284,193547
399.1576944544091,193458
401.3234132582027,193524
403.4875683300637,193541
405.65016160572014,193541
407.81119501597135,193642
409.9706704866987,193632
412.12858993888494,193578
414.28495528864505,193622
416.43976844724745,193648
418.5930313211294,193634
420.7447458119272,193621
422.8949138164917,193727
425.04353722691394,193601
427.19061793054703,193672
429.33615781003,193641
431.4801587433051,193686
433.6226226036417,193626
435.7635512596599,193786
437.9029465753528,193741
440.0408104101011,193803
442.1771446187078,193719
444.31195105140534,193685
446.4452315538895,193741
448.57698796733297,193705
450.70722212840883,193603
452.8359358693147,193727
454.9631310177922,193829
457.0888093971483,193737
459.2129728262732,193712
461.3356231196724,193698
463.4567620874757,193909
465.576391535463,193918
467.69451326508823,193902
469.81112907349893,193860
471.9262407535535,193914
474.039850093845,193982
476.15195887872966,193908
478.26256888832853,194024
480.37168189856914,193972
482.4792996811983,193932
484.58542400379525,194052
486.690056629806,194112
488.7931993185525,194016
490.89485382526044,193989
492.99502190107904,193999
495.0937052930959,194065
497.19090574436774,194030
499.28662499392885,194064
501.38086477681924,194129
503.4736268241108,194037
505.56491286290725,194033
507.6547246163853,194186
509.74306380381205,194000
511.829932140545,194133
513.9153313380817,194210
515.9992631040625,194071
518.0817291422892,194199
520.1627311527518,194121
522.2422708316479,194210
524.3203498713997,194223
526.39696996068,194160
528.4721327844175,194249
530.5458400238364,194267
532.61809335646,194382
534.6888944561425,194312
536.7582449930779,194241
538.826146633828,194308
540.8926010413355,194224
542.9576098749545,194272
545.0211747904526,194198
547.0832974400477,194390
549.1439794724166,194344
551.2032225327189,194231
553.2610282626168,194319
555.3173983002899,194359
557.3723342804592,194351
559.4258378344044,194306
561.4779105899879,194417
563.528554171661,194468
565.5777702005013,194480
567.625560294212,194543
569.6719260671616,194472
571.7168691303834,194434
573.7603910916105,194460
575.8024935552842,194524
577.8431781225759,194541
579.882446391409,194453
581.9202999564712,194483
583.9567404092435,194591
585.9917693380062,194576
588.0253883278714,194598
590.0575989607856,194546
592.0884028155684,194561
594.117801467908,194599
596.1457964904007,194637
598.1723894525571,194642
600.1975819208195,194599
602.2213754585944,194736
604.2437716262524,194738
606.2647719811591,194742
608.2843780776939,194929
610.3025914672525,194793
612.3194136982879,194873
614.3348463163154,194910
616.3488908639248,194901
618.3615488808175,194946
620.3728219038069,194880
622.3827114668459,194993
624.3912191010404,194945
626.3983463346734,195041
628.4040946932107,195179
630.4084656993361,195174
632.4114608729516,195283
634.4130817312138,195099
636.4133297885296,195297
638.4122065565957,195279
640.4097135444005,195346
642.405852258254,195441
644.4006242017886,195609
646.394030876002,195602
648.3860737792509,195699
650.3767544072787,195948
652.3660742532335,196081
654.354034807683,196264
656.3406375586404,196486
658.3258839915626,196764
660.3097755893908,197191
662.2923138325511,197725
664.273500198976,198328
666.2533361641321,199062
668.2318232010165,200023
670.2089627801935,200854
672.1847563698029,201560
674.1592054355797,201887
676.1323114408651,202094
678.1040758466324,202034
680.0745001115001,201945
682.0435856917488,201797
684.0113340413371,201556
685.9777466119185,201344
687.9428248528652,201004
689.9065702112729,200862
691.8689841319859,200505
693.8300680576136,200311
695.7898234285445,199889
697.7482516829664,199687
699.7053542568766,199440
701.6611325841066,199139
703.6155880963323,198940
705.568722223094,198814
707.5205363918152,198608
709.4710320278119,198433
711.4202105543144,198360
713.3680733924881,198175
715.3146219614345,198139
717.2598576782275,198018
719.2037819579136,197890
721.14639621354,197808
723.087701856159,197822
725.027700294856,197677
726.9663929367607,197483
728.903781187062,197586
730.8398664490211,197566
732.7746501239997,197324
734.7081336114641,197336
736.6403183090052,197253
738.5712056123579,197344
740.5007969154133,197263
742.4290936102309,197276
744.3560970870657,197219
746.2818087343774,197373
748.2062299388388,197485
750.1293620853708,197635
752.0512065571378,197884
753.9717647355782,197958
755.891038000413,198097
757.8090277296631,198359
759.7257352996646,198529
761.641162085084,198579
763.5553094589376,198604
765.4681787926045,198723
767.3797714558397,198711
769.2900888167957,198738
771.1991322420291,198926
773.1069030965268,198926
775.0134027437161,198997
776.9186325454745,198855
778.8225938621546,198912
780.7252880525999,198985
782.6267164741494,199073
784.5268804826627,199084
786.4257814325318,198976
788.323420676698,198970
790.2197995666603,198909
792.1149194525063,198999
794.0087816829077,198947
795.9013876051528,198755
797.7927385651482,198804
799.6828359074434,198675
801.5716809752394,198585
803.4592751104074,198666
805.345619653505,198656
807.2307159437843,198538
809.1145653192199,198451
810.9971691165076,198514
812.8785286710895,198465
814.7586453171717,198307
816.6375203877267,198254
818.5151552145211,198286
820.3915511281203,198244
822.2667094579147,198277
824.140631532121,198292
826.0133186778115,198184
827.8847722209092,198066
829.7549934862267,198134
831.6239837974598,198180
833.4917444772138,198027
835.3582768470162,198061
837.22358222733,198095
839.0876619375617,197975
840.9505172960949,198080
842.8121496202784,197959
844.672560226464,197954
846.53175043001,198024
848.3897215452903,197911
850.2464748857248,197836
852.1020117637792,197920
853.9563334909848,197970
855.8094413779532,197846
857.6613367343878,197823
859.5120208691048,197808
861.3614950900381,197794
863.2097607042627,197761
865.0568190179996,197728
866.9026713366344,197803
868.7473189647379,197683
870.5907632060653,197646
872.4330053635869,197672
874.2740467394859,197760
876.1138886351888,197753
877.9525323513652,197680
879.7899791879496,197658
881.6262304441567,197585
883.4612874184834,197576
885.2951514087414,197618
887.1278237120549,197675
888.9593056248804,197589
890.7895984430216,197513
892.6187034616448,197511
894.4466219752874,197508
896.2733552778752,197518
898.0989046627313,197551
899.9232714226,197508
901.7464568496507,197538
903.5684622354912,197543
905.3892888711938,197390
907.2089380472931,197607
909.0274110538074,197479
910.8447091802567,197572
912.6608337156595,197593
914.4757859485707,197610
916.2895671670766,197683
918.1021786588104,197762
919.9136217109697,197774
921.7238976103373,197841
923.5330076432782,197932
925.34095309576,197870
927.1477352533735,197822
928.9533554013383,197995
930.7578148245142,197838
932.5611148074229,197966
934.3632566342495,197792
936.1642415888675,197833
937.9640709548465,197761
939.7627460154654,197725
941.5602680537235,197659
943.3566383523599,197699
945.151858193858,197838
946.9459288604688,197618
948.7388516342095,197613
950.5306277968975,197728
952.3212586301402,197790
954.1107454153668,197781
955.8990894338289,197757
957.6862919666177,197739
959.472354294681,197691
961.2572776988284,197731
963.0410634597496,197729
964.8237128580283,197759
966.6052271741464,197791
968.3856076885054,197676
970.1648556814397,197744
971.9429724332228,197802
973.719959224083,197730
975.4958173342179,197655
977.2705480438058,197727
979.0441526330183,197751
980.8166323820294,197751
982.5879885710367,197811
984.3582224802662,197933
986.1273353899852,197837
987.8953285805234,197770
989.6622033322739,197904
991.4279609257097,197991
993.1926026414037,197946
994.9561297600308,197985
996.7185435623828,197942
998.4798453293881,198007
1000.2400363421098,197910
1001.9991178817799,197904
1003.7570912297821,197897
1005.5139576676955,198038
1007.2697184772815,198230
1009.0243749405113,198143
1010.7779283395711,198227
1012.5303799568834,198399
1014.2817310750986,198499
1016.0319829771378,198662
1017.7811369461759,198730
1019.5291942656698,199250
1021.2761562193692,199677
1023.0220240913228,200280
1024.7667991658961,200918
1026.510482727782,201116
1028.2530760620089,201171
1029.9945804539598,200776
1031.734997189379,200372
1033.4743275543863,200225
1035.2125728354872,199976
1036.9497343195862,199716
1038.685813294,199730
1040.420811046468,199793
1042.154728865159,199829
1043.8875680386998,199878
1045.6193298561604,199801
1047.3500156070936,199762
1049.0796265815306,199746
1050.8081640699932,199778
1052.5356293635077,199869
1054.2620237536282,199857
1055.9873485324222,199819
1057.7116049925141,199691
1059.4347944270673,199889
1061.1569181298185,199851
1062.8779773950796,199882
1064.5979735177395,199941
1066.3169077933005,199946
1068.0347815178677,200080
1069.7515959881684,200200
1071.4673525015658,200414
1073.1820523560707,200540
1074.8956968503471,200651
1076.6082872837248,200959
1078.3198249562226,201105
