5_D-glutamic_acid_Sigma_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187426
-358.5672754570978,187590
-355.77025989936726,187791
-352.97591591093277,187875
-350.18423885041375,187915
-347.3952240861159,187940
-344.60886699602463,187984
-341.82516296777254,187994
-339.0441073986201,187981
-336.2656956954402,187933
-333.48992327468994,187864
-330.7167855623894,187882
-327.9462779940995,187863
-325.17839601490897,187928
-322.4131350793979,187942
-319.65049065163294,188023
-316.89045820512644,188014
-314.1330332228362,188017
-311.3782111971333,187991
-308.6259876297756,187998
-305.8763580319037,188011
-303.1293179239997,187949
-300.38486283588077,187944
-297.64298830667076,188017
-294.903689884783,188017
-292.1669631279051,187967
-289.43280360295984,188054
-286.7012068861032,188114
-283.97216856270023,188084
-281.2456842272927,188151
-278.5217494835949,188117
-275.8003599444628,188183
-273.0815112318751,188193
-270.3651989769155,188156
-267.65141881975126,188261
-264.9401664096113,188233
-262.2314374047734,188217
-259.5252274725313,188267
-256.82153228918884,188307
-254.12034754002676,188249
-251.42166891929662,188244
-248.72549213018382,188271
-246.03181288480965,188345
-243.34062690418816,188333
-240.6519299182259,188283
-237.96571766568744,188323
-235.28198589419304,188338
-232.6007303601798,188297
-229.92194682889274,188414
-227.2456310743699,188344
-224.57177887940955,188423
-221.90038603556388,188417
-219.23144834311074,188425
-216.56496161104496,188461
-213.90092165704144,188510
-211.23932430745958,188454
-208.58016539730423,188489
-205.92344077021698,188497
-203.2691462784523,188530
-200.6172777828689,188510
-197.9678311528929,188575
-195.32080226651985,188503
-192.6761870102737,188599
-190.03398127921548,188564
-187.39418097689756,188489
-184.75678201536383,188594
-182.1217803151193,188649
-179.48917180512365,188592
-176.85895242276067,188634
-174.23111811382987,188629
-171.6056648325224,188678
-168.9825885414038,188713
-166.36188521139883,188708
-163.7435508217676,188702
-161.1275813600925,188611
-158.5139728222675,188685
-155.9027212124568,188674
-153.29382254310144,188717
-150.68727283489102,188666
-148.08306811674427,188714
-145.48120442579815,188685
-142.88167780737976,188764
-140.28448431499964,188711
-137.68962001033026,188811
-135.09708096318215,188788
-132.50686325150164,188804
-129.9189629613319,188780
-127.33337618681942,188786
-124.7500990301728,188801
-122.16912760167152,188830
-119.59045801962237,188826
-117.01408641036403,188763
-114.44000890823217,188843
-111.86822165555957,188806
-109.29872080263922,188871
-106.73150250773517,188798
-104.16656293703048,188872
-101.60389826464238,188954
-99.04350467258762,188931
-96.4853783507651,188913
-93.92951549695586,188915
-91.37591231678189,188922
-88.82456502370832,188920
-86.27546983902167,188935
-83.72862299181041,188943
-81.18402071895193,188858
-78.641659265093,188971
-76.10153488263674,188907
-73.56364383172102,188931
-71.02798238021188,188923
-68.49454680367319,188909
-65.96333338536667,189032
-63.43433841622149,189051
-60.9075581948235,188916
-58.38298902740647,188982
-55.86062722782179,188947
-53.34046911753196,189019
-50.82251102559538,188952
-48.30674928864472,188966
-45.79318025087816,189003
-43.28180026403347,189020
-40.77260568738361,188988
-38.265592887712884,188971
-35.76075823930394,189024
-33.2580981239226,188966
-30.757608930802665,189032
-28.259287056628565,189015
-25.763128905524535,189103
-23.26913088903076,189043
-20.777289426094672,189026
-18.287600943053643,189065
-15.800061873619784,189072
-13.314668658862601,189078
-10.831417747200321,189067
-8.350305594373875,189083
-5.871328663444725,189000
-3.394483424768845,189116
-0.9197663559815452,189054
1.5528260580025335,189039
4.02329732502411,189124
6.491650945681434,189038
8.957890413351967,189038
11.422019214203226,189108
13.884040827203629,189098
16.343958724152845,189088
18.801776369677462,189141
21.257497221257008,189027
23.711124729236968,189112
26.16266233684177,189157
28.61211348018783,189075
31.059481588305207,189123
33.50477008314412,189053
35.94798237959015,189093
38.38912188548803,189127
40.82819200163954,189153
43.265196121833846,189170
45.70013763285398,189165
48.133019914492046,189179
50.5638463395644,189190
52.99262027392247,189186
55.419345076474464,189046
57.84402409919186,189179
60.26666068712459,189081
62.687258178416215,189147
65.10581990432779,189155
67.522349189227,189222
69.93684935063371,189179
72.34932369920696,189222
74.75977553877316,189177
77.16820816633472,189130
79.57462487208745,189132
81.97902893943356,189220
84.38142364498815,189188
86.78181225860519,189135
89.18019804338411,189170
91.5765842556763,189213
93.97097414511317,189147
96.36337095461286,189183
98.75377792039524,189176
101.14219827198632,189111
103.52863523224644,189177
105.91309201737246,189127
108.29557183691723,189218
110.67607789380044,189229
113.05461338431732,189136
115.43118149816029,189213
117.80578541843202,189185
120.17842832164972,189125
122.54911337776466,189272
124.91784375017302,189232
127.28462259573546,189247
129.64945306477702,189247
132.01233830111318,189171
134.37328144205426,189130
136.73228561842484,189246
139.08935395456598,189318
141.44448956836774,189172
143.79769557125834,189106
146.1489750682302,189205
148.49833115785282,189163
150.84576693228604,189180
153.191285477282,189180
155.5348898722112,189206
157.87658319007124,189262
160.21636849749328,189287
162.55424885475938,189189
164.89022731581764,189251
167.22430692828888,189303
169.55649073348158,189257
171.88678176640724,189210
174.2151830557868,189197
176.541697624068,189233
178.86632848743622,189236
181.1890786558275,189249
183.50995113293294,189243
185.82894891622453,189226
188.14607499695757,189245
190.46133236019,189213
192.77472398478028,189212
195.0862528434221,189271
197.39592190262928,189265
199.7037341227746,189266
202.00969245808562,189246
204.31379985665336,189278
206.61605926045826,189266
208.91647360537667,189324
211.21504582118305,189316
213.51177883157823,189376
215.8066755541849,189415
218.09973890057378,189276
220.39097177626363,189300
222.6803770807406,189206
