61_poly_vinyl_alcohol_99pr_hydrolyzed_Aldrich_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,188094
-357.0856406039081,188325
-354.309364219462,188430
-351.5356215502653,188628
-348.7644077355815,188779
-345.9957179299897,188856
-343.22954730333896,188723
-340.4658910406981,188760
-337.70474434230425,188702
-334.9461024235167,188757
-332.189960514772,188829
-329.43631386151816,188761
-326.68515772419585,188747
-323.9364873781599,188864
-321.1902981136469,189044
-318.44658523572315,189020
-315.70534406423707,189031
-312.9665699337777,189077
-310.23025819361436,189082
-307.4964042076552,189124
-304.76500335440596,189063
-302.0360510269139,189008
-299.3095426327198,189036
-296.5854735938233,189084
-293.8638393466223,189264
-291.1446353418695,189171
-288.4278570446336,189306
-285.7134999342402,189297
-283.00155950423783,189346
-280.29203126234745,189453
-277.5849107304064,189472
-274.8801934443403,189399
-272.17787495410414,189439
-269.47795082363916,189536
-266.7804166308339,189613
-264.0852679674653,189612
-261.39250043917104,189597
-258.7021096653883,189711
-256.01409127931714,189664
-253.32844092787508,189683
-250.6451542716513,189770
-247.96422698485912,189746
-245.2856547552969,189823
-242.60943328430034,189832
-239.93555828669696,189790
-237.2640254907671,189865
-234.59483063819394,189909
-231.9279694840224,189837
-229.26343779661792,189921
-226.6012313576187,190004
-223.94134596189028,190068
-221.28377741748852,190053
-218.6285215456164,190077
-215.97557418057178,190147
-213.32493116971293,190050
-210.67658837341284,190155
-208.03054166502022,190232
-205.38678693080317,190238
-202.74532006992743,190228
-200.1061369944,190337
-197.46923362902587,190299
-194.83460591137322,190367
-192.20224979173008,190466
-189.57216123305452,190364
-186.94433621094632,190462
-184.31877071358858,190488
-181.6954607417238,190532
-179.07440230859746,190571
-176.4555914399255,190597
-173.83902417384897,190538
-171.22469656089683,190567
-168.61260466393855,190645
-166.00274455814923,190602
-163.39511233096636,190696
-160.78970408205063,190673
-158.1865159232406,190793
-155.5855439785178,190730
-152.9867843839657,190742
-150.39023328772186,190765
-147.79588684995204,190912
-145.20374124279587,190756
-142.61379265033662,190914
-140.02603726855122,190889
-137.44047130528642,191007
-134.85709098020465,190886
-132.2758925247471,190955
-129.69687218210768,190965
-127.12002620716804,190929
-124.54535086648235,191033
-121.97284243822956,190956
-119.4024972121701,191045
-116.83431148961547,191021
-114.26828158338274,191236
-111.70440381775333,191139
-109.14267452844916,191102
-106.58309006257842,191188
-104.0256467786031,191169
-101.47034104630426,191248
-98.91716924673426,191231
-96.36612777218873,191209
-93.81721302616957,191268
-91.2704214233351,191324
-88.72574938947191,191311
-86.18319336145801,191242
-83.64274978721505,191269
-81.10441512568885,191395
-78.56818584679087,191358
-76.03405843137865,191285
-73.50202937120818,191385
-70.97209516889694,191423
-68.44425233790228,191464
-65.91849740245851,191443
-63.39482689756392,191453
-60.87323736892434,191451
-58.353725372944574,191524
-55.836287476650206,191428
-53.320920257696365,191529
-50.80762030429831,191576
-48.296384215211916,191543
-45.787208599690295,191542
-43.28009007745345,191637
-40.775025278644904,191536
-38.272010843805674,191580
-35.77104342382875,191540
-33.27211967993522,191557
-30.775236283622256,191653
-28.280389916643564,191638
-25.787577270966043,191529
-23.29679504873509,191707
-20.808039962242045,191640
-18.321308733889545,191709
-15.836598096148103,191695
-13.353904791536635,191703
-10.87322557257256,191693
-8.39455720174579,191746
-5.917896451481871,191690
-3.4432401041072787,191843
-0.9705849518147278,191752
1.5000722033671823,191738
3.968734549617339,191743
6.4354052653481375,191642
8.900087519238005,191764
11.362784470272599,191704
13.823499267777342,191845
16.282235051447767,191864
18.738994951382047,191664
21.19378208811787,191826
23.64659957266712,191798
26.097450506548398,191858
28.5463379818174,191882
30.99326508110376,191760
33.438234877637086,191901
35.88125043529466,191850
38.322314808616596,191809
40.76143104285793,191912
43.198602173999404,191972
45.63383122880172,191860
48.06712122482288,191943
50.49847517045718,191938
52.927896064967804,191950
55.355386898519285,191943
57.78095065220789,191858
60.20459029809416,191956
62.6263087992354,191872
65.0461091097226,192064
67.46399417470201,192027
69.87996693042084,191984
72.29403030424011,191958
74.70618721468463,192085
77.11644057147113,192049
79.52479327553216,192032
81.93124821905072,192116
84.33580828549718,192100
86.73847634965313,192110
89.13925527764604,192054
91.53814792698398,192026
93.93515714657946,192092
96.33028577678846,192088
98.72353664942997,192154
101.11491258783367,192064
103.5044164068551,192079
105.89205091291257,192050
108.27781890401963,192163
110.6617231698176,192052
113.04376649159519,192083
115.42395164232953,192180
117.80228138671445,192200
120.17875848118875,192199
122.55338567396852,192148
124.92616570506905,192222
127.29710130635453,192274
129.66619520154467,192109
132.03345010626015,192240
134.39886872804433,192334
136.7624537664024,192120
139.1242079128185,192197
141.4841338507949,192300
143.84223425588024,192224
146.19851179569756,192309
148.5529691299661,192310
150.90560891054895,192208
153.25643378146393,192340
155.60544637892477,192254
157.9526493313628,192379
160.29804525946167,192319
162.64163677617893,192391
164.98342648678735,192359
167.32341698889007,192349
169.66161087245743,192333
171.998010719853,192322
174.3326191058661,192387
176.66543859773356,192331
178.9964717551721,192332
181.32572113041317,192341
183.65318926821155,192383
185.97887870589955,192462
188.3027919733979,192423
190.62493159324603,192366
192.9453000806369,192494
195.2638999434364,192431
197.58073368222233,192548
199.89580379029545,192540
202.20911275372916,192477
204.5206630513761,192554
206.8304571549136,192582
209.13849752885469,192636
211.4447866305891,192660
213.74932691040505,192684
216.05212081151748,192642
218.3531707700961,192687
220.65247921528942,192521
222.95004856925493,192542
225.24588124718525,192620
227.5399796573406,192543
229.83234620106404,192566
232.12298327281817,192628
234.41189326021353,192563
236.69907854402365,192594
238.98454149822194,192593
241.26828449001422,192705
243.5503098798409,192651
245.83062002143333,192651
248.10921726182033,192689
250.38610394136506,192720
252.66128239378017,192672
254.93475494617118,192805
257.2065239190408,192881
259.47659162633886,192808
261.7449603754731,192719
264.01163246733523,192865
266.27661019633547,192887
268.53989585042024,192774
270.80149171110213,192784
273.0614000534927,192931
275.31962314630886,192872
277.57616325191833,192732
279.8310226263573,192929
282.0842035193517,192869
284.33570817435435,192905
286.5855388285558,192880
288.83369771292524,192864
291.0801870522196,192974
293.3250090650288,192926
295.56816596377786,192782
297.80965995476834,192959
300.0494932382,192945
302.28766800819653,192922
304.5241864528276,193004
