62_polycaprolactone_Polysciences_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187330
-358.5672754570978,187515
-355.77025989936726,187610
-352.97591591093277,187710
-350.18423885041375,187710
-347.3952240861159,187819
-344.60886699602463,187761
-341.82516296777254,187780
-339.0441073986201,187752
-336.2656956954402,187785
-333.48992327468994,187642
-330.7167855623894,187746
-327.9462779940995,187766
-325.17839601490897,187711
-322.4131350793979,187665
-319.65049065163294,187643
-316.89045820512644,187680
-314.1330332228362,187649
-311.3782111971333,187722
-308.6259876297756,187665
-305.8763580319037,187737
-303.1293179239997,187700
-300.38486283588077,187714
-297.64298830667076,187715
-294.903689884783,187747
-292.1669631279051,187666
-289.43280360295984,187768
-286.7012068861032,187686
-283.97216856270023,187702
-281.2456842272927,187685
-278.5217494835949,187672
-275.8003599444628,187666
-273.0815112318751,187658
-270.3651989769155,187724
-267.65141881975126,187766
-264.9401664096113,187685
-262.2314374047734,187760
-259.5252274725313,187758
-256.82153228918884,187733
-254.12034754002676,187691
-251.42166891929662,187736
-248.72549213018382,187697
-246.03181288480965,187670
-243.34062690418816,187701
-240.6519299182259,187678
-237.96571766568744,187666
-235.28198589419304,187807
-232.6007303601798,187716
-229.92194682889274,187685
-227.2456310743699,187734
-224.57177887940955,187774
-221.90038603556388,187685
-219.23144834311074,187681
-216.56496161104496,187737
-213.90092165704144,187666
-211.23932430745958,187769
-208.58016539730423,187766
-205.92344077021698,187766
-203.2691462784523,187651
-200.6172777828689,187713
-197.9678311528929,187788
-195.32080226651985,187755
-192.6761870102737,187797
-190.03398127921548,187827
-187.39418097689756,187776
-184.75678201536383,187786
-182.1217803151193,187819
-179.48917180512365,187766
-176.85895242276067,187741
-174.23111811382987,187809
-171.6056648325224,187836
-168.9825885414038,187785
-166.36188521139883,187786
-163.7435508217676,187796
-161.1275813600925,187757
-158.5139728222675,187711
-155.9027212124568,187813
-153.29382254310144,187731
-150.68727283489102,187773
-148.08306811674427,187771
-145.48120442579815,187781
-142.88167780737976,187776
-140.28448431499964,187723
-137.68962001033026,187817
-135.09708096318215,187811
-132.50686325150164,187732
-129.9189629613319,187807
-127.33337618681942,187763
-124.7500990301728,187830
-122.16912760167152,187823
-119.59045801962237,187821
-117.01408641036403,187763
-114.44000890823217,187733
-111.86822165555957,187798
-109.29872080263922,187810
-106.73150250773517,187759
-104.16656293703048,187802
-101.60389826464238,187761
-99.04350467258762,187785
-96.4853783507651,187752
-93.92951549695586,187807
-91.37591231678189,187797
-88.82456502370832,187824
-86.27546983902167,187835
-83.72862299181041,187811
-81.18402071895193,187758
-78.641659265093,187805
-76.10153488263674,187730
-73.56364383172102,187815
-71.02798238021188,187801
-68.49454680367319,187788
-65.96333338536667,187772
-63.43433841622149,187756
-60.9075581948235,187769
-58.38298902740647,187781
-55.86062722782179,187772
-53.34046911753196,187757
-50.82251102559538,187801
-48.30674928864472,187804
-45.79318025087816,187803
-43.28180026403347,187797
-40.77260568738361,187749
-38.265592887712884,187762
-35.76075823930394,187833
-33.2580981239226,187750
-30.757608930802665,187742
-28.259287056628565,187775
-25.763128905524535,187779
-23.26913088903076,187759
-20.777289426094672,187830
-18.287600943053643,187806
-15.800061873619784,187767
-13.314668658862601,187784
-10.831417747200321,187772
-8.350305594373875,187793
-5.871328663444725,187826
-3.394483424768845,187834
-0.9197663559815452,187745
1.5528260580025335,187845
4.02329732502411,187763
6.491650945681434,187791
8.957890413351967,187751
11.422019214203226,187805
13.884040827203629,187819
16.343958724152845,187790
18.801776369677462,187817
21.257497221257008,187791
23.711124729236968,187809
26.16266233684177,187817
28.61211348018783,187794
31.059481588305207,187747
33.50477008314412,187751
35.94798237959015,187853
38.38912188548803,187815
40.82819200163954,187816
43.265196121833846,187773
45.70013763285398,187855
48.133019914492046,187768
50.5638463395644,187853
52.99262027392247,187717
55.419345076474464,187771
57.84402409919186,187758
60.26666068712459,187779
62.687258178416215,187890
65.10581990432779,187829
67.522349189227,187824
69.93684935063371,187736
72.34932369920696,187797
74.75977553877316,187793
77.16820816633472,187913
79.57462487208745,187830
81.97902893943356,187810
84.38142364498815,187791
86.78181225860519,187842
89.18019804338411,187785
91.5765842556763,187829
93.97097414511317,187706
96.36337095461286,187805
98.75377792039524,187810
101.14219827198632,187793
103.52863523224644,187806
105.91309201737246,187837
108.29557183691723,187729
110.67607789380044,187879
113.05461338431732,187835
115.43118149816029,187871
117.80578541843202,187819
120.17842832164972,187776
122.54911337776466,187710
124.91784375017302,187819
127.28462259573546,187789
129.64945306477702,187843
132.01233830111318,187839
134.37328144205426,187814
136.73228561842484,187795
139.08935395456598,187853
141.44448956836774,187803
143.79769557125834,187785
146.1489750682302,187861
148.49833115785282,187823
150.84576693228604,187785
153.191285477282,187888
155.5348898722112,187868
157.87658319007124,187788
160.21636849749328,187872
162.55424885475938,187808
164.89022731581764,187851
167.22430692828888,187921
169.55649073348158,187828
171.88678176640724,187840
174.2151830557868,187795
176.541697624068,187899
178.86632848743622,187880
181.1890786558275,187804
183.50995113293294,187887
185.82894891622453,187915
188.14607499695757,187862
190.46133236019,187899
192.77472398478028,187810
195.0862528434221,187829
197.39592190262928,187884
199.7037341227746,187932
202.00969245808562,187969
204.31379985665336,187929
206.61605926045826,187926
208.91647360537667,187945
211.21504582118305,188012
213.51177883157823,187998
215.8066755541849,188050
218.09973890057378,188078
220.39097177626363,188145
222.6803770807406,188272
224.96795770746712,188221
227.25371654389036,188334
229.53765647146196,188447
231.81978036564652,188504
234.10009109591954,188588
236.37859152580424,188671
238.65528451286502,188885
240.93017290871848,188980
243.20325955905915,189217
245.47454730365104,189518
247.74403897635798,189910
250.0117374051392,190263
252.27764541207966,190623
254.54176581337717,191088
256.8041014193705,191191
259.06465503454814,191012
261.32342945755454,190514
263.5804274812056,189736
265.83565189250163,189040
268.08910547262496,188653
270.34079099697277,188496
272.59071123515247,188281
274.83886895099266,188193
277.0852669025671,188172
279.329907842186,188095
281.5727945164261,188020
283.8139296661309,188035
286.0533160264217,188104
288.2909563267167,188008
290.5268532907269,188092
292.76100963648423,187968
294.99342807633514,188025
297.2241113169665,188045
299.45306205941216,188045
301.68028299905075,188005
303.9057768256361,188063
306.1295462232971,187952
308.3515938705466,188020
310.5719224402942,188014
312.79053459986596,188015
315.0074330109955,187980
317.2226203298524,188055
319.4360992070464,188058
321.647872287634,188103
323.85794221113366,187962
326.0663116115363,187948
328.27298311731033,187919
330.477959351416,187906
332.6812429313214,187911
334.8828364690016,187956
337.08274257095246,187979
339.28096383820537,187923
341.47750286633163,187948
343.67236224546207,187950
345.8655445602848,187998
348.05705239006033,187892
350.24688830863477,187942
352.43505488444845,187895
354.62155468054004,187901
356.80639025456856,187933
358.9895641588131,187863
361.1710789401838,187856
363.3509371402349,187942
365.5291412951755,187817
367.70569393587823,187937
369.8805975878858,187941
372.05385477142835,187940
374.2254680014212,187904
376.3954397874845,187922
378.56377263395825,187877
380.7304690398917,187930
382.89553149907334,187949
385.05896250003343,187887
387.2207645260438,187914
389.38094005515256,187891
391.53949156016256,187855
393.6964215086637,187928
395.85173236303524,187823
398.0054265804501,187966
400.1575066128987,187845
402.3079749071803,187959
404.45683390492263,187897
406.60408604259675,187933
408.74973375151086,187858
410.8937794578384,187929
413.03622558260497,187931
415.17707454172097,187920
417.3163287459771,187961
419.4539906010597,187915
421.5900625075442,187939
423.7245468609362,187932
425.85744605165,187981
427.9887624650323,187947
430.11849848136876,188012
432.24665647589256,187891
434.3732388187955,187973
436.4982478752364,187975
438.6216860053477,187920
440.7435555642465,187943
442.86385890204275,188017
444.98259836385284,187942
447.0997762897992,187924
449.2153950150322,187933
451.32945686972334,187980
453.4419641790853,187994
455.55291926338646,187998
457.6623244379385,187975
459.7701820131263,187955
461.87649429440614,188012
463.9812635823205,187955
466.0844921724962,188054
468.18618235567027,187965
470.28633641768135,188008
472.38495663948913,188067
474.4820452971766,187930
476.57760466196953,187960
478.67163700022985,187993
480.76414457347977,188019
482.85512963839284,188033
484.94459444682224,188036
487.0325412457922,188001
489.1189722775217,188018
491.20388977942025,188090
493.2872959840986,188060
495.3691931193884,188100
497.4495834083378,188056
499.5284690692244,188095
501.6058523155619,188087
503.6817353561173,188081
505.7561203949067,188010
507.8290096312125,188052
509.90040525958347,188062
511.9703094698543,188087
514.0387244471499,188049
516.1056523718833,188091
518.1710954197771,188038
520.2350557618681,188155
522.297535564516,188160
524.3585369894051,188163
526.4180621935601,188138
528.4761133293498,188211
530.532692544505,188193
532.5878019821076,188204
534.6414437806184,188206
536.6936200738706,188180
538.7443329910902,188238
540.7935846568927,188255
542.8413771912986,188265
544.8877127097385,188243
546.9325933230668,188286
548.9760211375527,188224
551.0179982549154,188198
553.0585267723011,188254
555.0976087823198,188247
557.1352463730342,188117
559.1714416279709,188102
561.2061966261354,188173
563.2395134420138,188200
565.2713941455825,188138
567.3018408023137,188121
569.3308554731891,188189
571.3584402147017,188191
573.38459707886,188144
575.4093281132104,188183
577.4326353608323,188157
579.4545208603463,188138
581.4749866459327,188205
583.49403474732,188163
585.5116671898151,188265
587.5278859942948,188273
589.5426931772172,188247
591.5560907506315,188216
593.5680807221872,188241
595.5786650951346,188261
597.5878458683434,188314
599.5956250362945,188240
601.602004589104,188391
603.6069865125183,188421
605.6105727879346,188477
607.6127653923888,188447
609.6135662985803,188486
611.612977474878,188566
613.6110008853166,188678
615.607638489613,188744
617.6028922431692,188959
619.5967640970873,189124
621.5892559981651,189428
623.5803698889132,189838
625.5701077075557,190256
627.5584713880469,190410
629.5454628600628,190544
631.5310840490249,190575
633.5153368760984,190762
635.4982232581962,190820
637.4797451080003,190766
639.4599043339517,190695
641.4387028402715,190638
643.4161425269567,190699
645.3922252897958,190762
647.3669530203722,190837
649.3403276060737,190685
651.312350930099,190558
653.2830248714528,190358
