63_polycaprolactone_Aldrich_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187388
-358.5672754570978,187591
-355.77025989936726,187779
-352.97591591093277,187805
-350.18423885041375,187870
-347.3952240861159,187844
-344.60886699602463,187872
-341.82516296777254,187860
-339.0441073986201,187872
-336.2656956954402,187863
-333.48992327468994,187809
-330.7167855623894,187841
-327.9462779940995,187827
-325.17839601490897,187885
-322.4131350793979,187758
-319.65049065163294,187836
-316.89045820512644,187802
-314.1330332228362,187794
-311.3782111971333,187871
-308.6259876297756,187833
-305.8763580319037,187842
-303.1293179239997,187843
-300.38486283588077,187866
-297.64298830667076,187789
-294.903689884783,187811
-292.1669631279051,187868
-289.43280360295984,187804
-286.7012068861032,187850
-283.97216856270023,187844
-281.2456842272927,187872
-278.5217494835949,187793
-275.8003599444628,187851
-273.0815112318751,187865
-270.3651989769155,187801
-267.65141881975126,187828
-264.9401664096113,187854
-262.2314374047734,187806
-259.5252274725313,187880
-256.82153228918884,187879
-254.12034754002676,187854
-251.42166891929662,187872
-248.72549213018382,187866
-246.03181288480965,187913
-243.34062690418816,187897
-240.6519299182259,187844
-237.96571766568744,187886
-235.28198589419304,187904
-232.6007303601798,187927
-229.92194682889274,187934
-227.2456310743699,187915
-224.57177887940955,187845
-221.90038603556388,187946
-219.23144834311074,187855
-216.56496161104496,187899
-213.90092165704144,187900
-211.23932430745958,187921
-208.58016539730423,187882
-205.92344077021698,187897
-203.2691462784523,187868
-200.6172777828689,187888
-197.9678311528929,187904
-195.32080226651985,187927
-192.6761870102737,187920
-190.03398127921548,187915
-187.39418097689756,187925
-184.75678201536383,187990
-182.1217803151193,187937
-179.48917180512365,187895
-176.85895242276067,187900
-174.23111811382987,187870
-171.6056648325224,187905
-168.9825885414038,187997
-166.36188521139883,187932
-163.7435508217676,187895
-161.1275813600925,187908
-158.5139728222675,187899
-155.9027212124568,187954
-153.29382254310144,187928
-150.68727283489102,188024
-148.08306811674427,187956
-145.48120442579815,187972
-142.88167780737976,187905
-140.28448431499964,187933
-137.68962001033026,187977
-135.09708096318215,187945
-132.50686325150164,187955
-129.9189629613319,187978
-127.33337618681942,187934
-124.7500990301728,187941
-122.16912760167152,187947
-119.59045801962237,187908
-117.01408641036403,187988
-114.44000890823217,187959
-111.86822165555957,187954
-109.29872080263922,187944
-106.73150250773517,187880
-104.16656293703048,187998
-101.60389826464238,187964
-99.04350467258762,188011
-96.4853783507651,187950
-93.92951549695586,188009
-91.37591231678189,188023
-88.82456502370832,188010
-86.27546983902167,188025
-83.72862299181041,188000
-81.18402071895193,188041
-78.641659265093,187970
-76.10153488263674,187989
-73.56364383172102,188023
-71.02798238021188,187989
-68.49454680367319,187996
-65.96333338536667,187997
-63.43433841622149,187981
