64_polyethylene_glycol_400_BDH_LF-785.SPE
cm^-1,Intensity
-361.3669672352304,187610
-358.5672754570978,187775
-355.77025989936726,187790
-352.97591591093277,187968
-350.18423885041375,188001
-347.3952240861159,187972
-344.60886699602463,187923
-341.82516296777254,187969
-339.0441073986201,188017
-336.2656956954402,188042
-333.48992327468994,188004
-330.7167855623894,188057
-327.9462779940995,187981
-325.17839601490897,187944
-322.4131350793979,188006
-319.65049065163294,188002
-316.89045820512644,187968
-314.1330332228362,187992
-311.3782111971333,187933
-308.6259876297756,187914
-305.8763580319037,187969
-303.1293179239997,188015
-300.38486283588077,187967
-297.64298830667076,187948
-294.903689884783,188082
-292.1669631279051,187984
-289.43280360295984,187984
-286.7012068861032,188024
-283.97216856270023,188002
-281.2456842272927,188024
-278.5217494835949,188007
-275.8003599444628,187947
-273.0815112318751,188011
-270.3651989769155,188006
-267.65141881975126,188033
-264.9401664096113,188038
-262.2314374047734,188100
-259.5252274725313,188084
-256.82153228918884,188045
-254.12034754002676,188051
-251.42166891929662,188096
-248.72549213018382,188102
-246.03181288480965,188028
-243.34062690418816,188047
-240.6519299182259,188035
-237.96571766568744,188149
-235.28198589419304,188107
-232.6007303601798,188137
-229.92194682889274,188147
-227.2456310743699,188180
-224.57177887940955,188149
-221.90038603556388,188156
-219.23144834311074,188247
-216.56496161104496,188119
-213.90092165704144,188102
-211.23932430745958,188183
-208.58016539730423,188176
-205.92344077021698,188167
-203.2691462784523,188207
-200.6172777828689,188154
-197.9678311528929,188237
-195.32080226651985,188229
-192.6761870102737,188221
-190.03398127921548,188219
-187.39418097689756,188212
-184.75678201536383,188211
-182.1217803151193,188244
-179.48917180512365,188231
-176.85895242276067,188273
-174.23111811382987,188273
-171.6056648325224,188245
-168.9825885414038,188272
-166.36188521139883,188294
-163.7435508217676,188286
-161.1275813600925,188323
-158.5139728222675,188328
-155.9027212124568,188323
-153.29382254310144,188366
-150.68727283489102,188419
-148.08306811674427,188447
-145.48120442579815,188411
-142.88167780737976,188377
-140.28448431499964,188397
-137.68962001033026,188412
-135.09708096318215,188477
-132.50686325150164,188454
-129.9189629613319,188357
-127.33337618681942,188476
-124.7500990301728,188435
-122.16912760167152,188413
-119.59045801962237,188518
-117.01408641036403,188492
-114.44000890823217,188484
-111.86822165555957,188495
-109.29872080263922,188539
-106.73150250773517,188509
-104.16656293703048,188506
-101.60389826464238,188522
-99.04350467258762,188533
-96.4853783507651,188590
-93.92951549695586,188641
-91.37591231678189,188610
-88.82456502370832,188608
-86.27546983902167,188553
-83.72862299181041,188664
-81.18402071895193,188674
-78.641659265093,188641
-76.10153488263674,188655
-73.56364383172102,188649
-71.02798238021188,188669
-68.49454680367319,188658
-65.96333338536667,188673
-63.43433841622149,188727
-60.9075581948235,188706
-58.38298902740647,188740
-55.86062722782179,188725
-53.34046911753196,188661
-50.82251102559538,188692
-48.30674928864472,188795
-45.79318025087816,188781
-43.28180026403347,188799
-40.77260568738361,188797
-38.265592887712884,188775
-35.76075823930394,188757
-33.2580981239226,188728
-30.757608930802665,188869
-28.259287056628565,188798
-25.763128905524535,188830
-23.26913088903076,188778
-20.777289426094672,188810
-18.287600943053643,188744
-15.800061873619784,188841
-13.314668658862601,188854
-10.831417747200321,188796
-8.350305594373875,188859
-5.871328663444725,188913
-3.394483424768845,188925
-0.9197663559815452,188908
1.5528260580025335,188931
4.02329732502411,188884
6.491650945681434,188883
8.957890413351967,188887
11.422019214203226,188887
13.884040827203629,188852
16.343958724152845,188801
18.801776369677462,188910
21.257497221257008,188845
23.711124729236968,188907
26.16266233684177,188945
28.61211348018783,188896
31.059481588305207,188913
33.50477008314412,188935
35.94798237959015,188941
38.38912188548803,188878
40.82819200163954,188951
43.265196121833846,188923
45.70013763285398,188925
48.133019914492046,188964
50.5638463395644,188933
52.99262027392247,188923
55.419345076474464,188904
57.84402409919186,189058
60.26666068712459,189066
62.687258178416215,189076
65.10581990432779,188999
67.522349189227,189108
69.93684935063371,189055
72.34932369920696,188994
74.75977553877316,188953
77.16820816633472,189047
79.57462487208745,189031
81.97902893943356,189042
84.38142364498815,189019
86.78181225860519,189064
89.18019804338411,189016
91.5765842556763,189010
93.97097414511317,188994
96.36337095461286,189036
98.75377792039524,189097
101.14219827198632,188958
103.52863523224644,189029
105.91309201737246,189047
108.29557183691723,189008
110.67607789380044,189076
113.05461338431732,189032
115.43118149816029,189039
117.80578541843202,189047
120.17842832164972,189129
122.54911337776466,189004
124.91784375017302,189113
127.28462259573546,189113
129.64945306477702,189079
132.01233830111318,189092
134.37328144205426,189113
136.73228561842484,189079
139.08935395456598,189109
141.44448956836774,189135
143.79769557125834,189004
146.1489750682302,189092
148.49833115785282,189142
150.84576693228604,189117
153.191285477282,189105
155.5348898722112,189127
157.87658319007124,189134
160.21636849749328,189153
162.55424885475938,189126
164.89022731581764,189136
167.22430692828888,189106
169.55649073348158,189149
171.88678176640724,189155
174.2151830557868,189188
176.541697624068,189132
178.86632848743622,189153
181.1890786558275,189054
183.50995113293294,189166
185.82894891622453,189173
188.14607499695757,189189
190.46133236019,189178
192.77472398478028,189268
195.0862528434221,189193
197.39592190262928,189219
199.7037341227746,189286
202.00969245808562,189221
204.31379985665336,189234
206.61605926045826,189197
208.91647360537667,189127
211.21504582118305,189210
213.51177883157823,189146
215.8066755541849,189220
218.09973890057378,189195
220.39097177626363,189301
222.6803770807406,189233
224.96795770746712,189249
227.25371654389036,189291
229.53765647146196,189227
231.81978036564652,189290
234.10009109591954,189345
236.37859152580424,189315
238.65528451286502,189320
240.93017290871848,189255
243.20325955905915,189296
245.47454730365104,189316
247.74403897635798,189337
250.0117374051392,189312
252.27764541207966,189350
254.54176581337717,189353
256.8041014193705,189363
259.06465503454814,189235
261.32342945755454,189294
263.5804274812056,189373
265.83565189250163,189345
268.08910547262496,189427
270.34079099697277,189361
272.59071123515247,189363
274.83886895099266,189421
277.0852669025671,189429
279.329907842186,189404
281.5727945164261,189388
283.8139296661309,189372
286.0533160264217,189364
288.2909563267167,189442
290.5268532907269,189442
292.76100963648423,189498
294.99342807633514,189461
297.2241113169665,189520
299.45306205941216,189471
301.68028299905075,189548
303.9057768256361,189506
306.1295462232971,189546
308.3515938705466,189564
310.5719224402942,189616
312.79053459986596,189513
315.0074330109955,189633
317.2226203298524,189646
319.4360992070464,189644
321.647872287634,189685
323.85794221113366,189588
326.0663116115363,189600
328.27298311731033,189568
330.477959351416,189552
332.6812429313214,189600
334.8828364690016,189659
337.08274257095246,189626
339.28096383820537,189598
341.47750286633163,189649
343.67236224546207,189757
345.8655445602848,189734
348.05705239006033,189759
350.24688830863477,189674
352.43505488444845,189820
354.62155468054004,189756
356.80639025456856,189758
358.9895641588131,189694
361.1710789401838,189752
363.3509371402349,189785
365.5291412951755,189738
367.70569393587823,189857
369.8805975878858,189809
372.05385477142835,189846
374.2254680014212,189804
376.3954397874845,189840
378.56377263395825,189825
380.7304690398917,189933
382.89553149907334,189762
385.05896250003343,189862
387.2207645260438,189842
389.38094005515256,189928
391.53949156016256,189907
393.6964215086637,189988
395.85173236303524,189981
398.0054265804501,189869
400.1575066128987,189935
402.3079749071803,189956
404.45683390492263,189971
406.60408604259675,189986
408.74973375151086,190110
410.8937794578384,190009
413.03622558260497,190047
415.17707454172097,190056
417.3163287459771,190042
419.4539906010597,190014
421.5900625075442,190057
423.7245468609362,190099
425.85744605165,190096
