66_polyethylene_oxide_lower_weight_Aldrich_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,188944
-357.0856406039081,189086
-354.309364219462,189294
-351.5356215502653,189399
-348.7644077355815,189537
-345.9957179299897,189618
-343.22954730333896,189627
-340.4658910406981,189685
-337.70474434230425,189604
-334.9461024235167,189547
-332.189960514772,189631
-329.43631386151816,189673
-326.68515772419585,189666
-323.9364873781599,189682
-321.1902981136469,189739
-318.44658523572315,189943
-315.70534406423707,189917
-312.9665699337777,189889
-310.23025819361436,190043
-307.4964042076552,190026
-304.76500335440596,190036
-302.0360510269139,190014
-299.3095426327198,189915
-296.5854735938233,189997
-293.8638393466223,190138
-291.1446353418695,190114
-288.4278570446336,190199
-285.7134999342402,190332
-283.00155950423783,190371
-280.29203126234745,190424
-277.5849107304064,190442
-274.8801934443403,190407
-272.17787495410414,190446
-269.47795082363916,190486
-266.7804166308339,190670
-264.0852679674653,190704
-261.39250043917104,190765
-258.7021096653883,190785
-256.01409127931714,190773
-253.32844092787508,190713
-250.6451542716513,190708
-247.96422698485912,190882
-245.2856547552969,190830
-242.60943328430034,190866
-239.93555828669696,191083
-237.2640254907671,190953
-234.59483063819394,191116
-231.9279694840224,191013
-229.26343779661792,191130
-226.6012313576187,191068
-223.94134596189028,191260
-221.28377741748852,191228
-218.6285215456164,191358
-215.97557418057178,191318
-213.32493116971293,191274
-210.67658837341284,191323
-208.03054166502022,191390
-205.38678693080317,191464
-202.74532006992743,191460
-200.1061369944,191633
-197.46923362902587,191609
-194.83460591137322,191581
-192.20224979173008,191656
-189.57216123305452,191759
-186.94433621094632,191648
-184.31877071358858,191733
-181.6954607417238,191729
-179.07440230859746,191813
-176.4555914399255,191769
-173.83902417384897,191802
-171.22469656089683,191744
-168.61260466393855,191921
-166.00274455814923,191987
-163.39511233096636,191981
-160.78970408205063,192035
-158.1865159232406,192013
-155.5855439785178,192012
-152.9867843839657,192083
-150.39023328772186,192223
-147.79588684995204,192194
-145.20374124279587,192248
-142.61379265033662,192220
-140.02603726855122,192193
-137.44047130528642,192305
-134.85709098020465,192277
-132.2758925247471,192328
-129.69687218210768,192402
-127.12002620716804,192400
-124.54535086648235,192400
-121.97284243822956,192509
-119.4024972121701,192423
-116.83431148961547,192496
-114.26828158338274,192547
-111.70440381775333,192570
-109.14267452844916,192525
-106.58309006257842,192627
-104.0256467786031,192640
-101.47034104630426,192712
-98.91716924673426,192731
-96.36612777218873,192623
-93.81721302616957,192651
-91.2704214233351,192725
-88.72574938947191,192666
-86.18319336145801,192801
-83.64274978721505,192742
-81.10441512568885,192902
-78.56818584679087,192797
-76.03405843137865,192811
-73.50202937120818,192906
-70.97209516889694,192911
-68.44425233790228,192869
-65.91849740245851,192891
-63.39482689756392,192872
-60.87323736892434,192889
-58.353725372944574,192951
-55.836287476650206,193063
-53.320920257696365,193018
-50.80762030429831,193057
-48.296384215211916,193003
-45.787208599690295,192968
-43.28009007745345,192954
-40.775025278644904,193073
-38.272010843805674,193105
-35.77104342382875,193176
-33.27211967993522,193151
-30.775236283622256,193121
-28.280389916643564,193122
-25.787577270966043,193004
-23.29679504873509,193087
-20.808039962242045,193236
-18.321308733889545,193283
-15.836598096148103,193166
-13.353904791536635,193272
-10.87322557257256,193262
-8.39455720174579,193210
-5.917896451481871,193169
-3.4432401041072787,193249
-0.9705849518147278,193252
1.5000722033671823,193347
3.968734549617339,193235
6.4354052653481375,193325
8.900087519238005,193281
11.362784470272599,193423
13.823499267777342,193339
16.282235051447767,193351
18.738994951382047,193350
21.19378208811787,193455
23.64659957266712,193363
26.097450506548398,193439
28.5463379818174,193485
30.99326508110376,193431
33.438234877637086,193350
35.88125043529466,193557
38.322314808616596,193432
40.76143104285793,193407
43.198602173999404,193485
45.63383122880172,193493
48.06712122482288,193353
50.49847517045718,193550
52.927896064967804,193611
55.355386898519285,193547
57.78095065220789,193573
60.20459029809416,193538
62.6263087992354,193548
65.0461091097226,193544
67.46399417470201,193620
69.87996693042084,193691
72.29403030424011,193639
74.70618721468463,193714
77.11644057147113,193686
79.52479327553216,193589
81.93124821905072,193668
84.33580828549718,193712
86.73847634965313,193722
89.13925527764604,193781
91.53814792698398,193612
93.93515714657946,193776
96.33028577678846,193681
98.72353664942997,193769
101.11491258783367,193739
103.5044164068551,193827
105.89205091291257,193810
108.27781890401963,193731
110.6617231698176,193837
113.04376649159519,193869
115.42395164232953,193770
117.80228138671445,193790
120.17875848118875,193716
122.55338567396852,193854
124.92616570506905,193841
127.29710130635453,193967
129.66619520154467,193886
132.03345010626015,193854
134.39886872804433,193917
136.7624537664024,193908
139.1242079128185,193958
141.4841338507949,193951
143.84223425588024,193920
146.19851179569756,193890
148.5529691299661,193944
150.90560891054895,194017
153.25643378146393,194026
155.60544637892477,194020
157.9526493313628,194015
160.29804525946167,194080
162.64163677617893,193961
164.98342648678735,194070
167.32341698889007,194023
169.66161087245743,194035
171.998010719853,194040
174.3326191058661,193994
176.66543859773356,194009
178.9964717551721,193989
181.32572113041317,193974
183.65318926821155,194134
185.97887870589955,194136
188.3027919733979,194120
190.62493159324603,194155
192.9453000806369,194205
195.2638999434364,194206
197.58073368222233,194201
199.89580379029545,194169
202.20911275372916,194263
204.5206630513761,194246
206.8304571549136,194352
209.13849752885469,194327
211.4447866305891,194449
213.74932691040505,194423
216.05212081151748,194431
218.3531707700961,194319
220.65247921528942,194297
222.95004856925493,194263
225.24588124718525,194311
227.5399796573406,194317
229.83234620106404,194150
232.12298327281817,194310
234.41189326021353,194422
236.69907854402365,194386
238.98454149822194,194354
241.26828449001422,194403
243.5503098798409,194420
245.83062002143333,194477
248.10921726182033,194361
250.38610394136506,194505
252.66128239378017,194347
254.93475494617118,194501
257.2065239190408,194455
259.47659162633886,194405
261.7449603754731,194490
264.01163246733523,194550
266.27661019633547,194600
268.53989585042024,194557
270.80149171110213,194520
273.0614000534927,194515
275.31962314630886,194565
277.57616325191833,194540
279.8310226263573,194579
282.0842035193517,194613
284.33570817435435,194555
286.5855388285558,194621
288.83369771292524,194553
291.0801870522196,194642
293.3250090650288,194797
295.56816596377786,194684
297.80965995476834,194736
300.0494932382,194737
302.28766800819653,194722
304.5241864528276,194869
306.75905075413027,194892
308.992263088146,194852
311.2238256249315,194777
313.4537405285976,194861
315.6820099573204,194865
317.9086360633756,194965
320.1336209931603,194952
322.35696688721504,194947
324.5786758802492,194875
326.7987501011697,194991
329.01719167310233,194952
331.2340027134138,194863
333.4491853337375,195037
335.6627416400016,195029
337.8746737324489,194993
340.0849837056625,195001
342.2936736485879,195119
344.5007456445606,195071
346.7062017713262,195144
348.9100441010683,195202
351.1122747004323,195031
353.31289563053866,195012
355.5119089470259,195137
357.70931670005757,195206
359.90512093435,195245
362.0993236892029,195305
364.29192699851666,195266
366.4829328908141,195246
368.67234338927057,195298
370.86016051172953,195301
373.04638627073257,195258
375.2310226735368,195294
377.4140717221477,195330
379.5955354133295,195217
381.7754157386358,195204
383.95371468443125,195326
386.1304342319175,195273
388.30557635715064,195229
390.4791430310692,195224
392.6511362195117,195174
394.82155788324485,195208
396.99040997798284,195395
399.1576944544091,195259
401.3234132582027,195352
403.4875683300637,195323
405.65016160572014,195322
407.81119501597135,195469
409.9706704866987,195354
412.12858993888494,195354
414.28495528864505,195376
416.43976844724745,195349
418.5930313211294,195423
420.7447458119272,195506
422.8949138164917,195515
425.04353722691394,195427
427.19061793054703,195468
429.33615781003,195557
431.4801587433051,195467
433.6226226036417,195536
435.7635512596599,195556
437.9029465753528,195514
440.0408104101011,195592
442.1771446187078,195496
444.31195105140534,195624
446.4452315538895,195658
448.57698796733297,195514
450.70722212840883,195562
452.8359358693147,195533
454.9631310177922,195665
457.0888093971483,195668
459.2129728262732,195684
461.3356231196724,195713
463.4567620874757,195562
465.576391535463,195716
467.69451326508823,195813
469.81112907349893,195804
471.9262407535535,195761
474.039850093845,195691
476.15195887872966,195853
478.26256888832853,195830
480.37168189856914,195940
482.4792996811983,195943
484.58542400379525,195995
486.690056629806,195992
488.7931993185525,195972
490.89485382526044,195974
492.99502190107904,195981
495.0937052930959,195968
497.19090574436774,196002
499.28662499392885,195967
501.38086477681924,196041
503.4736268241108,196004
505.56491286290725,196082
507.6547246163853,195980
509.74306380381205,196048
511.829932140545,196052
513.9153313380817,196247
515.9992631040625,196138
518.0817291422892,196119
520.1627311527518,196200
522.2422708316479,196293
524.3203498713997,196276
526.39696996068,196328
528.4721327844175,196314
530.5458400238364,196330
532.61809335646,196389
534.6888944561425,196376
536.7582449930779,196429
538.826146633828,196418
540.8926010413355,196421
542.9576098749545,196510
545.0211747904526,196378
547.0832974400477,196505
549.1439794724166,196540
551.2032225327189,196478
553.2610282626168,196538
555.3173983002899,196612
557.3723342804592,196552
559.4258378344044,196703
561.4779105899879,196711
563.528554171661,196766
565.5777702005013,196795
567.625560294212,196778
569.6719260671616,196979
571.7168691303834,196870
573.7603910916105,196823
575.8024935552842,196873
577.8431781225759,197055
579.882446391409,197142
581.9202999564712,197074
583.9567404092435,197224
585.9917693380062,197155
588.0253883278714,197297
590.0575989607856,197324
592.0884028155684,197459
594.117801467908,197680
596.1457964904007,197791
598.1723894525571,198028
600.1975819208195,198189
602.2213754585944,198631
604.2437716262524,199111
606.2647719811591,199710
608.2843780776939,200681
610.3025914672525,201670
612.3194136982879,203592
614.3348463163154,206432
616.3488908639248,210368
618.3615488808175,214855
620.3728219038069,217978
622.3827114668459,218593
624.3912191010404,218206
626.3983463346734,218615
628.4040946932107,218954
630.4084656993361,219062
632.4114608729516,218051
634.4130817312138,216013
636.4133297885296,213715
638.4122065565957,212382
640.4097135444005,212489
642.405852258254,212834
644.4006242017886,211731
646.394030876002,208949
648.3860737792509,205780
650.3767544072787,203502
652.3660742532335,202133
654.354034807683,201297
656.3406375586404,200971
658.3258839915626,200682
660.3097755893908,200845
662.2923138325511,201240
664.273500198976,201450
666.2533361641321,201780
668.2318232010165,202351
670.2089627801935,202730
672.1847563698029,203132
674.1592054355797,203424
676.1323114408651,203271
678.1040758466324,203058
680.0745001115001,202406
682.0435856917488,201516
684.0113340413371,200737
685.9777466119185,200148
687.9428248528652,199703
689.9065702112729,199424
691.8689841319859,199152
693.8300680576136,198912
695.7898234285445,198654
697.7482516829664,198622
699.7053542568766,198497
701.6611325841066,198298
703.6155880963323,198271
705.568722223094,198305
707.5205363918152,198327
709.4710320278119,198312
711.4202105543144,198350
713.3680733924881,198479
715.3146219614345,198410
717.2598576782275,198358
719.2037819579136,198320
721.14639621354,198212
723.087701856159,198255
725.027700294856,198373
726.9663929367607,198430
728.903781187062,198661
730.8398664490211,198918
732.7746501239997,199233
734.7081336114641,200120
736.6403183090052,201494
738.5712056123579,202850
740.5007969154133,203191
742.4290936102309,202154
744.3560970870657,200617
746.2818087343774,199396
748.2062299388388,199036
750.1293620853708,198635
752.0512065571378,198525
753.9717647355782,198356
755.891038000413,198414
757.8090277296631,198276
759.7257352996646,198307
761.641162085084,198461
763.5553094589376,198419
765.4681787926045,198736
767.3797714558397,198636
769.2900888167957,198666
771.1991322420291,198676
773.1069030965268,198661
775.0134027437161,198664
776.9186325454745,198990
778.8225938621546,199504
780.7252880525999,200095
782.6267164741494,200305
784.5268804826627,199893
786.4257814325318,199363
788.323420676698,198838
790.2197995666603,198697
792.1149194525063,198551
794.0087816829077,198482
795.9013876051528,198608
797.7927385651482,198566
799.6828359074434,198556
801.5716809752394,198467
803.4592751104074,198489
805.345619653505,198452
807.2307159437843,198294
809.1145653192199,198393
810.9971691165076,198317
812.8785286710895,198454
814.7586453171717,198410
816.6375203877267,198503
818.5151552145211,198632
820.3915511281203,198552
822.2667094579147,198633
824.140631532121,198643
826.0133186778115,198639
827.8847722209092,198631
829.7549934862267,198727
831.6239837974598,198863
833.4917444772138,198771
835.3582768470162,198977
837.22358222733,199224
839.0876619375617,199281
840.9505172960949,199485
842.8121496202784,199539
844.672560226464,199891
846.53175043001,200042
848.3897215452903,200431
850.2464748857248,200333
852.1020117637792,200977
853.9563334909848,201234
855.8094413779532,201686
857.6613367343878,202212
859.5120208691048,202717
861.3614950900381,203483
863.2097607042627,204488
865.0568190179996,205836
866.9026713366344,207808
868.7473189647379,210204
870.5907632060653,213168
872.4330053635869,216863
874.2740467394859,220585
876.1138886351888,224063
877.9525323513652,226590
879.7899791879496,227818
881.6262304441567,227827
883.4612874184834,226434
885.2951514087414,222580
887.1278237120549,217287
888.9593056248804,211937
890.7895984430216,207823
892.6187034616448,205354
894.4466219752874,203603
896.2733552778752,202579
898.0989046627313,201901
899.9232714226,201384
901.7464568496507,201104
903.5684622354912,200850
905.3892888711938,200656
907.2089380472931,200559
909.0274110538074,200420
910.8447091802567,200498
912.6608337156595,200525
914.4757859485707,200625
916.2895671670766,200979
918.1021786588104,201445
919.9136217109697,202329
921.7238976103373,203557
923.5330076432782,205593
925.34095309576,207640
927.1477352533735,210049
928.9533554013383,211348
930.7578148245142,211712
932.5611148074229,211765
934.3632566342495,212337
936.1642415888675,213400
937.9640709548465,212025
939.7627460154654,208040
941.5602680537235,204199
943.3566383523599,202151
945.151858193858,201166
946.9459288604688,200633
948.7388516342095,200315
950.5306277968975,200194
952.3212586301402,200126
954.1107454153668,199952
955.8990894338289,200005
957.6862919666177,199912
959.472354294681,199880
961.2572776988284,199741
963.0410634597496,199646
964.8237128580283,199694
966.6052271741464,199553
968.3856076885054,199544
970.1648556814397,199556
971.9429724332228,199697
973.719959224083,199588
975.4958173342179,199567
977.2705480438058,199497
979.0441526330183,199537
980.8166323820294,199513
982.5879885710367,199629
984.3582224802662,199594
986.1273353899852,199686
987.8953285805234,199530
989.6622033322739,199718
991.4279609257097,199639
993.1926026414037,199869
994.9561297600308,199833
996.7185435623828,199890
998.4798453293881,199879
1000.2400363421098,200093
1001.9991178817799,200105
1003.7570912297821,200058
1005.5139576676955,200342
1007.2697184772815,200431
1009.0243749405113,200578
1010.7779283395711,200967
1012.5303799568834,201180
1014.2817310750986,201427
1016.0319829771378,202198
1017.7811369461759,202891
1019.5291942656698,203993
1021.2761562193692,205701
1023.0220240913228,207732
1024.7667991658961,210275
1026.510482727782,212878
1028.2530760620089,215204
1029.9945804539598,216888
1031.734997189379,218829
1033.4743275543863,219471
1035.2125728354872,218154
1036.9497343195862,214766
1038.685813294,211179
1040.420811046468,208656
1042.154728865159,207521
1043.8875680386998,207521
1045.6193298561604,208860
1047.3500156070936,210710
1049.0796265815306,212192
1050.8081640699932,211674
1052.5356293635077,209767
1054.2620237536282,207721
1055.9873485324222,206016
1057.7116049925141,204817
1059.4347944270673,203952
1061.1569181298185,203343
1062.8779773950796,203070
1064.5979735177395,202556
1066.3169077933005,202596
1068.0347815178677,202235
1069.7515959881684,201811
1071.4673525015658,201642
1073.1820523560707,201465
1074.8956968503471,201269
1076.6082872837248,201180
1078.3198249562226,201192
1080.030311168545,201196
1081.7397472220966,201068
1083.4481344190024,201133
1085.1554740621086,201216
1086.8617674550037,201335
1088.5670159020178,201486
1090.271220708244,201727
1091.9743831795497,201817
1093.6765046225803,201957
1095.3775863447777,202089
1097.0776296543877,202697
1098.776635860472,203489
1100.4746062729223,204616
1102.171542202463,205798
1103.8674449606794,206481
1105.5623158600097,206238
1107.2561562137626,206345
1108.9489673361406,207442
1110.6407505422274,210029
1112.331507148027,212468
1114.0212384704485,212670
1115.709945827333,210153
1117.3976305374629,207128
1119.0842939205725,204746
1120.769937297346,203298
1122.4545619894534,202451
1124.1381693195417,202065
1125.820760611248,201671
1127.5023371892248,201553
1129.18290037913,201430
1130.8624515076544,201355
1132.540991902525,201203
1134.218522892516,201236
1135.8950458074685,201243
1137.570561978282,201117
1139.245072736949,201032
1140.9185794165455,201064
1142.591083351254,200994
1144.2625858763713,200921
1145.9330883283178,200773
1147.6025920446475,200893
1149.2710983640638,200677
1150.9386086264237,200643
1152.6051241727512,200631
1154.2706463452537,200682
1155.9351764873181,200635
1157.5987159435376,200604
1159.2612660597129,200464
1160.9228281828673,200595
1162.583403661252,200522
1164.2429938443604,200618
1165.9016000829413,200617
1167.5592237290034,200547
1169.2158661358287,200703
1170.8715286579825,200543
1172.5262126513285,200536
1174.1799194730281,200612
1175.832650481567,200539
1177.4844070367471,200677
1179.135190499715,200596
1180.7850022329549,200619
1182.4338436003152,200591
1184.081715967008,200412
1185.7286206996266,200600
1187.3745591661464,200570
1189.0195327359443,200556
1190.6635427798058,200616
1192.306590669938,200614
1193.9486777799714,200698
1195.5898054849815,200675
1197.229975161485,200646
1198.8691881874681,200521
1200.507445942383,200751
1202.14474980716,200744
1203.7811011642248,200700
1205.4165013975003,200933
1207.0509518924173,200960
1208.6844540359366,200954
1210.3170092165378,201298
1211.9486188242527,201392
1213.579284250659,201381
1215.209006888893,201603
1216.8377881336692,201730
1218.4656293812764,201970
1220.0925320295987,202223
1221.7184974781173,202473
1223.3435271279343,202468
1224.9676223817637,202379
1226.5907846439536,202359
1228.2130153204907,202275
1229.8343158190185,202462
1231.4546875488393,202622
1233.074131920921,203497
1234.6926503479183,204068
1236.3102442441727,203903
1237.9269150257326,203440
1239.5426641103484,203137
1241.1574929174947,203162
1242.7714028683738,202699
1244.3843953859318,202355
1245.9964718948602,201929
1247.607633821611,201688
1249.2178825944043,201570
1250.8272196432392,201605
1252.435646399905,201371
1254.0431642979856,201488
1255.6497747728758,201558
1257.2554792617832,201447
1258.8602792037475,201562
1260.4641760396432,201521
1262.0671712121875,201730
1263.6692661659588,201699
1265.2704623473976,201696
1266.870761204822,201784
1268.4701641884287,201820
1270.0686727503135,201812
1271.6662883444735,201680
1273.2630124268237,201933
1274.8588464551926,201997
