67_polyethylene_oxide_higher_weight_Aldrich_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,189890
-357.0856406039081,190053
-354.309364219462,190321
-351.5356215502653,190363
-348.7644077355815,190457
-345.9957179299897,190580
-343.22954730333896,190626
-340.4658910406981,190505
-337.70474434230425,190674
-334.9461024235167,190556
-332.189960514772,190638
-329.43631386151816,190799
-326.68515772419585,190713
-323.9364873781599,190782
-321.1902981136469,190861
-318.44658523572315,190961
-315.70534406423707,191149
-312.9665699337777,191121
-310.23025819361436,191223
-307.4964042076552,191142
-304.76500335440596,191138
-302.0360510269139,191089
-299.3095426327198,191193
-296.5854735938233,191181
-293.8638393466223,191360
-291.1446353418695,191306
-288.4278570446336,191536
-285.7134999342402,191599
-283.00155950423783,191620
-280.29203126234745,191714
-277.5849107304064,191797
-274.8801934443403,191676
-272.17787495410414,191733
-269.47795082363916,191860
-266.7804166308339,191921
-264.0852679674653,192049
-261.39250043917104,192084
-258.7021096653883,192110
-256.01409127931714,192155
-253.32844092787508,192072
-250.6451542716513,192144
-247.96422698485912,192118
-245.2856547552969,192230
-242.60943328430034,192355
-239.93555828669696,192331
-237.2640254907671,192434
-234.59483063819394,192394
-231.9279694840224,192362
-229.26343779661792,192481
-226.6012313576187,192642
-223.94134596189028,192675
-221.28377741748852,192801
-218.6285215456164,192787
-215.97557418057178,192859
-213.32493116971293,192853
-210.67658837341284,192799
-208.03054166502022,192939
-205.38678693080317,192933
-202.74532006992743,192997
-200.1061369944,192968
-197.46923362902587,193075
-194.83460591137322,193259
-192.20224979173008,193114
-189.57216123305452,193186
-186.94433621094632,193300
-184.31877071358858,193356
-181.6954607417238,193283
-179.07440230859746,193389
-176.4555914399255,193474
-173.83902417384897,193486
-171.22469656089683,193493
-168.61260466393855,193578
-166.00274455814923,193518
-163.39511233096636,193648
-160.78970408205063,193612
-158.1865159232406,193690
-155.5855439785178,193799
-152.9867843839657,193618
-150.39023328772186,193816
-147.79588684995204,193830
-145.20374124279587,193862
-142.61379265033662,193969
-140.02603726855122,193964
-137.44047130528642,193982
-134.85709098020465,194116
-132.2758925247471,194059
-129.69687218210768,194018
-127.12002620716804,194026
-124.54535086648235,194188
-121.97284243822956,194214
-119.4024972121701,194117
-116.83431148961547,194183
-114.26828158338274,194357
-111.70440381775333,194284
-109.14267452844916,194312
-106.58309006257842,194337
-104.0256467786031,194328
-101.47034104630426,194379
-98.91716924673426,194424
-96.36612777218873,194458
-93.81721302616957,194501
-91.2704214233351,194478
-88.72574938947191,194629
-86.18319336145801,194504
-83.64274978721505,194703
-81.10441512568885,194729
-78.56818584679087,194800
-76.03405843137865,194678
-73.50202937120818,194719
-70.97209516889694,194841
-68.44425233790228,194776
-65.91849740245851,194822
-63.39482689756392,194806
-60.87323736892434,194828
-58.353725372944574,194914
-55.836287476650206,194825
-53.320920257696365,194796
-50.80762030429831,194999
-48.296384215211916,194956
-45.787208599690295,195035
-43.28009007745345,194913
-40.775025278644904,195060
-38.272010843805674,195095
-35.77104342382875,195088
-33.27211967993522,195096
-30.775236283622256,195071
-28.280389916643564,195104
-25.787577270966043,195118
-23.29679504873509,195154
-20.808039962242045,195296
-18.321308733889545,195221
-15.836598096148103,195223
-13.353904791536635,195250
-10.87322557257256,195258
-8.39455720174579,195133
-5.917896451481871,195284
-3.4432401041072787,195284
-0.9705849518147278,195301
1.5000722033671823,195347
3.968734549617339,195286
6.4354052653481375,195296
8.900087519238005,195407
11.362784470272599,195332
13.823499267777342,195572
16.282235051447767,195481
18.738994951382047,195541
21.19378208811787,195589
23.64659957266712,195413
26.097450506548398,195493
28.5463379818174,195564
30.99326508110376,195535
33.438234877637086,195532
35.88125043529466,195673
38.322314808616596,195540
40.76143104285793,195613
43.198602173999404,195788
45.63383122880172,195612
48.06712122482288,195675
50.49847517045718,195689
52.927896064967804,195676
55.355386898519285,195693
57.78095065220789,195764
60.20459029809416,195827
62.6263087992354,195808
65.0461091097226,195743
67.46399417470201,195934
69.87996693042084,195880
72.29403030424011,195946
74.70618721468463,195940
77.11644057147113,195935
79.52479327553216,195845
81.93124821905072,196087
84.33580828549718,195980
86.73847634965313,196018
89.13925527764604,196051
91.53814792698398,195965
93.93515714657946,196068
96.33028577678846,196062
98.72353664942997,196064
101.11491258783367,196107
103.5044164068551,196012
105.89205091291257,196127
108.27781890401963,196176
110.6617231698176,196199
113.04376649159519,196174
115.42395164232953,196079
117.80228138671445,196231
120.17875848118875,196308
122.55338567396852,196259
124.92616570506905,196226
127.29710130635453,196348
129.66619520154467,196180
132.03345010626015,196319
134.39886872804433,196395
136.7624537664024,196380
139.1242079128185,196388
141.4841338507949,196434
143.84223425588024,196378
146.19851179569756,196276
148.5529691299661,196409
150.90560891054895,196406
153.25643378146393,196419
155.60544637892477,196464
157.9526493313628,196522
160.29804525946167,196464
162.64163677617893,196595
164.98342648678735,196524
167.32341698889007,196558
169.66161087245743,196587
171.998010719853,196525
174.3326191058661,196517
176.66543859773356,196539
178.9964717551721,196515
181.32572113041317,196638
183.65318926821155,196568
185.97887870589955,196554
188.3027919733979,196754
190.62493159324603,196816
192.9453000806369,196782
195.2638999434364,196789
197.58073368222233,196830
199.89580379029545,196820
202.20911275372916,196908
204.5206630513761,196932
206.8304571549136,197096
209.13849752885469,197071
211.4447866305891,197089
213.74932691040505,197068
216.05212081151748,197038
218.3531707700961,196981
220.65247921528942,196961
222.95004856925493,196926
225.24588124718525,196998
227.5399796573406,197009
229.83234620106404,196928
232.12298327281817,197069
234.41189326021353,197182
236.69907854402365,197102
238.98454149822194,197130
241.26828449001422,197174
243.5503098798409,197034
245.83062002143333,197192
248.10921726182033,197177
250.38610394136506,197066
252.66128239378017,197238
254.93475494617118,197271
257.2065239190408,197202
259.47659162633886,197358
261.7449603754731,197370
264.01163246733523,197377
266.27661019633547,197357
268.53989585042024,197372
270.80149171110213,197454
273.0614000534927,197321
275.31962314630886,197509
277.57616325191833,197427
279.8310226263573,197533
282.0842035193517,197506
284.33570817435435,197452
286.5855388285558,197505
288.83369771292524,197437
291.0801870522196,197495
293.3250090650288,197436
295.56816596377786,197493
297.80965995476834,197595
300.0494932382,197709
302.28766800819653,197765
304.5241864528276,197672
306.75905075413027,197720
308.992263088146,197786
311.2238256249315,197864
313.4537405285976,197824
315.6820099573204,197850
317.9086360633756,197876
320.1336209931603,197896
322.35696688721504,197822
324.5786758802492,197858
326.7987501011697,197875
329.01719167310233,197863
331.2340027134138,197949
333.4491853337375,197984
335.6627416400016,197931
337.8746737324489,198110
340.0849837056625,197959
342.2936736485879,198098
344.5007456445606,198122
346.7062017713262,198104
348.9100441010683,198213
351.1122747004323,198166
