68_EUDRAGIT_E_PO_Evonik_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,189144
-357.0856406039081,189313
-354.309364219462,189454
-351.5356215502653,189653
-348.7644077355815,189755
-345.9957179299897,189713
-343.22954730333896,189807
-340.4658910406981,189770
-337.70474434230425,189862
-334.9461024235167,189871
-332.189960514772,189882
-329.43631386151816,189881
-326.68515772419585,189744
-323.9364873781599,189977
-321.1902981136469,189933
-318.44658523572315,190105
-315.70534406423707,190205
-312.9665699337777,190362
-310.23025819361436,190272
-307.4964042076552,190243
-304.76500335440596,190217
-302.0360510269139,190166
-299.3095426327198,190100
-296.5854735938233,190260
-293.8638393466223,190269
-291.1446353418695,190379
-288.4278570446336,190456
-285.7134999342402,190517
-283.00155950423783,190481
-280.29203126234745,190689
-277.5849107304064,190567
-274.8801934443403,190758
-272.17787495410414,190683
-269.47795082363916,190716
-266.7804166308339,190794
-264.0852679674653,190890
-261.39250043917104,190941
-258.7021096653883,191038
-256.01409127931714,190901
-253.32844092787508,190999
-250.6451542716513,191011
-247.96422698485912,191134
-245.2856547552969,191097
-242.60943328430034,191142
-239.93555828669696,191286
-237.2640254907671,191181
-234.59483063819394,191219
-231.9279694840224,191184
-229.26343779661792,191253
-226.6012313576187,191388
-223.94134596189028,191396
-221.28377741748852,191508
-218.6285215456164,191609
-215.97557418057178,191562
-213.32493116971293,191605
-210.67658837341284,191568
-208.03054166502022,191650
-205.38678693080317,191646
-202.74532006992743,191701
-200.1061369944,191662
-197.46923362902587,191820
-194.83460591137322,191860
-192.20224979173008,191870
-189.57216123305452,191911
-186.94433621094632,191889
-184.31877071358858,191917
-181.6954607417238,192031
-179.07440230859746,192062
-176.4555914399255,192080
-173.83902417384897,192054
-171.22469656089683,192039
-168.61260466393855,192204
-166.00274455814923,192161
-163.39511233096636,192181
-160.78970408205063,192151
-158.1865159232406,192244
-155.5855439785178,192312
-152.9867843839657,192295
-150.39023328772186,192296
-147.79588684995204,192332
-145.20374124279587,192459
-142.61379265033662,192425
-140.02603726855122,192492
-137.44047130528642,192545
-134.85709098020465,192509
-132.2758925247471,192444
-129.69687218210768,192504
-127.12002620716804,192505
-124.54535086648235,192563
-121.97284243822956,192644
-119.4024972121701,192684
-116.83431148961547,192670
-114.26828158338274,192935
