69_EUDRAGIT_L_100_Evonik_LF-785.SPE
cm^-1,Intensity
-359.86445557971166,188452
-357.0856406039081,188660
-354.309364219462,188852
-351.5356215502653,188965
-348.7644077355815,188996
-345.9957179299897,189139
-343.22954730333896,189086
-340.4658910406981,189149
-337.70474434230425,189099
-334.9461024235167,189069
-332.189960514772,189175
-329.43631386151816,189067
-326.68515772419585,189129
-323.9364873781599,189252
-321.1902981136469,189193
-318.44658523572315,189388
-315.70534406423707,189443
-312.9665699337777,189424
-310.23025819361436,189398
-307.4964042076552,189509
-304.76500335440596,189331
-302.0360510269139,189326
-299.3095426327198,189395
-296.5854735938233,189406
-293.8638393466223,189479
-291.1446353418695,189610
-288.4278570446336,189659
-285.7134999342402,189690
-283.00155950423783,189806
-280.29203126234745,189785
-277.5849107304064,189745
-274.8801934443403,189784
-272.17787495410414,189894
-269.47795082363916,189905
-266.7804166308339,189974
-264.0852679674653,189999
-261.39250043917104,190083
-258.7021096653883,190099
-256.01409127931714,190041
-253.32844092787508,190078
-250.6451542716513,190075
-247.96422698485912,190074
-245.2856547552969,190160
-242.60943328430034,190221
-239.93555828669696,190209
-237.2640254907671,190226
-234.59483063819394,190381
-231.9279694840224,190291
-229.26343779661792,190302
-226.6012313576187,190416
-223.94134596189028,190439
-221.28377741748852,190470
-218.6285215456164,190552
-215.97557418057178,190463
-213.32493116971293,190590
-210.67658837341284,190498
-208.03054166502022,190589
-205.38678693080317,190597
-202.74532006992743,190661
-200.1061369944,190747
-197.46923362902587,190746
-194.83460591137322,190777
-192.20224979173008,190786
-189.57216123305452,190869
-186.94433621094632,190902
-184.31877071358858,190930
-181.6954607417238,190956
-179.07440230859746,190967
-176.4555914399255,191084
-173.83902417384897,190984
-171.22469656089683,191076
-168.61260466393855,190970
-166.00274455814923,191081
-163.39511233096636,191128
-160.78970408205063,191064
-158.1865159232406,191200
-155.5855439785178,191193
-152.9867843839657,191252
-150.39023328772186,191292
-147.79588684995204,191305
-145.20374124279587,191251
-142.61379265033662,191323
-140.02603726855122,191335
-137.44047130528642,191378
-134.85709098020465,191418
-132.2758925247471,191390
-129.69687218210768,191438
-127.12002620716804,191559
-124.54535086648235,191433
-121.97284243822956,191420
-119.4024972121701,191510
-116.83431148961547,191568
-114.26828158338274,191640
-111.70440381775333,191529
-109.14267452844916,191557
-106.58309006257842,191701
-104.0256467786031,191616
-101.47034104630426,191680
-98.91716924673426,191659
-96.36612777218873,191713
-93.81721302616957,191754
-91.2704214233351,191751
-88.72574938947191,191822
-86.18319336145801,191754
-83.64274978721505,191817
-81.10441512568885,191773
-78.56818584679087,191860
-76.03405843137865,191904
-73.50202937120818,191933
-70.97209516889694,191859
-68.44425233790228,191978
-65.91849740245851,191892
-63.39482689756392,191984
-60.87323736892434,191978
-58.353725372944574,191938
-55.836287476650206,192067
-53.320920257696365,191949
-50.80762030429831,192126
-48.296384215211916,192134
-45.787208599690295,192109
-43.28009007745345,191921
-40.775025278644904,192004
-38.272010843805674,192000
-35.77104342382875,192123
-33.27211967993522,192190
-30.775236283622256,192169
-28.280389916643564,192125
-25.787577270966043,192064
-23.29679504873509,192073
-20.808039962242045,192109
